"name";"RA_ICRS";"DE_ICRS";"dist";"e_dist";"age";"e_age";"FeH";"e_FeH";"Av";"e_Av";"Nc";"alpha_high_ind";"alpha_low_ind";"Mc_ind";"offset_ind";"alpha_high_ind_error";"alpha_low_ind_error";"Mc_ind_error";"offset_ind_error";"alpha_high_prim";"alpha_low_prim";"Mc_prim";"offset_prim";"alpha_high_prim_error";"alpha_low_prim_error";"Mc_prim_error";"offset_prim_error";"alpha_high_sec";"alpha_low_sec";"Mc_sec";"offset_sec";"alpha_high_sec_error";"alpha_low_sec_error";"Mc_sec_error";"offset_sec_error";"alpha_high_prim_sec";"alpha_low_prim_sec";"Mc_prim_sec";"offset_prim_sec";"alpha_high_prim_sec_error";"alpha_low_prim_sec_error";"Mc_prim_sec_error";"offset_prim_sec_error";"alpha_high_ind_prim";"alpha_low_ind_prim";"Mc_ind_prim";"offset_ind_prim";"alpha_high_ind_prim_error";"alpha_low_ind_prim_error";"Mc_ind_prim_error";"offset_ind_prim_error";"vis_mass_total";"vis_mass_total_error";"mass_total";"mass_total_error";"bin_frac";"average_ratio";"str_frac";"segregation_ratio";"segregation_ratio_std"
"Mamajek_1";"130.9234";"-79.0036";"97";"0";"7.448";"0.137";"0.377";"0.201";"1.141";"0.361";"38";"-0.0";"-1.22";"-0.06";"0.15";"inf";"inf";"inf";"inf";"-1.63";"1.7";"0.05";"0.68";"inf";"inf";"inf";"inf";"-1.49";"1.18";"0.04";"0.76";"inf";"inf";"inf";"inf";"-0.68";"1.46";"0.02";"0.95";"218294950.96";"2671146997.87";"519215482.05";"inf";"-0.69";"0.26";"-0.07";"0.56";"0.04";"0.11";"0.03";"0.53";"26.0";"2.0";"31.0";"3.1";"0.56";"0.7";"0.16";"0.53";"0.0"
"UBC_647";"116.6378";"-48.2369";"1386";"19";"8.976";"0.091";"-0.085";"0.124";"0.479";"0.211";"44";"-0.46";"-0.76";"0.06";"0.4";"inf";"inf";"inf";"inf";"-0.0";"0.61";"0.03";"0.41";"inf";"inf";"inf";"inf";"-0.0";"-1.13";"-0.1";"0.33";"inf";"inf";"inf";"inf";"-0.0";"-0.89";"-0.1";"0.5";"0.69";"1.68";"0.35";"inf";"-0.0";"-2.71";"-0.08";"0.46";"0.04";"0.11";"0.03";"0.53";"32.0";"2.0";"71.0";"7.1000000000000005";"0.47";"0.6";"0.17";"0.61";"0.0"
"Kronberger_25";"275.6674";"-14.7233";"2375";"577";"6.907";"0.445";"0.21";"0.153";"3.996";"0.103";"40";"-0.0";"0.0";"0.02";"0.34";"inf";"inf";"inf";"inf";"-0.61";"0.0";"0.02";"0.7";"0.0";"0.7";"0.39";"0.0";"-0.52";"0.0";"0.02";"0.56";"0.0";"0.71";"0.29";"0.0";"-0.21";"0.0";"0.02";"0.79";"0.0";"0.79";"0.39";"0.0";"-0.55";"0.0";"0.02";"0.81";"0.04";"0.11";"0.03";"0.53";"100.0";"2.0";"145.0";"14.5";"0.65";"0.7";"0.13";"";"0.0"
"ESO_123_26";"118.1265";"-60.339";"917";"8";"8.675";"0.103";"-0.016";"0.038";"0.51";"0.048";"52";"-0.72";"-0.42";"-0.02";"0.43";"0.82";"0.91";"0.17";"0.17";"-0.0";"0.0";"0.02";"0.44";"0.0";"2.41";"0.51";"0.0";"-1.29";"3.0";"-0.04";"0.85";"inf";"inf";"inf";"inf";"-0.99";"3.0";"0.03";"0.93";"0.06";"0.87";"0.17";"inf";"-0.0";"1.01";"0.1";"0.64";"0.04";"0.11";"0.03";"0.53";"45.0";"2.0";"73.0";"7.300000000000001";"0.52";"0.63";"0.2";"1.34";"0.0"
"UFMG_59";"126.5016";"-38.3427";"1280";"22";"7.899";"0.2";"-0.001";"0.102";"1.207";"0.164";"68";"-1.48";"-0.75";"0.1";"0.78";"0.93";"1.6";"0.44";"0.44";"-1.57";"0.0";"0.02";"0.63";"0.14";"0.91";"0.19";"0.01";"-2.14";"0.59";"0.0";"0.59";"24708847.21";"519332542.25";"69691358.44";"0.38";"-1.85";"1.1";"0.05";"0.98";"0.1";"1.11";"0.19";"0.38";"-2.05";"-0.47";"0.1";"1.1";"0.04";"0.11";"0.03";"0.53";"47.0";"2.0";"85.0";"8.5";"0.41";"0.57";"0.19";"0.78";"0.0"
"Moffat_1";"240.4176";"-54.1451";"2283";"175";"6.856";"0.092";"0.089";"0.137";"2.649";"0.054";"70";"-0.78";"0.0";"0.02";"0.93";"0.0";"0.59";"0.28";"0.28";"-1.26";"0.0";"0.02";"1.06";"0.0";"0.88";"0.37";"0.0";"-0.42";"1.17";"0.1";"0.81";"0.47";"1.17";"0.47";"1.69";"-0.71";"1.7";"0.1";"0.9";"0.19";"0.59";"0.25";"1.69";"-0.84";"0.0";"0.02";"1.13";"0.04";"0.11";"0.03";"0.53";"127.0";"2.0";"223.0";"22.3";"0.44";"0.84";"0.27";"";"0.0"
"UPK_152";"319.3688";"56.1415";"731";"8";"8.371";"0.355";"0.056";"0.11";"2.206";"0.056";"71";"-0.74";"-3.0";"-0.03";"0.47";"12.88";"3.29";"0.66";"0.66";"-0.0";"0.15";"0.1";"0.49";"4.71";"4.36";"0.91";"3.08";"-0.0";"0.44";"0.1";"0.57";"31085392.35";"219806923.14";"35559912.01";"1.4";"-2.79";"1.61";"0.09";"1.27";"0.08";"2.35";"0.38";"1.4";"-2.73";"0.07";"0.1";"1.18";"0.04";"0.11";"0.03";"0.53";"46.0";"2.0";"995.0";"99.5";"0.48";"0.9";"0.21";"0.69";"0.0"
"COIN-Gaia_32";"28.2086";"63.0391";"1209";"18";"8.211";"0.181";"-0.121";"0.104";"1.674";"0.08";"77";"-1.33";"-3.0";"0.1";"0.34";"0.22";"1.84";"0.38";"0.38";"-0.97";"0.17";"0.02";"0.88";"0.57";"2.1";"0.57";"0.03";"-2.11";"3.0";"-0.05";"0.85";"0.05";"0.68";"0.12";"2.21";"-1.16";"3.0";"-0.04";"1.09";"0.05";"0.45";"0.1";"2.21";"-1.24";"-0.35";"0.01";"0.94";"0.04";"0.11";"0.03";"0.53";"68.0";"2.0";"1547.0";"154.70000000000002";"0.64";"0.76";"0.15";"0.6";"0.0"
"UPK_119";"308.6567";"43.394";"767";"3";"8.832";"0.209";"-0.004";"0.068";"1.403";"0.134";"82";"-0.0";"-1.38";"0.1";"0.42";"0.58";"9.51";"1.61";"1.61";"-0.01";"-0.45";"-0.0";"0.46";"3.06";"8.77";"1.28";"3.55";"-2.46";"0.42";"-0.03";"0.54";"33067388.41";"736138202.3";"71124282.77";"0.78";"-1.75";"1.08";"-0.0";"0.93";"10377122.14";"217810074.71";"28320208.39";"0.78";"-0.0";"-0.98";"0.1";"0.58";"0.04";"0.11";"0.03";"0.53";"44.0";"2.0";"141.0";"14.1";"0.39";"0.65";"0.24";"0.89";"0.0"
"ESO_392_13";"261.7333";"-34.6986";"1034";"12";"8.473";"0.173";"0.125";"0.052";"2.11";"0.067";"86";"-0.0";"1.44";"0.05";"0.5";"0.86";"3.54";"1.26";"1.26";"-0.27";"0.56";"0.1";"0.73";"inf";"inf";"inf";"inf";"-0.0";"0.44";"0.1";"0.58";"1.33";"3.04";"0.68";"1.28";"-0.34";"2.2";"-0.1";"0.88";"0.13";"0.66";"0.17";"1.28";"-0.0";"0.69";"-0.02";"0.77";"0.04";"0.11";"0.03";"0.53";"65.0";"2.0";"75.0";"7.5";"0.59";"0.7";"0.18";"0.97";"0.0"
