;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;0.2261;0.0639;0.0991;26;168.37070726682;0.0222;-55.43139584699;0.0228;5346934086805595136;1.0772;0.0283;-11.336;0.028;3.177;0.029;0.984;8.926272;0.002769;8.886615;0.002859;8.956955;0.002813;-0.07034;;;1.161;3982.853;1744.186;3056.54;1.0;4.402221297932799;0.20533119610631204;2.4613359141488775;1.2861623774256292
1;0.2435;0.0961;0.0698;28;168.37593370369;0.0157;-55.43600704644;0.015;5346934013770065792;1.0219;0.0195;-11.365;0.02;2.944;0.019;0.884;11.058701;0.002802;11.067566;0.002993;11.027146;0.003115;0.04042;;;1.153;2142.969;1001.821;784.186;1.0;2.6687796059574054;0.01190464165172174;0.313350311812273;0.4559131454162882
2;0.234;0.0777;0.0707;28;168.34975158752;0.023;-55.45129620215;0.022;5346933949366636288;1.0314;0.0286;-11.37;0.031;2.883;0.028;1.066;15.671062;0.002875;16.134722;0.004513;15.034686;0.003884;1.100036;;;1.23;1323.885;306.04;401.859;1.0;0.9156025632906295;0.0007339631951648134;0.0;0.0
3;0.2884;0.2095;0.1399;26;168.39317658378;0.0239;-55.44524640759;0.0223;5346934018086116992;1.0783;0.0292;-11.239;0.03;2.86;0.028;1.033;15.631943;0.002781;16.185633;0.004375;14.930064;0.003222;1.255569;;;1.239;2889.57;322.192;673.824;1.0;0.8680741502386556;0.01688871618941758;0.7032245497960672;0.0402838641789997
4;0.1479;0.1234;0.1446;28;168.35741715222;0.0112;-55.40087465803;0.0109;5346934499122460032;1.0524;0.0144;-11.481;0.015;3.235;0.014;1.157;12.545662;0.002765;12.75187;0.002869;12.200876;0.002822;0.550994;;;1.178;4750.912;1630.533;2587.217;0.98;1.5329878740517362;0.0267564695176569;1.3159278051492351;0.03844225004540366
5;0.3108;0.1082;0.0754;28;168.39985142895;0.016;-55.45278519044;0.0156;5346183395243962240;1.0443;0.0197;-11.362;0.021;2.899;0.02;1.023;14.839952;0.002795;15.209746;0.003725;14.297271;0.003064;0.912476;;;1.21;2302.802;439.977;857.629;1.0;1.062955094870478;0.0007808381363007323;0.0;0.05541589107212625
6;0.1959;0.0799;0.1523;27;168.4282019954;0.0125;-55.44353216602;0.0122;5346183773201123072;1.086;0.0164;-11.406;0.016;3.08;0.016;0.849;11.684119;0.002773;11.739662;0.002859;11.580709;0.002815;0.158953;;;1.152;3428.366;1739.829;2900.723;1.0;2.1286337701265476;0.018392486667148884;1.0869324804339608;0.07404651252396577
7;0.1859;0.1934;0.1252;27;168.26433448166;0.0888;-55.41110581315;0.079;5346934980158881024;1.0573;0.1021;-11.24;0.114;2.82;0.098;0.944;18.00358;0.00375;19.021757;0.023416;17.04854;0.008434;1.973217;;;1.298;426.706;46.7;136.413;1.0;0.5998676452952733;0.004103963527360036;0.0;0.13446620002639503
8;0.1725;0.1497;0.1317;27;168.27878269862;0.0177;-55.37905015496;0.0165;5346935495554964992;1.0312;0.0219;-11.269;0.024;2.917;0.02;1.047;14.931709;0.00282;15.310758;0.003537;14.380702;0.003409;0.930056;;;1.211;1809.647;499.351;554.385;1.0;1.046008178275186;0.0007424063781021053;0.0;0.05448753065349184
9;0.0662;0.3248;-0.0802;27;168.4632034712;0.0192;-55.38304958881;0.0182;5346185486870332672;1.0627;0.0244;-11.332;0.026;3.108;0.024;1.005;9.768353;0.002768;9.752435;0.002816;9.765302;0.00281;-0.012867;;;1.158;4044.798;2836.579;3275.607;1.0;3.3473049322143003;0.14444686057981354;2.9123070306161534;0.2953268525177252
