;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;0.1421;0.2882;0.1065;14;262.45758545182;0.1117;-32.51441161711;0.0845;4054763072354477568;0.9526;0.1335;2.47;0.184;-1.317;0.099;1.044;17.614023;0.040086;18.807333;0.136217;16.31897;0.11668;2.488363;;;1.629;27.149;7.972;9.308;0.79;0.7236202951323603;0.01403587897687415;0.48403340390094773;0.13319932250277097
1;0.2002;-0.0811;-0.0005;15;262.47040550304;0.2275;-32.53591469411;0.1748;4054762247721185152;0.8945;0.2275;2.687;0.327;-1.173;0.245;1.027;18.911751;0.004103;20.328594;0.12986;17.660877;0.018701;2.667717;;;1.529;357.071;8.363;58.715;0.51;0.5300960841016761;0.013870586465519318;0.0;0.02309731946284108
2;-0.0067;0.1396;0.1278;15;262.4443411402;0.0137;-32.52282027372;0.0105;4054763042305985280;0.8411;0.0152;1.943;0.02;-1.322;0.014;0.838;12.087704;0.002765;12.240895;0.002909;11.807143;0.002844;0.433752;;;1.175;4664.379;1319.909;1971.885;1.0;3.2546342095493914;0.011036692409340484;0.0;0.3390156719939889
3;0.0534;0.0908;-0.0213;16;262.44866552007;0.1465;-32.53863857263;0.1166;4054761904123346944;0.699;0.1546;2.231;0.211;-1.177;0.158;1.151;17.987881;0.00448;19.815525;0.059063;16.682699;0.014054;3.132826;;;1.535;307.356;18.403;78.826;0.82;0.5947707728113703;0.02458560496117113;0.5068160987663654;0.03410462012563665
4;0.2822;-0.1526;-0.1737;14;262.44291653607;0.1057;-32.53184212657;0.0836;4054762282091001472;0.9569;0.1142;2.02;0.16;-1.491;0.114;0.92;17.606766;0.005539;18.892218;0.034336;16.499434;0.017509;2.392784;;;1.389;225.965;31.726;62.812;0.94;0.7337473267446155;0.00941099279137147;0.0;0.20877676161782627
5;0.3178;0.018;0.0514;16;262.49897567994;0.1694;-32.52870604956;0.1283;4054762144641971456;0.8908;0.1789;1.91;0.246;-1.554;0.173;0.965;18.51827;0.00351;20.265921;0.09256;17.30164;0.012088;2.964281;;;1.436;499.471;11.735;92.314;0.9;0.5764883502979253;0.04167450408551854;0.0;0.15606234295072902
6;0.1485;0.0459;0.0934;16;262.4773673618;0.0689;-32.55031545666;0.0544;4054762007218059904;0.9708;0.0737;2.057;0.097;-1.394;0.074;1.008;16.985472;0.003069;18.666235;0.020072;15.739575;0.005414;2.92666;;;1.48;802.653;54.624;234.04;0.92;0.7467720436340847;0.016838522736116107;0.6609135477931284;0.04042974207213597
7;0.2311;-0.1787;0.0444;15;262.43849735822;0.1927;-32.53491541134;0.1509;4054761904123351936;0.7756;0.2071;2.331;0.298;-1.615;0.221;0.994;18.691656;0.007754;20.490604;0.097038;17.477589;0.024921;3.013016;;;1.426;149.789;11.193;43.843;0.75;0.5510461026224991;0.028266866452825865;0.0;0.11052283634162746
8;0.0887;0.0471;-0.1609;14;262.43526920963;0.1843;-32.53925694153;0.1407;4054761904124660736;1.0149;0.1907;1.901;0.245;-1.477;0.184;1.007;18.441351;0.008968;19.849953;0.087013;17.180725;0.01992;2.669228;;;1.542;127.228;12.484;55.048;0.88;0.6378083985453984;0.010778554732619098;0.0;0.030598651241577405
9;0.1939;-0.2099;-0.0137;14;262.44568391751;0.1261;-32.55119474128;0.0983;4054761835403852672;0.88;0.1284;1.941;0.172;-1.302;0.126;0.984;17.859501;0.016479;18.969542;0.064226;16.751106;0.053659;2.218435;;;1.429;66.828;16.921;20.261;0.95;0.726507032648639;0.0035900855380486124;0.0;0.019899748742132458
