;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;-0.2206;-0.0791;0.0696;17;106.34414128065;0.0356;-12.3290390361;0.039;3045713901196844032;0.8924;0.0445;-4.129;0.046;1.316;0.052;1.023;16.058729;0.006709;16.987196;0.022389;15.071669;0.022299;1.915527;;;1.353;177.48;48.875;49.076;0.98;1.0037122329630375;0.07431461925886369;0.6664981106007892;0.12744226275330203
1;-0.2126;-0.0458;0.0919;18;106.35628453612;0.0801;-12.31577826753;0.0851;3045715417324097152;1.0098;0.0942;-3.721;0.105;0.858;0.114;1.006;17.372217;0.003409;18.782015;0.064784;16.149612;0.00961;2.632402;;;1.496;540.833;16.775;118.061;0.67;0.6683665722967137;0.02590750543938044;0.46038912300169116;0.06198994254215785
2;-0.0732;0.1593;0.1488;16;106.3554683515;0.2024;-12.31322876574;0.2091;3045715413025249280;0.9995;0.2439;-4.236;0.267;0.79;0.276;1.132;18.828215;0.004181;20.024534;0.20468;17.464214;0.023501;2.56032;;;1.719;345.199;5.305;46.529;0.64;0.48166632364850337;0.015062783547297065;0.0;0.014106735979665896
3;-0.3637;-0.2529;0.3012;16;106.33967031882;0.0455;-12.33296346787;0.047;3045713901196842624;0.8432;0.0553;-4.072;0.067;1.226;0.072;0.994;15.90069;0.005757;16.9328;0.024656;14.722587;0.011675;2.210214;;;1.526;214.812;44.32;95.769;0.96;0.9835081644202718;0.05863352537865539;0.8245921401860471;0.05653349980920524
4;-0.347;-0.2279;0.2742;16;106.3416707492;0.0181;-12.33516384928;0.019;3045713905495621504;0.894;0.0222;-4.049;0.026;1.115;0.03;0.962;14.555712;0.004229;15.282222;0.011767;13.699641;0.008403;1.582581;;;1.297;338.36;94.975;136.973;0.99;1.5174196760363208;0.052540647261855124;1.2469857047103394;0.12276296777917678
5;0.0136;-0.2166;0.1196;16;106.33360847156;0.0135;-12.32014913929;0.0132;3045713974215095040;0.8605;0.0158;-4.026;0.018;1.074;0.018;1.009;13.55878;0.004027;14.138241;0.011124;12.821691;0.008498;1.31655;;;1.255;369.686;100.826;135.257;0.97;1.8520505325768886;0.041027398215830874;1.2748476736538916;0.47882618610688604
6;-0.2199;-0.1872;0.3801;15;106.33275622439;0.1291;-12.32994198674;0.1395;3045713905495621888;0.6133;0.1641;-4.039;0.183;0.969;0.216;1.969;16.820755;0.007492;17.709463;0.055221;15.095296;0.054755;2.614167;;;2.382;155.843;19.687;19.855;0.64;0.79630014649459;0.021229266279108348;0.6822374118998178;0.0656608305717385
7;-0.4348;-0.2035;0.2402;16;106.33694752345;0.0911;-12.3359083545;0.0931;3045713901196842112;0.9845;0.1069;-3.544;0.138;0.963;0.149;0.974;17.445719;0.004034;18.690092;0.094172;16.098106;0.018339;2.591986;;;1.687;368.521;11.534;59.9;0.67;0.6879003049487433;0.026624523291825145;0.42697361106356324;0.07656342172694207
8;0.0814;-0.2108;-0.0412;15;106.34576602803;0.0858;-12.30422347365;0.0854;3045715481744728576;1.023;0.0983;-3.926;0.114;1.432;0.119;1.03;17.061176;0.003468;18.691803;0.030932;15.805237;0.007651;2.886566;;;1.5;515.539;35.244;152.413;0.82;0.6763441982433678;0.024380299864644517;0.582409686001004;0.035797616779840176
9;-0.2338;0.049;0.0085;15;106.33040704476;0.0711;-12.31937588046;0.0764;3045713974215095936;0.8766;0.0849;-4.029;0.092;1.129;0.101;1.063;16.857859;0.004873;17.967184;0.029545;15.758577;0.012476;2.208607;;;1.42;270.136;36.913;89.291;0.97;0.7964806836960662;0.016387081261549828;0.3558772702457573;0.23951355849176972
10;-0.4154;-0.1489;0.2029;16;106.32987368146;0.1357;-12.32717775174;0.1427;3045713905491232384;0.8594;0.1618;-4.132;0.197;1.018;0.222;1.023;18.096176;0.003522;19.759169;0.243894;16.710249;0.0115;3.04892;;;1.665;494.765;4.452;97.322;0.86;0.5137636431898521;0.027927594695494416;0.3760509928766755;0.05471645292420319
11;-0.3802;-0.1579;0.2545;16;106.33204804316;0.0492;-12.33384171528;0.0529;3045713905495623936;0.9572;0.0589;-4.152;0.07;1.409;0.083;1.07;16.162067;0.004468;17.094721;0.024595;15.043232;0.013713;2.051489;;;1.487;308.723;44.432;80.869;0.95;0.9437741624891024;0.05770578366646701;0.7284722660620495;0.06481649878495065
12;-0.4361;-0.1101;0.1048;16;106.32707355059;0.202;-12.32713799882;0.2206;3045713969916314624;0.7658;0.2395;-4.205;0.293;0.789;0.339;1.111;18.66062;0.010115;19.328846;0.118133;17.077511;0.038911;2.251335;;;2.201;111.552;9.193;27.975;0.54;0.5707640351167029;0.014026904800767386;0.0;0.0
13;-0.255;-0.0377;0.059;17;106.37165194018;0.1205;-12.32284464587;0.1246;3045712458087834368;1.0834;0.1416;-3.649;0.161;1.412;0.171;1.048;18.08341;0.005579;19.721729;0.131553;16.746979;0.012827;2.974751;;;1.602;223.833;8.255;86.723;0.54;0.5264213563516265;0.03239074075602903;0.3471445015379801;0.08243033480419742
14;-0.3479;-0.1065;0.2296;16;106.34026202941;0.11;-12.3434796342;0.11;3045710911899604864;0.7718;0.1265;-3.909;0.159;1.056;0.17;1.024;17.884258;0.003948;19.782848;0.1854;16.748432;0.024506;3.034416;;;1.324;384.002;5.857;44.595;0.89;0.5161355776382922;0.026518432013793156;0.4049370792127654;0.04195923652320842
15;-0.4509;-0.1037;0.1153;16;106.32675968913;0.1884;-12.33016776199;0.2047;3045713901196837760;1.0418;0.2232;-3.946;0.278;1.622;0.315;1.316;18.506262;0.007839;19.974493;0.092823;17.085936;0.025667;2.888557;;;1.745;147.935;11.702;42.554;0.59;0.5292379058623555;0.009607984964608093;0.0;0.0343086511257574
16;-0.3254;-0.3629;0.0987;14;106.35274920833;0.0287;-12.34502161949;0.0291;3045710877539868288;0.9015;0.0359;-3.523;0.044;0.879;0.045;0.938;15.411297;0.006514;16.124325;0.025253;14.361428;0.024969;1.762897;;;1.483;183.957;43.26;43.758;0.68;1.2220196150668072;0.06136109142876651;0.9544568099832675;0.12711411661266814
17;-0.3261;-0.2055;0.1436;15;106.32474401487;0.1519;-12.31895407967;0.1546;3045713969916313600;1.0557;0.1706;-4.351;0.199;1.482;0.226;0.944;18.209496;0.01271;19.709679;0.158934;17.045389;0.042147;2.664289;;;1.412;87.503;6.832;25.817;0.76;0.5725438523465438;0.007204646496729986;0.0;0.0
18;-0.2512;0.0908;-0.1043;17;106.37460130347;0.1581;-12.32054049628;0.1719;3045712458087743872;0.6819;0.1942;-4.155;0.206;1.626;0.229;1.148;18.466557;0.009711;20.01981;0.141976;17.232109;0.033306;2.787701;;;1.486;116.601;7.649;32.714;0.57;0.5211423672447775;0.009843061195221698;0.0;0.025582380872487362
