;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;-0.0107;0.0849;0.0687;26;128.9465709941;0.0387;-43.60975837639;0.0429;5523421611605106304;0.3042;0.0485;-3.556;0.05;3.977;0.054;1.006;16.86768;0.002829;17.661491;0.007809;15.982933;0.003925;1.678558;;;1.3;1694.309;148.87;393.216;0.99;2.265812472692306;0.104559778073354;1.155358170324731;0.4713633603001218
1;0.0604;0.0303;0.1123;28;128.95294970279;0.0326;-43.61052941661;0.0381;5523421611605111040;0.3011;0.0409;-3.477;0.043;3.984;0.048;1.182;16.238823;0.002829;17.022665;0.005336;15.342146;0.003392;1.680519;;;1.314;1687.248;238.687;562.721;0.99;2.5942300178401836;0.10865706758492447;1.79708905861234;0.24415862116265175
2;0.0204;0.0836;0.062;26;128.94309446442;0.1248;-43.61375354217;0.1402;5523421504226087424;0.1475;0.1542;-3.565;0.163;3.649;0.185;1.016;18.920336;0.003403;20.0455;0.036166;17.943581;0.013012;2.101919;;;1.292;543.517;30.111;85.43;0.69;1.3168976291985448;0.018626974074902193;0.21492073883255672;0.3456046512868292
3;0.0381;0.1809;0.0545;28;128.94389220083;0.0228;-43.61018290738;0.0247;5523421508527591424;0.324;0.0284;-3.534;0.031;4.037;0.032;1.008;15.783165;0.00278;16.534958;0.003787;14.913141;0.002974;1.621817;;;1.301;2943.438;424.013;1054.511;0.99;2.8947450215674464;0.1118657836046771;1.996403048227095;0.3885919651727055
4;0.0418;0.0314;0.1343;26;128.95768282433;0.0329;-43.60943355356;0.0357;5523421611605113472;0.326;0.0403;-3.501;0.043;4.099;0.046;0.944;16.509918;0.002819;17.238417;0.008392;15.612847;0.005029;1.625569;;;1.332;1815.606;137.184;259.468;0.99;2.641370351358911;0.009614968283288882;0.0;0.2975990394145414
5;-0.0222;-0.0386;0.0706;27;128.947163779;0.0514;-43.60571212062;0.0565;5523421611600961792;0.3179;0.0632;-3.393;0.071;3.914;0.074;1.008;17.379965;0.002911;18.227776;0.012706;16.479471;0.004282;1.748304;;;1.297;1156.221;87.59;334.219;0.98;1.9491820632555659;0.05037589535250269;1.0168441454542434;0.3658030118530911
6;-0.0497;0.062;0.0769;27;128.94183144224;0.0492;-43.60741507989;0.0522;5523421508525888128;0.3157;0.0591;-3.278;0.066;3.808;0.068;0.959;17.352736;0.002874;18.167418;0.009745;16.456406;0.005831;1.711012;;;1.303;1328.858;116.287;212.037;0.63;2.0494451116109875;0.025759411413508543;0.22526977981408647;0.41225647199000826
7;0.0111;0.1359;-0.0111;28;128.942056697;0.0232;-43.61915533383;0.0255;5523421508525891840;0.2788;0.0286;-3.59;0.029;4.019;0.033;1.039;15.82894;0.002786;16.525881;0.003875;14.99249;0.002961;1.533391;;;1.291;2637.596;403.839;1096.074;0.99;3.0521481868147005;0.0025642953475321635;0.0;0.06191872483115992
8;-0.0623;-0.0042;0.1321;26;128.94672508274;0.0917;-43.60461895147;0.1109;5523421611605104128;0.3345;0.1166;-3.734;0.123;4.253;0.143;0.987;18.413759;0.003172;19.466751;0.03449;17.470818;0.008092;1.995934;;;1.278;691.115;31.583;142.946;0.69;1.4648308590844212;0.04277551349171626;0.3896287098767761;0.4621626661532123
9;-0.0526;0.0507;0.0732;28;128.94081280433;0.0254;-43.60615925415;0.0267;5523421714684317568;0.2888;0.0304;-3.521;0.035;4.036;0.035;0.968;16.046675;0.002799;16.825365;0.004397;15.154541;0.003537;1.670824;;;1.311;2208.035;319.524;499.613;1.0;2.740069176412037;0.1143686471451636;1.8317766753042948;0.29490959378948334
10;0.0164;0.1485;0.0549;28;128.94635226908;0.0193;-43.62216029085;0.0222;5523421508525897088;0.2719;0.0245;-3.517;0.025;3.99;0.027;0.943;15.554486;0.002779;16.195496;0.003577;14.756227;0.002986;1.439269;;;1.28;2974.175;485.092;1020.531;1.0;3.1921926078828915;0.02175210706098439;0.0;0.18553649822094243
11;0.0304;0.0498;0.1195;27;128.95120835946;0.0664;-43.60400229401;0.078;5523421607305311104;0.3751;0.0838;-3.393;0.087;4.044;0.103;1.033;17.893167;0.002978;18.940401;0.022647;16.904799;0.006115;2.035603;;;1.322;961.769;48.309;199.525;0.96;1.4753566450725015;0.04555131125809678;1.3343558208573632;0.056553916951990246
12;-0.0025;0.13;0.066;26;128.93670522058;0.0743;-43.61843889281;0.0784;5523421504226084992;0.3229;0.0897;-3.39;0.094;4.02;0.099;1.01;18.042179;0.002995;18.906477;0.016778;17.122299;0.006266;1.784178;;;1.309;924.001;65.625;193.509;0.97;1.663375422544608;0.004908548028042473;0.0;0.08029900151670545
13;0.0189;0.0836;0.1039;28;128.9545393568;0.0263;-43.6037605488;0.0298;5523421611605107968;0.3039;0.0327;-3.439;0.034;3.977;0.038;1.005;16.184454;0.002796;16.976223;0.004613;15.292479;0.0035;1.683744;;;1.307;2273.297;295.575;513.989;0.99;2.644998603603713;0.10625611345905339;1.7768504703579908;0.25125419431690416
14;0.0063;0.0639;0.1588;26;128.96312676062;0.0525;-43.61074407505;0.0579;5523421538585828352;0.328;0.0645;-3.487;0.068;4.045;0.074;1.01;17.475578;0.002884;18.291019;0.010364;16.590191;0.004566;1.700829;;;1.294;1276.74;108.778;300.412;0.99;1.9798820052692432;0.007366636269697685;0.0;0.17425986239506688
15;0.0235;0.1411;0.101;27;128.94805446216;0.0467;-43.62398832464;0.051;5523421439806421760;0.3297;0.0576;-3.435;0.061;3.958;0.065;0.972;17.270218;0.002859;17.973604;0.008445;16.445383;0.005417;1.528221;;;1.279;1425.783;136.216;233.835;0.99;2.112349087669956;0.0074767659062727155;0.0;0.07444260323031503
16;0.0043;0.0977;0.0131;27;128.94204953927;0.0418;-43.62288831782;0.0468;5523421504226082176;0.2844;0.0519;-3.598;0.054;4.08;0.06;0.988;17.110924;0.002838;17.776991;0.009719;16.293446;0.004782;1.483545;;;1.286;1599.088;116.622;279.574;0.98;2.2259655278717276;0.007126806894005704;0.0;0.0
17;-0.0049;0.0095;0.1392;26;128.95654239043;0.1216;-43.60337677047;0.1382;5523421607306771712;0.382;0.1508;-3.841;0.158;4.055;0.172;1.041;18.864126;0.003426;19.866821;0.054629;17.857241;0.011929;2.009581;;;1.352;533.064;19.901;93.617;0.65;1.3434607436541364;0.01646936989023703;0.0;0.30064972018544
18;-0.0073;0.017;0.1594;27;128.95047495873;0.0592;-43.60164180419;0.0696;5523421611606807040;0.2945;0.0745;-3.615;0.078;4.175;0.091;1.059;17.616224;0.002893;18.44676;0.0112;16.728979;0.005179;1.717781;;;1.291;1231.695;100.093;248.853;0.92;1.8928681937062124;0.007500281220358082;0.0;0.14567782568004062
19;0.0059;0.0167;0.1371;25;128.96492498145;0.1243;-43.61602213964;0.1405;5523421538585825664;0.2903;0.152;-3.262;0.151;3.741;0.168;1.006;18.871952;0.003519;19.857395;0.03597;17.886282;0.011821;1.971113;;;1.336;496.168;30.276;94.519;0.69;1.3406267887961627;0.014445769318201868;0.0;0.24950770327379881
20;0.002;0.1376;0.1295;26;128.96344626534;0.0476;-43.61897339292;0.0524;5523421542885643392;0.3399;0.0583;-3.417;0.062;3.888;0.066;1.046;17.224974;0.002856;17.947435;0.014737;16.38365;0.004429;1.563786;;;1.286;1445.107;75.031;315.713;0.97;2.1438261938258627;0.005583113104835122;0.0;0.11080295830035282
21;-0.0423;0.1414;0.046;28;128.95543138991;0.0133;-43.62430071285;0.0159;5523421439806425344;0.2809;0.0167;-3.586;0.017;4.005;0.02;1.006;14.636654;0.002774;15.284595;0.003189;13.815772;0.002992;1.468822;;;1.296;3373.059;703.017;1004.375;0.99;3.4290209815350123;0.12045746231992593;1.740695743303818;1.59116897317883
22;-0.0395;-0.0043;0.1927;25;128.96505873874;0.0706;-43.60823538843;0.0792;5523421538587295360;0.3393;0.0878;-3.482;0.095;3.973;0.101;1.011;17.954447;0.002958;18.837797;0.017594;17.055618;0.008007;1.782179;;;1.285;1009.079;62.5;144.674;0.98;1.7004232814136215;0.0066043391096816196;0.0;0.17228938859897852
23;-0.1293;-0.0101;0.1288;27;128.95515067383;0.0528;-43.62503280299;0.0586;5523421439806425728;0.2882;0.0639;-3.52;0.073;3.93;0.076;1.084;17.413662;0.002985;17.97282;0.026074;16.402657;0.015348;1.570164;;;1.501;944.898;41.881;71.941;0.99;2.0859640733974123;0.007225993332626735;0.0;0.07080268874869207
24;-0.0204;0.1216;0.128;25;128.96420732581;0.1129;-43.61966587214;0.1293;5523421538587295232;0.3058;0.1396;-3.671;0.152;4.022;0.16;1.039;18.733721;0.003373;19.666132;0.044495;17.717829;0.016655;1.948303;;;1.38;558.161;24.449;66.124;0.91;1.3887288955315438;0.015602255572870349;0.0;0.2434458689411523
25;-0.009;0.0035;0.1193;26;128.94352258046;0.0841;-43.60043094715;0.0941;5523421817759373312;0.2192;0.1035;-3.434;0.112;3.808;0.119;1.043;18.251785;0.003174;19.303333;0.049936;17.248926;0.01886;2.054407;;;1.335;689.349;21.776;58.209;0.92;1.4081943365091052;0.053202571783000696;1.1577536879537695;0.09759103540137322
26;0.0512;0.1769;-0.0067;28;128.94083496047;0.0121;-43.62555638813;0.0133;5523421508525972992;0.2941;0.015;-3.516;0.016;3.961;0.017;1.045;14.260061;0.002767;14.881207;0.003019;13.47703;0.002895;1.404178;;;1.275;4303.181;942.04;1405.48;1.0;3.4864158824424676;0.05616527538483241;3.2672021182007587;0.1216491841105849
27;0.0541;0.0336;0.085;28;128.95557294172;0.0212;-43.6002648559;0.0238;5523421611605107712;0.2863;0.026;-3.493;0.029;3.959;0.03;1.078;15.646948;0.002792;16.411386;0.004234;14.763116;0.003026;1.648271;;;1.309;2398.621;340.913;928.038;1.0;3.0256556874737868;0.08485427204694301;1.8841359592196583;0.36708987616346483
28;0.0129;0.0648;0.1376;26;128.96631607525;0.0253;-43.60721381877;0.0283;5523421577245378688;0.2893;0.0314;-3.486;0.034;3.981;0.036;1.007;16.068707;0.002796;16.835447;0.004061;15.190483;0.003405;1.644964;;;1.303;2295.26;368.028;556.28;1.0;2.7124846340591717;0.11410675773049492;1.8582338962837754;0.3072909484797925
29;0.0089;0.0664;0.1228;28;128.95140733021;0.0223;-43.59903698244;0.0259;5523421611605104768;0.2791;0.0277;-3.525;0.03;3.983;0.034;1.066;15.705949;0.002795;16.407597;0.00361;14.861278;0.003059;1.546319;;;1.296;2327.753;474.106;866.456;1.0;3.1176587209317326;0.0022184490096012043;0.0;0.0
30;-0.0132;0.0226;0.1135;27;128.94163202545;0.0405;-43.59876900443;0.044;5523421817763530368;0.3062;0.0502;-3.44;0.052;4.081;0.055;1.017;16.932314;0.002841;17.772573;0.007799;16.018343;0.004089;1.75423;;;1.311;1572.618;149.072;363.275;0.99;2.046511589932821;0.09456373266604921;1.6050331488098981;0.1375841877741114
31;0.0176;0.0774;0.1067;28;128.95140486041;0.0246;-43.59798267756;0.0294;5523421611605104256;0.297;0.0311;-3.499;0.032;4.076;0.038;1.035;16.004471;0.002802;16.710705;0.004515;15.154572;0.003199;1.556133;;;1.299;2125.543;305.828;693.621;0.99;2.954729767113507;0.0022988376892154705;0.0;0.06745236908256393
32;0.0197;0.0006;0.0873;26;128.93772157901;0.0364;-43.59968392812;0.0401;5523421817763529472;0.347;0.0455;-3.46;0.047;3.945;0.05;0.993;16.737103;0.002827;17.565363;0.006842;15.823401;0.003681;1.741961;;;1.315;1712.59;173.807;452.072;0.99;2.1963215324094216;0.09605139648200497;1.6617294230087793;0.15398712768390027
33;-0.0597;0.1429;0.0633;27;128.92582017783;0.0223;-43.61159052576;0.0259;5523421714684311936;0.2806;0.0278;-3.475;0.029;3.888;0.034;1.038;15.786572;0.002784;16.555567;0.003484;14.90325;0.003008;1.652317;;;1.307;2734.818;520.341;965.389;0.99;2.928927134061254;0.09685509168537564;1.8803266172452933;0.330960987922949
34;-0.0009;0.0464;0.1392;26;128.95704916473;0.086;-43.59733109829;0.1;5523421607305317376;0.3368;0.1081;-3.376;0.113;4.166;0.126;0.976;18.393217;0.003149;19.330448;0.026173;17.436747;0.009822;1.893702;;;1.322;712.148;41.721;115.295;0.91;1.5078732853253576;0.005580724357198805;0.0;0.17369987734526848
35;-0.0316;0.081;0.0664;26;128.94750235536;0.0825;-43.63004517863;0.0962;5523421435506601728;0.2112;0.1045;-3.479;0.108;4.02;0.12;1.1;18.144348;0.003044;19.197569;0.033964;17.162863;0.007082;2.034706;;;1.314;839.813;32.076;166.811;0.96;1.4405449577859957;0.05806240013791914;1.1851480264811505;0.09706776632572452
36;-0.041;0.0412;0.1446;26;128.94615404559;0.078;-43.59597187503;0.0922;5523421813463750144;0.321;0.0988;-3.572;0.1;4.188;0.116;1.046;18.172066;0.003045;19.138556;0.023948;17.227493;0.006824;1.911062;;;1.302;836.906;45.648;174.336;0.93;1.5828386547255109;0.027520061775912142;0.30283178746037126;0.4236823587682069
