;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;0.0274;-0.0673;0.0139;29;313.40626358643;0.0163;46.05397469984;0.0164;2163389256242043392;0.538;0.0183;-2.258;0.021;-4.346;0.022;1.001;15.067651;0.002766;15.468832;0.003337;14.486948;0.00295;0.981884;;;1.22;4469.868;593.17;1135.324;0.91;1.9711748885174296;0.003279438033418982;0.0;0.221058695545427
1;0.1095;-0.1051;-0.008;27;313.40747838563;0.0347;46.0449594256;0.0354;2163389256242394368;0.5225;0.0401;-2.462;0.045;-4.403;0.046;0.987;16.5737;0.002831;17.26095;0.006639;15.769367;0.004014;1.491583;;;1.268;1668.485;180.218;376.178;0.99;1.2715955763226803;0.0342505195858455;0.9065506517025317;0.093455802203917
2;0.0148;-0.0892;0.0502;29;313.40073386963;0.0076;46.05524688344;0.0075;2163389251927816832;0.5066;0.0087;-2.408;0.01;-4.553;0.01;0.773;11.887941;0.00276;12.184574;0.002888;11.411864;0.002816;0.77271;;;1.204;6642.098;1459.742;2849.563;0.99;4.956204224300484;0.13419877175180822;4.4947167370332295;0.17677240740537745
3;0.1679;-0.0002;0.0613;26;313.40958724421;0.0736;46.04146657856;0.0728;2163389187522564992;0.3398;0.0844;-2.358;0.102;-4.344;0.107;1.027;17.915064;0.00297;19.068275;0.023865;16.86245;0.006808;2.205826;;;1.361;979.071;45.809;174.832;0.81;0.8871849573323319;0.018471205915011783;0.8078665320410587;0.034191579820650415
4;0.1544;-0.0709;-0.0105;27;313.41560152805;0.0516;46.04070796694;0.0503;2163389187522567552;0.5123;0.0569;-2.544;0.068;-4.356;0.069;1.013;17.178123;0.002893;17.904062;0.009694;16.342051;0.00556;1.562012;;;1.281;1232.605;116.947;225.754;0.98;1.1805480788563583;0.010393157279773923;0.46235740004549036;0.30005118717548573
5;0.0606;-0.0805;0.0265;29;313.39540126225;0.0217;46.05565635772;0.0216;2163389256242390528;0.4634;0.0244;-2.584;0.028;-4.396;0.028;1.145;15.458223;0.002775;16.064165;0.003961;14.696381;0.003301;1.367785;;;1.264;3285.63;386.133;615.621;0.96;1.4881413257583282;0.03099791485373933;1.3973662229371666;0.03584659786134488
6;0.0758;-0.095;-0.0005;28;313.42781827645;0.0162;46.03925590843;0.0159;2163388431608335104;0.5317;0.0183;-2.473;0.021;-4.521;0.021;1.034;15.007485;0.002767;15.40175;0.003159;14.431666;0.003129;0.970083;;;1.22;4275.279;732.581;766.155;1.0;2.0116761045244607;0.00490958167715111;0.0;0.26207186845572195
7;0.0437;-0.0202;0.0721;28;313.42956317709;0.0489;46.0679446156;0.0466;2163389389367195136;0.5932;0.0547;-2.476;0.062;-4.45;0.07;0.992;17.191816;0.002906;17.884892;0.006784;16.390995;0.004852;1.493896;;;1.263;1176.676;175.579;273.54;0.98;1.1854857355975634;0.0021129242287887253;0.0;0.06818981153927428
8;0.0498;-0.0991;-0.0573;27;313.44517863343;0.0169;46.05696958165;0.0167;2163388569047664896;0.5138;0.0193;-2.525;0.022;-4.473;0.023;1.052;15.008472;0.002771;15.397103;0.003218;14.433911;0.002999;0.963192;;;1.222;3687.252;676.901;986.638;1.0;2.0131285639302687;0.0029761024394018964;0.0;0.16563113436411336
9;0.1551;-0.0381;0.0381;26;313.40246325267;0.0379;46.03174939434;0.0391;2163387710053806080;0.5193;0.045;-2.42;0.05;-4.453;0.053;1.061;16.650908;0.002829;17.256231;0.005461;15.895629;0.00467;1.360602;;;1.259;1695.815;231.292;289.961;0.99;1.317365360482294;0.0019624356405128786;0.0;0.0
