;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;-0.3401;0.0751;-0.2339;20;109.30428443815;0.0123;-13.98013030788;0.0129;3032688712797542144;0.7628;0.0177;-1.711;0.016;0.969;0.015;1.031;14.181161;0.002767;14.449742;0.00288;13.751107;0.002879;0.698635;;;1.192;4344.928;1521.398;1529.836;1.0;1.376173168611127;0.010807958606866055;0.7821449497232814;0.07471932007763203
1;-0.3108;0.0421;-0.2217;20;109.30369469267;0.0119;-13.97652800286;0.0125;3032688712797541888;0.7469;0.0172;-1.521;0.015;1.048;0.015;0.993;12.42534;0.002764;12.482788;0.00283;12.311003;0.002814;0.171785;;;1.156;5012.712;2306.553;2990.25;0.99;2.2876176845421416;0.0068494194546348955;0.0;0.3278474857333739
2;-0.2906;0.0945;-0.2057;20;109.30808625545;0.012;-13.99060639618;0.0125;3032688639772487552;0.7503;0.0173;-1.656;0.015;0.96;0.015;0.959;12.290792;0.002764;12.351662;0.002832;12.169925;0.002812;0.181737;;;1.156;4950.44;2226.371;3115.093;1.0;2.358829139271474;0.022493794149644388;0.9023359789950779;0.34897199569379467
3;-0.3354;0.0741;-0.223;20;109.31068340489;0.0116;-13.96648989436;0.0121;3032688747157277056;0.7253;0.017;-1.719;0.015;1.099;0.014;0.991;12.820401;0.002766;12.899656;0.002819;12.67815;0.002817;0.221506;;;1.154;4481.578;2685.719;2796.245;0.97;2.0085478882608006;0.0013260490501420385;0.0;0.11747570974658625
4;-0.3601;0.1375;-0.1956;20;109.29774409918;0.0671;-13.99881637795;0.0686;3032687162303820416;0.7894;0.0952;-1.581;0.087;0.982;0.081;1.033;17.705423;0.003028;18.387424;0.015881;16.926699;0.006867;1.460726;;;1.249;864.026;69.449;173.047;0.99;0.7180314944426317;0.0009885635818365508;0.0;0.021706207727217104
5;-0.3475;0.0884;-0.1811;20;109.29660443125;0.0339;-13.96220588054;0.0339;3032689464406344960;0.7373;0.0485;-1.615;0.045;0.882;0.041;0.978;16.413984;0.002855;16.882011;0.006134;15.780218;0.004572;1.101793;;;1.226;1452.857;198.76;299.759;0.99;0.8999012510091997;0.0009447790767730567;0.0;0.0
6;-0.3517;0.1715;-0.1691;20;109.30104870427;0.0404;-14.00107505332;0.0406;3032687162303818368;0.826;0.0566;-1.443;0.051;0.937;0.047;1.058;16.697811;0.002925;17.328009;0.007237;15.943769;0.004471;1.38424;;;1.249;1106.147;162.602;310.816;0.98;0.7866437957458556;0.019925023255254557;0.6970839607119396;0.03390576078318837
7;-0.4457;0.3011;-0.3579;20;109.32441444507;0.0672;-13.97968586106;0.0676;3032688678437798144;0.8323;0.1024;-1.6;0.089;0.782;0.08;1.09;17.433498;0.003175;18.022902;0.009741;16.671143;0.006374;1.351759;;;1.271;688.599;116.336;189.448;0.93;0.7517027876231301;0.0011764895642254352;0.0;0.02222895035951572
8;-0.3607;-0.008;-0.1868;20;109.29938534529;0.0115;-13.95971242242;0.0114;3032689503071522560;0.768;0.0164;-1.504;0.015;0.944;0.013;1.044;13.482872;0.002787;13.627409;0.003029;13.214095;0.003217;0.413314;;;1.174;2570.894;920.179;678.424;1.0;1.6484810221947055;0.002659468118269236;0.0;0.25490658007558853
9;-0.3152;0.0648;-0.2227;21;109.28218881774;0.0115;-13.97145385147;0.0117;3032687991243040384;0.7772;0.0161;-1.424;0.015;0.875;0.014;0.974;14.011199;0.002772;14.236445;0.002891;13.637225;0.002872;0.59922;;;1.183;3576.791;1436.332;1592.764;0.98;1.452593620205705;0.0018903701899326503;0.0;0.2129927704492435
10;-0.0284;-0.0826;0.0952;15;109.28175304321;0.0287;-13.99020305751;0.0357;3032687200970617856;0.7082;0.0401;-1.547;0.037;1.171;0.041;1.247;14.525275;0.004035;13.557824;0.173743;13.273472;0.20969;0.284352;;;3.101;368.367;6.25;5.178;0.62;1.5164491773547835;0.003304729405844742;0.0;0.03459013049346915
11;-0.1942;-0.0915;-0.2823;21;109.28379377866;0.0125;-13.99494252723;0.0114;3032687196665246848;0.7707;0.0178;-1.595;0.016;0.954;0.014;0.99;13.912504;0.002792;14.100509;0.005932;13.43949;0.013691;0.661018;;;1.261;2394.828;207.411;81.003;1.0;1.4304664131857379;0.015025591124767161;1.0190634914522707;0.04153697526775901
12;-0.3325;0.1041;-0.1919;21;109.28062673141;0.0214;-13.98980721602;0.022;3032687200969061760;0.719;0.0303;-1.581;0.028;0.918;0.027;0.913;7.772312;0.002778;7.74465;0.003202;7.732662;0.003079;0.011989;;;1.181;3088.511;691.227;834.199;0.99;4.827880954561473;0.0005904928222100939;3.17827212548349;1.6917784098107655
13;-0.4024;0.1224;-0.254;20;109.31620873051;0.1029;-13.96015763771;0.1046;3032688742851836800;0.6633;0.1447;-1.784;0.129;1.061;0.118;1.106;18.277182;0.003377;19.391745;0.031737;17.243729;0.009563;2.148016;;;1.35;555.888;34.343;118.695;0.94;0.5877881933326876;0.016865401436478005;0.5325990357851349;0.01853273630738228
14;-0.3618;0.1099;-0.2224;20;109.32311835986;0.0563;-13.9659119518;0.0577;3032688850236487040;0.7302;0.0789;-1.884;0.074;1.012;0.068;1.771;16.353882;0.002995;16.891376;0.005754;15.617483;0.003874;1.273893;;;1.271;923.967;215.759;403.987;0.79;0.8433357660469994;0.023102739772032577;0.7308718940296071;0.03801344129670972
15;-0.3044;0.0651;-0.2322;20;109.2799927435;0.0164;-13.96965465913;0.0162;3032687991243040512;0.7593;0.0231;-1.545;0.021;1.039;0.02;1.212;14.354188;0.002768;14.64326;0.003018;13.896363;0.002995;0.746897;;;1.197;4066.688;943.222;998.345;0.99;1.322049497848751;0.011318056106728857;0.7943508528314154;0.065531085004844
16;-0.3015;0.1442;-0.1419;20;109.3146926815;0.0211;-14.0030346;0.0223;3032686960450886400;0.7424;0.0311;-1.494;0.027;0.931;0.027;0.983;15.440905;0.002782;15.806451;0.003856;14.904901;0.003138;0.90155;;;1.208;2806.108;407.839;755.941;0.99;1.0848903157655667;0.0008603386799515206;0.0;0.05379382249967076
17;-0.3946;0.1237;-0.2003;20;109.28417983151;0.0561;-13.96209068904;0.0594;3032689533125816704;0.6766;0.0815;-1.644;0.071;0.872;0.07;0.987;17.44076;0.002963;18.060368;0.01071;16.698137;0.007159;1.36223;;;1.244;995.943;105.001;164.67;0.96;0.7491277260418575;0.001133393798605959;0.0;0.02722451448784181
18;-0.3808;0.0715;-0.2328;21;109.27741030626;0.0789;-13.97185657542;0.0804;3032687986937575040;0.7403;0.115;-1.623;0.102;0.907;0.098;0.963;18.003458;0.00309;18.571192;0.032619;16.935896;0.021303;1.635296;;;1.555;776.345;33.408;51.41;0.98;0.6947151887251458;0.005599519566919545;0.2094958168438982;0.20277587552342674
19;-0.4023;0.0945;-0.2826;20;109.30644039958;0.0211;-13.95355240755;0.0209;3032689503071520256;0.7755;0.0297;-1.616;0.027;0.963;0.025;0.978;15.364751;0.002871;15.735623;0.004056;14.82218;0.003778;0.913444;;;1.209;1344.685;368.872;426.198;1.0;1.0986053740570114;0.003668959416022672;0.0;0.25439839054363717
20;-0.3677;0.1427;-0.1974;20;109.33163498654;0.1009;-13.97038534341;0.104;3032688777211560832;0.6191;0.1456;-1.99;0.131;1.093;0.119;1.001;18.405413;0.003149;18.992256;0.019614;17.674461;0.014057;1.317795;;;1.248;712.571;55.925;78.805;0.54;0.6481220933455534;0.003910036659605076;0.0;0.0
21;-0.3423;0.133;-0.1957;21;109.27628752314;0.0121;-13.99641384091;0.0123;3032687200969064704;0.7633;0.0171;-1.723;0.016;0.876;0.015;1.039;14.085714;0.002799;14.340947;0.003291;13.677831;0.003069;0.663116;;;1.186;2217.014;622.178;849.441;0.97;1.408705949137917;0.010459604699799188;0.7434578985955217;0.1517062041464573
22;-0.3751;0.1612;-0.1703;20;109.33447581442;0.0648;-13.98720114039;0.0668;3032688472279365760;0.5775;0.093;-1.464;0.085;0.918;0.078;3.023;15.538409;0.002963;15.948764;0.004453;14.906567;0.003519;1.042197;;;1.25;995.794;312.854;506.244;0.78;1.0121372213792825;0.02148216168290215;0.7841113475754904;0.04769076380462061
23;-0.3396;0.1264;-0.1218;20;109.26820870977;0.0364;-13.98041784894;0.0381;3032687956884862592;0.7785;0.0523;-1.668;0.048;0.919;0.046;0.992;16.579134;0.003495;17.070322;0.012286;15.919754;0.005857;1.150568;;;1.234;504.782;90.743;210.841;0.99;0.8728895400967178;0.0009818004789901714;0.0;0.04808264802685864
24;-0.4193;0.0833;-0.1433;19;109.33423035466;0.0455;-13.96465317888;0.0478;3032688781517006080;0.8138;0.065;-1.724;0.059;0.937;0.055;0.946;16.988163;0.002973;17.54179;0.008731;16.303879;0.004916;1.237911;;;1.226;972.684;131.231;268.277;0.98;0.8093471796937888;0.0009733600954032296;0.0;0.0
25;-0.3068;0.0969;-0.2205;21;109.26934327059;0.0185;-13.97021023101;0.0179;3032688059962520832;0.7741;0.0253;-1.64;0.024;0.865;0.022;1.014;15.079666;0.002783;15.422325;0.003904;14.5627;0.00312;0.859625;;;1.207;2785.825;397.609;777.422;0.99;1.1617869706648387;0.003964241735260958;0.2651336514071423;0.2756755517046288
26;-0.3524;0.0761;-0.2249;21;109.26885278637;0.0147;-13.99070815334;0.0154;3032687956883310080;0.7334;0.0211;-1.834;0.018;1.031;0.018;1.074;14.577288;0.002814;14.936617;0.003509;14.039177;0.003902;0.89744;;;1.212;1891.633;510.205;398.071;0.85;1.1561008724533695;0.02642926661220615;1.0503725759171387;0.038345348749345906
27;-0.3462;0.077;-0.2418;21;109.26765229619;0.0287;-13.98942236783;0.0295;3032687956878270464;0.7483;0.041;-1.487;0.037;0.988;0.036;1.174;15.81947;0.003028;15.75896;0.014444;14.715054;0.009464;1.043906;;;1.931;864.714;76.614;120.053;0.99;1.020890827768763;0.02656567766518861;0.7763238667952908;0.06445167747638626
28;-0.4368;0.1793;-0.3066;20;109.33135758874;0.0251;-13.9567628022;0.0259;3032688850236481920;0.7367;0.0348;-1.593;0.032;1.001;0.03;1.09;15.537565;0.002796;15.909322;0.003946;14.96557;0.00347;0.943751;;;1.228;2274.608;389.157;526.435;1.0;1.0650956273763175;0.0026323866505851235;0.0;0.22378733865925776
29;-0.2959;0.0822;-0.2341;20;109.27548020964;0.0152;-14.00519001589;0.0152;3032687097889851264;0.7617;0.022;-1.53;0.02;0.888;0.018;0.997;14.682401;0.00277;14.986121;0.002965;14.20951;0.002884;0.776611;;;1.199;3824.823;1081.361;1488.26;1.0;1.2587242416166773;0.0035000814683800157;0.21792237716106722;0.27915567090764964
30;-0.3592;0.092;-0.2773;21;109.26733799543;0.0103;-13.99316618317;0.0107;3032687956883311232;0.758;0.015;-1.498;0.013;0.918;0.013;1.045;13.696881;0.002773;13.875245;0.00285;13.387839;0.002844;0.487406;;;1.175;3429.279;1863.242;1979.458;1.0;1.5633901236688592;0.001648407620577751;0.0;0.1747323509314864
31;-0.3649;0.0298;-0.2299;21;109.26663562794;0.1298;-13.99119226797;0.1314;3032687952586551296;0.7129;0.1903;-1.242;0.168;0.855;0.16;1.05;18.81126;0.003483;19.77459;0.047887;17.806585;0.016236;1.968004;;;1.361;509.677;22.712;67.881;0.71;0.5762148867786224;0.010978574110986915;0.2141146530323195;0.1721112864711697
32;-0.3087;0.0174;-0.0924;20;109.26371227148;0.0178;-13.99552032974;0.0187;3032687853804097152;0.8382;0.0247;-1.473;0.023;0.912;0.023;1.325;11.693391;0.002772;11.719783;0.00285;11.622086;0.002818;0.097697;;;1.157;3611.247;1866.769;2724.467;0.95;2.9026359059684315;0.002762756323161733;0.0;0.19595959059656715
33;-0.3812;0.1277;-0.2435;20;109.31539558081;0.0531;-13.94052074655;0.0536;3032689606150728064;0.7854;0.0745;-1.715;0.068;1.013;0.064;1.004;17.340014;0.003039;17.886269;0.013953;16.202785;0.18359;1.683483;;;1.638;846.733;79.42;5.915;0.99;0.7182719716237551;0.014175271216760321;0.6608737431527655;0.02606548598221816
34;-0.3203;0.1184;-0.1824;21;109.26733638838;0.0162;-13.9536100884;0.0169;3032689743589698048;0.8011;0.0233;-1.491;0.021;1.021;0.02;0.99;9.507287;0.002767;9.497152;0.002815;9.48137;0.002814;0.015782;;;1.163;4290.14;2905.015;2992.67;0.98;4.283369052565088;0.07072459303171125;3.9896515515635373;0.13856835098679807
35;-0.3165;0.1863;-0.1278;19;109.3214514265;0.0526;-14.02098329881;0.0544;3032686891731410560;0.736;0.0763;-1.734;0.068;0.823;0.063;0.971;17.260101;0.003065;17.866209;0.011139;16.508133;0.005766;1.358076;;;1.256;808.195;100.686;215.173;0.87;0.7721697712308252;0.0020470323501931035;0.0;0.12975299325890224
36;-0.3098;0.0461;-0.1499;19;109.34832483921;0.0486;-13.98663314546;0.0512;3032688506639098368;0.754;0.0697;-1.588;0.066;0.931;0.063;1.08;16.950638;0.002901;17.499964;0.0083;16.241404;0.004178;1.25856;;;1.246;1197.807;138.891;349.191;0.99;0.8157845583880399;0.0013715483335527251;0.0;0.08585310546572297
37;-0.34;0.134;-0.1524;21;109.26801479841;0.0234;-13.95200226161;0.0243;3032689739290344704;0.7319;0.0326;-1.587;0.029;1.031;0.029;1.124;15.515447;0.002884;15.838465;0.00732;14.915028;0.00916;0.923437;;;1.27;1276.804;160.429;124.448;0.99;1.0760450359894513;0.0016893737510382063;0.0;0.15307266824507682
38;-0.2418;0.0737;-0.1144;21;109.27207843378;0.0143;-14.01342918011;0.0144;3032687097889853440;0.8078;0.0201;-1.572;0.018;0.981;0.017;1.185;11.808;0.002771;11.878092;0.002831;11.665578;0.002829;0.212514;;;1.16;3676.134;2260.307;2310.459;1.0;2.591430677600276;0.04491352866428352;1.6201918075319812;0.08811467556983381
39;-0.3395;0.0636;-0.1884;19;109.3498605742;0.0966;-13.98588956515;0.1012;3032688502333630848;0.776;0.141;-1.705;0.131;1.14;0.122;0.961;18.226315;0.003572;19.202547;0.036675;17.246435;0.007292;1.956112;;;1.333;477.652;29.69;161.157;0.94;0.6053171223434264;0.01943242049911498;0.5282730611670972;0.023074823679537396
40;-0.2801;0.1101;-0.1845;21;109.25616680754;0.0124;-13.97130734441;0.0126;3032688021297195776;0.7668;0.0177;-1.587;0.016;0.851;0.015;0.966;12.915145;0.002779;13.008483;0.002837;12.748764;0.002837;0.259719;;;1.156;3014.727;2117.529;2117.355;0.99;1.9388978146708222;0.010905463610762537;0.40660721211892087;0.4017998386327373
41;-0.3325;0.0781;-0.2312;21;109.25964449831;0.0102;-13.96068738482;0.0106;3032688266120952832;0.7679;0.0148;-1.651;0.013;0.998;0.013;1.052;13.599101;0.002775;13.758675;0.002835;13.323972;0.002839;0.434703;;;1.168;3303.69;2165.468;2065.354;1.0;1.60055321468484;0.000870686232511804;0.0;0.025788477813598203
42;-0.3786;0.1281;-0.2092;20;109.34434318246;0.1572;-13.95663663466;0.1586;3032688811571317888;0.6194;0.219;-1.516;0.197;0.926;0.177;1.074;18.985575;0.003712;20.160948;0.069307;17.974892;0.016368;2.186056;;;1.313;436.383;15.678;67.319;0.89;0.5555741513510777;0.0053770462142395245;0.2433116311815512;0.13421351806960183
43;-0.3087;0.2006;-0.2578;20;109.34156291111;0.0333;-14.01046547431;0.0332;3032688369200153600;0.7878;0.0486;-1.626;0.043;0.911;0.038;0.955;16.37141;0.002898;16.841469;0.005624;15.733849;0.003921;1.10762;;;1.228;1207.656;222.37;394.035;1.0;0.9070107692348437;0.0009609475472912056;0.0;0.049129448771289067
44;-0.3073;0.2004;-0.23;20;109.34073536519;0.0779;-14.01192494633;0.0768;3032685409957151744;0.6803;0.1104;-1.579;0.099;1.0;0.087;0.993;17.923407;0.003246;18.649544;0.017813;17.112965;0.008106;1.536579;;;1.259;632.456;61.715;142.65;0.98;0.6943748531193471;0.0009869830487441774;0.0;0.0
45;-0.2602;0.1201;-0.1847;19;109.32157463276;0.0143;-14.02709847034;0.0149;3032686857371793408;0.7831;0.0223;-1.633;0.018;0.935;0.017;1.066;14.381914;0.002766;14.656571;0.002958;13.944437;0.00289;0.712134;;;1.193;4532.784;1104.97;1440.912;1.0;1.3385554831265067;0.0036760111837048116;0.2264647215380029;0.29069383958569844
46;-0.3242;0.0848;-0.2157;21;109.30596405516;0.074;-14.0304393387;0.0737;3032686749986926976;0.5897;0.1106;-1.707;0.098;0.894;0.088;1.082;17.761694;0.003155;18.360771;0.016109;16.883488;0.010993;1.477283;;;1.363;706.234;68.435;102.11;0.86;0.7182182854368634;0.0015285444624032513;0.0;0.04085507312784302
47;-0.1754;0.0683;-0.1896;20;109.28934814041;0.0129;-14.03009658952;0.0133;3032686818706355328;0.7565;0.0186;-1.726;0.017;1.001;0.016;1.1;14.120696;0.002817;14.366096;0.003405;13.72233;0.003055;0.643765;;;1.186;1858.394;556.552;872.137;1.0;1.4150989752028835;0.0037747706177982125;0.24671528267873366;0.3021342029016578
48;-0.3489;0.0539;-0.1413;21;109.25184661488;0.0957;-13.99594931383;0.0966;3032687849507335040;0.8728;0.1324;-1.382;0.123;0.942;0.114;0.968;18.388691;0.003116;19.202269;0.046092;17.476778;0.019132;1.725491;;;1.318;746.528;23.599;57.363;0.91;0.6471150213358711;0.0024966223473598674;0.0;0.06664897509998925
49;-0.357;0.0878;-0.1761;21;109.25174305325;0.0428;-13.99685193482;0.0431;3032687853804099328;0.7665;0.0583;-1.476;0.055;0.88;0.051;0.966;16.969379;0.002839;17.495337;0.007702;16.280861;0.005157;1.214476;;;1.24;1590.664;151.23;250.346;0.99;0.8134759372589477;0.001145302837573811;0.0;0.0
50;-0.4396;0.0952;-0.171;20;109.27885805084;0.0277;-13.93242397784;0.0286;3032689777949430528;0.7853;0.0381;-1.51;0.035;0.909;0.034;1.003;15.966746;0.003419;16.398632;0.007845;15.362911;0.006016;1.035721;;;1.221;536.296;148.07;203.707;1.0;0.9803366370282931;0.001859092172899429;0.0;0.17264033632601614
51;-0.3603;0.2103;-0.2253;20;109.3607910792;0.1549;-13.96794065698;0.1536;3032688605412871808;0.7347;0.2211;-1.734;0.204;1.106;0.176;1.102;18.876972;0.003525;20.191187;0.05041;17.803234;0.009865;2.387953;;;1.348;493.925;21.571;114.751;0.9;0.5554359241359994;0.004838935118681751;0.36971942312862416;0.05998699662525797
52;-0.4985;0.0201;-0.1276;19;109.28736837039;0.0139;-13.92505328276;0.0145;3032689881023560704;0.7492;0.0186;-1.633;0.019;0.982;0.018;0.936;14.334807;0.002767;14.613187;0.003023;13.884418;0.003066;0.728768;;;1.199;4240.507;933.765;853.712;1.0;1.3363571678411226;0.010803009217152805;0.6972536278912024;0.19871959471412057
53;-0.31;0.0633;-0.1199;21;109.27032752314;0.0493;-14.03164393914;0.0486;3032686990505092864;0.7243;0.0666;-1.565;0.063;0.849;0.057;0.956;17.205233;0.002992;17.781631;0.006744;16.492609;0.004906;1.289022;;;1.238;931.047;176.849;269.082;0.98;0.7798525331965888;0.0010170199240047532;0.0;0.0
54;-0.4735;0.144;-0.1778;20;109.27718529917;0.0488;-13.92498949142;0.0503;3032689949748121728;0.7233;0.0667;-1.621;0.064;0.924;0.062;0.998;17.10111;0.002943;17.655895;0.007157;16.386374;0.005074;1.269522;;;1.248;1049.442;164.736;256.168;0.99;0.7949125585603367;0.0010403795119561037;0.0;0.0
55;-0.1858;0.0673;-0.2401;20;109.34192778476;0.0127;-14.0286677005;0.0125;3032683936794027264;0.734;0.0187;-1.606;0.016;1.057;0.014;0.957;12.931186;0.002772;13.035492;0.002851;12.737224;0.002852;0.298268;;;1.162;3548.492;1860.631;1842.371;0.99;1.893343226997955;0.015478994928660363;0.9851528405991179;0.06761937536985917
56;-0.3017;0.1174;-0.1353;20;109.3234839425;0.0543;-14.04078617122;0.0566;3032683898128631680;0.5654;0.081;-1.746;0.071;1.093;0.067;0.967;17.341211;0.002963;17.958364;0.010728;16.594879;0.004963;1.363485;;;1.248;995.486;104.808;264.525;0.73;0.7613904654068486;0.001027679210703268;0.0;0.04173306943877799
57;-0.4383;0.1948;-0.3028;20;109.3034893262;0.0689;-13.9146960494;0.0698;3032689915388372608;0.8373;0.098;-1.621;0.088;0.922;0.083;0.921;17.747423;0.003205;18.429115;0.012467;16.969826;0.007387;1.45929;;;1.249;663.279;89.353;158.748;0.99;0.7132205842401861;0.0011123480823701294;0.0;0.0
58;-0.3495;0.1301;-0.1857;20;109.29526655395;0.021;-13.91435951256;0.0211;3032689984107851520;0.7305;0.0289;-1.58;0.027;0.957;0.025;0.9;15.42642;0.002781;15.831766;0.003305;14.844024;0.003142;0.987742;;;1.219;2886.835;613.004;752.025;1.0;1.0596138242471738;0.012977942294733848;0.7046814028688537;0.056139788940004126
59;-0.3336;-0.0701;-0.0051;19;109.25626801456;0.0134;-14.03154502532;0.0142;3032686616853522432;0.7604;0.0197;-1.658;0.018;0.871;0.018;1.592;13.27446;0.002783;13.434263;0.002926;12.994531;0.002839;0.439733;;;1.171;2789.381;1234.352;2065.129;0.99;1.6787130085380293;0.012445554562683038;1.0555387027796208;0.042345707774554195
60;-0.3805;0.1549;-0.2705;19;109.36560361243;0.0689;-13.94560325263;0.0715;3032689189528460032;0.8149;0.103;-1.592;0.09;1.065;0.082;1.016;17.725504;0.003262;18.575144;0.010763;16.852783;0.007739;1.722361;;;1.272;622.063;104.448;150.421;0.97;0.6735997671362377;0.014543561568619575;0.560231360504631;0.03444610875240128
61;-0.28;0.0649;-0.1001;21;109.28486571834;0.082;-14.05299733342;0.0826;3032686337670047360;0.8492;0.1197;-1.511;0.106;1.016;0.096;0.97;18.088989;0.00306;19.106834;0.022779;17.120199;0.006092;1.986635;;;1.311;815.922;48.025;200.5;0.97;0.6082821729355602;0.0170116849205315;0.5569197650557314;0.01807177579772516
62;-0.318;0.1157;-0.2507;20;109.37797711582;0.0229;-13.99816963147;0.0227;3032685482982240256;0.7856;0.0333;-1.572;0.03;0.921;0.027;1.007;15.478215;0.002794;15.847975;0.003682;14.926982;0.003214;0.920993;;;1.215;2345.944;451.984;680.395;1.0;1.07735514711816;0.0013745736908474754;0.0;0.13304929051867698
63;-0.2404;0.0501;-0.1224;20;109.25125216107;0.0257;-14.03627276706;0.0258;3032686616853524480;0.8083;0.0361;-1.64;0.033;0.931;0.031;0.96;15.978747;0.002841;16.403591;0.004265;15.387419;0.004063;1.016172;;;1.216;1568.204;336.63;367.673;1.0;0.978567820191833;0.0009453771769915607;0.0;0.051444429726216094
64;-0.3924;0.2494;-0.3537;18;109.36405172202;0.0505;-13.93198892132;0.0508;3032689296913066624;0.6231;0.0771;-1.658;0.07;0.997;0.06;1.28;16.73464;0.002902;17.167952;0.013653;16.003073;0.007197;1.164879;;;1.312;1193.877;81.235;163.67;0.96;0.8550886853671487;0.0014256901801886323;0.0;0.046378407997574
65;-0.2676;0.0949;-0.195;21;109.31542858779;0.0096;-14.05696163927;0.0099;3032683696275870976;0.7569;0.014;-1.529;0.012;0.883;0.012;0.991;13.180943;0.002782;13.348501;0.002841;12.891541;0.002859;0.45696;;;1.171;2833.368;2034.903;1737.805;1.0;1.6808549426867512;0.015537122634116971;1.182341581493358;0.033420425808411945
66;-0.3443;0.1564;-0.2567;20;109.38019358286;0.0254;-14.00036473323;0.0255;3032685482977456512;0.804;0.0379;-1.638;0.034;0.999;0.03;1.055;15.712609;0.002853;16.093178;0.00556;15.117741;0.004592;0.975437;;;1.239;1464.07;225.749;297.742;1.0;1.0313183547445541;0.002068904172675128;0.0;0.18314585754502222
67;-0.5056;0.1252;-0.1689;20;109.2614406507;0.0512;-13.91296232274;0.0516;3032701593394065792;0.6989;0.0652;-1.612;0.064;0.839;0.059;1.024;16.990219;0.003249;17.619307;0.010019;16.192644;0.005975;1.426662;;;1.284;630.735;112.834;205.503;0.95;0.7750778660061453;0.011995646636452717;0.6075238136861738;0.03752971153268561
68;-0.3756;0.2329;-0.2376;20;109.38668517519;0.0759;-13.96796684603;0.073;3032688918955944192;0.8161;0.1055;-1.597;0.099;1.077;0.084;1.005;17.816769;0.003297;18.482916;0.013601;17.01408;0.007508;1.468836;;;1.274;599.916;81.56;155.757;0.97;0.7066882237791711;0.0013284003958915459;0.0;0.023192895253284867
69;-0.3926;0.0411;-0.1277;21;109.22057407598;0.0255;-14.00182702878;0.0264;3032687510206723968;0.7328;0.0355;-1.62;0.034;0.98;0.032;1.019;15.970306;0.002958;16.490734;0.006087;15.296952;0.004553;1.193782;;;1.232;1009.656;200.713;301.78;1.0;0.8871089792704461;0.0210628374158272;0.8016549044278085;0.031194732845586947
