;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;-0.3217;-0.1147;0.3203;16;89.54514091423;0.0462;21.97309966361;0.0374;3424057608953778560;0.6553;0.0528;0.852;0.06;-3.899;0.041;1.04;16.250717;0.00283;16.87566;0.005329;15.482235;0.004208;1.393425;;;1.262;1681.914;239.151;344.686;0.88;1.2374920046767726;0.013879799888669404;0.8050145205873688;0.05913136204882918
1;-0.241;-0.0945;0.3254;16;89.54338739029;0.0178;21.96346031275;0.014;3424057402795354496;0.6091;0.0204;0.984;0.023;-4.181;0.015;0.97;14.103746;0.002767;14.453977;0.003275;13.580368;0.002946;0.873609;;;1.207;4319.954;632.861;1148.566;1.0;2.147513861249305;0.017310720444389638;1.0751964893863717;0.08858872364599236
2;-0.2965;-0.0044;0.2059;16;89.54955155535;0.0137;21.96154271936;0.0099;3424057398497650176;0.5672;0.0145;0.967;0.017;-4.124;0.01;0.947;12.067438;0.002762;12.382388;0.002868;11.572464;0.002847;0.809924;;;1.207;5709.411;1633.957;1922.881;1.0;3.1929292270665446;0.010617674195735846;0.44925322383474564;0.726278070638816
3;-0.2473;-0.0945;0.3232;15;89.53375329883;0.0145;21.96241692462;0.011;3424056131485038592;0.5936;0.0166;0.98;0.018;-4.001;0.012;0.93;10.986079;0.002764;11.845802;0.002842;10.075894;0.002818;1.769908;3.11;0.49;1.302;4865.544;2002.317;2746.772;0.99;3.4070955440073964;0.031912826671874645;2.155877362968131;0.2725096189972593
4;-0.2652;-0.1038;0.2838;16;89.55406595257;0.0132;21.96358738371;0.01;3424057402795349760;0.5609;0.0149;1.146;0.017;-4.275;0.011;0.958;11.943531;0.002762;12.256505;0.002852;11.450406;0.002816;0.806099;;;1.207;5741.923;1832.38;2881.19;0.99;3.2263862020530416;0.013197895322567505;0.3477530427861806;0.7610520746362021
5;-0.2982;-0.1567;0.292;16;89.53617200096;0.0141;21.97872812275;0.0107;3424057608953780608;0.5888;0.0158;1.02;0.018;-4.154;0.012;0.999;13.326887;0.002765;13.620196;0.002923;12.857872;0.002831;0.762324;;;1.202;4636.616;1248.269;2266.969;1.0;2.661554775374492;0.0011919570244097268;0.0;0.0
6;-0.4015;-0.1076;0.3077;15;89.54214913939;0.0251;21.95644691244;0.0193;3424055921028900736;0.5064;0.0268;0.892;0.031;-4.069;0.022;1.386;11.249404;0.002771;12.170933;0.002942;10.304665;0.002826;1.866268;5.81;1.11;1.315;3711.114;1162.98;2406.41;0.95;3.3485688747675386;0.02305126335183703;0.8938465108176181;0.9222794052070952
7;-0.3517;-0.1025;0.3101;15;89.54361943773;0.031;21.95581344016;0.0242;3424055925326607616;0.6305;0.0335;1.118;0.038;-4.155;0.026;2.024;12.88436;0.002778;13.215835;0.002866;12.358428;0.003176;0.857407;;;1.218;3034.825;1663.302;715.679;0.99;2.8354230312039004;0.015767803307512356;1.563306437818183;0.09821901394933703
8;-0.3225;-0.123;0.3993;15;89.53259627251;0.1215;21.9600373966;0.1;3424056131485040128;0.5493;0.1423;1.044;0.158;-4.201;0.115;0.935;18.026857;0.00327;18.839396;0.032367;17.15045;0.014358;1.688946;;;1.287;616.346;33.67;77.091;0.98;0.8900924105175083;0.0059173600180675865;0.0;0.23686999351781346
9;-0.302;-0.1305;0.3133;16;89.55692916817;0.0169;21.9693073508;0.0132;3424057437155084288;0.5944;0.0193;1.025;0.022;-4.164;0.015;1.014;14.022938;0.002773;14.335802;0.003072;13.539104;0.002898;0.796699;;;1.201;3483.955;844.753;1383.346;1.0;2.2415762635052316;0.0013885309450448558;0.0;0.0
