;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;0.2911;-0.039;0.0729;26;201.98665213419;0.0201;-62.30281538521;0.0203;5868352359335254272;0.6019;0.0279;-5.147;0.023;-2.093;0.026;0.942;15.466137;0.002915;16.018192;0.005154;14.751231;0.003917;1.266961;;;1.249;1140.485;250.58;394.958;0.99;1.1909842771537482;0.04240721652940213;1.101303438026663;0.02515464761021936
1;0.386;0.0108;0.0874;26;201.97941769135;0.0128;-62.31516331177;0.0137;5868352359335235712;0.5796;0.0188;-5.051;0.015;-2.028;0.017;1.0;14.270819;0.002777;14.487761;0.002986;13.883688;0.004332;0.604073;;;1.195;3159.25;1020.718;327.612;1.0;1.837581984406969;0.003035365886756414;0.0;0.22357387816501764
2;0.3148;-0.001;0.0793;26;201.96679523146;0.0171;-62.30922140725;0.0183;5868352359347664256;0.5778;0.0249;-5.099;0.02;-2.119;0.023;1.083;12.061729;0.002769;12.143905;0.002852;11.89661;0.002828;0.247294;;;1.162;3919.684;1838.444;2348.531;0.99;4.062621996857651;0.0025994936862872853;0.0;0.0
3;0.408;0.1136;0.1601;26;201.96716972411;0.01;-62.31456077649;0.011;5868352256256021376;0.5067;0.0157;-4.998;0.012;-1.936;0.014;0.875;12.251531;0.002761;12.368699;0.002837;12.033997;0.002818;0.334702;;;1.165;6053.144;2119.865;2755.555;0.95;3.59298837510081;0.12141614352885534;1.6730571073449818;0.3279749557719672
4;0.2348;-0.009;0.0479;26;201.96710434015;0.0235;-62.30142571878;0.024;5868352428054732288;0.5206;0.0326;-5.094;0.027;-1.998;0.03;0.945;15.723311;0.002957;16.234253;0.004908;15.036791;0.00399;1.197462;;;1.245;1012.559;268.864;380.71;0.99;1.2198386879463659;0.04545030789380996;0.9827986229930511;0.03956730283197389
5;0.3188;-0.0166;0.0658;26;201.9806890211;0.0168;-62.31978955667;0.018;5868352153176798592;0.4917;0.0247;-5.067;0.019;-1.918;0.022;1.117;11.367334;0.002788;11.419954;0.002902;11.238769;0.002886;0.181186;;;1.165;2564.509;1360.666;1471.715;0.92;5.226561299343237;0.0032070686354543046;0.0;0.0
6;0.2189;0.0678;0.0523;22;201.95604754626;0.0591;-62.30555372766;0.0611;5868352324975511552;0.5772;0.0844;-5.003;0.068;-1.985;0.08;1.041;17.438992;0.003132;18.248169;0.012129;16.567375;0.007597;1.680794;;;1.284;729.133;91.983;153.653;0.99;0.9344190857563208;0.013588657545173242;0.6617436103347201;0.08560293860198245
7;0.3341;0.0158;0.0908;26;201.95271381344;0.0261;-62.311413893;0.0273;5868352324975502976;0.6751;0.0379;-5.04;0.03;-2.136;0.035;1.013;16.063988;0.002812;16.582417;0.003979;15.347736;0.003365;1.23468;;;1.264;1931.736;382.776;577.38;0.89;1.158908529436628;0.01826384358612161;0.8329717127010633;0.03182617479581494
8;0.2859;0.0124;0.0511;26;201.95180921956;0.0244;-62.30962665631;0.0257;5868352324975505536;0.5554;0.0349;-5.016;0.028;-2.057;0.033;1.009;15.899905;0.002918;16.465382;0.005184;15.159313;0.00412;1.306068;;;1.263;1129.27;248.483;358.205;0.99;1.1101002463053862;0.03570638604159775;0.9890912184830186;0.029399849926986424
9;0.3704;0.0453;0.1018;26;201.99328210134;0.015;-62.32418674927;0.0159;5868352153176790400;0.5609;0.0216;-5.135;0.017;-1.983;0.02;1.029;11.421809;0.002985;11.495786;0.00343;11.25296;0.005115;0.242826;;;1.169;944.88;544.064;253.231;0.99;5.1360082076041715;0.0029314048582596668;0.0;0.0
10;0.2676;-0.0195;0.0542;27;202.01418155368;0.0278;-62.29480218083;0.0274;5868352393695004800;0.6345;0.0373;-5.149;0.032;-2.089;0.035;0.993;16.131714;0.002908;16.674797;0.00539;15.409274;0.003775;1.265523;;;1.259;1165.952;235.409;426.988;0.98;1.1233833952967722;0.01444181486312071;0.8131170979793712;0.044224663463509985
11;0.3089;-0.1226;0.003;25;201.95051334133;0.0123;-62.2928369506;0.0132;5868355275568555520;0.6089;0.0181;-5.061;0.014;-2.048;0.017;0.913;14.233424;0.00277;14.463908;0.002992;13.846021;0.003349;0.617887;;;1.188;3869.332;1004.052;586.164;1.0;1.8452243512067295;0.012548832470854391;0.5308436354584587;0.4227329868970896
12;0.3515;-0.0101;0.0226;26;201.98961143603;0.0104;-62.33190170672;0.0115;5868352084457299840;0.6051;0.0156;-4.959;0.012;-2.072;0.015;0.951;13.78394;0.002781;13.942774;0.002838;13.5116;0.002838;0.431173;;;1.167;2894.203;2101.611;2086.859;0.99;2.153771151591036;0.0023371689016685234;0.0;0.0
13;0.317;-0.1196;-0.0166;26;201.97988497909;0.0086;-62.28464743226;0.0091;5868355382992254720;0.5525;0.0126;-5.13;0.01;-2.121;0.011;0.917;13.054844;0.002778;13.19348;0.002859;12.805802;0.002829;0.387678;;;1.168;3038.282;1746.989;2333.841;0.99;2.81775734817279;0.008508496134764818;0.0;0.32358812090545475
