;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;-0.1506;0.3301;0.1068;14;102.84066284502;0.052;5.77277178575;0.0653;3129420687787404160;0.373;0.0789;-0.999;0.061;0.113;0.055;0.957;16.535391;0.002832;17.011003;0.007265;15.902543;0.004187;1.10846;;;1.222;1663.647;161.862;347.724;0.97;1.3849309397441951;0.013047555246298996;0.3081832921522385;0.4093969641517368
1;-0.0415;0.338;0.1059;14;102.84218964212;0.1442;5.77517506622;0.1904;3129420683492147456;0.3618;0.2343;-0.953;0.169;-0.009;0.151;0.974;18.384798;0.003514;18.999052;0.025514;17.588945;0.019985;1.410107;;;1.288;497.656;42.811;54.865;0.86;0.9561529790304093;0.020154487764395518;0.8274785656293162;0.042424268866644056
2;-0.0933;0.3704;0.1449;14;102.84220653055;0.092;5.77226101994;0.119;3129420683487026432;0.2866;0.1453;-1.047;0.104;0.152;0.093;0.96;17.502329;0.003063;17.838009;0.01064;16.672638;0.00815;1.165371;;;1.436;811.801;105.738;141.787;0.97;1.138644854500245;0.03543454207159314;0.9250286835800401;0.13512669236663885
3;-0.0668;0.3326;0.1056;14;102.84184012539;0.1038;5.77137559727;0.1352;3129420687782044160;0.1256;0.1666;-1.205;0.122;0.061;0.109;0.991;17.831821;0.003109;18.331545;0.030717;17.176144;0.022678;1.155401;;;1.228;753.551;35.494;48.244;0.93;1.0978199546157437;0.023782134804467833;0.6353552237886324;0.2825693567420796
4;-0.0313;0.287;0.0781;14;102.83758759885;0.103;5.77155368265;0.132;3129420687787407360;0.2716;0.1625;-1.077;0.122;0.022;0.107;0.975;17.768227;0.003127;18.3715;0.018667;17.094082;0.009553;1.277418;;;1.199;733.972;58.823;118.841;0.94;1.0398115502854495;0.023153146684132302;0.9455682133865748;0.039522044922968014
5;-0.1656;0.3342;0.1127;14;102.84428307971;0.0415;5.77500115554;0.0514;3129420687787399936;0.287;0.0621;-1.029;0.048;0.153;0.043;1.002;16.061087;0.00284;16.305845;0.003799;15.667555;0.003626;0.63829;;;1.184;1581.377;421.001;468.706;0.99;1.415190571487707;0.0459121828340737;0.40335972406715276;0.6048090040283499
6;-0.004;0.3254;0.0969;14;102.84061093443;0.186;5.77911286912;0.2475;3129420683487031936;0.3707;0.3046;-1.244;0.218;0.267;0.194;0.999;18.796209;0.003935;19.514786;0.044364;18.039362;0.020796;1.475424;;;1.219;386.569;24.522;52.686;0.85;0.9356962118760034;0.006563253985227477;0.6050289315603894;0.1144332860937267
7;-0.0871;0.3374;0.1094;14;102.84258242349;0.1077;5.77915931336;0.1407;3129420687787397248;0.231;0.1712;-1.362;0.126;0.093;0.113;1.053;17.872234;0.003205;18.424477;0.014075;17.188463;0.009949;1.236013;;;1.226;663.132;78.702;113.695;0.81;1.038937778377178;0.02677163693711446;0.8991658861496071;0.05615287766138609
8;-0.1388;0.33;0.0983;14;102.83704196139;0.0646;5.77028517196;0.0831;3129420687787409536;0.3114;0.1018;-1.144;0.076;0.194;0.068;1.033;16.951815;0.002953;17.432404;0.008905;16.302628;0.006595;1.129776;;;1.231;1022.756;128.387;181.69;0.98;1.2413521235234362;0.03216186891336584;0.9807478788650944;0.08912547725533913
9;-0.1326;0.3306;0.1074;14;102.84416055346;0.0453;5.77128332448;0.0565;3129420687787402880;0.2139;0.069;-1.056;0.053;0.339;0.047;0.973;16.275366;0.002823;16.772629;0.005712;15.612526;0.003991;1.160103;;;1.234;1761.616;217.858;380.562;0.92;1.4314663481055776;0.006611894850679495;0.7057430351282129;0.3413957104849976
