;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;-0.0744;-0.2056;-0.1576;26;308.31146905322;0.0112;41.31157741298;0.0132;2067784619950644480;0.6329;0.0147;-2.524;0.014;-4.484;0.016;1.148;9.664779;0.002803;10.62126;0.003053;8.683593;0.002958;1.937667;;;1.34;2112.177;876.225;1106.599;0.99;29.21162012758742;0.4489176344284207;27.039949842932366;0.7253618821173733
1;-0.1703;0.022;-0.2023;27;308.32457503527;0.0151;41.30577059622;0.018;2067783868332808960;0.5745;0.0193;-3.048;0.02;-4.448;0.023;1.009;14.850863;0.003163;15.849192;0.009049;13.825267;0.007936;2.023925;;;1.372;699.168;126.13;146.139;0.79;5.441119645913949;0.012915825362626024;0.0;0.0
2;-0.1284;-0.1917;-0.1038;27;308.31280972749;0.0145;41.31400377589;0.0178;2067784624247057920;0.6313;0.0191;-2.664;0.018;-4.106;0.019;1.14;8.429846;0.002788;9.271031;0.002967;7.501371;0.002868;1.76966;125.56;17.85;1.324;2570.2;1077.039;1639.542;0.97;35.98215618817272;0.370283824289237;31.233462318298084;0.7877462339783297
3;-0.0813;-0.0196;-0.0456;28;308.32490974999;0.0095;41.30864567108;0.0116;2067784246289931776;0.6199;0.0125;-2.631;0.012;-4.4;0.014;0.972;9.484826;0.002789;10.349748;0.002948;8.551971;0.002988;1.797776;;;1.321;2522.66;1139.53;1016.183;1.0;30.356620242518044;0.4419476578651165;27.7434969584065;0.7200901040836489
4;-0.089;-0.0363;-0.1009;27;308.31625132731;0.025;41.29760303995;0.0331;2067783868332809216;0.6623;0.0332;-2.738;0.033;-4.597;0.04;1.056;16.047119;0.002832;17.463867;0.008745;14.8809;0.003436;2.582967;;;1.429;1661.841;131.008;541.39;0.99;2.135512190768487;0.03952892694732665;1.66281059463334;0.37037489647732247
5;-0.0192;-0.0862;-0.1757;27;308.31805308327;0.011;41.31716882253;0.0135;2067785002204178688;0.6182;0.0143;-2.612;0.015;-4.709;0.017;0.977;11.262936;0.002784;12.230119;0.002964;10.283224;0.002814;1.946895;;;1.335;2734.398;1085.275;2941.523;0.98;24.19534327916493;0.00857373591438029;0.0;0.0
6;-0.0654;-0.1532;-0.3756;20;308.31728444653;0.0638;41.3177827252;0.0788;2067785002203235328;0.6979;0.0952;-2.786;0.087;-4.666;0.106;1.068;17.269171;0.004361;17.530632;0.136986;15.144174;0.089263;2.386458;;;3.55;321.183;7.928;12.169;0.96;2.080357420376751;0.009107303057569587;0.0;0.1669746446261038
7;-0.1524;-0.0144;-0.1055;27;308.31410108457;0.0196;41.32020704109;0.0233;2067785002204181888;0.6305;0.0259;-2.645;0.025;-4.445;0.029;1.018;15.302316;0.002802;16.253443;0.004703;14.317819;0.003795;1.935624;;;1.344;2136.926;286.738;422.092;1.0;4.443389585629027;0.014814228644246936;0.0;0.0
8;-0.1179;0.0823;-0.0184;25;308.33012410992;0.1234;41.29906667523;0.1594;2067783864035982336;0.6828;0.159;-2.39;0.16;-4.227;0.211;1.019;18.718685;0.003589;20.423384;0.109763;17.455795;0.012494;2.967588;;;1.498;472.135;9.895;89.152;0.86;1.3359444476701026;0.12812007391351507;0.503510600082729;0.4765599132723018
9;-0.0508;-0.0679;0.1187;25;308.3334419423;0.1121;41.30887135747;0.1657;2067784246287112064;0.7631;0.162;-2.929;0.146;-4.417;0.186;1.098;18.524046;0.003682;20.287659;0.098354;17.207294;0.011997;3.080364;;;1.558;444.491;11.044;93.05;0.92;1.3804510150455689;0.10288340579154985;0.8400126092166167;0.3783235014030916
10;-0.1333;-0.0791;-0.1571;27;308.3051118596;0.0166;41.31843187941;0.021;2067784624247061120;0.5988;0.0217;-2.779;0.022;-4.279;0.025;1.091;15.03003;0.002778;15.998368;0.003682;14.045828;0.003059;1.95254;;;1.339;3096.829;451.855;865.513;0.99;5.0164124873795615;0.01580361302007036;0.0;0.0
11;-0.0355;0.023;-0.122;26;308.3015588487;0.0292;41.29725095205;0.0392;2067784589887318144;0.6245;0.0411;-2.874;0.04;-4.268;0.048;1.066;16.163216;0.002823;17.317375;0.006148;15.09199;0.003352;2.225385;;;1.38;1767.947;198.196;584.313;0.98;2.8533589741218592;0.11089053117984311;0.6827295837967496;0.7006918126388259
12;-0.0921;-0.108;-0.1603;28;308.32616271717;0.0126;41.29427032467;0.0151;2067783868332806016;0.5981;0.0161;-2.502;0.017;-4.301;0.018;1.031;14.357052;0.002842;15.533147;0.00361;13.278314;0.003548;2.254833;;;1.382;1560.225;474.009;495.505;0.99;5.773532975910495;0.5713644507827993;3.183671603333914;0.9394243906143027
13;-0.0734;-0.0492;-0.2478;26;308.29737625487;0.0092;41.2995791666;0.0129;2067784589887320576;0.6342;0.013;-2.574;0.012;-4.282;0.015;1.148;13.588475;0.002773;14.598694;0.002996;12.584358;0.002811;2.014336;;;1.347;3438.069;994.502;3165.499;0.99;9.3760851881144;0.012921370780231815;0.0;0.0
14;-0.0884;0.0101;-0.0923;28;308.32974381456;0.0101;41.29581080628;0.0134;2067783799613328768;0.6165;0.0135;-2.722;0.013;-4.24;0.018;1.078;13.949847;0.002777;15.054618;0.002991;12.902574;0.00284;2.152044;;;1.367;3122.445;1006.481;2048.661;0.99;7.355425413988104;0.6422151151072724;2.992843221347028;1.7078069335147823
15;-0.0601;-0.0824;-0.1572;26;308.3250177607;0.0612;41.32167340308;0.0745;2067784997907690624;0.55;0.0792;-2.917;0.081;-4.322;0.093;0.953;17.713232;0.003089;19.341183;0.042177;16.493919;0.007125;2.847263;;;1.456;777.392;25.799;165.599;0.96;1.6926210100964343;0.07053085938450067;1.224878142289859;0.370161912261855
16;-0.1522;-0.0715;-0.1039;28;308.32543860659;0.0242;41.29207307291;0.0276;2067783799613329152;0.6606;0.0295;-2.582;0.033;-4.457;0.033;1.059;15.723376;0.002818;17.329948;0.010184;14.502935;0.003134;2.827013;;;1.46;1842.312;110.85;760.493;0.99;2.1582828007201904;0.0547354747131203;1.9796295625068199;0.07045845653830428
