;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;-0.1131;0.0918;-0.0714;26;302.305338746;0.0707;35.51496596708;0.0934;2058845285494891520;0.6154;0.1035;-3.163;0.091;-6.933;0.125;1.024;17.969929;0.003192;19.2752;0.02529;16.815025;0.00781;2.460175;;;1.437;673.75;43.195;148.844;0.93;0.822663422180261;0.03848969927105429;0.6930529294687346;0.03838508482385131
1;-0.2265;0.1672;-0.2151;27;302.30964835117;0.0283;35.48381964602;0.0339;2058844907537751680;0.5534;0.0397;-3.179;0.039;-6.879;0.046;1.954;7.693652;0.002786;7.758582;0.00312;7.51672;0.002894;0.241862;;;1.179;2644.053;778.125;1410.757;0.97;17.657827393608567;0.4495095593842816;11.354369256792387;4.337764724036894
2;-0.0405;0.1907;-0.1146;24;302.31457535283;0.0917;35.47965865745;0.111;2058844903227638016;0.5808;0.1359;-3.145;0.132;-6.613;0.156;0.97;18.441702;0.006298;19.587605;0.078958;17.310886;0.022417;2.276718;;;1.445;191.73;13.759;48.813;0.75;0.7859513473683584;0.025893179261830074;0.3227899881236441;0.19465360810958748
3;-0.1603;0.0744;-0.1707;28;302.32262734273;0.0113;35.48327664863;0.0149;2058845006304140032;0.5635;0.0161;-3.271;0.015;-6.908;0.019;0.864;11.222634;0.002781;11.333571;0.002879;11.006403;0.002818;0.327168;;;1.168;2902.599;1531.432;2751.957;0.98;6.591737372515426;0.004240912436666578;0.0;0.0
4;-0.1168;0.1053;-0.1139;26;302.28618204362;0.0788;35.47089718966;0.0948;2058844941897499008;0.5636;0.1131;-3.226;0.107;-7.124;0.134;1.027;18.256878;0.003364;19.421791;0.033793;16.787107;0.028429;2.634684;;;1.878;562.492;32.239;38.377;0.81;0.786384152537789;0.028226561459723857;0.6778807961866606;0.037229952780489295
5;-0.1646;0.1701;-0.1444;27;302.31833482043;0.0112;35.47636801253;0.0136;2058844907537740672;0.5931;0.0161;-3.27;0.015;-6.886;0.018;1.028;11.591544;0.00278;11.729733;0.002898;11.333848;0.002954;0.395885;;;1.172;2928.685;1386.583;1120.393;0.99;4.972974197934405;0.27691059107081006;3.116876417369546;0.536531752995947
6;-0.1597;0.0246;-0.1285;27;302.31158224881;0.0462;35.53285048309;0.0559;2058845315540792320;0.5655;0.0647;-3.246;0.059;-6.935;0.071;1.027;17.209255;0.003283;18.105049;0.01177;16.252964;0.006473;1.852085;;;1.333;608.064;94.951;185.879;0.96;1.1277756447752105;0.03957160441380676;0.6634421248924572;0.14159761736020898
7;-0.2312;0.1401;-0.2059;27;302.33229126919;0.0078;35.47383992702;0.0096;2058842055679442944;0.5932;0.0113;-3.14;0.01;-6.994;0.013;0.976;12.32644;0.002761;12.517201;0.002858;11.994217;0.00282;0.522985;;;1.18;6188.737;1750.376;2655.527;0.99;3.718979105234547;0.29711263609829286;2.1905516205412066;0.5354675870078147
8;-0.1755;0.0165;-0.1844;28;302.28100092533;0.0082;35.54330508665;0.0105;2058846105815763456;0.5957;0.0116;-3.211;0.01;-6.946;0.014;1.026;13.129817;0.002827;13.281045;0.003355;12.858094;0.003059;0.422951;;;1.172;1711.823;582.611;865.142;0.99;3.058027197917345;0.0037059629790427004;0.0;0.0
9;-0.1366;0.0433;-0.1294;27;302.31828500276;0.0403;35.54249193786;0.0495;2058846797323384576;0.6083;0.0559;-3.179;0.051;-6.899;0.066;0.92;17.041315;0.002976;17.939939;0.010797;16.106831;0.004663;1.833109;;;1.312;966.35;104.094;290.595;0.97;1.1436883118705716;0.04388752229723681;0.7827289543027741;0.10949616167886032
10;-0.1451;0.148;-0.139;27;302.30374123334;0.0225;35.45522015896;0.0273;2058841918241446528;0.5795;0.0309;-3.5;0.03;-6.85;0.037;1.025;15.820116;0.00329;16.545547;0.008058;14.9719;0.005897;1.573647;;;1.291;603.601;143.633;208.973;0.88;1.4285971604067556;0.033521047813549705;1.1738103888758642;0.12036678478870748
11;-0.1285;0.0892;-0.1449;27;302.35282430142;0.0419;35.51223696143;0.0467;2058846522445437696;0.4739;0.0574;-3.185;0.054;-6.886;0.061;1.074;17.013908;0.003247;17.841253;0.020652;16.059601;0.012728;1.781652;;;1.352;631.739;53.06;87.43;0.85;1.1901884965810379;0.038203571352414034;0.6514949902667988;0.2386295686159848
12;-0.1268;0.0109;-0.1132;26;302.23463663227;0.0084;35.50256072082;0.0114;2058845594732575744;0.6016;0.0125;-3.104;0.01;-6.941;0.015;0.963;13.488066;0.002764;13.682848;0.002836;13.15009;0.002982;0.532758;;;1.181;5090.263;2140.172;1032.947;0.98;2.66091117886574;0.01443651581100566;0.2774316329380463;0.47047944853070905
13;-0.1026;0.1251;-0.0944;26;302.24308846624;0.0137;35.47327084832;0.0174;2058844804458573952;0.5386;0.0198;-3.236;0.018;-7.097;0.024;1.197;11.04219;0.002825;11.128941;0.003126;10.867415;0.003275;0.261525;;;1.164;1744.147;770.863;633.078;0.76;7.056377171005271;0.004646307153216724;0.0;0.0
14;-0.1723;0.0298;-0.1798;25;302.34990726268;0.0437;35.52891146122;0.0517;2058846552491369344;0.5585;0.0616;-3.289;0.057;-6.68;0.074;0.999;17.146559;0.003444;18.046062;0.013656;16.206963;0.006367;1.8391;;;1.317;525.508;81.217;189.711;0.91;1.134043578860281;0.04433494059219141;0.7033729366132121;0.1435377892992546
15;-0.2237;0.3261;-0.2697;24;302.33793979195;0.1242;35.45925301805;0.1386;2058841879567483392;0.4484;0.1852;-3.078;0.181;-7.061;0.205;1.042;18.826643;0.00497;19.922647;0.098218;17.699551;0.015507;2.223097;;;1.453;262.468;11.059;71.178;0.62;0.742660642281177;0.0041983023947895805;0.0;0.0286348955591167
16;-0.1887;0.0697;-0.1945;26;302.34661089038;0.0295;35.5380590679;0.0337;2058846621210858624;0.5808;0.0407;-3.315;0.038;-6.937;0.047;0.957;16.41502;0.003218;17.292658;0.00726;15.485972;0.005582;1.806685;;;1.314;653.166;161.981;224.579;0.97;1.254935658818339;0.03571999988326475;1.0944150153219585;0.07822974150608651
17;-0.161;0.1584;-0.1498;25;302.34806705055;0.1063;35.46531004721;0.1265;2058841986959951488;0.555;0.1577;-3.364;0.14;-7.069;0.171;1.0;18.705496;0.004239;19.89489;0.057509;17.529066;0.015615;2.365824;;;1.486;337.011;18.902;70.669;0.74;0.7478860416221464;0.010149220334230599;0.0;0.1952049764093018
18;-0.0929;-0.0346;-0.1221;25;302.29186226766;0.1504;35.44432871298;0.1582;2058841540276404096;0.6584;0.1964;-3.292;0.199;-6.568;0.223;1.126;18.848213;0.004114;19.599131;0.090727;17.556929;0.031274;2.042202;;;1.746;355.454;11.973;34.855;0.59;0.7591804861963227;0.006027324780564489;0.0;0.0
19;-0.2698;0.328;-0.2238;24;302.33929952281;0.0105;35.45679127596;0.0129;2058841883880998528;0.5558;0.016;-3.251;0.015;-7.027;0.018;1.046;11.611146;0.00277;11.727586;0.002925;11.334157;0.00288;0.393429;;;1.195;3795.725;1234.515;1522.575;0.95;5.033796099065117;0.28547671622285226;2.9566899860907494;0.5904656310654258
20;-0.1788;0.0968;-0.1195;25;302.27805164422;0.0783;35.44493819903;0.0948;2058844460861154048;0.4301;0.1139;-3.244;0.106;-6.937;0.136;1.016;18.22736;0.003313;19.42057;0.040598;17.167772;0.010983;2.252798;;;1.359;590.087;26.807;102.213;0.8;0.8033877174433751;0.024446566759509923;0.5343327514239227;0.07257213964705722
