;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;0.3143;0.0514;-0.012;17;11.9205790166;0.0157;-26.97572210404;0.0128;2342830412869106048;4.4377;0.0192;19.037;0.02;1.66;0.019;1.14;9.104515;0.002762;9.29005;0.00281;8.774358;0.0028;0.515692;6.61;0.53;1.182;5795.261;3232.703;4702.571;0.52;1.4912829079655785;0.02199372240770269;1.4184612768185363;0.0261538152977763
1;-0.141;0.092;-0.0081;18;19.2733352116;0.1318;-25.65120053287;0.0924;5039926251050874112;4.5152;0.1682;17.787;0.224;3.004;0.13;1.025;18.260153;0.003219;20.232697;0.066567;16.929501;0.006452;3.303196;;;1.552;652.353;16.325;186.625;0.99;0.21292282163409085;0.0019450913820430972;0.0;0.0
2;0.1743;-0.0035;-0.1039;17;9.66179932077;0.0561;-31.78710738579;0.0447;5007424206297575296;4.3457;0.0689;17.774;0.073;3.475;0.074;1.141;16.667528;0.003208;18.20215;0.036002;15.382578;0.010245;2.819572;;;1.551;660.561;30.249;110.137;0.81;0.32624173159565084;0.011725822755380026;0.28456846282299053;0.014893616283814476
3;-0.0976;0.2479;-0.2073;25;23.20477719233;0.0734;-32.28700050652;0.0683;5015736651643376384;4.2693;0.1137;17.774;0.08;2.685;0.072;1.067;17.86356;0.002933;19.30636;0.029011;16.701979;0.004799;2.604382;;;1.419;1079.838;37.6;278.06;1.0;0.25360283181767285;0.0032222122629467493;0.0;0.0
4;-0.0674;0.2259;-0.139;19;23.07427075212;0.1635;-26.88205672921;0.0875;5035999134818664192;4.3674;0.1873;19.023;0.227;2.334;0.086;1.031;18.551882;0.003081;18.569019;0.011663;18.602468;0.018579;-0.033449;;;1.116;788.113;95.876;59.111;1.0;0.20015808151677622;0.013417333947796097;0.0;0.0
5;0.1281;-0.01;-0.1388;18;9.20420652948;0.06;-33.97473802481;0.0473;5005441615033768064;4.2064;0.0727;18.477;0.08;3.492;0.077;1.04;17.004812;0.002916;18.691988;0.021129;15.761213;0.003538;2.930775;;;1.477;1135.829;51.84;499.174;1.0;0.2817734822477651;0.011766451178513524;0.23915538809344303;0.014845177834652624
6;-0.0028;-0.0755;-0.1967;24;14.97158392513;0.5227;-37.23507600417;0.3789;5001441935330466688;3.8344;0.797;19.431;0.534;1.602;0.58;32.645;13.869745;0.0046;14.190295;0.002896;13.18846;0.002841;1.001835;;;1.328;294.77;1399.763;2035.257;0.98;0.7114741483716979;0.000852886417364423;0.0;0.0
7;0.278;0.077;-0.1789;17;8.94338379363;0.1836;-26.08914982662;0.1116;2346595583063882624;4.5837;0.2315;18.475;0.257;2.593;0.204;0.966;18.868896;0.003388;20.665037;0.102332;17.516693;0.011038;3.148344;;;1.601;550.875;10.614;101.666;1.0;0.168178554833235;0.0021397734738126907;0.0;0.0
8;-0.0659;-0.038;-0.1268;22;16.66904649224;0.3213;-37.66307508434;0.272;4989549720643068800;4.1314;0.5005;19.211;0.324;1.762;0.377;8.389;16.786867;0.004706;17.673937;0.010521;15.686215;0.00347;1.987721;;;1.48;284.635;107.031;526.318;0.99;0.40795667690830134;0.003164581868622313;0.0;0.0
9;0.0639;0.1438;-0.1521;16;6.81123992261;0.0286;-30.6548272635;0.023;2318312540520332800;4.2628;0.0305;18.08;0.034;3.231;0.029;1.015;15.306647;0.003022;16.307665;0.006706;14.310746;0.004123;1.996919;;;1.342;874.195;178.054;357.622;1.0;0.5465387621376697;0.0004773190510332243;0.0;0.0
10;0.2067;-0.0291;-0.1458;16;6.578645705;0.1342;-32.22682077156;0.0988;2315912100478492928;4.4319;0.1738;18.52;0.16;3.676;0.168;1.012;18.258919;0.00325;20.440226;0.077365;16.85067;0.007985;3.589556;;;1.637;629.699;14.043;145.115;0.97;0.20912398773831864;0.003244442796524088;0.0;0.0
11;-0.1079;0.1864;-0.1771;25;26.62045503279;0.0552;-32.80098353685;0.0516;5018464814869886080;4.0284;0.0901;17.842;0.056;3.256;0.064;1.047;17.469376;0.002901;19.108124;0.021425;16.240885;0.005213;2.867239;;;1.465;1196.85;51.112;246.541;0.96;0.2956135858303087;0.0013989247605456705;0.0;0.0
12;-0.1804;0.0365;-0.2414;26;24.47473903578;0.0589;-36.35755996994;0.068;5011431616943738752;4.0577;0.1045;18.045;0.06;3.622;0.082;1.04;17.984247;0.002924;19.60111;0.029718;16.727533;0.005026;2.873577;;;1.503;1109.58;36.697;259.731;0.97;0.23900475052559275;0.001569910543964152;0.0;0.0
