;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;0.4272;-0.0067;0.0701;17;68.07884606353;0.0113;39.51615850395;0.008;179632196792292736;1.5709;0.0134;3.314;0.016;-5.775;0.013;0.969;12.623738;0.00276;13.087604;0.002833;11.989527;0.002839;1.098077;;;1.228;6764.462;2212.488;2073.212;1.0;1.683520161888647;0.01282642434362281;1.2165451532075595;0.03212621434630749
1;0.3672;0.0104;0.0774;17;68.06759004387;0.0174;39.51545226178;0.0121;179632166729908992;1.4597;0.0203;3.395;0.024;-5.551;0.019;1.355;10.436234;0.002801;11.265635;0.0034;9.539179;0.003026;1.726456;-1.28;9.23;1.3;2153.526;558.772;927.068;0.99;2.628374223415756;0.00708967798129778;1.3689879067456778;0.25992480716940053
2;0.2257;0.1234;0.0581;17;68.1111005762;0.0641;39.44994071865;0.0443;179628485940766976;1.4799;0.0681;3.31;0.088;-5.803;0.068;0.988;16.834053;0.00284;17.822681;0.009712;15.867504;0.004133;1.955177;;;1.317;1576.996;116.717;356.114;1.0;0.7666281005153848;0.003086897216122549;0.23426207073012695;0.1872578549732417
3;0.4339;0.108;0.2425;17;68.05992364168;0.0327;39.52441848636;0.0242;179632235449385216;1.5927;0.0416;3.311;0.045;-5.506;0.038;2.513;10.201021;0.002765;11.037492;0.002827;9.301961;0.002804;1.735531;-10.85;4.14;1.299;4670.68;2374.74;3841.957;0.99;2.6737655205221826;0.02275438576970444;1.6572956956060159;0.14398082405311657
4;0.5512;-0.0859;0.0372;16;68.14519012481;0.0131;39.50290782876;0.0095;179629035696363136;1.533;0.016;3.561;0.02;-5.767;0.016;1.114;13.32222;0.002759;14.039173;0.002878;12.489091;0.002815;1.550082;;;1.281;7846.455;1536.378;2918.567;1.0;1.3129232932030037;0.016331984367550217;1.2675810323752899;0.018780383848528325
5;0.3164;-0.085;0.1353;17;68.02250184809;0.0155;39.43992136627;0.0103;179627184567854080;1.5152;0.0182;3.374;0.022;-5.569;0.016;1.016;13.718496;0.00276;14.248068;0.002938;13.023889;0.002864;1.224179;;;1.243;6901.571;1181.772;1680.134;1.0;1.3940189591279195;0.0008085942765872832;0.0;0.0
6;0.3805;0.036;0.0871;17;68.00046755627;0.0165;39.50190113266;0.0112;179631960571483008;1.5578;0.0183;3.355;0.022;-5.739;0.017;1.006;13.785866;0.002767;14.381936;0.002988;13.03895;0.002951;1.342986;;;1.256;4303.351;1014.757;1131.188;1.0;1.331985009278854;0.011237161477927853;0.894021874183841;0.044073625550286266
7;0.1671;0.1139;0.0553;16;68.1433960685;0.2204;39.43997947061;0.1467;179628039264152192;1.5717;0.2149;3.693;0.3;-5.402;0.222;1.204;18.540995;0.003358;20.155909;0.057725;17.251059;0.011342;2.90485;;;1.545;565.88;18.831;98.762;0.99;0.5646824729700324;0.004647910983777801;0.4166492784917052;0.021812322047653567
8;0.3376;-0.0552;0.135;15;68.16625524535;0.0152;39.48301897435;0.0099;179628279782382592;1.5361;0.018;3.492;0.021;-5.744;0.016;0.981;13.564888;0.002761;14.206276;0.002904;12.77964;0.002822;1.426636;;;1.269;6278.4;1346.009;2567.771;1.0;1.2662363734535178;0.020353439421006394;1.198819193316141;0.025290530090084265
9;0.3233;0.0955;0.1649;17;67.9910782829;0.0176;39.51789466657;0.0119;179632750845255040;1.5646;0.0195;3.493;0.022;-5.691;0.017;0.977;13.995804;0.00276;14.564978;0.002908;13.270847;0.002848;1.29413;;;1.25;6536.989;1324.392;1896.985;1.0;1.3170170824520246;0.00070691083710311;0.0;0.04775793672917486
10;0.1834;0.1702;0.0042;16;68.06035866653;0.2284;39.40433011439;0.1503;179626836675552384;1.4448;0.2297;3.427;0.298;-5.462;0.227;0.989;18.831495;0.003461;20.34911;0.068752;17.635939;0.014789;2.713171;;;1.445;518.218;15.805;74.759;0.99;0.5598550199814267;0.0008727368729175108;0.0;0.0
11;0.3112;0.0671;0.1362;17;68.061993228;0.0409;39.40374635329;0.0285;179626836673256960;1.6245;0.0474;3.899;0.056;-5.756;0.044;1.669;15.178789;0.002779;15.909586;0.004063;14.308043;0.003291;1.601542;;;1.309;3009.244;367.604;621.984;0.93;1.0261024003724253;0.007446425326936291;0.668520693118284;0.038639415191630694
12;0.4193;0.1021;0.1881;17;68.07197491789;0.0151;39.40210172128;0.0108;179627562524977280;1.4396;0.0172;3.46;0.02;-5.666;0.016;1.155;13.054837;0.002761;13.58067;0.002848;12.363898;0.002826;1.216772;;;1.242;6180.798;1907.284;2410.449;0.99;1.511123579872957;0.013415460106463481;1.1575342652707152;0.030767288088207397
13;0.3621;0.0809;0.1131;17;67.96856737505;0.0251;39.48212308323;0.0181;179630444445892608;1.553;0.0277;3.328;0.032;-5.687;0.026;0.983;14.891905;0.002786;15.54201;0.003514;14.106377;0.003171;1.435634;;;1.266;2626.679;508.141;720.881;1.0;1.1052592053759482;0.0007561135437697455;0.0;0.022853029088072418
14;0.2972;-0.0204;0.1399;17;67.96604516932;0.122;39.46597022606;0.0804;179630341366654848;1.3979;0.132;3.598;0.166;-5.416;0.121;1.002;17.843439;0.002963;19.156494;0.0304;16.74;0.006615;2.416494;;;1.379;997.094;35.866;181.033;0.99;0.6441114545529497;0.006114825897175147;0.4039239355233658;0.05560579578739334
15;0.3735;0.0853;0.0739;16;68.17285810901;0.0126;39.54141345629;0.0085;179723078299824768;1.5541;0.0143;3.45;0.017;-5.67;0.013;1.025;12.673544;0.002761;13.233922;0.002866;11.954535;0.002833;1.279387;;;1.249;6004.881;1660.971;2205.386;1.0;1.505722813895786;0.017599086762908153;1.4534420568307334;0.019692305824037925
16;0.4753;0.1649;0.2306;16;68.16921609689;0.017;39.55457377042;0.0124;179723082597951104;1.5018;0.0207;3.205;0.025;-5.759;0.02;1.391;9.534228;0.002766;10.230959;0.00286;8.709964;0.002802;1.520995;-5.24;0.86;1.281;4439.916;1729.484;4202.249;1.0;2.7546155563654455;0.04169912778728116;2.4999151452000987;0.03343673331767926
17;0.3672;0.1075;0.1255;16;68.1496363702;0.0517;39.57335663828;0.0377;179723357475857664;1.6154;0.0625;3.357;0.073;-5.821;0.057;3.336;10.968313;0.002761;11.344803;0.002836;10.400901;0.002808;0.943902;;;1.223;5923.92;2141.921;3391.852;1.0;2.402201331574048;0.01166900057769549;1.4522350267767976;0.09978633579563662
18;0.2857;0.059;0.1036;17;68.20145066967;0.0156;39.43706600743;0.0113;178877317636906880;1.58;0.0179;3.473;0.02;-5.481;0.016;1.214;11.810929;0.002762;12.214582;0.002855;11.227573;0.002804;0.987009;;;1.22;5623.838;1789.275;3915.378;1.0;1.9014346200147834;0.04655518729894869;1.683690513062737;0.06885391834379745
19;0.376;0.1367;0.152;16;68.15929955228;0.0151;39.57455267422;0.0108;179723391835595392;1.5237;0.0179;3.329;0.021;-5.791;0.017;0.996;11.030386;0.002762;11.381727;0.002854;10.494474;0.002809;0.887253;;;1.214;5503.383;1809.852;3339.621;1.0;2.3751677983804025;0.05955559605766476;0.7166940605072684;0.8682559547917442
