;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;0.2219;-0.188;0.0249;18;286.92053627475;0.066;4.33679991932;0.062;4269380977588689920;0.3777;0.078;-1.474;0.076;-4.641;0.073;1.03;17.326553;0.003068;18.041138;0.003159;16.362839;0.006537;1.678299;;;1.398;805.057;733.086;183.652;0.99;1.6999734094199457;0.013511387726134387;0.306674278573751;0.409865181786225
1;0.1609;-0.1441;0.1094;17;286.92511903116;0.0165;4.34418298971;0.0152;4269380977588698112;0.2828;0.0204;-1.611;0.019;-4.758;0.019;0.935;14.450209;0.002774;14.996538;0.003368;13.720827;0.00303;1.275711;;;1.263;3379.084;575.67;919.937;1.0;4.413254023663373;0.16251055516368176;2.3403387481001467;0.41878949510760033
2;0.2258;-0.2126;0.0079;18;286.91858863558;0.0361;4.33525594726;0.0351;4269380977568055168;0.2648;0.0454;-1.601;0.042;-4.739;0.042;1.07;15.987831;0.002872;16.467319;0.011574;15.139577;0.004653;1.327743;;;1.386;1342.403;96.662;291.621;1.0;2.7585837994171016;0.005558366339902437;0.0;0.0
3;0.2507;-0.18;-0.0051;18;286.9285638232;0.0288;4.33648352251;0.0273;4269380771430250240;0.2451;0.034;-1.584;0.034;-4.624;0.032;1.089;15.52699;0.002788;16.136612;0.003555;14.758697;0.003238;1.377915;;;1.268;2544.2;492.815;661.031;0.99;2.673101169231111;0.1819243682633157;2.0696415675388424;0.27117907598986707
4;0.1435;-0.1575;0.1062;18;286.91744143334;0.0327;4.33614634725;0.0306;4269380977588694272;0.3574;0.04;-1.712;0.039;-4.66;0.038;1.44;15.3468;0.002805;15.885796;0.003608;14.563936;0.003127;1.321859;;;1.307;2062.75;474.679;768.937;1.0;3.4514882204483444;0.01006235235730305;0.0;0.26326393089893874
5;0.2421;-0.1833;0.0294;18;286.91915470526;0.1003;4.33369118679;0.0948;4269380977588688384;0.1205;0.1197;-1.713;0.116;-4.686;0.113;1.111;17.877581;0.002964;18.72872;0.014574;16.977066;0.007418;1.751654;;;1.296;994.863;75.904;157.961;0.94;1.4721024179516327;0.0032012068089419922;0.0;0.06384697794737244
6;0.1721;-0.1488;0.0181;18;286.93029349719;0.0187;4.3374072251;0.0179;4269380771430248704;0.3347;0.0226;-1.566;0.023;-4.7;0.021;1.009;14.683033;0.002773;15.233912;0.003126;13.959484;0.002887;1.274427;;;1.256;3475.065;770.796;1466.089;1.0;4.383154485935439;0.00926786462324485;0.0;0.26959311630164007
7;0.2077;-0.1694;0.0072;16;286.93087948907;0.024;4.3393825735;0.0223;4269380771430252032;0.323;0.0284;-1.539;0.028;-4.736;0.027;0.947;15.24807;0.002776;15.812698;0.003427;14.519758;0.002975;1.29294;;;1.254;3248.715;545.85;1052.411;1.0;3.5497189374513636;0.0026707922976190114;0.0;0.0
8;0.087;-0.0942;0.0326;18;286.92618712873;0.0136;4.34664568933;0.0126;4269381011927845504;0.3178;0.017;-1.506;0.017;-4.796;0.015;1.055;12.732059;0.002772;14.027688;0.003258;11.610689;0.003012;2.416999;;;1.402;3546.66;645.439;957.667;1.0;6.700125037128654;0.17890449905111885;5.783734161187665;0.27448008814890434
9;0.1593;-0.1324;0.0974;18;286.93049900945;0.017;4.34251298785;0.0161;4269381011948426240;0.2903;0.0209;-1.571;0.02;-4.726;0.02;0.927;14.537556;0.002769;15.078065;0.003162;13.83254;0.002891;1.245525;;;1.247;3893.043;730.29;1432.371;1.0;4.621492658276717;0.002927872796262617;0.0;0.0
10;0.2162;-0.1853;0.0465;17;286.93151842302;0.0205;4.33778553431;0.0188;4269380771430248064;0.3502;0.0237;-1.753;0.024;-4.749;0.022;1.285;14.137798;0.002783;14.664636;0.003063;13.410071;0.003008;1.254564;;;1.269;2759.546;859.462;965.19;0.99;5.002158060605633;0.15907001225024167;2.498078383855072;0.4508341452478057
11;0.2729;-0.1668;0.0501;18;286.92314947063;0.0306;4.32992371938;0.0292;4269380767079531904;0.2536;0.0361;-1.615;0.037;-4.729;0.036;1.071;15.751995;0.002798;16.368769;0.003844;14.954539;0.00312;1.414229;;;1.288;2223.011;410.637;777.529;1.0;2.4852885681088654;0.1808510497521374;1.8880539587914018;0.23954224401738552
12;0.3485;-0.1623;0.0055;17;286.93296781757;0.084;4.3374268865;0.0785;4269380771430244480;0.4458;0.0988;-1.672;0.1;-4.76;0.097;0.998;17.696339;0.002948;18.53104;0.01973;16.84376;0.007618;1.687281;;;1.259;1036.473;55.587;153.17;0.99;1.5214837817702576;0.0039738780004844555;0.0;0.10238461916914153
13;0.3526;-0.1869;-0.0524;17;286.93062217451;0.1705;4.33199642426;0.1634;4269380767079623808;0.3005;0.2063;-1.883;0.203;-4.608;0.195;1.102;18.809038;0.003475;20.019411;0.041639;17.92963;0.013427;2.089781;;;1.184;512.887;26.134;82.665;0.89;1.1403752086632963;0.024220698822770417;0.0;0.30319584765409485
14;0.2721;-0.1816;0.0292;18;286.92443862247;0.051;4.32886874355;0.0484;4269380771430241536;0.2671;0.0598;-1.592;0.061;-4.831;0.06;1.025;16.851828;0.002828;17.482416;0.008547;16.084957;0.004733;1.397459;;;1.259;1703.238;134.386;283.962;0.99;1.951103706757968;0.005258416532309343;0.0;0.050563626395244525
15;0.2567;-0.1088;-0.0135;18;286.9337128069;0.0133;4.34108625195;0.0125;4269380805789989760;0.3077;0.0151;-1.603;0.016;-4.742;0.015;1.092;13.500566;0.002781;14.077367;0.003081;12.760071;0.002906;1.317296;;;1.259;2906.638;831.333;1338.959;1.0;5.358049944603655;0.15956023442286554;4.823236742273992;0.20637117282628134
16;0.2641;-0.1616;-0.0624;18;286.918870256;0.0985;4.3503651377;0.0914;4269381076317445504;0.4282;0.1197;-1.523;0.117;-4.571;0.11;0.977;18.024412;0.003007;18.942804;0.020055;17.047756;0.006288;1.895048;;;1.346;901.075;54.671;192.676;0.98;1.3970090421544545;0.0625729203959083;0.6059163204044542;0.45907081575325503
17;0.3703;-0.1036;0.079;17;286.93048963467;0.0643;4.32987405746;0.0602;4269380771430235776;0.2579;0.0759;-1.655;0.082;-4.775;0.078;1.019;17.254694;0.00289;18.060078;0.014478;16.33045;0.006816;1.729628;;;1.331;1243.195;76.425;174.581;0.99;1.628313740803143;0.03270738145772582;1.0982329202707355;0.09263697751240248
18;0.296;-0.2017;-0.0145;18;286.92008946615;0.0491;4.32757963829;0.0466;4269380668351030016;0.3076;0.0565;-1.649;0.059;-4.749;0.055;1.007;16.744602;0.00282;17.412823;0.005453;15.963191;0.00405;1.449632;;;1.256;1809.831;231.741;369.798;1.0;2.018266046989706;0.003588178966040095;0.0;0.0
19;0.2537;-0.3768;-0.0834;16;286.93165822659;0.0795;4.34794213285;0.0722;4269381011948433792;0.3383;0.0997;-1.56;0.093;-4.645;0.082;0.958;17.463705;0.002937;18.255138;0.01557;16.600588;0.005134;1.654551;;;1.282;1066.445;70.881;251.961;0.99;1.6234369439969558;0.003285262000212746;0.0;0.0
20;0.5036;-0.1869;-0.0213;18;286.92260785151;0.0924;4.32586696908;0.0897;4269380668330305280;0.4059;0.098;-1.501;0.114;-4.641;0.114;0.982;17.737381;0.003022;18.542391;0.020743;16.857635;0.011485;1.684755;;;1.292;874.682;52.822;97.457;0.99;1.51370227091694;0.004371748507087424;0.0;0.04976774395756873
21;0.1592;-0.2097;0.0549;18;286.91083532283;0.0423;4.33251549834;0.0387;4269380874509482752;0.3716;0.0514;-1.501;0.05;-4.728;0.046;1.084;16.380657;0.002807;17.093996;0.005096;15.55171;0.003249;1.542286;;;1.279;2033.631;254.584;651.96;1.0;2.0277591845349123;0.055798232570500615;1.5054795373818641;0.06767606388276004
22;0.1258;-0.1427;0.1291;17;286.93166976057;0.0162;4.35074095033;0.0152;4269381011948439296;0.3461;0.0198;-1.539;0.019;-4.79;0.018;1.276;13.68871;0.002767;14.214876;0.003055;12.989022;0.002824;1.225854;;;1.249;4331.17;872.892;2476.085;1.0;5.930517007914952;0.1411545885305078;2.2252117710489445;1.0863303392076376
23;0.1232;-0.1672;0.0547;18;286.90947663484;0.0155;4.33465891945;0.0146;4269380874509487744;0.3067;0.0191;-1.53;0.019;-4.681;0.017;0.93;14.344973;0.002772;14.876389;0.003105;13.635687;0.002862;1.240702;;;1.253;3563.71;797.384;1699.328;1.0;4.959421239678422;0.002744066807057614;0.0;0.0
24;0.1656;-0.1301;0.1149;18;286.91394983256;0.0188;4.32789745536;0.0179;4269380874509470848;0.2921;0.0229;-1.686;0.022;-4.559;0.022;1.059;14.739345;0.002786;15.266377;0.003267;14.0219;0.002951;1.244477;;;1.261;2646.595;638.573;1130.203;0.98;4.304850040198917;0.0032936966972207824;0.0;0.0
25;0.2005;-0.2526;-0.0246;17;286.92010780782;0.1477;4.3537064503;0.13;4269381080667939712;0.2647;0.1848;-1.678;0.174;-4.682;0.157;1.131;18.363718;0.00325;19.29068;0.024446;17.309229;0.011733;1.981451;;;1.421;630.035;44.707;95.267;0.98;1.28638843857448;0.06909718476237414;0.7642408169487421;0.3694988816425042
