;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;-0.3209;0.0983;0.1934;17;92.29275879704;0.0329;4.58695842199;0.0304;3318185015840657920;0.2171;0.0393;-0.877;0.043;1.335;0.037;0.963;15.756002;0.002803;16.033796;0.004538;15.318822;0.003639;0.714974;;;1.191;2098.189;303.336;464.845;0.99;1.5580116703973637;0.001049607413379043;0.0;0.03155830802765368
1;-0.3012;0.0978;0.174;17;92.29172377617;0.0158;4.5819346421;0.0146;3318184912761446656;0.2685;0.0188;-0.814;0.021;1.104;0.018;0.986;14.037436;0.002764;14.636158;0.00306;13.291124;0.002875;1.345034;;;1.255;4853.832;864.798;1563.587;0.99;1.7294088223176567;0.007052409531118268;1.260113540067829;0.08027163730767684
2;-0.338;0.1498;0.2266;17;92.29542648159;0.0247;4.57811152433;0.0232;3318184844041970304;0.3013;0.03;-0.875;0.032;1.281;0.028;1.013;15.162577;0.002792;15.483787;0.003745;14.66265;0.003162;0.821136;;;1.207;2408.021;434.555;729.625;0.99;1.6314687997614592;0.006843744616727059;1.3282240494478788;0.019547647892950715
3;-0.3721;0.1257;0.2123;16;92.29047216213;0.0529;4.59464093268;0.0489;3318185011544436608;0.1909;0.0627;-0.709;0.067;1.131;0.06;0.955;16.716089;0.002886;17.0359;0.008019;16.219696;0.005683;0.816204;;;1.205;1262.787;144.417;219.277;0.99;1.323463578082208;0.0019130874619144613;0.0;0.13636824703820774
4;-0.2919;0.1292;0.1931;17;92.28338462269;0.0192;4.57976272318;0.0177;3318184912761451008;0.2413;0.0227;-0.823;0.025;1.245;0.022;1.061;14.515423;0.002781;14.788994;0.003005;14.074066;0.002947;0.714928;;;1.196;2874.444;972.753;1143.29;1.0;1.6992534551858482;0.003549728813134895;1.6048052831642283;0.04110969196521693
5;-0.3881;0.182;0.1681;16;92.29020785311;0.0284;4.57355489074;0.0273;3318184844041974400;0.2531;0.0348;-0.845;0.037;1.342;0.033;1.013;15.423019;0.002841;15.767959;0.004431;14.893486;0.00362;0.874473;;;1.213;1570.158;315.368;470.651;1.0;1.642820955188864;0.0018251067929264126;0.0;0.24748108998198096
6;-0.3378;0.1296;0.232;16;92.2876415287;0.0574;4.57323365269;0.0536;3318184844041975808;0.2657;0.0691;-0.765;0.073;1.321;0.065;1.088;16.72744;0.002945;16.872299;0.02846;16.093998;0.011162;0.778301;;;1.389;1043.885;38.334;100.456;0.99;1.3450767366274834;0.0021300444510249862;0.0;0.10130201732722363
7;-0.3258;0.0389;0.1737;17;92.28255663967;0.1139;4.57550094056;0.1037;3318184874105420160;0.2944;0.1349;-0.644;0.152;1.079;0.126;1.086;18.042913;0.003248;18.467596;0.027442;17.412888;0.018767;1.054708;;;1.242;631.482;39.771;58.503;0.96;1.040386713852571;0.011130317931864177;0.2924801895967813;0.3098886394603613
8;-0.3377;0.1139;0.2437;16;92.28380010535;0.0407;4.57306194702;0.0383;3318184805385942912;0.216;0.0492;-0.847;0.051;1.216;0.046;1.036;16.172159;0.00283;16.49304;0.005827;15.677582;0.006587;0.815458;;;1.203;1678.036;212.252;181.945;0.99;1.398773109158878;0.024467953443819333;1.0487298913015675;0.07470747581400505
9;-0.3192;0.0974;0.225;15;92.29170222314;0.0544;4.56707779991;0.0503;3318184809682238592;0.1939;0.0653;-0.891;0.068;1.385;0.061;0.96;16.688549;0.002882;17.023081;0.006077;16.189886;0.006066;0.833195;;;1.199;1286.098;201.133;201.567;0.98;1.3276311162895706;0.00396720224558202;0.0;0.27822444817918424
10;-0.3622;0.1188;0.2296;15;92.29232306614;0.0646;4.56502463075;0.0607;3318184805385915136;0.2322;0.08;-0.835;0.081;1.344;0.071;1.032;16.973965;0.002889;17.325722;0.009029;16.47567;0.005919;0.850052;;;1.191;1248.57;126.436;207.972;0.99;1.2628180657329042;0.0011399804332664625;0.0;0.10180127592190384
11;-0.2639;0.0539;0.159;17;92.30832780236;0.0334;4.59781766277;0.0304;3318185050200385024;0.1768;0.0391;-0.774;0.044;1.262;0.037;1.056;15.630127;0.002809;15.891986;0.004326;15.20153;0.003651;0.690455;;;1.194;1978.146;328.443;461.146;0.99;1.5680082270631304;0.0549156369376374;0.0;0.46317645029936233
12;-0.3487;0.1618;0.1268;16;92.29514180196;0.0792;4.56374548138;0.0744;3318184049476956416;0.4134;0.0946;-0.749;0.104;1.082;0.088;0.911;17.392345;0.002948;17.821251;0.009979;16.778112;0.010168;1.043139;;;1.23;1036.685;113.323;111.037;0.94;1.0852460243040876;0.02855859599848567;0.9442130651948959;0.05708806688292689
13;-0.3328;0.1315;0.2154;17;92.27915838034;0.0272;4.56757457243;0.0252;3318184809682242560;0.3265;0.0327;-0.789;0.035;1.283;0.031;1.004;15.412366;0.002888;15.751525;0.00437;14.895087;0.003688;0.856438;;;1.208;1254.626;322.845;450.232;1.0;1.6445955560917813;0.0019416787799634262;0.0;0.21169126670174887
14;-0.3506;0.1077;0.2137;16;92.27202467563;0.1044;4.57756642134;0.096;3318184874105424896;0.2183;0.1241;-0.949;0.132;1.315;0.116;0.983;17.936913;0.003176;18.471281;0.024046;17.289423;0.013886;1.181858;;;1.208;687.565;45.46;79.82;0.98;0.9712656269376814;0.023038787947380766;0.8773690825667326;0.03712240132297305
15;-0.2919;0.0903;0.2004;16;92.30697200295;0.1098;4.56284635789;0.1007;3318184088127728640;0.3633;0.1289;-0.775;0.143;1.262;0.121;0.983;17.958275;0.003163;18.394169;0.031975;17.369804;0.012127;1.024364;;;1.209;699.21;34.085;91.996;0.98;1.058334175673843;0.0034193116324830928;0.0;0.22124432405647274
16;-0.3807;0.132;0.2062;16;92.27499158104;0.0482;4.56383963458;0.0454;3318184427428783360;0.237;0.0573;-0.883;0.062;1.306;0.056;0.985;16.528458;0.002861;16.838598;0.006182;16.04781;0.004847;0.790789;;;1.2;1408.218;196.834;273.904;0.99;1.3674642035552185;0.0012504544211808313;0.0;0.12486502734055578
17;-0.2769;0.1529;0.2221;17;92.28183759551;0.0298;4.61149377997;0.0262;3318185290718558336;0.2699;0.0343;-0.978;0.036;1.278;0.032;1.038;10.637926;0.008289;13.032715;0.044666;9.345585;0.024479;3.68713;;;1.464;138.888;24.355;44.645;0.98;1.7818304372361038;0.04190787408454774;0.622597203461776;0.6800346758404283
