;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;0.078;0.1585;-0.066;28;116.09127617562;0.0344;-34.63159633304;0.042;5588558432781823232;0.5212;0.0459;-0.865;0.044;2.243;0.049;1.104;16.66433;0.00281;17.197598;0.006861;15.966168;0.00437;1.231429;;;1.244;1969.682;173.212;322.766;1.0;1.241788724960009;0.001898437016904624;0.0;0.060835804973300114
1;0.0626;0.1376;0.0355;29;116.09669015406;0.0114;-34.62940049449;0.0124;5588558432781819648;0.4998;0.0142;-0.846;0.014;2.402;0.015;1.475;13.148097;0.002761;13.429698;0.002849;12.696438;0.002816;0.73326;;;1.198;5954.488;1883.198;2833.283;1.0;2.340383910561388;0.029857684334366537;2.230934590640772;0.04262956948805208
2;0.0889;0.1061;0.0091;28;116.08653521543;0.0191;-34.63897898351;0.0222;5588558432781827712;0.4581;0.0243;-0.857;0.025;2.363;0.027;1.08;15.372357;0.002769;15.782882;0.003604;14.783171;0.003028;0.999711;;;1.221;3972.276;475.836;922.37;1.0;1.6369087461686904;0.0016857316489598637;0.0;0.1253596205410765
3;0.0427;0.2265;-0.0313;28;116.08628662222;0.0175;-34.62516344497;0.0202;5588558501501300480;0.5052;0.0229;-0.812;0.023;2.296;0.024;1.027;15.22124;0.002893;15.630122;0.004652;14.627401;0.003732;1.002721;;;1.225;1229.766;291.674;438.157;1.0;1.6731054411447028;0.009437013739636914;0.8851309403173986;0.09315260638455199
4;0.0803;0.1966;-0.0252;28;116.0871692862;0.0427;-34.62437902778;0.0485;5588558501501299712;0.5033;0.0551;-0.795;0.054;2.305;0.058;0.999;17.096087;0.00287;17.648172;0.008223;16.327484;0.004698;1.320688;;;1.291;1353.035;140.356;287.287;1.0;1.1445666042965201;0.0019593545631649127;0.0;0.03854098298466239
5;0.0806;0.1547;-0.0092;29;116.09613073757;0.0151;-34.64227050025;0.0172;5588558432781824256;0.4725;0.0196;-0.889;0.019;2.301;0.021;1.013;15.035687;0.002767;15.412785;0.003087;14.475279;0.00294;0.937506;;;1.218;4194.3;821.689;1171.575;1.0;1.7684379407889157;0.007861186985291799;0.5110145101698778;0.38819392260763524
6;0.1001;0.1693;0.037;28;116.09385132527;0.0195;-34.62272888006;0.0223;5588558604580510848;0.5322;0.0253;-0.855;0.024;2.378;0.026;1.167;15.170715;0.002769;15.553581;0.003298;14.606934;0.003078;0.946648;;;1.217;3993.425;617.722;835.448;1.0;1.71854913795536;0.0014874149620690007;0.0;0.12860793382238417
7;0.0528;0.1811;-0.0263;29;116.10167812142;0.0242;-34.63967287677;0.027;5588558226623390336;0.4811;0.0307;-0.848;0.032;2.248;0.034;0.977;15.976345;0.002784;16.486979;0.004233;15.298009;0.00313;1.18897;;;1.239;2716.826;341.131;765.927;1.0;1.4240192924668074;0.005826579444919196;0.34359297972555874;0.33869289071118674
8;0.0565;0.0667;0.0389;28;116.0877037461;0.0781;-34.64292820489;0.094;5588558394124385792;0.5055;0.1043;-1.069;0.103;2.14;0.116;0.991;18.219027;0.003155;18.934317;0.027747;17.395239;0.010944;1.539078;;;1.274;706.474;39.329;102.603;0.91;0.9166319351516176;0.002359769065628241;0.0;0.07360635305591985
9;0.118;0.1654;-0.0132;29;116.10500236363;0.1242;-34.63027168743;0.1466;5588558531558852096;0.5714;0.1609;-0.967;0.159;2.394;0.177;1.033;18.878267;0.003361;19.777704;0.037113;18.034962;0.018223;1.742743;;;1.232;564.304;29.338;60.293;0.95;0.8097170162425497;0.002595451649418527;0.0;0.12543211653215808
