;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;0.0558;-0.093;-0.0909;29;304.4286390645;0.0187;38.02979116656;0.0233;2061242598799241344;0.2884;0.025;-3.149;0.024;-4.996;0.029;1.128;15.354485;0.002771;15.725986;0.003626;14.789276;0.003478;0.936709;;;1.224;3716.911;468.822;522.941;1.0;2.822333717373052;0.003622335590089486;0.0;0.0
1;-0.0203;-0.0443;-0.0718;29;304.42730618627;0.0179;38.02780600021;0.0225;2061242598799241216;0.2611;0.0237;-3.193;0.023;-5.03;0.029;0.996;15.430511;0.002773;15.782897;0.003879;14.89293;0.003329;0.889967;;;1.215;3486.542;402.989;597.642;1.0;2.7385876771953126;0.005748145950386964;0.0;0.0
2;0.0593;0.0051;-0.107;25;304.42994619118;0.0808;38.0305324808;0.0859;2061242594490787840;0.2453;0.0957;-3.066;0.099;-4.834;0.11;1.038;17.982103;0.003056;18.888985;0.026427;17.008928;0.00837;1.880056;;;1.346;821.457;41.315;137.593;0.95;1.1978451065180293;0.026011358315059976;1.006454237395772;0.1403006200579349
3;-0.0306;-0.0544;-0.0952;29;304.41754628332;0.0152;38.03026333898;0.0185;2061242770597936768;0.2948;0.0203;-3.303;0.02;-4.963;0.024;1.013;15.079161;0.002765;15.486489;0.003231;14.492001;0.003086;0.994489;;;1.221;4758.626;666.071;822.891;1.0;2.6817176746320786;0.22847238757584307;1.8828192455760833;0.3485807429452368
4;0.0444;-0.0959;-0.0686;29;304.43910688588;0.0271;38.02655406413;0.0315;2061242598799237888;0.2879;0.0352;-3.356;0.035;-4.985;0.042;0.989;16.34738;0.002796;16.736967;0.0081;15.706585;0.006181;1.030382;;;1.266;2281.489;142.786;196.866;0.99;1.9442412744202355;0.005029740492421174;0.0;0.033184566546456476
5;0.0785;-0.1196;-0.1154;27;304.4201706506;0.0083;38.03656250502;0.0102;2061242804957675392;0.2975;0.0115;-3.225;0.011;-5.004;0.014;0.947;13.009325;0.002762;13.334323;0.002908;12.505139;0.002814;0.829184;;;1.207;5548.21;1326.014;2990.959;1.0;6.354180846103795;0.30971688858431434;3.6671232528648443;0.6269008585629143
6;0.0152;-0.0974;-0.0839;29;304.41513822469;0.0104;38.02766180484;0.0124;2061242770597936896;0.2968;0.0139;-3.258;0.013;-5.13;0.016;0.926;14.139648;0.002762;14.505469;0.003063;13.587504;0.002877;0.917965;;;1.218;5498.836;859.547;1545.057;0.97;3.7513290339926413;0.24779707012375296;2.9025272635175154;0.3963427286683324
7;0.027;-0.1042;-0.0479;29;304.42741742763;0.0226;38.0398994984;0.0295;2061242800649217152;0.3673;0.0307;-3.104;0.029;-5.015;0.038;1.007;15.975829;0.002785;16.539909;0.00456;15.25284;0.0032;1.287069;;;1.251;2663.37;301.032;693.301;0.96;1.7553836074890534;0.06392077800956553;1.6175033700159773;0.059073257894761755
8;0.0936;-0.1196;-0.1174;27;304.42749593221;0.0373;38.016121099;0.0438;2061242564439500160;0.2457;0.0488;-2.951;0.047;-4.953;0.058;0.941;16.897797;0.002848;17.896757;0.008878;15.877744;0.00421;2.019013;;;1.366;1503.51;128.828;344.324;0.93;1.325095178488577;0.038265137778016475;1.2456077913178545;0.02002373481821485
9;0.035;-0.1172;-0.0956;27;304.41204020077;0.0099;38.0304396461;0.012;2061242770597937664;0.2818;0.0135;-3.134;0.013;-4.999;0.015;0.935;13.965729;0.002795;14.320259;0.00321;13.424518;0.003139;0.895741;;;1.216;2299.197;684.156;755.316;1.0;4.339476102699425;0.2471851821512106;2.5882458469313536;0.476336461158985
