;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;0.0331;-0.082;-0.0061;25;122.52717985545;0.0892;-37.24153059343;0.1015;5541487515363145088;0.228;0.123;-2.836;0.124;4.269;0.138;1.021;18.287554;0.003117;18.906742;0.023751;17.529686;0.010244;1.377056;;;1.256;745.081;46.032;110.15;0.95;1.2395209011548638;0.004946355191450549;0.0;0.15448434305755934
1;0.0372;-0.0825;-0.0112;25;122.52642681493;0.1006;-37.2420158664;0.1143;5541487515363146496;0.1053;0.1391;-3.003;0.14;4.169;0.156;0.997;18.48798;0.00326;19.159786;0.031958;17.752327;0.018882;1.407459;;;1.219;622.817;34.104;58.141;0.93;1.1874030402060283;0.003725732971150845;0.0;0.14300283510964973
2;0.1239;-0.0316;-0.1309;26;122.52488624243;0.0653;-37.24254957161;0.0722;5541487515371553664;0.1858;0.0868;-2.839;0.089;4.031;0.094;1.027;17.774469;0.002942;18.369408;0.012906;17.067219;0.006558;1.302189;;;1.227;1053.438;86.167;182.948;0.97;1.384369915661521;0.0032608927476779808;0.0;0.1130561796972868
3;0.1841;-0.0649;-0.1366;26;122.53209343348;0.0149;-37.24738205532;0.0181;5541487515371550464;0.2461;0.0213;-3.049;0.021;3.962;0.026;0.983;14.873547;0.002775;15.145707;0.003221;14.427711;0.003011;0.717997;;;1.199;3259.532;674.434;958.436;0.98;3.7786015378378632;0.005101298428057902;0.0;0.0
4;0.2027;-0.0738;-0.1474;25;122.53685242182;0.0208;-37.24196257113;0.0256;5541487515371542528;0.1091;0.029;-2.864;0.029;4.074;0.037;1.141;15.340961;0.002786;15.58069;0.010635;14.851242;0.00494;0.729448;;;1.242;2641.367;105.801;266.348;0.86;3.20572113985052;0.005678372380733385;0.0;0.0
5;0.2023;-0.0735;-0.2153;26;122.53701651499;0.0148;-37.2426034198;0.0176;5541487515371544064;0.2701;0.021;-2.941;0.021;4.06;0.025;1.054;14.711598;0.002769;14.977652;0.00494;14.204926;0.007654;0.772726;;;1.239;3900.105;266.311;152.338;1.0;4.0406400362392665;0.004586211466236215;0.0;0.0
6;0.0989;-0.0774;-0.2121;24;122.53751923825;0.1676;-37.24139366526;0.1919;5541487515363122688;0.0627;0.2309;-3.108;0.226;4.013;0.241;1.097;18.980366;0.003905;19.089056;0.0696;17.958502;0.025143;1.130554;;;1.735;392.388;15.612;43.45;0.81;1.1352385051302676;0.009849508725402675;0.0;0.08920606768153078
7;0.1264;-0.021;-0.1325;26;122.52363904772;0.0573;-37.24810617462;0.0647;5541487476701455360;0.255;0.0775;-3.111;0.075;4.134;0.085;0.962;17.591295;0.002935;18.107058;0.010094;16.930996;0.005919;1.176062;;;1.224;1074.551;111.923;208.003;0.94;1.4505922952541888;0.0039050396328678167;0.0;0.07513533398653786
8;0.1376;-0.0435;-0.1391;26;122.54094198426;0.0187;-37.24335556417;0.0214;5541486759457296768;0.2008;0.0256;-2.921;0.026;4.088;0.029;0.992;15.38376;0.002775;15.682221;0.003353;14.905951;0.003102;0.77627;;;1.205;3268.933;584.175;801.509;0.99;3.127384631847193;0.004692389583299547;0.0;0.0
9;0.1291;-0.0314;-0.0512;25;122.53139877455;0.0385;-37.23357447541;0.0449;5541487515371543040;0.2722;0.0517;-2.881;0.052;4.123;0.063;1.023;16.762293;0.002827;17.167648;0.005198;16.189819;0.004359;0.977829;;;1.212;1714.041;247.578;324.15;0.99;1.8516457343685218;0.0018201108626714434;0.0;0.0
10;0.1216;-0.036;-0.0357;25;122.53300665194;0.0653;-37.23332941968;0.0753;5541487515371540992;0.1946;0.0868;-2.809;0.087;4.036;0.104;1.029;17.703463;0.002984;18.250063;0.009354;17.003126;0.005595;1.246937;;;1.241;947.624;121.605;223.894;0.97;1.4121853549179526;0.003300898616098692;0.0;0.08757401221581133
11;0.1589;-0.049;-0.1468;26;122.53626060682;0.0163;-37.23422645292;0.0191;5541487515371538560;0.2387;0.0227;-2.935;0.022;4.085;0.025;0.98;14.976582;0.002771;15.26825;0.003075;14.506496;0.002989;0.761753;;;1.203;3716.05;840.744;1012.684;1.0;3.638071056641582;0.004337381702006459;0.0;0.0
