;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;-0.0737;-0.0555;-0.0165;17;106.02627454209;0.0196;-6.12756044679;0.0215;3053191271761045376;0.4676;0.0276;-1.158;0.025;-1.01;0.022;1.189;14.434996;0.002784;14.709057;0.003076;13.99434;0.003013;0.714717;;;1.195;2715.62;839.212;953.818;0.98;1.7844725452517678;0.054821312704325914;1.4949968560827565;0.07935273457506796
1;-0.0534;-0.1031;-0.0481;16;106.02930164449;0.0152;-6.12773099298;0.0177;3053191271761043840;0.3419;0.0231;-1.306;0.019;-0.881;0.017;1.177;13.925812;0.002795;14.154063;0.0031;13.540222;0.003044;0.613841;;;1.188;2313.382;804.01;891.364;0.95;2.10716734144248;0.0520456639638624;1.4370616600312127;0.14233464591077694
2;-0.0709;-0.0371;0.0079;17;106.02351195832;0.0803;-6.12276473458;0.087;3053191340480520448;0.4636;0.1114;-1.086;0.1;-0.898;0.088;0.932;17.601871;0.003047;18.169735;0.012771;16.887768;0.011102;1.281967;;;1.242;835.14;87.118;101.035;0.98;1.0017418321747211;0.004182078866352773;0.0;0.229334677132824
3;-0.1399;-0.088;-0.0282;16;106.02683346963;0.018;-6.13254401223;0.0206;3053191271761048576;0.3596;0.026;-1.174;0.023;-0.893;0.02;1.476;13.94888;0.002787;14.180206;0.003067;13.536736;0.002967;0.643471;;;1.201;2611.059;853.272;1076.73;1.0;2.093938429875564;0.024865290823486003;1.4721647699153544;0.0705133437306737
4;-0.1182;-0.0501;-0.0117;17;106.02749503589;0.018;-6.13340364861;0.0199;3053191271761049088;0.4957;0.0255;-1.219;0.023;-1.032;0.022;1.599;13.010312;0.002787;13.232377;0.002884;12.624658;0.002891;0.607719;;;1.192;2596.513;1489.725;1438.048;0.85;2.494253023283208;0.010763859636860123;1.0405931543689713;0.5672273416705963
5;-0.1059;-0.0489;-0.0162;17;106.0354336256;0.0254;-6.13371022822;0.0278;3053191065602613888;0.3634;0.0354;-1.157;0.032;-0.878;0.029;1.017;15.42846;0.002794;15.675383;0.011742;14.86991;0.01215;0.805472;;;1.282;2335.42;95.19;91.816;1.0;1.5637459428564051;0.008695833386329541;0.8035727826071671;0.13359734576669138
6;-0.0941;-0.0716;-0.0138;16;106.02144518967;0.0876;-6.13861413994;0.099;3053191237401316096;0.4733;0.1284;-1.151;0.109;-0.834;0.097;0.959;17.752506;0.003096;18.205542;0.044854;16.887274;0.027636;1.318268;;;1.412;769.569;24.253;39.489;0.98;0.9840760956767213;0.010173671518149508;0.2916887090263487;0.29083857798669965
7;-0.157;-0.0098;-0.1183;14;106.02034323718;0.0789;-6.13813767731;0.0946;3053191237401316480;0.3971;0.122;-1.151;0.094;-0.639;0.087;1.01;17.487518;0.003017;18.105581;0.018927;16.737953;0.01237;1.367628;;;1.25;883.068;57.999;90.092;0.88;0.9568457168320641;0.029911208816680607;0.7844463951339893;0.05982250248187645
8;-0.1022;-0.0761;-0.0332;16;106.02819161143;0.0354;-6.14101962299;0.0353;3053191031242884224;0.404;0.0483;-1.204;0.041;-0.812;0.037;1.018;15.931368;0.002814;16.314671;0.005779;15.362712;0.003396;0.951959;;;1.22;1906.37;214.546;560.906;1.0;1.4023588351622707;0.0031267859928264955;0.0;0.2652009114323725
9;-0.1338;0.0227;-0.1183;16;106.01380208677;0.0309;-6.13435307636;0.0348;3053191237401317632;0.4044;0.0446;-1.046;0.037;-0.757;0.034;1.031;15.63162;0.002797;15.977638;0.00417;15.11019;0.003268;0.867448;;;1.208;2247.1;350.376;638.26;0.94;1.4914430225521795;0.004559702013579068;0.38978356670272135;0.33341103827213375
