;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;0.0811;-0.051;-0.0266;22;244.88835153762;0.0147;-54.96375911574;0.0121;5932089845868761088;1.5048;0.0201;-1.938;0.022;-10.513;0.018;0.945;14.149886;0.002818;14.541025;0.00383;13.587217;0.003435;0.953808;;;1.213;1843.806;413.702;541.881;1.0;1.0693773194336045;0.0006960261355807173;0.0;0.0
1;0.1226;0.0488;0.1343;21;244.80773603992;0.1315;-54.955156611;0.0997;5931715393360285568;1.4917;0.1834;-1.717;0.207;-10.254;0.156;1.023;18.488081;0.003705;19.4238;0.07518;16.933493;0.046211;2.490307;;;2.068;438.454;14.452;23.538;1.0;0.49407805869608423;0.01867023779707057;0.3424033192123462;0.08596943064183762
2;-0.0037;0.0053;0.005;22;244.80930086662;0.0213;-54.96174789846;0.0162;5931715359091355776;1.4192;0.0298;-1.866;0.033;-10.681;0.026;0.698;8.011889;0.002855;7.994732;0.003233;7.980536;0.004799;0.014196;;;1.17;1448.24;664.671;278.099;1.0;3.7596163343473443;0.0777699563019806;3.4467419624428;0.37303856382462075
3;0.083;-0.041;0.057;22;244.88222670411;0.0163;-54.97298783386;0.0126;5932089811509007104;1.4734;0.0224;-1.968;0.024;-10.543;0.019;0.878;11.369574;0.002795;11.499691;0.002838;11.134512;0.002814;0.365179;;;1.166;2315.055;2081.798;2974.969;1.0;1.8890437580581128;0.01558910784600287;1.2028568459454885;0.041705284949461616
4;-0.0376;0.0106;-0.0455;22;244.91046489105;0.0108;-54.93734482302;0.0083;5932089983307756672;1.4682;0.0149;-2.253;0.017;-10.711;0.012;0.783;12.504982;0.002762;12.75595;0.002878;12.10136;0.002805;0.65459;-25.67;10.27;1.186;5716.042;1539.873;3801.781;1.0;1.4712515125545687;0.008857474283667724;0.6771791052481306;0.2366599824991801
5;-0.0083;-0.0019;0.0583;22;244.90709073397;0.044;-54.912343391;0.0365;5932090464344158592;1.4297;0.0619;-1.855;0.065;-10.614;0.053;1.014;16.731096;0.002866;17.539864;0.005355;15.855707;0.003498;1.684156;;;1.287;1378.285;237.562;514.438;1.0;0.6850611043617917;0.0006924184934693384;0.0;0.017924429949532344
6;0.0311;0.0282;-0.0598;20;244.76921381863;0.0122;-54.95135780284;0.0086;5931715560837501824;1.4838;0.0165;-2.054;0.018;-10.848;0.014;0.859;13.053244;0.002765;13.346578;0.00305;12.531057;0.008215;0.81552;-16.71;7.75;1.234;4721.521;881.529;140.518;1.0;1.2993210663456318;0.010306035773752135;0.8156493280157013;0.05530989737771873
7;-0.0192;-0.0029;0.0412;21;244.85691571385;0.017;-54.99648232146;0.013;5931714465738750336;1.5124;0.0238;-1.803;0.026;-10.48;0.02;1.486;13.479192;0.002784;13.846393;0.003232;12.930038;0.003016;0.916354;;;1.215;2706.273;665.733;947.419;1.0;1.182979161543741;0.011328611577595786;0.7959586867389835;0.04897324511736026
8;-0.0066;0.0405;0.0364;22;244.94228131633;0.0151;-54.95172318893;0.013;5932089777149262208;1.4667;0.0214;-2.161;0.023;-10.57;0.019;1.009;14.171085;0.002807;14.555178;0.003596;13.612864;0.003218;0.942314;;;1.213;2016.217;478.713;677.121;1.0;1.065287095347983;0.0007293844918364547;0.0;0.0
9;0.0874;-0.0428;0.0623;22;244.76956567292;0.0164;-54.92520286625;0.0113;5931715668329014400;1.5026;0.0212;-2.001;0.024;-10.503;0.018;0.809;9.762041;0.002768;9.786239;0.002825;9.688556;0.00281;0.097683;;;1.16;4160.685;2468.858;3277.591;1.0;3.0988371630830733;0.0008446325871671477;0.0;0.0
10;-0.0057;-0.0003;0.0424;22;244.92316143425;0.0468;-54.91097254661;0.0384;5932090391222019584;1.3808;0.0644;-1.921;0.07;-10.335;0.055;1.305;16.339245;0.002844;17.004278;0.005411;15.447182;0.004136;1.557096;;;1.35;1543.145;234.166;355.622;1.0;0.7302809859283544;0.0009769723067140613;0.0;0.06172065139347235
11;0.1236;0.0968;-0.0147;18;244.75832006862;0.0389;-54.9571983113;0.0274;5931715526478103040;1.4936;0.0557;-2.094;0.064;-10.921;0.045;1.013;16.379286;0.002859;17.098558;0.007297;15.550723;0.003918;1.547835;;;1.277;1422.413;161.039;394.64;1.0;0.7215015111696617;0.0007729076490740702;0.0;0.014865868510147475
12;0.1129;-0.0509;0.0629;22;244.75003430203;0.0369;-54.91601423363;0.0252;5931727419362121088;1.4573;0.0475;-2.113;0.054;-10.601;0.04;1.012;16.238222;0.002802;16.93545;0.005312;15.414102;0.003163;1.521348;;;1.281;2121.059;240.18;728.888;1.0;0.738113300842705;0.0006345039710913661;0.0;0.031169681329474144
13;-0.0311;-0.0575;0.0257;22;244.91023124266;0.0156;-55.00462430159;0.0122;5931714225219961216;1.463;0.0205;-1.589;0.023;-10.63;0.019;0.939;14.178274;0.002831;14.565092;0.003951;13.616618;0.003539;0.948474;;;1.214;1670.614;388.168;498.657;1.0;1.063920267575465;0.0007352534475803909;0.0;0.0
14;0.0538;-0.0485;0.0222;21;244.89069255594;0.024;-54.88105335436;0.0164;5932091323337703168;1.3991;0.0309;-2.092;0.033;-10.587;0.024;0.836;8.246547;0.002773;8.275842;0.00284;8.1413;0.002851;0.134542;;;1.17;3477.662;2055.33;1854.64;1.0;3.8610844427247586;0.008949563875983753;0.6963415470393408;0.897585664724741
