;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;0.0835;-0.1876;0.111;25;202.29853394643;0.0117;-61.19748487452;0.0143;5868668812531263360;0.5223;0.0192;-3.465;0.018;-1.649;0.02;0.933;14.544615;0.002768;14.789858;0.003207;14.137429;0.00308;0.652429;;;1.191;4173.804;686.277;832.102;1.0;2.05404478133245;0.0026824292499213415;0.0;0.0841359068203077
1;0.2963;0.0029;0.0604;27;202.32493108142;0.024;-61.21617908044;0.0287;5868667987897207424;0.471;0.0405;-3.563;0.031;-1.348;0.037;1.021;16.306456;0.002784;16.818096;0.004732;15.615117;0.003349;1.202979;;;1.248;2742.219;284.077;586.136;0.98;1.3241137045254427;0.004245281483313696;0.25586129529041246;0.3248027242645966
2;0.3861;0.1716;0.1504;26;202.31924621921;0.0346;-61.19461777584;0.0394;5868668743811497856;0.4229;0.0546;-3.581;0.042;-1.27;0.049;1.176;16.421665;0.003127;16.742167;0.025997;15.071198;0.015818;1.670969;;;2.0;734.179;42.007;69.734;0.83;1.230808800815161;0.026509287306132685;1.0534063663210467;0.031177040868485717
3;0.271;0.0014;0.1055;28;202.27243806324;0.0128;-61.22222064235;0.015;5868668640732225408;0.4589;0.0206;-3.57;0.016;-1.466;0.019;1.106;11.327006;0.002768;11.475106;0.002829;11.044837;0.002811;0.430269;;;1.179;4074.104;2331.348;3162.855;0.99;5.324060580265348;0.16287472822640348;4.791495515134946;0.21579940687575114
4;0.3992;0.0763;0.1075;25;202.28538743947;0.0298;-61.19107218032;0.0347;5868668812530982528;0.3969;0.0502;-3.488;0.038;-1.82;0.044;1.019;16.646597;0.002805;17.250652;0.004803;15.913839;0.003487;1.336813;;;1.242;2063.615;277.713;519.116;0.96;1.2009678374939745;0.02491762303210449;0.8198884854055588;0.08377040085257872
5;0.2715;-0.0213;0.0391;26;202.28481800554;0.1189;-61.22664114495;0.1365;5868667884777580672;0.5734;0.1884;-3.754;0.149;-1.651;0.17;1.018;18.898355;0.003489;20.063864;0.035387;17.898304;0.010801;2.16556;;;1.305;507.291;30.778;104.056;0.91;0.8160877047008297;0.007611466660836982;0.5250824526843558;0.15723369976284282
6;0.3897;0.1133;0.0728;24;202.287296873;0.0196;-61.18812728365;0.0243;5868669018689420160;0.5443;0.0338;-3.512;0.025;-1.472;0.029;0.99;15.774086;0.002784;16.307354;0.005307;15.061105;0.003467;1.246249;;;1.255;2721.938;240.509;527.68;0.99;1.3366666715375843;0.027292170882362573;1.1534368187880562;0.07578550844949603
7;0.3259;-0.052;-0.0046;27;202.3292301305;0.0073;-61.22548561181;0.009;5868667919177713024;0.4452;0.0123;-3.64;0.009;-1.425;0.011;0.897;12.775411;0.002761;12.959579;0.002827;12.450228;0.002813;0.509352;;;1.18;6277.34;2388.556;3050.234;0.85;3.652691384472094;0.14272167694457324;1.9299895274621433;0.29978869368758004
8;0.3189;-0.0739;0.0346;27;202.2642517559;0.0075;-61.22347626101;0.009;5868668606372483584;0.4737;0.0122;-3.7;0.01;-1.789;0.011;0.918;13.15007;0.002767;13.355546;0.002847;12.791597;0.002832;0.563949;;;1.186;4255.262;1921.82;2249.804;0.98;3.1375637344619336;0.1468624645101771;1.8100350310443614;0.2545089242312876
9;0.3666;0.0467;0.1094;25;202.28801034645;0.0283;-61.18653483573;0.0293;5868669018689422720;0.4191;0.0424;-3.667;0.034;-1.731;0.037;1.73;15.118732;0.002785;15.377661;0.007299;14.567419;0.005358;0.810242;;;1.271;2663.459;160.973;237.367;0.96;1.7382188573390724;0.002615237195996562;0.0;0.13630856974463235
10;0.3205;0.0606;0.0875;28;202.26234937861;0.0164;-61.19388064669;0.0198;5868668915610190080;0.4921;0.0265;-3.715;0.021;-1.496;0.026;1.195;15.089878;0.002768;15.448869;0.00305;14.519353;0.00395;0.929516;;;1.233;4082.376;882.242;388.259;0.94;1.6645348735215624;0.020458865852682934;1.0622044078190584;0.0713477673388048
11;0.3165;-0.0061;0.0363;28;202.27455565482;0.0119;-61.23097953197;0.0144;5868667850458227200;0.4738;0.0195;-3.477;0.015;-1.52;0.018;1.007;14.757354;0.002765;15.035279;0.002944;14.292685;0.003193;0.742595;;;1.207;4802.52;1157.702;699.134;1.0;1.9075396287009279;0.012996054573901268;0.42352071877215813;0.42623462361667896
12;0.3355;-0.049;-0.0149;28;202.24681520516;0.0127;-61.20658186316;0.0156;5868668675091993984;0.5204;0.0211;-3.483;0.017;-1.522;0.02;0.999;14.890909;0.002765;15.190247;0.002941;14.416309;0.002879;0.773937;;;1.202;4655.26;1165.832;1534.147;1.0;1.8308552903897624;0.007928164171567815;0.30251042296807895;0.384186384896074
13;0.3949;0.0266;-0.0003;26;202.26244632993;0.0265;-61.18886286231;0.0339;5868668915610203008;0.5104;0.0457;-3.49;0.034;-1.805;0.043;0.989;16.430977;0.002792;16.929253;0.003982;15.756045;0.003312;1.173207;;;1.242;2406.22;382.081;608.178;0.99;1.2963316860875955;0.001942338397410884;0.0;0.043021780065863255
14;0.2709;-0.0163;0.0548;28;202.26984275993;0.0318;-61.23327886225;0.0371;5868667850458224256;0.5325;0.0509;-3.594;0.041;-1.579;0.048;1.013;16.830597;0.003159;17.604746;0.007112;15.964705;0.005549;1.64004;;;1.29;702.717;165.975;226.367;0.99;1.025532193302952;0.022890553038690534;0.9384768153801472;0.03871614848495941
15;0.3066;-0.0192;0.0111;28;202.24387850031;0.0205;-61.21907361095;0.0231;5868668675091969664;0.4715;0.0322;-3.567;0.027;-1.459;0.03;0.985;15.947903;0.002774;16.425095;0.003638;15.296576;0.003067;1.128519;;;1.234;3357.03;465.032;852.827;0.99;1.4122585734965205;0.00466311885101612;0.2518550805805624;0.34006083269149107
16;0.268;-0.0044;0.0864;27;202.24527223326;0.0486;-61.1955444072;0.0521;5868668881210238720;0.3118;0.0736;-3.608;0.064;-1.586;0.069;1.158;17.275707;0.002905;17.759758;0.01347;16.256756;0.011713;1.503002;;;1.54;1177.896;82.389;95.444;0.8;1.0357161414672449;0.0095421497911156;0.6073460960139235;0.22678666413329007
17;0.3185;0.0448;0.1499;27;202.33459406294;0.0589;-61.23631145005;0.0633;5868667713019266432;0.5536;0.0913;-3.565;0.078;-1.569;0.086;0.968;17.726067;0.003023;18.469843;0.011007;16.865812;0.007228;1.604031;;;1.295;872.246;101.976;162.846;0.99;0.9723977848965685;0.0036359083895972696;0.21436723449338874;0.27217348904193056
18;0.2862;-0.014;0.0342;27;202.27980905905;0.0294;-61.24020534753;0.0341;5868667781738736768;0.5186;0.0469;-3.45;0.037;-1.392;0.044;0.967;16.672049;0.002806;17.284899;0.004324;15.923329;0.003361;1.361569;;;1.251;2037.073;328.657;579.412;0.99;1.179684334636553;0.024736732717262535;0.8540357756487986;0.037817673274075744
19;0.3997;-0.0558;-0.0636;26;202.24395433683;0.009;-61.1893852823;0.0116;5868668949969939840;0.5174;0.0154;-3.462;0.011;-1.597;0.015;0.977;13.932661;0.002768;14.130027;0.002836;13.592444;0.002822;0.537582;;;1.181;4106.752;2128.273;2573.673;1.0;2.5678535676217122;0.0025432120038085897;0.0;0.0
