;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;-0.0145;-0.0857;-0.0138;26;328.34869062036;0.1105;47.23537254347;0.1104;1974545896478048768;1.2092;0.1337;-3.306;0.136;-2.803;0.133;1.001;18.608942;0.014502;20.399511;0.12248;17.233292;0.044521;3.16622;;;1.634;76.257;8.867;24.435;0.65;0.7656700719892962;0.03380911872554734;0.42528069007020036;0.21295602678709485
1;-0.0121;-0.0596;0.1137;26;328.34466633286;0.0887;47.23988162344;0.0866;1974545900779586560;1.3032;0.106;-3.281;0.115;-2.901;0.099;1.118;17.833622;0.004529;19.573723;0.051722;16.434107;0.009774;3.139616;;;1.674;302.036;21.022;115.911;0.62;0.8954326679436568;0.042518800496014475;0.746861271956934;0.06464885755026481
2;-0.0999;-0.0837;0.0929;25;328.35461837998;0.0123;47.23338117784;0.0124;1974545900779588736;1.314;0.0156;-3.087;0.016;-2.385;0.014;1.142;12.940945;0.002766;13.32728;0.002886;12.331392;0.00289;0.995888;;;1.246;4525.198;1471.994;1443.045;0.81;4.424728546298363;0.012612292104171132;0.0;0.0
3;-0.0501;-0.117;0.0341;25;328.33833310176;0.0325;47.23402687616;0.0304;1974545900779587328;1.2875;0.0383;-3.177;0.042;-2.68;0.035;1.02;16.30481;0.003025;17.759329;0.015599;15.09935;0.00453;2.659979;;;1.468;870.121;70.743;304.286;0.85;1.189839471750409;0.026027744302797105;1.0393833423889973;0.08365058122423723
4;-0.1139;-0.0603;0.0153;26;328.37141786269;0.0197;47.24551930242;0.0196;1974546003858802944;1.4011;0.0242;-2.874;0.027;-2.58;0.023;1.84;13.933989;0.003024;14.781462;0.005827;13.018038;0.004463;1.763424;;;1.311;871.256;212.242;311.652;0.79;2.8541419095685314;0.004070722927156015;0.0;0.0
5;-0.1082;-0.022;0.0547;26;328.3356111985;0.1192;47.243271806;0.1126;1974545965197527552;1.3841;0.1404;-3.379;0.156;-2.549;0.133;1.017;18.576105;0.003479;20.635336;0.082452;17.250687;0.00989;3.384649;;;1.536;511.056;13.176;114.424;0.51;0.7408488212262072;0.017840626721789116;0.5673633994364631;0.09154391937321829
6;-0.1475;-0.1021;0.1815;26;328.34747571975;0.165;47.25344859872;0.1546;1974546068276745472;1.3573;0.1966;-3.141;0.213;-2.545;0.182;1.009;18.991459;0.003626;21.155729;0.200998;17.508821;0.017608;3.646908;;;1.748;460.627;5.402;62.452;0.75;0.7117223276671265;0.01017920099322812;0.4449439212860633;0.12653190023093822
7;-0.0946;-0.0174;0.0515;27;328.36555997203;0.0233;47.25317880806;0.0227;1974546003858801152;1.3109;0.0283;-3.005;0.031;-2.858;0.028;1.099;15.667751;0.003101;16.883636;0.008189;14.568544;0.004582;2.315092;;;1.395;763.644;141.032;298.757;0.86;1.3338513702636974;0.010247815188049314;0.6183201888009361;0.4087973418788248
8;-0.0554;-0.0797;-0.0161;26;328.37710683735;0.0362;47.2455333349;0.0338;1974545282304297856;1.3961;0.0432;-3.045;0.046;-2.744;0.04;1.029;16.543364;0.007335;17.913149;0.027439;15.349444;0.018639;2.563704;;;1.469;159.718;39.775;58.914;0.81;1.1723121174385698;0.02793915135687165;0.9439256803990207;0.10967907123408899
9;0.1122;-0.0959;0.0865;26;328.37334161217;0.1469;47.2295378329;0.1384;1974545243643018880;1.1419;0.1637;-3.175;0.189;-2.985;0.161;1.037;18.636843;0.003457;20.529791;0.075282;17.276924;0.008392;3.252867;;;1.6;519.961;14.432;137.188;0.66;0.7464302128118223;0.022957703810075433;0.4977940240109582;0.13974604116436795
10;-0.0632;-0.0665;0.0714;26;328.32706375315;0.0753;47.23895214826;0.0701;1974545935135270016;1.2981;0.0887;-3.214;0.095;-2.847;0.083;1.128;17.641129;0.003156;19.714411;0.041425;16.317343;0.006847;3.397068;;;1.532;705.203;26.269;173.655;0.74;0.897517419478572;0.04116778819143953;0.7658914638552132;0.06168983806399341
