;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;0.4107;-0.0495;-0.0758;18;290.62703521637;0.0851;12.66887273642;0.0892;4316088639494094464;0.1963;0.1152;-1.762;0.104;-4.616;0.106;1.034;18.06671;0.003001;19.376749;0.020497;16.955185;0.005713;2.421564;;;1.389;912.318;53.467;217.785;0.94;1.948299399800564;0.013138907598433482;0.0;0.22026571850242
1;0.2968;-0.0706;-0.0867;18;290.62277742288;0.0893;12.6639543922;0.0922;4316088643804275328;0.4431;0.1303;-1.944;0.109;-4.711;0.106;1.699;17.288486;0.003725;18.506275;0.00954;16.109989;0.00397;2.396286;;;1.483;433.094;119.013;384.517;0.9;2.41545314360542;0.01777047478491981;0.0;0.3948463441924955
2;0.3442;-0.0818;-0.1378;19;290.63340509038;0.0278;12.66097807297;0.0283;4316088643804269440;0.2748;0.0394;-1.814;0.034;-4.65;0.033;1.024;16.133242;0.002797;17.285702;0.005261;15.063905;0.003159;2.221797;;;1.378;2259.268;243.423;733.029;0.99;2.684569028282989;0.040467948826957145;2.50800078891963;0.18871850113486552
3;0.4011;-0.0958;-0.1537;19;290.62505658112;0.0549;12.67134693893;0.0554;4316088708213603968;0.2948;0.0733;-1.96;0.068;-4.683;0.065;0.976;17.314163;0.00286;18.493731;0.009526;16.254194;0.004272;2.239536;;;1.362;1417.467;119.209;335.68;0.96;2.385791293812635;0.006635553142252631;0.0;0.07001286114541527
4;0.3421;-0.0825;-0.1153;19;290.62154215599;0.0577;12.66249371296;0.0592;4316088265847153536;0.3233;0.0821;-1.968;0.071;-4.657;0.068;1.004;17.466867;0.002874;18.671099;0.012257;16.399796;0.004527;2.271303;;;1.364;1329.983;90.97;304.516;0.95;2.2967451423159986;0.007182033491761252;0.0;0.05675994292984275
5;0.3583;-0.105;-0.1219;19;290.62005067293;0.0329;12.66584559045;0.033;4316088712523753600;0.3726;0.0451;-1.842;0.041;-4.666;0.038;0.986;16.352985;0.002802;17.476881;0.0054;15.291437;0.003556;2.185444;;;1.377;2141.846;234.817;492.507;0.98;2.809199258363787;0.08803129769767443;0.2677800555743893;0.7618285469649393
6;0.4137;-0.1097;-0.1529;19;290.6208519423;0.0752;12.668794807;0.0774;4316088712523754112;0.182;0.1061;-1.967;0.093;-4.534;0.089;1.156;17.61854;0.00304;18.978662;0.012822;16.450045;0.003951;2.528618;;;1.442;845.212;86.757;388.04;0.77;2.0406061730037677;0.10818249500968793;1.2496387983281139;0.511445010804582
7;0.4393;-0.0356;-0.0589;18;290.62006651927;0.13;12.66832591636;0.136;4316088712514674816;0.3865;0.1753;-2.035;0.167;-4.886;0.166;0.981;18.750048;0.003324;20.169832;0.042417;17.57963;0.00779;2.590202;;;1.433;583.71;25.652;149.269;0.73;1.5844019492483745;0.04420620406339095;0.20498958680921964;0.3996761497308976
8;0.3573;-0.071;-0.1336;19;290.62324482609;0.0653;12.67230043152;0.0672;4316088708213604224;0.4442;0.0908;-1.871;0.08;-4.71;0.078;0.972;17.68998;0.002938;18.905079;0.01423;16.627409;0.004732;2.27767;;;1.357;1063.989;77.812;284.088;0.93;2.1654182867435203;0.00879847983764459;0.0;0.06702248069913906
9;0.4513;-0.0265;-0.0835;17;290.62809873772;0.1408;12.67412567756;0.1459;4316088708213589376;0.237;0.1816;-1.684;0.177;-4.463;0.175;1.02;18.775137;0.003333;20.182911;0.038982;17.650206;0.008652;2.532705;;;1.385;578.72;27.924;132.58;0.82;1.5703489362249714;0.035917556685139136;0.20005971636600478;0.38202889913072663
10;0.3357;-0.0759;-0.1119;19;290.62819279275;0.0587;12.65582599345;0.0604;4316088265847148928;0.3318;0.0841;-1.792;0.073;-4.457;0.07;1.01;17.489983;0.002872;18.695156;0.012518;16.413853;0.004791;2.281303;;;1.373;1342.505;88.969;278.731;0.91;2.2849634180355682;0.007051026270829621;0.0;0.12544699423975159
11;0.3492;-0.0886;-0.1;19;290.63777215485;0.0339;12.6657853994;0.0351;4316088643804268800;0.2707;0.0482;-1.94;0.042;-4.716;0.041;1.016;16.472759;0.002823;17.696175;0.005707;15.327841;0.004143;2.368334;;;1.443;1765.899;218.088;354.556;0.97;2.7320040385096735;0.09010771196020256;0.9621807446916858;0.9483443017809181
12;0.4031;-0.0203;-0.0707;18;290.63769924055;0.1323;12.66841374313;0.14;4316088639494091648;0.1749;0.1788;-1.911;0.165;-4.823;0.168;1.012;18.806849;0.003331;20.392899;0.040149;17.675554;0.01041;2.717344;;;1.362;579.986;27.108;108.263;0.79;1.5306529289016353;0.04755196675911443;0.4173753763699432;0.4853362103717663
13;0.2912;-0.0734;-0.1065;19;290.61788759485;0.0167;12.66698218243;0.017;4316088334566632960;0.3485;0.024;-1.776;0.02;-4.651;0.02;1.018;14.896704;0.00279;16.749441;0.003961;13.625609;0.002907;3.123832;;;1.489;2473.029;386.131;1332.825;0.99;3.096058909151739;0.0074439907519029845;0.0;0.20482899349941197
14;0.4519;-0.05;-0.1177;19;290.63590613253;0.0666;12.65811570102;0.0699;4316088643804266752;0.2842;0.0904;-1.862;0.084;-4.752;0.082;0.954;17.644449;0.002911;18.889097;0.017759;16.557972;0.00418;2.331125;;;1.375;1155.014;61.905;348.814;0.96;2.1930657233756037;0.008794918549744941;0.0;0.13789103379681647
15;0.3248;-0.0754;-0.1413;19;290.62399633068;0.0243;12.67463866024;0.0244;4316088712523754240;0.2817;0.0339;-1.819;0.029;-4.603;0.028;0.974;15.80598;0.002787;16.977909;0.004422;14.733576;0.003006;2.244333;;;1.377;2604.108;316.535;970.221;0.99;2.809404200455582;0.031502141550039074;2.6844972254786033;0.051313087529717145
16;0.4765;0.0804;-0.0394;17;290.63113069653;0.1022;12.67559984818;0.1064;4316088742573333632;0.4572;0.1363;-1.563;0.135;-4.678;0.131;1.004;18.215139;0.003097;19.909067;0.040244;16.953409;0.006408;2.955658;;;1.498;768.063;27.044;188.211;0.57;1.584344044844954;0.06563790822654961;1.3683664470210248;0.0941022706815683
17;0.3637;-0.0278;-0.1556;18;290.62887381613;0.0828;12.67608522368;0.0832;4316088712523752704;0.2311;0.1134;-2.126;0.102;-4.737;0.095;1.045;17.655342;0.003006;20.190182;0.040148;16.211035;0.003845;3.979147;;;1.662;904.25;27.109;410.385;0.59;1.6718630319706622;0.06401356871736973;1.4857335139260501;0.07563837520219227
18;0.4058;-0.112;-0.1805;19;290.61741225696;0.0516;12.66069302331;0.0534;4316088261535833984;0.1769;0.0736;-1.708;0.063;-4.749;0.062;1.236;16.905405;0.002918;18.138538;0.008613;15.766294;0.004307;2.372245;;;1.435;1130.007;133.241;330.905;0.64;2.5959069174152902;0.038922953318548864;0.2588239284947948;0.5252366335868046
19;0.4275;-0.0469;-0.1139;19;290.63999610932;0.0617;12.66365574585;0.0642;4316088643795167104;0.2873;0.0829;-1.802;0.077;-4.527;0.075;0.985;17.498453;0.002931;18.40427;0.021429;15.658818;0.015341;2.745452;;;2.606;1086.026;51.103;71.973;0.97;2.1876149513046514;0.0752056170672591;1.833544921115787;0.12244103617677315
20;0.3436;-0.0779;-0.1588;19;290.62393951489;0.0333;12.6541062408;0.0343;4316088261535827328;0.2613;0.0482;-1.8;0.041;-4.561;0.04;1.076;16.368013;0.002809;17.555616;0.006587;15.253208;0.004884;2.302408;;;1.418;1995.347;181.977;270.889;0.98;2.7823326167888367;0.10130252701314592;0.5894380966144334;0.9832473286142073
