;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;0.2882;0.281;0.0699;21;48.67794242743;0.0302;52.69313761461;0.0297;445995593069493504;0.4455;0.0418;-0.376;0.042;-1.31;0.041;0.959;16.179077;0.002789;16.887501;0.005254;15.348134;0.003325;1.539367;;;1.283;2500.509;243.851;600.226;0.99;1.4327366323294157;0.02885335348938228;1.2842849633373274;0.04047417923709188
1;0.3584;0.3277;0.1265;20;48.67440609191;0.0323;52.6921891085;0.0313;445995593069494528;0.4802;0.0446;-0.443;0.045;-1.284;0.044;1.019;16.250908;0.002815;16.926195;0.006146;15.428967;0.004214;1.497229;;;1.287;1890.935;198.255;343.864;0.94;1.5145529983253334;0.014716175587719746;1.0544374249215638;0.04709789173126123
2;0.3535;0.405;0.107;19;48.67468800074;0.0112;52.69531935577;0.0103;445995593069492992;0.4323;0.0157;-0.19;0.016;-1.293;0.015;1.16;13.318828;0.002851;14.031443;0.003568;12.473662;0.003575;1.55778;;;1.293;1480.46;488.092;485.878;0.98;2.256923002230036;0.025588175843428623;2.1179732481407894;0.011721341354093738
3;0.3533;0.4068;0.1168;19;48.67492259598;0.0977;52.69692181449;0.0924;445995588773064576;0.3699;0.1356;-0.43;0.139;-1.182;0.131;0.973;18.164282;0.003064;18.937975;0.028148;17.216352;0.015909;1.721622;;;1.363;810.236;38.763;69.32;0.92;1.070519670672873;0.004394249412429584;0.0;0.19168301484299455
4;0.2399;0.3523;0.0449;20;48.68325756695;0.0188;52.69246571332;0.0173;445995593069493248;0.5082;0.0256;-0.268;0.026;-1.33;0.024;1.077;14.853218;0.002772;15.470928;0.003379;14.086207;0.003021;1.384721;;;1.264;3623.98;569.483;936.984;0.97;2.0041174936560058;0.015235194208174012;0.6086173732461837;0.5868240891949151
5;0.3151;0.2939;0.0381;21;48.6797614349;0.0803;52.68857981247;0.0795;445995593064565504;0.486;0.1112;-0.502;0.11;-1.267;0.11;1.032;17.954998;0.002951;18.836796;0.022058;17.006142;0.010973;1.830654;;;1.331;1026.908;49.621;102.305;0.87;1.0265691643394197;0.031549745716903284;0.8687827328531467;0.06375149778893098
6;0.3618;0.3539;0.1104;20;48.68064683293;0.0655;52.69755421873;0.0631;445995588771156480;0.4652;0.0911;-0.449;0.092;-1.464;0.089;1.073;17.503012;0.002882;18.317375;0.016983;16.653873;0.006487;1.663502;;;1.263;1286.293;64.813;185.399;0.85;1.2100918594415588;0.005219173799337014;0.0;0.24936772460771747
7;0.2542;0.2149;0.0177;21;48.6666880552;0.0207;52.69501781975;0.0207;445995593069494144;0.4554;0.0288;-0.221;0.028;-1.329;0.028;1.02;15.437049;0.002771;16.056847;0.004037;14.6705;0.00324;1.386347;;;1.263;3732.733;372.105;659.6;0.98;1.7600544214169562;0.034520073554406554;1.3144377230585869;0.08406944515232062
8;0.3203;0.2024;-0.0289;20;48.6831853866;0.0189;52.6886470071;0.0194;445992638131995264;0.3826;0.0262;-0.258;0.025;-1.405;0.026;1.191;14.746687;0.002772;15.362313;0.003633;13.969843;0.003169;1.39247;;;1.272;3608.984;466.606;722.566;0.88;2.032467844529232;0.014860283888530187;0.5333634887718377;0.6254848038857945
9;0.3601;0.1793;-0.048;20;48.68232061162;0.0118;52.68665394686;0.0122;445992638131996544;0.4946;0.0165;-0.42;0.016;-1.431;0.017;1.177;12.155194;0.002761;13.366469;0.002892;11.076531;0.002813;2.289938;-44.54;0.68;1.374;6044.618;1425.294;3062.207;0.78;2.3087146627788417;0.0290730939116548;1.10718007080944;0.8795177341836835
10;0.2972;0.2435;0.0569;21;48.67212526816;0.032;52.68512293353;0.0308;445995593069498112;0.4426;0.0436;-0.268;0.043;-1.225;0.042;1.024;16.258951;0.002797;16.905464;0.004888;15.47969;0.003227;1.425775;;;1.263;2268.248;270.507;669.406;0.99;1.5730878647174305;0.002071292138880044;0.0;0.1982668330856359
11;0.3031;0.2846;-0.0418;19;48.69247793517;0.0326;52.69361355413;0.0332;445992672491730304;0.4434;0.0465;-0.385;0.044;-1.26;0.045;1.002;16.198664;0.002792;16.931543;0.005198;15.35962;0.003606;1.571923;;;1.281;2420.551;247.574;475.356;0.99;1.3961534576821268;0.02044587678068667;1.3183220982882469;0.025336354507060427
12;0.284;0.2446;0.1015;21;48.68023638425;0.038;52.70293732967;0.0375;445995627429227136;0.4239;0.0532;-0.533;0.053;-1.209;0.051;1.793;15.669392;0.00282;16.303183;0.006045;14.817174;0.004776;1.486009;;;1.327;1809.312;202.467;280.089;0.75;1.578820807146554;0.0300492651861278;1.4703204910555976;0.03976174171710643
13;0.259;0.198;-0.0001;21;48.6600952573;0.0126;52.69732826574;0.0126;445995661788970496;0.4453;0.0175;-0.335;0.017;-1.223;0.017;1.118;14.219607;0.002764;15.179864;0.002995;13.251256;0.00285;1.928608;;;1.326;4993.502;998.478;1868.323;0.99;2.145226198812893;0.007836682571444776;1.3814247227622163;0.10718159673894764
14;0.3669;0.1256;-0.0347;21;48.692435648;0.0119;52.68928968836;0.0121;445992638131994240;0.4705;0.0165;-0.237;0.017;-1.2;0.017;1.063;13.947636;0.002767;14.941026;0.003108;12.96296;0.002824;1.978065;;;1.333;4331.877;792.436;2486.742;0.99;2.204121953522304;0.01382467593891053;1.5111086672728655;0.05005313025462162
