;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;-0.2081;-0.0911;0.1757;16;84.21615543953;0.034;31.20693746507;0.0251;3447643228585931392;0.5753;0.0379;0.769;0.05;-3.835;0.031;1.095;15.523674;0.002881;16.298092;0.005697;14.64313;0.003517;1.654962;;;1.303;1289.188;218.588;507.253;1.0;1.4734882274118504;0.02384862471538835;1.4010941232318208;0.02537269076137039
1;-0.0958;0.0633;0.0795;16;84.22525440314;0.0492;31.20860214175;0.0366;3447643232881122688;0.63;0.0539;0.73;0.064;-3.559;0.043;1.036;16.320541;0.002856;17.063351;0.007545;15.461068;0.004108;1.602283;;;1.295;1441.502;154.888;360.132;1.0;1.3778788142734155;0.0235792058876626;0.864241184251009;0.0958572897023302
2;-0.0846;-0.0258;0.044;15;84.22999186824;0.021;31.20597728841;0.0155;3447643267240860800;0.5829;0.023;0.804;0.027;-3.932;0.018;1.012;14.439403;0.002772;14.963889;0.003098;13.735256;0.003281;1.228633;;;1.253;3567.903;806.101;629.284;0.99;2.332380275704626;0.0748024653973602;1.626438301794644;0.09663534036631011
3;-0.0195;0.0577;0.0782;17;84.22758535546;0.153;31.19743660884;0.1157;3447643022427492096;0.6358;0.1656;0.997;0.208;-3.846;0.138;0.966;18.365829;0.003552;19.570389;0.051491;17.356915;0.012523;2.213474;;;1.305;484.197;21.117;88.934;0.98;0.8274428970143923;0.02211102469834811;0.6933845705985648;0.04350301956000588
4;-0.1285;0.2486;-0.0475;14;84.23360504319;0.1025;31.20254779095;0.0709;3447643056787234816;0.5162;0.1149;0.636;0.129;-3.751;0.081;0.959;17.473921;0.003064;18.428652;0.012901;16.542036;0.012014;1.886616;;;1.294;809.524;86.199;92.909;0.99;1.0086389913024194;0.03409490553502615;0.8469574032542795;0.05767793343307223
5;-0.0879;0.0901;0.106;17;84.22631082288;0.0504;31.19298461682;0.038;3447643026722695552;0.5461;0.0556;0.516;0.068;-3.593;0.045;0.99;16.415535;0.002826;17.211466;0.010564;15.518858;0.004117;1.692608;;;1.31;1728.646;106.562;358.7;0.99;1.2571070658693586;0.03583463611464192;1.1006531962686368;0.05866934394227507
6;-0.0962;0.0538;0.087;16;84.214125763;0.0269;31.21982163976;0.0199;3447643301600598656;0.5829;0.0292;0.655;0.035;-3.669;0.023;0.98;15.017909;0.00278;15.540956;0.00331;14.318263;0.00313;1.222692;;;1.25;2954.628;609.904;765.937;1.0;2.080550851311795;0.02894780245991202;0.977063468481159;0.2215645828075686
7;-0.0831;-0.0907;0.1173;17;84.23910985884;0.044;31.1945479864;0.0339;3447643026722693120;0.694;0.0487;0.681;0.059;-3.762;0.04;1.013;16.039591;0.002834;16.729237;0.009128;15.122406;0.010033;1.606831;;;1.364;1638.823;124.927;112.66;1.0;1.3915002194416397;0.0415491389292924;1.1702881551219049;0.06429302160165846
8;-0.0608;0.1245;0.0966;17;84.24254125462;0.122;31.20887170626;0.0929;3447643056787240704;0.6823;0.1348;0.842;0.165;-3.655;0.11;1.011;18.046947;0.003307;19.084415;0.030217;17.061329;0.008863;2.023087;;;1.322;593.616;36.085;129.069;0.99;0.8890738103835182;0.04542112324750914;0.7393224798824847;0.040177936370723234
9;-0.0624;-0.0296;0.039;17;84.23506502194;0.0768;31.18653500099;0.0592;3447643026722695296;0.3766;0.0828;0.931;0.105;-3.867;0.07;1.059;17.113035;0.002925;18.008442;0.020012;16.181681;0.005524;1.826761;;;1.31;1106.255;54.79;227.746;0.74;1.0949035697321527;0.03044525486235354;0.9268801818622571;0.06967092549688908
10;-0.2095;-0.1094;0.1936;15;84.19678794291;0.039;31.20114046667;0.0272;3447637426085345280;0.4558;0.0435;0.803;0.056;-3.753;0.034;0.938;15.813872;0.002798;16.590696;0.005081;14.941298;0.003116;1.649398;;;1.295;2236.031;255.688;782.673;0.96;1.3886909543686672;0.02742131468465225;1.3001794087151057;0.032621190627723735
11;-0.0777;-0.0378;0.0287;16;84.243423888;0.0206;31.21650746492;0.0161;3447643370320072832;0.621;0.0226;0.816;0.028;-3.608;0.019;1.038;14.320168;0.002969;14.591101;0.023981;13.186913;0.01153;1.404188;;;1.76;982.652;45.584;97.054;1.0;2.77003115714081;0.042450907113436104;1.6175505341807235;0.07333800890523547
12;-0.0356;0.0527;0.0939;16;84.21880489367;0.0471;31.22706813363;0.0363;3447643335960335488;0.5082;0.0516;0.664;0.066;-3.69;0.044;0.977;16.361574;0.002834;17.175249;0.007107;15.468795;0.004159;1.706454;;;1.301;1634.735;166.115;352.044;1.0;1.2606790197027997;0.03601028665196143;1.1232697621784797;0.05707620455412829
13;-0.0915;0.0611;0.0889;17;84.23019235502;0.0699;31.22771476021;0.0537;3447643434744380416;0.6541;0.0765;0.625;0.094;-3.596;0.065;1.076;17.060862;0.002914;17.894039;0.010012;16.155582;0.005378;1.738457;;;1.306;1143.197;112.913;236.151;1.0;1.175053118295921;0.03692631304867671;0.7112731733874531;0.1963691394270979
14;-0.0446;0.0116;0.1631;17;84.19270352592;0.0248;31.1962125123;0.0184;3447637391725608448;0.5856;0.0277;0.683;0.033;-3.529;0.023;0.935;14.998453;0.002775;15.617086;0.003986;14.221484;0.003136;1.395602;;;1.271;3280.048;381.502;758.975;1.0;1.712965908904886;0.037404317943437085;1.6040387407458419;0.03932465031370232
15;-0.0551;-0.0362;0.1054;17;84.20532265615;0.0507;31.18182838227;0.0388;3447637318710910848;0.6166;0.0557;0.645;0.067;-3.742;0.046;0.98;16.522011;0.002832;17.357035;0.008793;15.618586;0.003924;1.738449;;;1.303;1659.727;130.208;393.482;1.0;1.2200720768073152;0.032961725386538354;1.0869768409914722;0.05607808962804053
16;-0.0646;0.0475;0.1298;16;84.1972006556;0.0305;31.22007520495;0.023;3447830970196201728;0.6341;0.0336;0.761;0.043;-3.442;0.029;0.933;15.481311;0.002783;16.130344;0.004276;14.674565;0.003475;1.455779;;;1.284;2777.477;335.115;523.998;1.0;1.6083347159744092;0.027174382926202816;1.284935187264717;0.03877954351374944
17;-0.1137;-0.0333;0.0802;17;84.24145730474;0.0206;31.18159669027;0.0159;3447642958003218176;0.5712;0.0225;0.774;0.027;-3.665;0.018;1.031;14.451064;0.002776;14.992213;0.003181;13.733791;0.00299;1.258422;;;1.255;3240.84;710.544;1009.205;1.0;2.319493718328372;0.0626931644992054;1.6229503056261405;0.08100201811113837
