;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;-0.1762;0.1523;-0.1942;26;299.53643711734;0.039;30.88239753953;0.0468;2030531933401893504;0.1409;0.0606;-2.672;0.055;-4.826;0.06;1.143;16.958895;0.002865;17.584244;0.009042;15.981872;0.023698;1.602372;;;1.443;1382.266;126.23;46.137;0.99;1.8727117346674662;0.06217749112483569;1.5644803605844408;0.10958977220042125
1;-0.1449;0.115;-0.1406;26;299.53596044162;0.0272;30.87947382946;0.0322;2030531899042151040;0.1933;0.0413;-2.602;0.037;-4.895;0.039;0.969;16.440144;0.002798;17.085596;0.005259;15.625966;0.003314;1.45963;;;1.291;2242.15;243.571;607.165;0.99;2.243819883282651;0.0013495811353800803;0.0;0.10573391475514271
2;-0.0803;0.1999;-0.1114;26;299.53664154962;0.0942;30.88528992877;0.114;2030531933384213120;0.0939;0.1473;-2.889;0.137;-5.067;0.153;1.038;18.620554;0.003141;19.336576;0.034792;17.686834;0.019718;1.649742;;;1.37;719.63;31.307;55.624;0.53;1.3962451591471918;0.011224889857753335;0.0;0.17179236267665576
3;-0.1239;0.0581;-0.1442;26;299.53542236532;0.0389;30.8788327098;0.0469;2030531899042149248;0.19;0.0584;-2.643;0.052;-4.815;0.057;1.029;17.16613;0.002846;17.868553;0.008126;16.312223;0.004981;1.55633;;;1.304;1520.386;142.255;263.131;0.98;1.9271843148587002;0.021554294890735706;0.7296714214420719;0.4764456808460029
4;-0.1885;0.1366;-0.2122;27;299.53871782199;0.0383;30.88335143267;0.046;2030531933401896192;0.1914;0.0586;-2.572;0.053;-4.956;0.059;1.013;17.145714;0.002829;17.876995;0.005969;16.311056;0.004373;1.565939;;;1.278;1690.686;205.764;322.454;0.98;1.916058791511722;0.024718407514014426;0.9371106211563226;0.39283566380794455
5;-0.0815;0.1011;-0.1271;26;299.53034236578;0.0515;30.88319550237;0.0614;2030531899042157184;0.193;0.077;-2.629;0.071;-4.861;0.075;1.01;17.66157;0.002885;18.315954;0.008549;16.838341;0.006947;1.477613;;;1.295;1269.307;134.364;170.656;0.98;1.740078618421288;0.004796282191570095;0.0;0.07812657853052274
6;-0.1361;0.1403;-0.126;26;299.53285744127;0.078;30.88665805016;0.0957;2030531929054355072;0.2646;0.1207;-2.708;0.109;-4.704;0.128;1.049;18.299143;0.003037;19.024044;0.019935;17.338577;0.011081;1.685467;;;1.392;849.791;55.006;101.243;0.83;1.5030261785411896;0.008342103358473319;0.0;0.21222728669600202
7;-0.1319;0.0602;-0.1342;25;299.53593854769;0.0293;30.87674397649;0.0358;2030531899042143616;0.138;0.0449;-2.591;0.038;-4.928;0.042;1.038;16.575003;0.002807;17.211655;0.005492;15.713775;0.004091;1.49788;;;1.334;2016.41;229.544;362.91;0.99;2.1946783715217566;0.022941213413306818;0.2312703860230642;0.4443546831291484
8;-0.1882;0.1021;-0.1763;27;299.53326021048;0.0222;30.88827440748;0.0264;2030531933401906688;0.1463;0.0339;-2.664;0.03;-4.864;0.034;1.0;16.075676;0.002782;16.718859;0.004181;15.281067;0.003222;1.437792;;;1.276;2821.067;348.658;674.1;0.99;2.231216435828124;0.10939104956665253;1.251807977109697;0.9807598641346522
9;-0.1966;0.1219;-0.2019;26;299.54108671498;0.038;30.87913278332;0.0465;2030531933384154496;0.0891;0.0592;-2.656;0.052;-4.85;0.059;0.944;17.127045;0.002838;17.859579;0.005454;16.292982;0.00383;1.566597;;;1.277;1595.793;231.708;413.917;0.98;1.916361602315966;0.022024293056410883;1.0611692406315947;0.26250858823102735
