;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;-0.069;0.2523;0.152;17;107.49356746162;0.0198;4.70104939466;0.0194;3140449270449435264;0.9099;0.024;0.694;0.023;-0.931;0.02;0.897;14.779575;0.002775;15.202391;0.003554;14.186543;0.003123;1.015847;;;1.218;3323.481;493.086;774.301;0.98;1.1427627457743887;0.011299620493234328;0.8385795258762937;0.03694186405848557
1;-0.0758;0.2584;0.1448;17;107.48805726417;0.0223;4.69869393281;0.0221;3140449266151753472;0.8739;0.0274;0.751;0.026;-0.99;0.023;1.044;15.017447;0.002777;15.46745;0.003591;14.39622;0.003034;1.07123;;;1.225;3155.02;480.265;911.651;0.99;1.0822685073263836;0.01608873123817617;0.8462758076409161;0.0387680801566552
2;-0.0593;0.3408;0.1256;17;107.49416179254;0.0688;4.7110009506;0.0694;3140497679023130112;0.9155;0.0903;0.751;0.081;-1.101;0.069;0.989;17.240076;0.003021;18.021696;0.013317;16.399427;0.007732;1.622269;;;1.266;876.195;83.382;150.568;0.96;0.7519838214423672;0.005348110888240146;0.544272608472276;0.027750081027838873
3;-0.0206;0.2461;0.1791;17;107.48332422023;0.0352;4.68830754125;0.0343;3140449236089705472;0.825;0.0436;0.584;0.041;-0.934;0.036;1.013;16.052309;0.002819;16.619787;0.005439;15.337491;0.004112;1.282296;;;1.243;1829.083;232.535;359.489;0.99;0.9141024055145196;0.006555341202995666;0.6770148253947984;0.025049282843428926
4;-0.0313;0.2252;0.1837;17;107.47470308397;0.0148;4.69840123978;0.0144;3140496171492315264;0.7978;0.0185;0.597;0.017;-1.105;0.015;1.213;12.999168;0.002773;13.302302;0.002839;12.532635;0.002832;0.769668;;;1.195;3439.067;2071.434;2230.323;0.94;1.493909764636726;0.034402152729516425;1.3381244202525253;0.058815717097187234
5;-0.0762;0.231;0.1631;17;107.52396911643;0.0121;4.67992796752;0.0115;3140450473040276352;0.8966;0.014;0.805;0.014;-0.728;0.012;0.968;13.24836;0.00277;13.595681;0.002932;12.732329;0.002827;0.863352;;;1.204;3774.918;1205.378;2396.94;0.79;1.3964718692401497;0.020325311539366526;1.3305960079271895;0.026732074893998266
6;0.0252;0.1577;0.1156;17;107.50486994256;0.0113;4.66243235513;0.011;3140448961211802624;0.8382;0.0137;0.742;0.013;-0.897;0.011;0.842;11.642312;0.002759;12.07414;0.002884;11.038961;0.002824;1.035178;47.43;4.07;1.221;7331.369;1489.587;2500.892;0.99;1.7827379669974277;0.012083323004917655;1.7268174810506352;0.0536200113230055
7;-0.0039;0.1605;0.0988;17;107.48241965227;0.0173;4.73031408365;0.0171;3140497752040263936;0.8216;0.0211;0.67;0.02;-0.839;0.017;1.412;12.744671;0.002768;13.036158;0.002964;12.291566;0.002847;0.744592;;;1.193;4044.237;1086.847;1917.864;0.97;1.5762652898879133;0.03317474909360335;1.3697610873597055;0.06243180363906345
8;-0.0666;0.1939;0.2111;17;107.46448059312;0.0286;4.68063219252;0.0275;3140449133010501248;0.8606;0.0349;0.689;0.034;-0.956;0.03;0.963;15.611473;0.002795;16.078236;0.004188;14.973414;0.003456;1.104821;;;1.229;2304.2;347.616;532.316;0.99;1.0148347932724746;0.0033869856589564557;0.5049791079290655;0.14326160271348484
9;-0.1084;0.2133;0.1642;16;107.52254190636;0.0168;4.6608607787;0.0163;3140448926852057856;0.8429;0.0194;0.768;0.02;-1.06;0.018;1.022;14.179419;0.002772;14.5345;0.002949;13.655622;0.003036;0.878878;;;1.205;3605.057;1135.375;906.888;0.99;1.3053106828392484;0.006712199159825608;0.7785079126054506;0.04878192075811568
10;0.0171;0.1032;0.148;16;107.4973678265;0.0304;4.65582202818;0.0296;3140448858132593280;0.8955;0.0378;0.546;0.04;-1.005;0.032;0.992;15.479312;0.002843;15.918394;0.005372;14.867702;0.003355;1.050693;;;1.223;1548.447;236.543;582.821;0.98;1.0458396561647287;0.000948900414079617;0.0;0.11943871675896543
11;-0.0628;0.2162;0.1898;16;107.52573470714;0.0579;4.66019198734;0.0554;3140448170937813248;0.8451;0.067;0.541;0.07;-0.954;0.062;0.971;16.844751;0.002901;17.4862;0.007299;16.084673;0.005651;1.401527;;;1.249;1194.457;160.988;220.946;0.98;0.8183278392998564;0.0028189262748057504;0.34885000229372737;0.16438398378900373
12;-0.0181;0.2309;0.1595;17;107.51096158346;0.0296;4.65197007755;0.0282;3140448892492328320;0.8838;0.0346;0.653;0.035;-0.92;0.03;1.063;15.529161;0.002797;15.994279;0.004453;14.901036;0.003953;1.093243;;;1.223;2266.017;312.886;387.682;0.99;1.029061471875704;0.0032745626725662566;0.5433191946134978;0.08592659300115771
13;-0.0452;0.189;0.2157;17;107.48094439271;0.0178;4.65400549874;0.0168;3140448823772861056;0.9172;0.0213;0.814;0.021;-1.018;0.019;1.077;14.300912;0.00277;14.655356;0.003068;13.776725;0.003008;0.878632;;;1.205;3832.817;851.834;966.022;0.93;1.286226393025828;0.003904014621920758;0.6081242006161464;0.17698799206001575
14;-0.0276;0.1325;0.3105;16;107.46529827818;0.1523;4.66557348915;0.1388;3140449094353011200;0.9778;0.1759;0.794;0.184;-1.214;0.184;0.983;18.518982;0.003745;19.595348;0.053903;17.552834;0.015888;2.042515;;;1.294;428.079;20.169;69.416;0.77;0.6063474270925674;0.007711030484113429;0.42512453755936924;0.050981394396281084
15;-0.0705;0.2004;0.2106;17;107.45964083115;0.0254;4.67273300152;0.0244;3140449098650767744;0.8422;0.0311;0.687;0.03;-1.036;0.026;0.997;15.360217;0.002782;15.902478;0.004206;14.660527;0.003276;1.241951;;;1.242;2816.686;345.042;632.47;0.99;0.9541289550661606;0.013718742149955943;0.9087758806760597;0.017986009092886786
16;0.0207;0.2079;0.1869;17;107.47573558323;0.0117;4.65130114668;0.0111;3140448819473362432;0.8327;0.0139;0.732;0.014;-0.992;0.011;1.041;13.291064;0.002766;13.624935;0.002904;12.78806;0.00283;0.836875;;;1.202;4391.309;1345.947;2304.983;0.99;1.3904064409359729;0.020418379322679894;1.3146388474591861;0.0267343671818072
17;-0.0399;0.1468;0.2629;17;107.49756760081;0.0465;4.64121751925;0.0436;3140448750755590784;0.7969;0.0559;0.702;0.056;-0.962;0.051;1.114;16.305964;0.002933;16.873871;0.007396;15.604983;0.004956;1.268888;;;1.233;1078.719;158.507;265.073;0.98;0.893741204228891;0.0032094974140932475;0.4872011230889757;0.06937287934245387
18;0.0712;0.2048;0.2317;16;107.47789194246;0.0267;4.6445847267;0.0246;3140448823772865792;0.8895;0.0319;0.776;0.032;-0.979;0.027;1.18;15.057106;0.002788;15.460759;0.003472;14.480849;0.003256;0.97991;;;1.216;2558.087;525.408;647.304;0.99;1.1268908200707217;0.0009448760806475895;0.0;0.13615712918780448
19;-0.1433;0.252;0.1607;17;107.54732884139;0.0197;4.74042460246;0.0196;3140451297673964928;0.8363;0.0245;0.534;0.023;-1.048;0.022;1.031;14.702137;0.002769;15.180364;0.003219;14.055999;0.003129;1.124365;;;1.23;3913.303;676.149;766.922;0.98;1.073939747668951;0.01569792098625578;1.0226320752124585;0.02056994492230803
20;0.0293;0.2169;0.1903;16;107.56061604566;0.0281;4.67698403282;0.027;3140449678467434368;0.91;0.0342;0.442;0.033;-0.883;0.029;1.033;15.369913;0.002791;15.862062;0.00394;14.708967;0.003424;1.153095;;;1.235;2430.037;390.319;547.192;0.74;0.9994570426878328;0.01859395343723852;0.8346751310819823;0.03507239291139572
21;0.0153;0.0687;0.1358;16;107.44029051079;0.0361;4.70551601984;0.0352;3140496343291017344;0.9061;0.0453;0.799;0.042;-0.923;0.035;1.008;15.945099;0.002899;16.451498;0.008159;15.275424;0.004231;1.176074;;;1.235;1204.862;141.602;341.43;0.97;0.9560573642089787;0.003090729089642928;0.4557213295364586;0.1488231316174879
22;0.0541;0.1928;0.125;17;107.46331836945;0.0337;4.74798890924;0.0333;3140498061277908224;0.7776;0.0416;0.683;0.041;-1.183;0.034;1.048;15.790438;0.002824;16.277805;0.004602;15.14543;0.004302;1.132376;;;1.225;1748.835;296.685;331.565;0.87;0.9844830654122886;0.003160783858999133;0.35111427054518773;0.21751980229220907
23;-0.1143;0.2612;0.1354;17;107.56540823971;0.0205;4.69852404729;0.0198;3140450576119469824;0.8331;0.0247;0.654;0.025;-1.018;0.022;1.087;14.539445;0.002771;15.041187;0.003351;13.874732;0.002943;1.166455;;;1.233;3738.691;585.037;1159.837;0.99;1.1009685075146685;0.015528443911951356;1.056510017373407;0.020193366013515426
24;-0.0507;0.2229;0.1969;17;107.52836148175;0.0201;4.6373034155;0.0192;3140448067858607360;0.8705;0.0241;0.687;0.024;-1.084;0.022;0.949;14.749454;0.002771;15.153325;0.003716;14.176137;0.003091;0.977188;;;1.214;3681.227;442.513;816.015;0.99;1.174518737712111;0.006372426229532669;0.7244797953435355;0.04373467311170259
25;-0.0781;0.1938;0.2019;17;107.55782911836;0.0139;4.73717760795;0.0137;3140451228954485760;0.8696;0.0171;0.697;0.016;-0.964;0.015;1.1;13.011151;0.002775;13.438907;0.002891;12.411383;0.002845;1.027524;;;1.22;3332.362;1431.376;1948.818;1.0;1.459799331190661;0.021834598632304185;1.3843909935179954;0.028924770798331178
26;-0.0082;0.1115;0.2061;16;107.48232413895;0.1227;4.77094372488;0.1199;3140498198716847232;0.8197;0.1506;0.602;0.147;-1.203;0.141;0.999;18.252394;0.003333;19.387964;0.041862;17.242481;0.007338;2.145483;;;1.322;578.766;25.994;159.971;0.87;0.591604880869549;0.008615898483461813;0.5607515701285536;0.01479846562041523
27;-0.0348;0.1166;0.1058;17;107.50640532905;0.0115;4.77413048747;0.0117;3140498507954483712;0.8649;0.0143;0.824;0.014;-1.211;0.012;1.066;13.210368;0.002769;13.514332;0.002918;12.740895;0.002929;0.773437;;;1.197;3917.377;1269.983;1218.677;0.89;1.5099921357621238;0.014397959479608093;1.1314279360036164;0.05033925451866436
28;0.0071;0.1169;0.084;17;107.47244828105;0.0286;4.76881404906;0.0286;3140498920271356928;0.8738;0.0353;0.55;0.034;-1.101;0.029;0.981;15.552744;0.002811;16.088709;0.00511;14.859475;0.003517;1.229234;;;1.24;1957.942;253.592;506.961;0.98;0.93148667055308;0.01833653572611067;0.8678548090226065;0.025101228927925094
29;0.0069;0.0901;0.1518;17;107.4249149327;0.0569;4.70969045047;0.0544;3140496412010496640;0.7197;0.0689;0.697;0.068;-1.102;0.058;1.009;16.910975;0.002874;17.686106;0.00985;16.061161;0.004577;1.624945;;;1.276;1326.697;114.939;299.279;0.88;0.7467248266208613;0.012374615600521204;0.6986457028397368;0.02043782076950888
30;0.0609;0.2096;0.211;17;107.55823491651;0.0801;4.64120368614;0.0733;3140447891760954752;0.9128;0.0935;0.83;0.094;-1.108;0.083;0.94;17.461241;0.003003;18.186789;0.020167;16.626108;0.00823;1.56068;;;1.28;908.413;54.36;140.232;0.92;0.747825628484193;0.0011468949715981041;0.0;0.08288269832621378
31;-0.1226;0.2081;0.2246;16;107.58334894217;0.0202;4.70263764291;0.0196;3140450193866683520;0.8257;0.0247;0.705;0.024;-1.03;0.023;1.034;14.608899;0.00277;15.04011;0.003561;14.004451;0.003055;1.035659;;;1.222;3829.3;490.596;872.3;0.99;1.1030274958644437;0.021736527329122346;1.0245922069417421;0.032817550378072116
32;0.0137;0.2182;0.2008;17;107.57109685476;0.0614;4.65455793085;0.0588;3140449373528641920;0.8652;0.0749;0.992;0.075;-0.983;0.066;1.077;16.952833;0.002915;17.604929;0.01492;16.176767;0.005016;1.428162;;;1.258;1139.41;74.076;260.503;0.62;0.804874406448569;0.002607658991312073;0.2676825713032898;0.1948108845647409
33;0.0348;0.0573;0.0491;15;107.46335079066;0.013;4.77418818694;0.0123;3140498915971878272;0.8322;0.0148;0.612;0.016;-1.046;0.014;1.033;11.921244;0.002771;12.233179;0.003009;11.447556;0.002859;0.785624;49.52;5.38;1.195;3647.85;963.907;1737.508;0.99;1.7324823620675398;0.02298484641885224;1.6628852851063982;0.055115072034682286
34;-0.0157;0.1518;0.1267;17;107.51489321065;0.0189;4.78557395637;0.0187;3140498611033690880;0.8709;0.023;0.719;0.023;-1.032;0.02;0.964;14.558629;0.002774;14.934078;0.003652;14.014531;0.00302;0.919547;;;1.208;3405.505;460.667;938.61;0.99;1.2282782038704405;0.0032855358666934015;0.5536142555272646;0.19004994022059535
35;-0.0095;0.2452;0.1423;17;107.47629602486;0.0185;4.61464456082;0.0167;3140447586822296960;0.8996;0.0212;0.787;0.022;-0.923;0.019;1.085;14.417544;0.002769;14.791759;0.004019;13.86574;0.002953;0.926019;;;1.214;3955.103;375.363;1121.377;0.98;1.24526230169944;0.006827091505695486;0.7778549812709835;0.04278330765811739
36;-0.0853;0.0445;0.1724;16;107.4100205943;0.0753;4.69835679431;0.0659;3140495995395932672;0.8611;0.087;0.717;0.093;-1.0;0.079;1.049;17.320623;0.002969;18.042625;0.016024;16.4282;0.009663;1.614426;;;1.331;981.734;68.809;117.361;0.98;0.7540317173047866;0.004917678756900126;0.4927289318907746;0.038266534081468136
37;0.0054;0.2728;0.176;16;107.59558189056;0.1699;4.71071146149;0.1682;3140450228226422016;0.8076;0.2147;0.364;0.209;-1.043;0.19;1.129;18.548012;0.003608;19.469278;0.086135;17.4541;0.011315;2.015179;;;1.463;466.245;12.612;99.015;0.73;0.6081593476858689;0.010237730959508258;0.43755576189495043;0.045910947632065734
38;-0.0047;0.095;0.1549;17;107.49114837475;0.0172;4.60558061301;0.0164;3140447518102818432;0.907;0.0211;0.625;0.021;-0.842;0.017;1.45;12.413878;0.002767;12.69725;0.002839;11.967875;0.002832;0.729375;82.49;11.7;1.193;4350.917;2072.707;2227.592;0.97;1.6296173555132418;0.019447098719056505;1.5170335184827695;0.029575362070417766
39;-0.0218;0.2439;0.1139;16;107.47857899034;0.0141;4.60374621354;0.0126;3140447582522791552;0.8907;0.0161;0.835;0.016;-1.005;0.013;1.033;13.710379;0.002764;14.064537;0.003055;13.182359;0.003021;0.882178;;;1.208;5046.039;871.799;938.065;0.98;1.2929776154099548;0.02315833269595672;1.2112735902408338;0.030480056200386314
40;-0.0098;0.224;0.1956;17;107.49939374745;0.0224;4.59965080884;0.0205;3140447311944387712;0.8395;0.0263;0.648;0.026;-0.919;0.022;1.022;14.867692;0.002782;15.329342;0.003469;14.233975;0.003141;1.095366;;;1.229;2822.087;526.803;752.195;0.99;1.0514757733574946;0.01947389567414188;0.9813707747869076;0.02661670011462051
41;-0.0045;0.1191;0.104;15;107.4068283701;0.0313;4.66698347605;0.0274;3140495690456015232;0.8697;0.036;0.77;0.035;-0.924;0.03;0.987;15.609027;0.00282;16.087029;0.00428;14.962312;0.003362;1.124717;;;1.231;1814.878;334.492;578.8;0.99;1.010808916566594;0.0034378630624958845;0.5980927252457241;0.03655760675217357
42;-0.0851;0.1493;0.2418;16;107.49672949144;0.0388;4.59681604469;0.0345;3140447307646515328;0.8285;0.0441;0.775;0.048;-1.012;0.041;1.003;16.100861;0.002948;16.620161;0.00816;15.431279;0.005165;1.188882;;;1.229;1034.599;141.587;249.815;0.98;0.934533477677957;0.001290319975085557;0.0;0.15863932865502445
