;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;0.2619;0.1335;0.0723;29;172.74355420532;0.0101;-58.49985776537;0.0093;5336647876330391040;0.6085;0.0117;-6.746;0.012;1.061;0.012;0.745;10.770752;0.002763;10.872211;0.002837;10.551544;0.002809;0.320667;;;1.176;5194.911;2125.546;3340.01;0.99;4.172964612571393;0.022781471972774383;1.1800025035218342;1.0147673285896628
1;0.3285;0.2249;0.0637;27;172.7434361971;0.0147;-58.50266496841;0.0139;5336647876330774656;0.6221;0.0176;-6.849;0.019;0.975;0.017;1.055;14.250326;0.002766;14.538394;0.003408;13.785007;0.002907;0.753387;;;1.202;4376.882;554.885;1331.2;0.99;1.6823369209260617;0.013312768315469122;1.1490412378142365;0.03636736976737713
2;0.2744;0.1364;0.0827;28;172.72088268499;0.0127;-58.50385344799;0.0118;5336648597885269888;0.6115;0.0148;-6.783;0.016;0.938;0.015;0.992;14.055117;0.002769;14.284265;0.002913;13.681337;0.002848;0.602927;;;1.181;3938.491;1298.839;1909.592;0.99;1.8386859543757605;0.011888370663821068;0.8426143627548249;0.2146988659906795
3;0.2699;0.1326;0.0943;28;172.71787950942;0.0903;-58.49432272914;0.0872;5336648632247612672;0.6156;0.1069;-6.79;0.114;0.934;0.112;0.998;18.238527;0.003379;19.029642;0.019783;17.413069;0.008738;1.616573;;;1.25;555.305;55.438;131.111;0.94;0.7908731528859542;0.002795139032141804;0.0;0.15079493984225448
4;0.226;0.0796;0.0132;28;172.72937737846;0.0156;-58.48629231708;0.014;5336650114047340928;0.6139;0.0176;-6.804;0.019;0.966;0.018;0.949;14.615576;0.002764;15.013192;0.002906;14.045001;0.002883;0.968191;;;1.215;5050.65;1336.525;1493.087;0.99;1.4102201646264738;0.026388947779411875;1.316287941943203;0.03300238468573914
5;0.4393;0.0638;-0.0398;27;172.76709254881;0.0158;-58.50595678131;0.0145;5336649285080027008;0.599;0.0177;-6.793;0.02;0.968;0.02;1.033;14.419469;0.002772;14.68253;0.003166;13.982365;0.002997;0.700166;;;1.199;3540.085;725.468;992.906;0.99;1.6875189187439523;0.00459740414892653;0.27694065542506935;0.34637557565421384
6;0.2374;0.1849;0.0182;27;172.75034709009;0.0106;-58.51371737653;0.0095;5336647841971000448;0.5708;0.0125;-6.827;0.013;1.11;0.013;0.915;12.453386;0.002762;12.590014;0.00282;12.207132;0.002831;0.382881;;;1.168;5532.104;2633.607;2263.65;0.96;2.9133147378046185;0.0784908398267287;1.4610048183103512;0.21336316537609742
7;0.3456;0.2035;0.1303;28;172.77472237556;0.0112;-58.50037929575;0.0105;5336649289413619072;0.5422;0.0135;-6.725;0.014;1.01;0.014;0.931;12.677984;0.002759;12.789746;0.002832;12.468367;0.002811;0.32138;;;1.165;7425.565;2234.114;3211.49;0.71;2.826263533108476;0.001514071319362288;0.0;0.0
8;0.3191;0.15;0.0526;28;172.77311246082;0.0142;-58.5080938762;0.013;5336649285079664896;0.5969;0.0168;-6.696;0.018;1.06;0.017;0.907;10.947787;0.002767;11.030897;0.002888;10.746896;0.002999;0.284001;;;1.178;4210.034;1453.345;987.985;0.96;4.102394311144498;0.04579373399383173;0.0;0.35810377762310297
9;0.2296;0.1814;0.1013;26;172.7713771265;0.0443;-58.51154337099;0.0384;5336647807611277440;0.6735;0.0496;-6.864;0.057;0.903;0.053;0.963;16.84919;0.002883;17.378214;0.011094;16.158178;0.005767;1.220036;;;1.241;1279.8;101.118;215.102;0.95;1.0253863207636855;0.0013610866900250923;0.0;0.04830042371875183
10;0.2898;0.1489;0.0687;29;172.78159186302;0.0101;-58.49430173797;0.0092;5336649319439402112;0.5486;0.0118;-6.769;0.012;1.039;0.012;0.829;12.083635;0.002759;12.181835;0.002823;11.891964;0.002812;0.289871;;;1.165;7452.911;2523.119;3094.255;0.91;3.3154517545034254;0.0012742068332086875;0.0;0.0
11;0.2074;0.2398;-0.0284;28;172.78355954141;0.0134;-58.51536892112;0.012;5336647811944857856;0.6084;0.0157;-6.813;0.017;0.933;0.016;0.948;13.972087;0.002773;14.210127;0.002905;13.584823;0.002883;0.625304;;;1.184;3515.56;1344.202;1492.916;0.99;1.8461276909071387;0.013209300357058437;1.089344427223406;0.04928537264627948
12;0.358;0.1388;0.002;28;172.79339050828;0.0115;-58.51053496025;0.0097;5336649289413728512;0.6038;0.0126;-6.809;0.014;0.998;0.013;0.772;10.763875;0.002773;10.858461;0.003014;10.56454;0.002913;0.293921;;;1.17;3430.397;952.617;1299.752;0.99;3.9565146949892402;0.16320528172332402;2.5890824359773985;1.6188755169262585
13;0.297;0.153;0.0676;28;172.7987124376;0.0497;-58.4888815321;0.0447;5336649216360592512;0.5839;0.0574;-6.882;0.063;0.864;0.061;0.979;17.172226;0.003128;17.747709;0.008266;16.433235;0.006469;1.314474;;;1.258;733.689;139.545;186.043;0.96;0.9656752987495594;0.001606348407589601;0.0;0.07556770990395215
14;0.3938;0.0062;0.0058;27;172.78343494458;0.0482;-58.5236914687;0.0445;5336647811944975360;0.5372;0.0579;-6.803;0.066;1.071;0.066;0.987;17.028021;0.002897;17.60968;0.006995;16.285664;0.004469;1.324017;;;1.258;1214.939;169.261;311.01;0.93;0.9900655774927464;0.003308175751703567;0.0;0.22697062468837798
15;0.3046;0.1088;-0.0472;29;172.80132695213;0.0132;-58.51212834811;0.0117;5336649078921583488;0.6015;0.0151;-6.688;0.016;0.876;0.015;0.979;13.966475;0.002772;14.207726;0.002932;13.567801;0.002902;0.639925;;;1.188;3587.347;1204.403;1359.972;0.91;1.8351817529807894;0.013948342858354758;1.1448091205758866;0.04390949833101936
