;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;-0.0757;0.317;0.3411;18;87.41474235106;0.0969;27.08037345019;0.0779;3430974361727265792;0.9812;0.1203;-0.41;0.128;-1.086;0.075;0.966;17.529654;0.003377;18.54805;0.029079;16.525537;0.009631;2.022512;;;1.345;556.092;37.511;117.782;0.95;0.6348843758497895;0.01818793583951041;0.5492722189480755;0.02395413631314085
1;-0.1182;0.1688;0.3698;19;87.41782483066;0.0355;27.0642421373;0.0278;3430973605813025152;1.1227;0.0422;-0.196;0.044;-0.835;0.028;1.108;15.506432;0.00312;15.996473;0.005442;14.840225;0.004887;1.156248;;;1.239;741.621;232.365;270.579;0.97;0.9784811337220871;0.0008995832882840037;0.0;0.051209339443094054
2;-0.1061;0.2239;0.357;19;87.41099495781;0.1507;27.04654514959;0.121;3429472321467326976;1.017;0.1805;-0.407;0.202;-1.004;0.126;0.992;18.391418;0.003267;19.664127;0.047418;17.219913;0.01061;2.444214;;;1.463;618.243;22.937;106.06;0.92;0.5536274801837239;0.006589467544144705;0.45156046350374673;0.02624604671716706
3;-0.1848;0.1897;0.4053;18;87.38944535892;0.0252;27.08225590565;0.0205;3429473214820659072;1.0396;0.0307;-0.448;0.032;-1.054;0.021;1.491;12.416012;0.002774;12.538941;0.002864;12.203813;0.002833;0.335129;;;1.159;3364.548;1685.851;2201.368;0.98;1.91588713833503;0.001175650704500325;0.0;0.0
4;-0.0772;0.3217;0.3156;18;87.43365078551;0.087;27.02887942746;0.0693;3429472046589401472;1.1074;0.1061;-0.22;0.117;-1.044;0.067;1.015;17.402996;0.002966;18.237944;0.013996;16.50169;0.006573;1.736254;;;1.302;989.08;79.163;182.426;0.97;0.702475754256328;0.001422401943383949;0.0;0.08953208297648828
5;-0.2369;0.1205;0.3245;19;87.47872752091;0.0323;27.05892571824;0.0263;3430973399654582528;1.1623;0.0374;-0.287;0.042;-1.001;0.027;2.758;13.22576;0.00277;13.510867;0.002892;12.775716;0.002856;0.735151;;;1.195;3824.556;1428.877;1781.827;0.91;1.5038108690056924;0.012344598846285734;0.9503948587114965;0.05362573688186207
6;-0.1433;0.1359;0.3146;19;87.46160287302;0.0497;27.02825635217;0.0394;3430970302980060288;1.118;0.0565;-0.345;0.064;-1.037;0.041;1.007;16.424768;0.003257;17.044735;0.007819;15.654139;0.006689;1.390596;;;1.266;625.477;148.642;178.594;0.98;0.8259091362197796;0.0010508615508362203;0.0;0.057593218346660986
7;-0.2054;0.095;0.3518;19;87.37273572449;0.0221;27.04348541295;0.0174;3429473012958271104;1.0574;0.0254;-0.251;0.028;-1.011;0.018;0.961;14.445679;0.003282;14.828911;0.006532;13.8908;0.005901;0.938111;;;1.211;608.727;183.839;208.799;0.99;1.1984042090534799;0.0009386525200537188;0.0;0.10972702939569409
8;0.0305;0.2208;0.4732;18;87.36440421387;0.0164;27.05415557928;0.0132;3429473077380194688;1.0874;0.0202;-0.355;0.022;-1.093;0.014;1.013;12.197808;0.002772;12.316111;0.002826;11.985744;0.002837;0.330367;;;1.162;3578.808;2404.621;2106.548;0.99;2.0558769458150925;0.0015460798603331998;0.0;0.1563419306648557
9;-0.1674;0.1374;0.3038;19;87.49759452567;0.0521;27.06070845344;0.0421;3430970474778766208;1.0935;0.059;-0.235;0.069;-0.95;0.045;0.999;16.529488;0.003035;17.178282;0.010636;15.748611;0.006333;1.42967;;;1.263;852.437;105.791;190.981;0.98;0.8097217834859447;0.0014101053418121457;0.0;0.0885245317783924
