;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;-0.1348;0.244;-0.3494;19;114.61818740955;0.0577;-10.70143714561;0.0524;3040318533217540608;0.4761;0.0867;-4.209;0.071;3.821;0.061;0.951;17.377655;0.002907;17.896648;0.008735;16.717157;0.007154;1.179491;;;1.223;1172.289;131.163;164.819;0.99;0.8911581380991075;0.0199585770447197;0.7880656523799014;0.03206328034293286
1;-0.1307;0.2265;-0.2118;20;114.62105539021;0.0102;-10.70312043038;0.0092;3040318464498063744;0.4293;0.014;-4.161;0.013;3.74;0.011;1.032;13.566822;0.002854;13.788946;0.003673;13.200223;0.00345;0.588723;;;1.181;1457.759;454.429;534.925;1.0;1.8939684228118094;0.002136953131533832;0.21078297197414345;0.3503082930979941
2;-0.1304;0.2023;-0.2417;20;114.62326945249;0.0252;-10.69772386141;0.0229;3040318636296751872;0.3795;0.0357;-4.038;0.031;3.715;0.026;1.011;15.825212;0.002779;16.165207;0.003355;15.315146;0.003454;0.85006;;;1.204;2975.72;582.689;533.184;1.0;1.1423389334210121;0.018802496827540302;1.0684747646971677;0.025847517952835207
3;-0.1657;0.2293;-0.2314;20;114.62355740995;0.0118;-10.704912787;0.011;3040318563274471936;0.4218;0.0169;-4.069;0.015;3.672;0.013;1.076;14.000703;0.002773;14.183895;0.00289;13.686268;0.002884;0.497627;;;1.175;3450.303;1445.105;1488.009;1.0;1.7409017035168615;0.011149387102289797;1.0064803922225267;0.09851613074316276
4;-0.1092;0.1578;-0.2418;20;114.61582513318;0.0185;-10.69677158223;0.016;3040318636296753536;0.4234;0.0252;-4.101;0.022;3.799;0.018;0.982;15.017306;0.002787;15.229426;0.003301;14.663878;0.003132;0.565548;;;1.179;2574.911;615.527;762.916;1.0;1.4665843374880811;0.0005772097688417119;0.0;0.10437498621135188
5;-0.0909;0.1461;-0.2567;20;114.61688295709;0.0348;-10.69606390089;0.0299;3040318636296753152;0.4068;0.0482;-4.183;0.043;3.675;0.035;1.037;16.386213;0.002798;16.715651;0.004475;15.882384;0.003697;0.833266;;;1.205;2223.485;310.277;447.641;1.0;1.1381794931986875;0.003801774911021532;0.6422570466892001;0.06428934298408598
6;-0.1472;0.1436;-0.1563;19;114.62594363506;0.0937;-10.70344176551;0.0908;3040318567577276928;0.5538;0.1361;-4.04;0.118;3.915;0.111;1.124;18.175013;0.003132;18.573606;0.03901;17.167686;0.029311;1.40592;;;1.567;728.681;27.903;37.21;0.96;0.8077936958577429;0.01930329729680695;0.7024894496408602;0.03780763351838381
7;-0.2548;0.1183;-0.1741;19;114.62393978906;0.0208;-10.69553571511;0.0193;3040318636296748416;0.4144;0.0284;-4.159;0.027;3.678;0.023;0.996;15.288626;0.002783;15.518988;0.003139;14.901968;0.003079;0.61702;;;1.188;2771.22;754.613;833.154;1.0;1.3943651618910875;0.0021910097268933687;0.21496508180116114;0.2940647353055387
8;-0.2111;0.0638;-0.228;19;114.6235069488;0.0325;-10.69457406303;0.0292;3040318636296747904;0.3661;0.0441;-4.189;0.043;3.567;0.035;1.008;16.168734;0.002799;16.475288;0.004187;15.67226;0.004413;0.803028;;;1.212;2215.043;347.823;317.619;1.0;1.1789777218201132;0.005252135900433366;0.7110209919084741;0.04621185846053256
9;-0.2542;0.0924;-0.1966;19;114.62687588679;0.0141;-10.69848196208;0.0128;3040318567577272832;0.4203;0.0191;-4.106;0.018;3.665;0.015;1.02;14.310203;0.002775;14.478117;0.002973;14.016318;0.002999;0.461799;;;1.173;3302.431;1058.945;988.07;1.0;1.6703433318029266;0.0005102025379664969;0.0;0.0
10;-0.1834;0.2782;-0.3804;19;114.62270440105;0.0715;-10.70908341186;0.0656;3040318460197566720;0.4204;0.1107;-4.327;0.089;3.798;0.076;1.026;17.696142;0.00296;18.16548;0.00974;17.094204;0.009096;1.071276;;;1.203;1004.548;116.348;125.409;1.0;0.910524862821558;0.0008432631115385935;0.0;0.08637248080457284
11;-0.206;0.194;-0.2024;20;114.62851609649;0.0111;-10.70256978161;0.0104;3040318567577275776;0.4067;0.0156;-4.085;0.014;3.658;0.012;0.965;13.865939;0.002768;14.05128;0.002882;13.552008;0.002852;0.499272;;;1.173;4149.88;1502.221;1843.571;1.0;1.7226032107533522;0.07428072378546957;1.1840994433764167;0.3355051504300778
12;-0.2063;0.1871;-0.1566;20;114.61452209123;0.0093;-10.70947550905;0.009;3040318464498072448;0.4228;0.0131;-4.117;0.012;3.686;0.011;1.018;13.340606;0.002771;13.515581;0.002858;13.043988;0.002836;0.471593;;;1.17;3642.937;1755.358;2139.847;1.0;1.7652417367632283;0.019283432695292337;1.6980883645178875;0.024031442576288427
13;-0.1906;0.2329;-0.3401;19;114.62138284759;0.0832;-10.71159438617;0.0777;3040318460197553792;0.46;0.1247;-4.09;0.104;3.454;0.092;0.966;17.972309;0.003045;18.548489;0.014177;17.287628;0.00798;1.26086;;;1.217;837.271;78.113;145.232;1.0;0.8507101642322448;0.006606162436402109;0.5985790522214967;0.03782220700316234
14;-0.1935;0.1764;-0.1751;20;114.61703230123;0.0157;-10.7119664873;0.0149;3040318464498073344;0.5049;0.0222;-4.15;0.02;3.621;0.018;1.002;14.775291;0.002778;15.012177;0.0031;14.379922;0.002965;0.632256;;;1.189;3049.413;803.849;1081.305;0.98;1.3968924467673107;0.029897097622032236;1.2570151789941362;0.0447677972058633
15;-0.1407;0.2306;-0.2168;20;114.62906070837;0.0114;-10.69520601908;0.0105;3040318567577268992;0.3829;0.0159;-4.229;0.014;3.706;0.012;0.964;13.946368;0.002783;14.166508;0.002977;13.582534;0.002949;0.583974;;;1.181;2790.99;1044.657;1138.021;1.0;1.6388545523819662;0.03282987657026048;1.444716024887;0.054809131512839025
16;-0.1817;0.2872;-0.1898;19;114.61536626799;0.0214;-10.69057283782;0.0192;3040318636297498496;0.3471;0.0303;-4.032;0.027;3.664;0.022;0.984;15.429073;0.002782;15.68539;0.003492;15.004822;0.003207;0.680568;;;1.195;2849.992;516.871;686.915;1.0;1.3396501464903152;0.005985140622247976;0.8286883917066439;0.041046319518041045
17;-0.0923;0.1426;-0.2346;20;114.62630013601;0.0188;-10.69192019532;0.0163;3040318636298298624;0.3426;0.0253;-4.169;0.023;3.863;0.019;1.008;14.850645;0.002789;15.107115;0.003091;14.432153;0.00298;0.674962;;;1.192;2506.39;816.184;1037.977;0.87;1.3532082084998993;0.021783240730783634;1.2758675093162686;0.02900561141874625
18;-0.2437;0.2691;-0.1669;20;114.60775354826;0.0156;-10.6978524025;0.0146;3040318533217543040;0.4291;0.0217;-4.063;0.019;3.614;0.017;1.024;14.739895;0.00279;14.938641;0.003446;14.408615;0.003165;0.530025;;;1.175;2465.528;536.878;726.481;1.0;1.5434711928258225;0.0014872690514745692;0.0;0.2694862890376046
19;-0.1811;0.2106;-0.1575;20;114.60931608537;0.0125;-10.70785533222;0.0119;3040318533217551232;0.4008;0.0178;-4.187;0.016;3.763;0.014;1.123;12.939448;0.002761;13.471669;0.002855;12.253231;0.002826;1.218438;69.74;1.7;1.236;5881.726;1799.731;2404.415;1.0;2.051636808188461;0.01948163839622544;0.0;0.27538520674510647
20;-0.3096;0.2404;-0.1731;18;114.61688694124;0.0213;-10.68944446041;0.0192;3040318636297498368;0.4205;0.0288;-4.063;0.028;3.685;0.023;1.001;15.27437;0.002777;15.525909;0.003304;14.859541;0.003393;0.666368;;;1.192;3139.431;613.873;562.373;1.0;1.3678552575274354;0.007935347284003337;0.9090793526652451;0.03958892046794712
21;-0.2314;0.2685;-0.1603;20;114.60558208902;0.0102;-10.70012095697;0.0096;3040318533217545472;0.4089;0.0143;-4.133;0.013;3.619;0.011;0.987;13.399096;0.002796;13.501173;0.002903;13.221992;0.003035;0.279181;;;1.156;2293.764;1353.677;909.771;1.0;1.72999723950357;0.012846699483344078;1.692537912800011;0.014508627383560447
