;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;-0.1699;0.0891;-0.142;20;240.40971841054;0.0258;-54.14790262332;0.0196;5932748487659950592;0.4304;0.0363;-2.258;0.041;-3.019;0.035;1.009;15.666687;0.002776;16.214529;0.005518;14.886893;0.00721;1.327636;;;1.301;3214.548;228.052;163.307;1.0;2.1000651928889;0.07404360683942415;0.5078393217028571;0.546015442815809
1;-0.1393;0.0887;-0.0627;20;240.40882689541;0.0174;-54.14713584468;0.0144;5932748487659953920;0.4484;0.0255;-2.395;0.029;-2.827;0.026;1.011;14.746377;0.002764;15.262221;0.003468;14.023084;0.004038;1.239138;;;1.27;4895.267;527.367;371.913;0.96;2.7384901670073885;0.13868308359522052;1.9856207787912306;0.12471067304889757
2;-0.1846;-0.0375;-0.1378;20;240.40521621042;0.0109;-54.14715626611;0.0078;5932748483286431104;0.4268;0.0143;-2.412;0.016;-2.923;0.014;0.906;12.673671;0.002764;13.024597;0.003077;12.122932;0.00336;0.901665;;;1.224;4880.591;836.725;580.082;1.0;7.703771656864103;0.007137550622142789;0.0;0.0
3;-0.194;0.0062;-0.1187;21;240.40094313171;0.0169;-54.14956745718;0.0126;5932748483286431488;0.4364;0.0233;-2.071;0.025;-3.137;0.024;0.999;14.675109;0.002765;15.113443;0.003166;13.997217;0.00363;1.116226;;;1.27;4656.884;726.099;467.644;0.99;3.4583616611024603;0.005078225507058528;0.0;0.08191190688674874
4;-0.3206;0.0068;-0.0874;19;240.3954013092;0.0097;-54.14668523672;0.0074;5932748483286289664;0.4355;0.0141;-2.243;0.015;-3.178;0.013;0.792;12.376388;0.002767;12.741416;0.002998;11.815643;0.003006;0.925773;;;1.224;4210.55;989.474;970.497;1.0;8.626938216946689;0.005526856006111593;0.0;0.0
5;-0.2537;0.0683;-0.0827;21;240.38899361745;0.01;-54.14271042404;0.0084;5932751442597469312;0.4218;0.0147;-2.317;0.015;-3.012;0.015;0.949;12.667215;0.002765;13.087299;0.0029;12.058139;0.002872;1.02916;;;1.23;4787.639;1372.813;1594.985;1.0;6.055195983577833;0.2344008598836755;5.279346770821597;0.29196778151177233
6;-0.1629;0.0074;-0.0892;21;240.43211361439;0.0197;-54.13979447512;0.0154;5932748556379426816;0.4169;0.0274;-2.314;0.03;-3.017;0.028;0.973;15.097447;0.002768;15.518871;0.00318;14.420472;0.007329;1.098399;;;1.277;4029.649;711.275;160.203;1.0;2.888346183682756;0.0060467707881108135;0.0;0.0
7;-0.1929;-0.0322;-0.0812;21;240.38020702054;0.0196;-54.15310766478;0.0154;5932749965128710016;0.4428;0.0286;-2.314;0.03;-3.03;0.027;0.948;15.093473;0.002765;15.552917;0.003089;14.4501;0.003234;1.102818;;;1.236;4814.525;818.453;664.094;1.0;2.8649951947574435;0.0046776851663685075;0.0;0.0
8;-0.2713;0.2065;-0.0908;21;240.36579915854;0.0095;-54.14058324211;0.0077;5932750033848211072;0.4433;0.0138;-2.389;0.017;-2.979;0.013;0.792;12.423245;0.002764;12.843267;0.002882;11.820904;0.002834;1.022364;;;1.226;5051.277;1504.634;2197.888;1.0;6.679463958935357;0.24321701157089093;5.8261069652054935;0.30990262598027746
9;-0.2009;0.0357;-0.1182;21;240.3957348172;0.0116;-54.18070089873;0.0087;5932746907111950976;0.4459;0.016;-2.165;0.018;-3.124;0.017;0.935;13.544429;0.002766;13.990447;0.00292;12.904823;0.002863;1.085624;;;1.24;4489.289;1259.597;1687.459;1.0;4.330541912037202;0.22480127066614788;3.5551531174583677;0.35205924777901737
10;-0.1677;-0.0545;-0.0327;20;240.36078012108;0.0266;-54.13104806284;0.0195;5932751511316976768;0.4256;0.0372;-2.289;0.041;-2.935;0.036;1.007;15.734349;0.002773;16.516178;0.00366;14.855212;0.003182;1.660966;;;1.299;3522.811;458.41;709.886;1.0;1.8297098439075494;0.009619801282294118;0.9037389628894141;0.5573100413249767
