;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;-0.1507;0.0223;-0.2275;20;114.30037142454;0.0105;-13.83458724299;0.0097;3030268855199165824;1.1478;0.014;-0.583;0.014;-3.439;0.012;1.004;12.491808;0.002777;12.697119;0.002969;12.152133;0.00285;0.544986;;;1.176;3108.629;1069.741;1863.494;0.88;1.5319470414861354;0.0068480833708362745;0.8807151727268845;0.05677794727353748
1;-0.1998;-0.0726;-0.0837;19;114.30231671473;0.0123;-13.8319531426;0.0112;3030268859503564032;1.1007;0.0156;-0.929;0.017;-3.559;0.014;0.9;13.648598;0.002764;13.933444;0.002859;13.203196;0.002851;0.730248;;;1.192;4866.977;1736.385;1859.695;1.0;1.247549555565368;0.002449893431730193;0.30644436011914095;0.2869364715327492
2;-0.127;-0.0777;-0.1339;19;114.27610193865;0.0139;-13.84381575111;0.0127;3030280473095153920;1.1475;0.0183;-0.58;0.018;-3.84;0.015;1.067;11.805331;0.002765;11.966583;0.002866;11.523767;0.002806;0.442816;;;1.171;4665.075;1658.069;3643.288;0.96;1.7502582378250782;0.006404798541968773;0.6959659038552818;0.3521569236913562
3;-0.2249;0.1441;-0.3675;19;114.28569381459;0.0115;-13.81679100056;0.0106;3030280679253558656;1.0968;0.0162;-0.611;0.014;-3.531;0.013;0.993;10.515928;0.002759;11.029222;0.002822;9.846474;0.002804;1.182748;18.73;0.47;1.232;7264.816;2578.354;3839.863;1.0;2.1237761775478448;0.015218529165591868;1.2074523265417414;0.21138065330243727
4;-0.0447;0.0256;-0.1707;19;114.28379831624;0.0307;-13.85893466629;0.0279;3030268653345162368;1.1187;0.0405;-0.749;0.038;-3.566;0.032;1.038;15.910238;0.002799;16.428017;0.006573;15.24048;0.003482;1.187536;;;1.23;2195.068;182.445;521.005;1.0;0.8357247595760421;0.0004509323858145968;0.0;0.0
5;-0.0787;0.0224;-0.0838;19;114.26886057635;0.0113;-13.84811418022;0.0105;3030280473095160192;1.104;0.0145;-0.893;0.014;-3.553;0.013;1.024;12.205782;0.002765;12.430114;0.002871;11.836297;0.002834;0.593817;15.28;7.94;1.181;4767.25;1607.691;2185.785;1.0;1.4580528200471943;0.0230519218089829;1.376233078150717;0.02919534895412385
6;-0.1489;0.0644;-0.225;19;114.27627743747;0.0139;-13.85619303817;0.0115;3030268722064641024;1.1164;0.0161;-0.841;0.017;-3.455;0.013;1.032;12.733047;0.002767;12.956327;0.002868;12.367002;0.002833;0.589325;;;1.18;4350.758;1633.442;2217.54;1.0;1.4656940421054605;0.0068999285566317126;0.8215431448517049;0.06168298180340844
7;-0.1232;-0.0346;-0.2593;20;114.32184657012;0.0124;-13.83824616488;0.0114;3030269168741204096;1.0905;0.0169;-0.926;0.016;-3.534;0.014;1.002;11.754764;0.002769;11.955894;0.002855;11.412933;0.002822;0.542961;;;1.179;3914.318;1790.047;2555.677;1.0;1.5957423216657318;0.028720643220517414;1.4896924540575625;0.03910744145152391
8;-0.1784;0.0608;-0.2419;19;114.30266709895;0.0104;-13.80644656691;0.0099;3030280988491186432;1.1123;0.0141;-0.764;0.013;-3.836;0.012;0.952;13.098605;0.002769;13.338966;0.00287;12.706842;0.002829;0.632124;;;1.185;3992.542;1614.195;2324.339;1.0;1.3820922437511232;0.001922730178788659;0.22695552056994883;0.28780782195812177
9;-0.1275;-0.0336;-0.2755;19;114.28056975658;0.0132;-13.80542507802;0.0126;3030280679253552000;1.1601;0.018;-0.755;0.018;-3.64;0.016;1.105;12.850809;0.00277;13.076027;0.002854;12.481754;0.002829;0.594273;;;1.181;3855.89;1803.886;2312.127;0.99;1.4427969891429924;0.0047182657939126085;0.596821265752205;0.25632967771709053
