;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;0.0349;0.2334;-0.0644;25;115.69806785926;0.0362;-38.20481805788;0.0471;5586751385422691072;5.2457;0.0493;-21.354;0.048;15.805;0.059;1.0;16.562054;0.003952;18.191559;0.015956;15.340034;0.005564;2.851525;;;1.459;383.241;69.109;225.544;1.0;0.33068683782046543;0.000764355632245487;0.0;0.0
1;0.1142;0.1558;-0.0422;25;115.66366357285;0.0846;-38.20456326143;0.1125;5586752175696726144;5.1233;0.1185;-20.598;0.114;15.054;0.138;0.953;17.786982;0.003189;19.734035;0.062104;16.432739;0.004877;3.301296;;;1.586;676.059;17.5;271.406;1.0;0.19808420911081354;0.0015196860274851026;0.0;0.0
2;-0.0809;0.0742;0.0253;25;115.85992593835;0.1105;-38.33614595747;0.1443;5538708156129113856;5.2701;0.1452;-21.14;0.155;15.493;0.205;9.124;14.768492;0.003673;16.120882;0.004404;13.551934;0.003032;2.568948;;;1.499;446.942;318.617;914.258;1.0;0.5255038779256691;0.01106778723133664;0.48426916820316923;0.01722867345294268
3;0.0514;0.1439;0.0298;28;115.77633519826;0.0155;-38.15577363106;0.0184;5586752965970674048;5.2247;0.0201;-22.115;0.02;15.142;0.023;1.319;14.328646;0.00315;15.476776;0.00752;13.26002;0.00447;2.216756;;;1.378;711.16;155.479;310.92;1.0;0.6226841366097;0.0064886187051433715;0.4351997613922275;0.03865668295624401
4;0.0646;0.0246;0.0391;25;115.84999529039;0.1372;-38.1554951506;0.1782;5538714714533706880;5.0541;0.1874;-20.6;0.187;14.855;0.228;1.027;18.804998;0.00373;20.933365;0.104701;17.450834;0.008109;3.482531;;;1.567;431.847;10.374;142.596;1.0;0.1319572985940194;0.0022979784283665766;0.0;0.0
5;-0.0206;0.1335;0.0324;25;115.9286961585;0.0574;-38.20181264012;0.0652;5538719460482758400;5.4726;0.0727;-21.337;0.074;15.118;0.083;1.791;6.401563;0.002794;6.331774;0.003119;6.505301;0.002879;-0.173527;;;1.156;2337.352;779.381;1532.774;1.0;3.7494164237969585;0.0012345681330005885;0.0;0.0
6;0.1013;0.1628;0.0358;26;115.9700108032;0.0488;-38.27532129738;0.0615;5538709530518418816;5.1876;0.0654;-20.179;0.069;14.434;0.085;4.96;13.990461;0.00285;15.142948;0.003735;12.908559;0.0032;2.234389;;;1.391;1488.273;437.403;693.243;1.0;0.6271173885403365;0.010470473604225164;0.5802015476959251;0.025446013564647076
7;0.0606;0.0331;0.07;28;115.95283782734;0.0127;-38.36611794421;0.0156;5538708598503017344;5.23;0.0164;-20.816;0.017;15.46;0.022;1.043;14.513371;0.002927;15.649342;0.005934;13.453597;0.003906;2.195745;;;1.372;1098.432;207.319;397.209;1.0;0.6176136409807229;0.005757471406819149;0.3047413292875605;0.08642018824103033
8;0.0092;0.1195;-0.1727;28;115.62419501689;0.0186;-38.10792764711;0.0217;5586755680389897216;5.2748;0.0243;-20.844;0.024;16.925;0.028;1.723;9.072498;0.002766;9.203403;0.00283;8.823336;0.002809;0.380067;;;1.172;4431.591;2286.485;3334.222;1.0;1.5947039325852699;0.012123352277394991;0.7267056637435287;0.2946111349601094
9;-0.0115;0.0095;-0.1544;25;115.56923526086;0.038;-38.42143135555;0.0458;5538686406413750016;5.2684;0.0501;-21.403;0.05;14.923;0.052;0.995;16.766764;0.002951;18.471519;0.017178;15.518182;0.003992;2.953338;;;1.48;1027.231;64.056;380.227;1.0;0.3018947959627612;0.0008734150957893464;0.0;0.0
10;-0.0694;0.0871;-0.0703;25;115.96245058314;0.0803;-38.11812400046;0.0975;5538720319476199040;5.1766;0.1031;-20.839;0.104;14.784;0.118;1.057;17.702761;0.003669;19.098894;0.117637;16.089249;0.03602;3.009645;;;2.061;448.018;9.232;30.234;1.0;0.22736501419168356;0.0036201282207618327;0.0;0.0
11;-0.0213;0.1455;-0.1512;27;115.5275068244;0.0449;-38.46031483166;0.0544;5538685891017668736;5.2081;0.0594;-20.084;0.058;15.652;0.062;1.094;16.979517;0.002915;18.720114;0.018201;15.72662;0.003714;2.993494;;;1.481;1140.959;60.366;442.876;1.0;0.275134094702828;0.0009745324352527776;0.0;0.0
12;0.1055;0.0073;-0.0625;28;116.07561657391;0.1497;-38.22040950451;0.1886;5538715745331234688;4.8599;0.195;-21.201;0.203;14.707;0.224;1.126;18.974564;0.003869;20.833414;0.103448;17.456467;0.020521;3.376947;;;1.835;399.638;10.499;53.404;1.0;0.13069196334295274;0.002314771563607311;0.0;0.0
13;0.0211;0.1249;-0.0387;26;115.98942503396;0.0084;-38.46410622948;0.0101;5538694068636369280;5.2583;0.0108;-20.912;0.011;14.917;0.014;0.934;13.100366;0.002911;13.758407;0.004677;12.30601;0.004003;1.452396;17.22;8.31;1.27;1154.424;289.243;378.225;1.0;0.727667406556867;0.0016728968258040594;0.0;0.1813681147986373
14;0.0223;0.3185;-0.0929;28;115.77542615373;0.0157;-38.54381552781;0.0183;5538682214525847808;5.292;0.0206;-21.205;0.021;15.205;0.023;1.057;14.849786;0.002896;16.032091;0.005381;13.769623;0.003918;2.262468;;;1.382;1218.963;235.962;394.631;1.0;0.5981959750287532;0.0006872628068691784;0.0;0.0
15;0.0482;0.1747;-0.1588;27;115.40755219574;0.1991;-38.33214065089;0.1992;5586728982872414080;5.0019;0.2364;-21.854;0.294;15.358;0.263;2.608;18.361467;0.005724;19.434343;0.050266;16.792849;0.01294;2.641495;;;2.055;216.386;21.633;85.93;1.0;0.18368063095234322;0.005735868675135121;0.0;0.0
16;0.0603;-0.0063;0.1394;27;115.7264181478;0.0821;-37.99064016802;0.0984;5586758115628340736;4.9392;0.1073;-20.523;0.11;15.108;0.128;1.007;18.087141;0.003156;20.093258;0.048609;16.769815;0.007227;3.323442;;;1.531;705.791;22.373;162.868;1.0;0.17454770567765113;0.0020883706457230085;0.0;0.0
17;0.0429;0.209;-0.0464;28;115.78932465684;0.0578;-38.56561391922;0.0702;5538670459192711808;5.1623;0.0784;-20.942;0.077;15.951;0.094;1.005;17.565443;0.003032;19.555641;0.037832;16.24519;0.005393;3.310452;;;1.536;858.789;28.777;235.263;1.0;0.21439711777068385;0.0009237303596561392;0.0;0.0
