;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;0.1112;0.1437;0.0964;29;116.02364662546;0.0087;-37.89333126549;0.0106;5586856113904603392;2.7776;0.0112;-10.243;0.011;4.331;0.014;0.894;10.568222;0.002774;10.712298;0.002947;10.310509;0.00289;0.40179;;;1.169;3353.126;1143.432;1441.424;0.96;1.657391363669542;0.001296211064462458;0.0;0.15442850158416727
1;0.1786;0.0935;-0.0373;26;116.07009813601;0.0976;-37.85728032256;0.1205;5586856659357065856;2.7775;0.1209;-9.327;0.126;4.609;0.148;1.021;18.396997;0.003254;20.253284;0.070925;17.108507;0.007822;3.144777;;;1.51;627.102;15.32;148.587;0.99;0.2680401522683536;0.001688103651532184;0.0;0.0
2;0.3556;-0.0238;-0.1074;24;115.9557529673;0.0416;-37.89575925261;0.0564;5586762552332132352;2.662;0.0529;-9.787;0.058;4.896;0.077;3.607;11.352878;0.003307;10.780271;0.029059;10.10097;0.012321;0.6793;;;2.562;593.458;37.537;90.471;1.0;1.3812909374817064;0.03087478393835386;1.274594628431806;0.040706481515089835
3;0.143;0.1112;0.0552;28;115.95540684644;0.02;-37.89564959724;0.0259;5586762552337653248;2.8104;0.0257;-10.203;0.026;4.282;0.033;1.468;11.035562;0.002881;10.7915;0.014234;10.092662;0.007141;0.698838;;;1.911;1290.634;77.787;165.171;0.95;1.4044856448100558;0.02793702560025489;1.3117068368032403;0.036514190425678876
4;0.0551;0.1669;0.1861;28;116.04126369818;0.0157;-37.91463623537;0.0197;5538817690669417984;2.6952;0.0205;-10.141;0.021;4.24;0.026;1.649;12.94926;0.002961;13.357519;0.005152;12.360784;0.004083;0.996736;;;1.222;1001.093;250.719;364.287;0.91;1.020095846770333;0.0018952265914842599;0.0;0.15134992051156107
5;0.021;0.1531;-0.0681;26;116.09142010107;0.0927;-37.88345107589;0.1083;5538818171705985024;2.7155;0.1165;-9.103;0.117;4.695;0.128;0.979;18.463741;0.003187;20.155758;0.065315;17.156073;0.008222;2.999685;;;1.556;678.269;16.638;140.385;0.99;0.2634509096038689;0.0035494178492658074;0.0;0.0
6;0.0349;0.1259;0.0185;27;116.09388960008;0.0082;-37.88207489037;0.0097;5538818176010943488;2.8297;0.0105;-10.071;0.011;4.42;0.012;0.86;12.974412;0.004071;13.387888;0.009919;12.386936;0.007905;1.000952;6.56;10.11;1.219;362.347;114.067;146.806;0.99;1.0143539633872967;0.0014640130087916743;0.0;0.13202896789708812
7;0.1336;0.0819;0.0421;27;115.94168829321;0.0509;-37.91006966818;0.0595;5586762449258437376;2.7363;0.0642;-9.573;0.066;5.01;0.078;0.976;17.356415;0.003378;18.978865;0.021595;16.124189;0.006287;2.854675;;;1.472;555.4;50.702;192.729;1.0;0.4293141878154308;0.005868480585120349;0.0;0.02800000000000002
8;0.0842;0.0187;-0.0125;28;115.98468931242;0.0788;-37.77703238273;0.0961;5586858068106424704;2.7317;0.1029;-8.856;0.106;4.458;0.125;3.958;15.728824;0.003007;16.810438;0.005443;14.588237;0.003639;2.222201;;;1.471;900.808;232.31;464.694;0.8;0.6550551122372298;0.00611208232090598;0.3398715574036799;0.10208074386071593
9;0.098;-0.027;0.1151;26;115.90083675543;0.0806;-37.87685352705;0.1042;5586763510108006400;2.6395;0.1059;-9.14;0.108;4.636;0.141;1.498;17.466705;0.003114;19.084772;0.02115;16.221457;0.005558;2.863316;;;1.489;748.053;51.787;225.891;0.98;0.4124562097631962;0.0017946018780216615;0.0;0.0
