;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;0.1694;-0.046;-0.0358;18;79.12834912173;0.0301;45.58804656378;0.0251;208710160477662080;0.6495;0.0353;-1.693;0.043;-1.267;0.036;1.01;15.7067;0.002784;16.199957;0.004666;15.046816;0.003151;1.153141;;;1.233;2746.72;290.29;741.75;1.0;1.1924851022298353;0.007467751125686886;0.7342914805064719;0.049841782046616205
1;0.1085;0.0526;0.0165;18;79.13153928195;0.0136;45.58398148319;0.0111;208710057398447360;0.6301;0.0159;-1.786;0.019;-1.356;0.016;1.315;12.70352;0.002761;13.412613;0.00287;11.881037;0.002811;1.531576;-32.27;1.22;1.275;6191.92;1614.997;3163.671;1.0;1.9035484677171604;0.015703694713732497;1.1957219805625012;0.16320399616518871
2;0.1199;0.041;0.0236;18;79.13068398306;0.0284;45.58234752581;0.0228;208709950023258496;0.6311;0.0325;-1.648;0.039;-1.332;0.033;0.96;15.641495;0.002789;16.213612;0.004408;14.897596;0.003272;1.316015;;;1.263;2502.54;318.177;635.366;1.0;1.0958652084439813;0.017175201997241825;1.0413380103897405;0.021806391081181466
3;0.0652;0.0583;0.0309;18;79.12110648086;0.0133;45.57605632079;0.011;208709954319235456;0.6277;0.0152;-1.619;0.019;-1.37;0.016;1.049;13.699843;0.002763;14.079825;0.00292;13.142622;0.002864;0.937203;;;1.214;5371.313;1259.178;1685.531;1.0;1.7239556653706196;0.014489421795835154;0.0;0.4030792736397589
4;0.0558;-0.0813;0.0723;18;79.1121938747;0.0135;45.57467393815;0.0107;208709954319236992;0.6141;0.0154;-1.653;0.019;-1.387;0.015;0.918;13.619726;0.002782;13.9608;0.003094;13.107669;0.002897;0.853131;;;1.204;2849.665;812.269;1393.114;1.0;1.578735887227473;0.01611342458147413;1.5193798887672327;0.020763507372997127
5;0.0291;0.0234;0.165;18;79.09640405215;0.0111;45.58152274891;0.0088;208710194837406208;0.6129;0.0131;-1.76;0.015;-1.366;0.013;1.083;12.550455;0.00276;13.24622;0.002888;11.739918;0.002807;1.506302;-30.76;0.43;1.27;6763.115;1458.652;3556.897;1.0;1.9268925689128746;0.017703601110779;1.3576628249155422;0.048001009365448544
6;0.0161;0.0987;0.0555;18;79.1368199393;0.0201;45.603759968;0.017;208710263556873472;0.5278;0.0245;-1.585;0.027;-1.182;0.023;1.969;13.216986;0.003086;13.705084;0.005751;12.539947;0.005645;1.165137;;;1.248;781.063;215.882;221.235;0.89;1.8214940794794632;0.003108981868809427;1.2109639862960389;0.04802308587072934
7;0.0254;0.1354;0.0299;18;79.11661707622;0.0114;45.60773832746;0.0093;208710980811624832;0.6518;0.0137;-1.669;0.016;-1.394;0.013;1.026;13.039843;0.002783;13.399114;0.002985;12.503286;0.002941;0.895827;;;1.211;2793.355;1022.484;1168.926;1.0;1.748472314515563;0.04805288913765453;1.3523081340366219;0.6390206285517396
8;0.0125;0.2255;-0.0183;17;79.11893074005;0.0141;45.60936548813;0.0111;208710980811752576;0.6376;0.0171;-1.638;0.02;-1.304;0.016;0.934;13.872414;0.002761;14.266089;0.003131;13.29886;0.002889;0.96723;;;1.219;6126.478;764.267;1452.576;1.0;1.6034870129829704;0.022202848604675668;1.277476923050658;0.06419118355709448
9;0.1174;-0.0586;0.0091;18;79.1196454886;0.0224;45.56379467528;0.0178;208709885599761792;0.6108;0.0256;-1.647;0.033;-1.4;0.027;1.02;15.051235;0.002768;15.457436;0.003247;14.467852;0.003231;0.989584;;;1.219;4117.36;653.864;666.254;1.0;1.368837056556229;0.0008226367443042122;0.0;0.08944085421135944
10;0.0422;0.096;0.0645;18;79.14074506262;0.0239;45.60818294818;0.0195;208710332276348544;0.6687;0.0278;-1.617;0.032;-1.309;0.028;1.036;15.282535;0.002769;15.731888;0.003601;14.661179;0.003035;1.070709;;;1.225;3996.927;477.084;908.799;1.0;1.2973060153210698;0.005738451474801207;0.7154397899810224;0.0765446545281179
11;0.1222;0.0488;0.0178;18;79.15624264764;0.0208;45.59395526333;0.0166;208710091758181120;0.5616;0.0241;-1.735;0.028;-1.22;0.024;1.003;14.888875;0.002842;15.278641;0.005251;14.315733;0.003522;0.962908;;;1.22;1562.071;244.058;505.325;1.0;1.4119184238979563;0.0008235411323504308;0.0;0.09657047927855991
12;0.0689;0.011;0.0519;18;79.10911076469;0.0208;45.56249953983;0.0168;208709919959501440;0.634;0.0244;-1.693;0.031;-1.294;0.025;0.991;14.912166;0.002877;15.310622;0.004193;14.340166;0.003593;0.970456;;;1.215;1310.976;346.961;479.697;1.0;1.4048656101941868;0.0009041970560306948;0.0;0.11035931889224998
13;0.0451;-0.0032;0.0362;18;79.12016595198;0.0148;45.56031446998;0.012;208709885599762432;0.5992;0.0169;-1.662;0.021;-1.225;0.018;1.025;14.081112;0.002794;14.497573;0.003249;13.489953;0.003029;1.00762;;;1.22;2349.66;652.609;921.677;1.0;1.465567095811426;0.021640546710648807;1.3782090881886415;0.029251394784116373
14;0.1857;0.1389;0.1277;18;79.16830628764;0.0375;45.59090929112;0.03;208710023038702848;0.6549;0.0445;-1.664;0.052;-1.388;0.044;1.045;16.095238;0.002807;16.639866;0.006018;15.384564;0.003482;1.255301;;;1.249;2020.013;203.628;521.189;1.0;1.0876417565290208;0.013740897476753836;0.7994553687885718;0.045257139557414144
