;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;0.0012;-0.1142;0.1466;26;334.67170228411;0.108;63.23246879499;0.1074;2205071050552361728;1.2293;0.1212;-2.314;0.148;-2.368;0.139;0.943;18.551929;0.003461;20.296642;0.084985;17.232334;0.007964;3.064308;;;1.565;518.383;12.783;145.562;0.84;0.6569141471810969;0.037387190086847565;0.0;0.15855500167612693
1;-0.2341;-0.1758;0.0486;26;334.7116127734;0.1045;63.23229867403;0.102;2205071020480261632;1.0518;0.111;-2.702;0.14;-2.399;0.12;1.572;17.462416;0.003479;18.614056;0.03563;16.104275;0.007525;2.509781;;;1.722;511.313;30.566;155.35;0.75;0.8020400772712951;0.019064214574583693;0.5505212835123975;0.06508330729825382
2;-0.1448;-0.1847;0.0462;28;334.63934192698;0.0226;63.23157646199;0.0228;2205070951767631616;1.0829;0.0251;-2.534;0.031;-2.016;0.027;1.031;15.603826;0.002974;16.517944;0.005647;14.650739;0.004062;1.867206;;;1.325;970.2;221.16;367.712;0.87;1.2230591923701137;0.025094701849310785;0.887108513615425;0.10536429776008728
3;-0.0346;-0.2447;0.0785;27;334.62809076319;0.0135;63.24656815893;0.0127;2205071776401348992;1.1091;0.015;-2.381;0.017;-2.075;0.015;1.183;10.306624;0.002797;10.544229;0.002911;9.904989;0.002868;0.639239;;;1.192;2259.374;1307.859;1633.305;0.97;5.299676411810224;0.27211644806239493;4.104216828374822;0.41269856957922174
4;-0.1783;-0.161;0.0239;26;334.63197022186;0.0766;63.22794163096;0.0745;2205070947463677824;1.1478;0.0834;-2.803;0.104;-2.417;0.094;1.016;17.889179;0.003561;19.686422;0.061082;16.670271;0.009047;3.016151;;;1.432;481.331;17.794;126.155;0.72;0.685550324995411;0.017620595749094213;0.5839778685470179;0.04894337425954761
5;-0.0012;-0.1528;0.1847;26;334.71531005546;0.0945;63.22360141257;0.091;2205070814321836160;1.1127;0.105;-2.328;0.131;-2.151;0.117;0.963;18.268461;0.003252;20.05632;0.059642;17.009264;0.011151;3.047056;;;1.482;628.828;18.224;100.568;0.88;0.6396132289802279;0.036273820285662485;0.43931250155867785;0.06560295332633627
6;-0.0608;-0.0766;0.0868;24;334.68338285639;0.1443;63.21717854082;0.1371;2205070775664972672;1.1554;0.1546;-2.53;0.201;-2.176;0.172;1.028;18.771282;0.004135;20.613415;0.100989;17.414949;0.013616;3.198465;;;1.601;352.199;10.755;81.467;0.82;0.6217964013199617;0.019134222959005964;0.0;0.09648170781105647
7;-0.0748;-0.2321;0.1161;25;334.62206658292;0.0458;63.25283698585;0.042;2205071776401348096;1.0915;0.0499;-2.259;0.057;-2.284;0.05;0.983;16.814459;0.003102;18.07431;0.017554;15.719617;0.005152;2.354693;;;1.381;761.686;62.649;250.706;0.95;0.8835668312805512;0.04685436435988165;0.7307821042492461;0.04889945704899317
8;-0.1092;-0.1137;0.0373;25;334.63334427945;0.1652;63.21909176911;0.1564;2205070951762810368;1.1804;0.1791;-2.011;0.225;-2.377;0.196;1.066;18.964947;0.005191;20.583332;0.15659;17.665136;0.021033;2.918196;;;1.557;246.815;6.935;52.082;0.59;0.5800932825133093;0.00949883553639849;0.0;0.0
9;-0.0847;-0.1732;0.1499;26;334.61524361208;0.087;63.25917857388;0.0857;2205071982559776000;1.0305;0.0985;-2.366;0.117;-2.066;0.11;1.016;18.108507;0.004581;19.957176;0.084499;16.833857;0.01012;3.12332;;;1.494;296.709;12.856;111.614;0.77;0.6463578319324708;0.02776361408028037;0.5333494601924729;0.043992699102942824
