;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;-0.0996;0.0271;0.157;29;69.53730017311;0.016;71.46985323306;0.019;500494742324997632;5.6376;0.0253;3.672;0.019;-20.944;0.023;1.163;7.644184;0.00277;7.700207;0.002818;7.51302;0.002818;0.187187;;;1.164;3866.003;2751.332;2753.896;1.0;1.867383304492611;0.044057225131813926;1.6993999819137968;0.046848293570792045
1;-0.0813;0.0428;0.1375;30;69.33205199255;0.0092;71.45655210009;0.0107;500535905292272384;5.621;0.0141;4.022;0.011;-20.702;0.013;0.979;10.770928;0.002771;11.066298;0.002934;10.31473;0.002862;0.751568;6.21;1.23;1.193;3736.317;1198.162;1706.759;1.0;1.0819732482283826;0.0009004012496567052;0.0;0.08033314293605655
2;-0.0661;0.0472;0.1656;29;69.17716176372;0.0084;71.4117587312;0.0097;500535389895225600;5.6557;0.0131;4.137;0.01;-20.779;0.012;0.915;9.853097;0.002763;10.072449;0.002801;9.482675;0.002806;0.589774;8.73;0.44;1.185;5422.347;4342.016;3705.845;1.0;1.2865343037509767;0.00576500778089085;0.2983507040164151;0.32067391457030087
3;-0.1152;0.1572;0.1878;29;70.56668453684;0.0363;71.16333539872;0.0433;497470222057170816;5.6539;0.0595;2.909;0.044;-20.562;0.054;1.04;16.992815;0.002861;18.820162;0.019648;15.723826;0.003837;3.096335;;;1.489;1408.703;55.824;412.241;1.0;0.20831329582849997;0.0014797710330678188;0.20012435026577066;0.000633299050708062
4;-0.0087;0.0991;0.2324;27;68.96145837244;0.019;71.34210463238;0.0264;500533122152511104;5.6709;0.0332;3.8;0.023;-19.733;0.034;2.101;9.08569;0.002785;9.22376;0.003054;8.817982;0.002892;0.405778;;;1.177;2676.8;874.849;1428.972;1.0;1.5025501469479559;0.00817256026880701;0.6009045367849338;0.2990192661896193
5;-0.1441;0.1469;0.0236;29;70.84858280918;0.0082;71.19386040839;0.0089;497490773478807552;5.602;0.0122;2.333;0.009;-21.288;0.011;0.869;9.156253;0.002774;9.310541;0.003004;8.868436;0.002928;0.442105;;;1.178;3410.003;974.474;1222.257;1.0;1.471360016766021;0.010987928353823073;0.7420276415640491;0.22196144120719014
6;-0.0471;0.1957;0.034;28;70.19343223094;0.0429;70.93400549561;0.0545;497463182608948736;5.749;0.0721;3.457;0.05;-20.834;0.065;0.95;17.468428;0.002951;19.15855;0.028978;16.224529;0.004938;2.934021;;;1.477;1026.608;37.643;266.487;1.0;0.22944979999657586;0.0013667744488976557;0.0;0.0
7;-0.1134;-0.0279;0.2743;29;68.75332328133;0.024;71.43462729616;0.0297;500537657637972480;5.5029;0.0399;4.379;0.028;-20.219;0.038;1.084;16.15036;0.002809;17.576033;0.010332;14.977688;0.003038;2.598345;;;1.435;1990.297;109.142;903.276;1.0;0.39075837364660304;0.0010003301462129255;0.0;0.0
8;-0.0118;0.1622;0.2351;27;68.60537315727;0.0158;71.14998581946;0.02;500108848102698752;5.609;0.027;3.67;0.02;-20.483;0.026;1.002;15.467874;0.002925;16.646757;0.005967;14.38738;0.003523;2.259377;;;1.384;1104.536;205.862;504.935;1.0;0.4767952430287172;0.0005959654071525425;0.0;0.0
9;-0.021;0.0613;0.0183;27;69.9244537451;0.006;70.84463693424;0.0074;497444868868427136;5.6551;0.0096;3.025;0.008;-21.194;0.01;0.901;12.615813;0.002773;13.144946;0.002953;11.937798;0.002961;1.207149;8.78;1.53;1.231;3430.709;1123.049;1096.228;1.0;0.7756447853219273;0.0009742251984015269;0.0;0.07213771811043194
10;-0.0607;-0.1009;0.2184;27;68.86565420511;0.0089;71.58227650586;0.0105;500551504612504576;5.6024;0.0145;3.304;0.011;-20.917;0.014;1.098;10.756325;0.002802;11.059059;0.003807;10.276548;0.003376;0.782511;;;1.204;2141.896;419.31;571.342;1.0;1.0789301271768519;0.006024947021874759;0.4470742030071865;0.23774850177284013
11;-0.1271;-0.0099;0.291;28;68.86231860364;0.0086;71.5830886176;0.0105;500551504612504704;5.6067;0.0144;4.022;0.01;-20.202;0.014;0.996;9.728113;0.002762;9.936923;0.002809;9.367646;0.002799;0.569277;;;1.185;5860.29;3339.094;5020.584;1.0;1.31550405302447;0.007572575004433207;0.4453354787648342;0.32714115747077377
12;-0.1755;-0.031;0.266;26;68.74627442964;0.1055;71.61545401365;0.1441;500552496747015680;5.8745;0.1852;4.197;0.127;-20.586;0.201;1.061;18.72731;0.003345;20.539057;0.118776;17.372843;0.009906;3.166214;;;1.602;572.193;9.144;114.226;1.0;0.14534747129505507;0.001510554707819591;0.0;0.0
13;-0.0815;0.1077;0.0595;28;69.4101636933;0.0215;71.7557150256;0.024;500560987900240640;5.5901;0.0319;3.881;0.025;-20.643;0.028;1.047;15.785291;0.002849;17.250702;0.007809;14.604105;0.003204;2.646597;;;1.437;1498.09;148.86;689.271;1.0;0.3656042504744101;0.012587807391217206;0.3089526821401843;0.019286108356993563
14;-0.094;0.0897;0.1423;29;70.1296747853;0.0569;71.80621010567;0.065;500572842009941120;5.6732;0.0827;3.492;0.064;-21.408;0.078;1.067;17.628338;0.002934;19.292023;0.028184;16.397577;0.005596;2.894445;;;1.464;1076.169;38.713;223.831;1.0;0.21613726919372053;0.0018102813303852924;0.0;0.0
15;-0.0587;0.2336;-0.006;28;71.30033598535;0.0072;70.98899076471;0.0089;497425623116315904;5.4586;0.0124;3.165;0.009;-20.361;0.011;0.892;10.207986;0.002764;10.451891;0.002821;9.807598;0.002804;0.644293;6.57;1.16;1.188;4911.773;2606.075;3956.745;1.0;1.2039231575979392;0.0013947538997423634;0.0;0.16783323850575585
16;-0.118;0.0798;0.1606;29;69.86133379054;0.0334;71.82551158511;0.04;500562121772621184;5.1785;0.0509;3.607;0.036;-20.618;0.048;4.85;11.702061;0.002819;11.88687;0.004209;10.832249;0.00404;1.054622;;;1.55;1816.754;344.507;371.666;1.0;0.9056575560425741;0.011812912670197713;0.6635982982003334;0.04189652403240269
17;-0.0203;0.0912;0.2125;29;71.1435960261;0.1322;71.63904580899;0.1528;500512261494099584;5.6248;0.2005;3.203;0.145;-20.905;0.183;1.015;18.912966;0.003473;20.739796;0.09763;17.559132;0.013753;3.180664;;;1.6;513.492;11.125;80.622;1.0;0.1441390065136316;0.0007127750356342356;0.0;0.0
18;-0.1317;0.0833;0.2265;29;68.90412897754;0.0965;70.73812551856;0.1356;497081377192243712;5.5891;0.1716;3.398;0.117;-20.382;0.178;0.941;18.783342;0.003265;20.556358;0.107986;17.455566;0.012962;3.100792;;;1.572;620.015;10.058;85.774;1.0;0.1449445714017289;0.001220147466021947;0.0;0.0
19;-0.0567;0.1061;0.0676;30;67.82936044979;0.0077;71.35945144513;0.0094;500167809413738496;5.5498;0.0123;3.54;0.009;-20.264;0.011;0.933;9.603802;0.002761;9.798394;0.002804;9.248396;0.002829;0.549998;5.34;1.62;1.19;6318.667;3853.08;2316.284;1.0;1.3441690703710254;0.009680309550370686;0.5945146649059502;0.29258245267837524
20;-0.0639;0.0693;0.158;26;69.5507433939;0.0075;70.60746503107;0.0111;497438031280899840;5.5204;0.0134;3.831;0.009;-20.081;0.014;1.091;13.025972;0.002765;13.626902;0.002908;12.290138;0.002905;1.336763;6.75;1.33;1.246;4588.385;1327.625;1343.179;1.0;0.7267796028842229;0.000697000921068016;0.0;0.026155112478538155
21;-0.1444;0.0411;0.3218;28;71.87391822076;0.0195;71.42838584446;0.0262;497500806522544000;5.5529;0.0351;2.503;0.023;-20.708;0.037;1.016;15.809613;0.002809;17.116262;0.005849;14.678873;0.003188;2.437389;;;1.41;1990.323;211.196;703.851;1.0;0.43537089983698046;0.0006058102344020319;0.0;0.0
22;0.004;0.2319;0.1488;28;67.64798259261;0.0071;71.1170938259;0.0085;500151248019901184;5.6356;0.0117;4.52;0.008;-20.61;0.011;0.989;12.793797;0.002804;13.340144;0.003327;12.100871;0.003055;1.239273;9.26;1.09;1.235;2092.791;599.234;872.805;1.0;0.7526113028375065;0.0007182286518798017;0.0;0.021661486107475387
23;-0.0858;0.1308;0.1543;28;70.30081689511;0.0435;71.95764287114;0.0549;500586723344214528;5.5179;0.0685;3.086;0.049;-21.33;0.067;5.167;11.693747;0.002778;12.183892;0.002992;11.046537;0.002858;1.137355;8.36;2.09;1.226;3053.556;1005.767;1755.515;1.0;0.841510499055089;0.02340381792806137;0.7363347287596322;0.043027776922200486
24;-0.0139;0.0647;0.1024;28;70.84763640585;0.042;71.90415636409;0.0507;500578026032445440;5.4979;0.0656;3.082;0.047;-20.356;0.062;0.983;17.287624;0.002921;19.065224;0.02354;16.029676;0.003664;3.035547;;;1.482;1119.258;46.451;457.082;1.0;0.24702128239689058;0.0012436408324578195;0.0;0.0
25;-0.0628;0.1067;0.0753;31;67.62596770505;0.019;71.48383103666;0.0232;500360189588803968;5.7093;0.0292;4.413;0.023;-19.697;0.029;1.228;15.40565;0.002845;16.650188;0.006402;14.296727;0.003566;2.353461;;;1.399;1530.709;188.438;488.808;1.0;0.4736180391803317;0.006774495872356799;0.0;0.10468174490696121
26;-0.0367;0.0776;0.0834;31;67.56156977462;0.011;71.40745387068;0.0126;500171657704322816;5.6037;0.0161;6.237;0.013;-21.382;0.016;1.264;9.372211;0.002761;9.612989;0.002804;8.969387;0.002798;0.643602;;;1.191;6264.695;3907.976;5036.671;1.0;1.2697205492366905;0.029422317810459092;1.1679665746683705;0.04222559047111156
27;-0.1979;0.1246;0.1582;26;72.0534783793;0.0617;71.13428999946;0.0765;497434801465199744;5.947;0.1026;2.534;0.075;-21.399;0.093;1.0;17.819798;0.003129;19.519094;0.043467;16.508049;0.007927;3.011045;;;1.561;732.528;25.03;146.339;1.0;0.20129711617641083;0.0019817259239271207;0.0;0.0
28;-0.0023;0.0216;0.153;29;71.42089099165;0.0562;71.79015190147;0.0631;500527384076260352;5.6567;0.0841;3.234;0.064;-20.345;0.076;0.972;17.681929;0.00294;19.343178;0.057066;16.455162;0.004954;2.888016;;;1.46;1059.931;19.049;265.203;1.0;0.21167227712262296;0.002247102717249543;0.0;0.0
29;-0.1771;0.1015;0.1663;26;72.05877975173;0.0121;71.13436947152;0.0154;497434801465199488;5.8781;0.02;2.75;0.015;-21.61;0.018;1.468;13.752739;0.002764;14.670159;0.002945;12.806207;0.002831;1.863953;;;1.318;4889.988;1152.722;2255.505;1.0;0.596457803575738;0.007997405285121035;0.5010598753508019;0.023596658235042964
30;-0.0305;0.0375;0.1486;30;67.61077837896;0.0247;71.5598215189;0.0296;500370153913193856;5.6062;0.0368;4.741;0.03;-20.958;0.038;1.031;16.075426;0.002809;17.407253;0.008837;14.932463;0.003278;2.474791;;;1.419;1988.062;129.484;631.108;1.0;0.402355283283766;0.0006771732758900815;0.0;0.0
31;-0.1373;0.0446;0.1648;27;67.82757236575;0.0366;71.70392133491;0.0465;500372043698463488;5.7198;0.0565;4.003;0.044;-20.605;0.058;0.992;16.926113;0.003051;18.525703;0.014724;15.702362;0.004279;2.823341;;;1.466;827.906;75.099;334.603;1.0;0.2897886756069727;0.0008056594663539482;0.0;0.0
32;-0.0949;0.025;0.2128;31;67.64740525559;0.0185;71.63195565991;0.0223;500371390863467008;5.5091;0.0277;6.759;0.022;-19.349;0.027;2.096;11.426311;0.002873;11.867879;0.003529;10.825844;0.003239;1.042035;7.21;1.66;1.215;1335.652;502.605;659.754;1.0;0.9013341407103074;0.018547452755047007;0.7361771915672967;0.03794513122282947
33;-0.1099;0.0914;0.1781;30;67.64780953801;0.0221;71.63539756465;0.0277;500371390863465856;5.5646;0.0342;3.967;0.026;-20.495;0.034;1.076;15.938872;0.002875;17.270609;0.008645;14.795128;0.003563;2.475481;;;1.42;1323.601;132.699;490.01;1.0;0.4193604978791457;0.0005846936692690127;0.0;0.0
34;-0.0219;-0.1183;-0.1772;24;67.83119578136;0.1011;71.73498072125;0.1292;500372318576813056;5.1848;0.1654;5.244;0.136;-19.662;0.189;0.92;18.119505;0.006304;16.495615;0.070937;15.422934;0.122792;1.072681;;;8.281;191.475;15.317;8.844;1.0;0.34839421993488323;0.0063681636561249335;0.0;0.0
35;-0.1291;-0.0082;0.1612;28;67.82918650858;0.0137;71.73544435922;0.017;500372318576361216;5.5908;0.0214;4.837;0.016;-20.485;0.021;1.398;11.105242;0.002793;11.438505;0.00303;10.602598;0.002919;0.835907;7.24;0.91;1.202;2363.958;918.967;1265.874;1.0;1.015262383956461;0.0016508047385387747;0.0;0.18832879659169027
36;0.1247;0.0315;0.219;28;71.82756766415;0.0613;71.76212448117;0.0717;500514052498057344;5.5714;0.0962;3.018;0.075;-20.726;0.091;1.047;17.740107;0.002996;19.425671;0.04003;16.482904;0.005115;2.942766;;;1.494;923.114;27.189;253.255;1.0;0.20697721902642777;0.0020474007816409863;0.0;0.0
37;-0.0057;0.0575;0.1911;26;72.13174016131;0.0149;70.92681106192;0.0197;497415594371803008;5.9451;0.0271;2.608;0.019;-21.739;0.023;1.013;15.192829;0.00282;16.378078;0.004384;14.113461;0.00319;2.264617;;;1.381;1805.95;321.107;702.255;1.0;0.5008718420324808;0.005027687949423009;0.0;0.09877610750750672
38;-0.0199;0.0293;0.1692;29;72.3954372096;0.0061;71.22583229393;0.0079;497435523019653888;5.8589;0.0104;2.623;0.007;-21.219;0.01;0.93;12.270919;0.002782;12.753153;0.003082;11.633248;0.002949;1.119905;8.05;0.75;1.222;2830.215;829.739;1138.125;1.0;0.8221788926001197;0.0013142570501343917;0.0;0.1233254822726936
39;-0.1802;0.0718;0.0385;28;70.38084772149;0.0348;70.4396123234;0.0447;497373778570133760;5.2475;0.058;1.529;0.043;-19.677;0.06;4.264;11.006173;0.002787;11.328238;0.003025;10.515234;0.002917;0.813004;6.56;1.25;1.201;2610.757;929.955;1276.762;1.0;1.0342354111046388;0.0018981127321225201;0.0;0.18900382408621066
