;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;0.0948;0.2715;0.0485;26;122.32686886578;0.0255;-47.311619246;0.0268;5519244532575849344;2.9632;0.0308;-7.01;0.038;10.093;0.035;1.184;15.384415;0.002833;16.786343;0.008097;14.208474;0.003709;2.577868;;;1.443;1643.957;142.835;444.173;0.99;0.5785313333060244;0.022817741150534483;0.3907795459448866;0.039517009200218396
1;0.0743;0.1928;0.0226;26;122.34304362118;0.0738;-47.29254572237;0.0819;5519267995977246976;2.7413;0.0899;-7.132;0.105;9.568;0.106;1.181;16.782017;0.003146;18.582357;0.028138;15.426232;0.004859;3.156125;;;1.605;715.088;38.778;272.914;0.96;0.311791547268393;0.011520353056793286;0.21094798126997652;0.01603423380534597
2;0.0565;0.1099;0.0444;26;122.35272727729;0.0498;-47.28182232952;0.056;5519268034637572736;2.8407;0.0592;-5.916;0.067;9.416;0.073;1.033;16.480577;0.002968;18.141064;0.015536;15.211019;0.004557;2.930045;;;1.512;985.276;71.041;301.332;0.99;0.3848815479341304;0.015957483832865136;0.0;0.07182172260115698
3;0.236;0.0634;-0.0192;26;122.28153968797;0.0421;-47.31166712789;0.0475;5519244463847898752;3.1334;0.0496;-6.616;0.062;10.258;0.067;3.579;14.099907;0.003519;14.888339;0.008539;13.117061;0.00543;1.771278;;;1.392;496.027;134.54;233.101;0.95;0.8279390476655819;0.011133031634208748;0.5015474116628424;0.061940341496345336
4;0.0709;0.0403;-0.1314;24;122.29696291713;0.0773;-47.27369335624;0.0946;5519244871869353856;2.8033;0.0977;-6.335;0.111;9.993;0.122;0.96;17.672462;0.003188;19.480762;0.076111;16.36179;0.006031;3.118973;;;1.545;677.199;14.275;203.055;1.0;0.2504723387305928;0.0030724201590346728;0.0;0.0
5;0.1371;0.079;-0.0973;26;122.32276824553;0.0236;-47.26545254001;0.0276;5519268275155731712;2.9578;0.0289;-6.442;0.032;9.235;0.038;1.246;15.166433;0.002901;16.562845;0.00923;13.981176;0.003538;2.581669;;;1.454;1196.03;123.409;498.948;1.0;0.5783857797033826;0.0198308056515426;0.5110151325471053;0.02682701359596736
6;0.1337;0.0347;-0.0933;26;122.3079858411;0.026;-47.26378988322;0.03;5519268343875204608;3.0174;0.0319;-6.114;0.038;9.816;0.04;1.056;15.669789;0.00331;17.10681;0.014064;14.473946;0.005906;2.632864;;;1.459;591.694;78.763;208.579;1.0;0.5443830241631293;0.02085801635359646;0.2883885013411538;0.04327536249618737
7;-0.0669;0.1753;0.0557;24;122.38868265925;0.0433;-47.31294359458;0.0522;5519267106924649600;2.8056;0.0537;-6.541;0.055;8.886;0.06;1.07;15.600019;0.003279;17.171562;0.020234;14.353873;0.0056;2.817689;;;1.497;610.736;54.177;223.6;0.99;0.4716114331603693;0.015467254878771786;0.41979540364417867;0.019084410871859886
8;-0.081;0.1552;0.0291;24;122.38878572814;0.0246;-47.31388938353;0.0296;5519267106924649728;3.0269;0.0307;-6.359;0.032;9.658;0.033;1.686;14.509595;0.004072;15.660756;0.021615;13.428083;0.008177;2.232673;;;1.391;362.124;50.655;141.26;1.0;0.7114676723711852;0.008809293025414807;0.6239067658385443;0.04943916744074653
9;0.0167;0.2872;0.0389;24;122.36915013358;0.014;-47.33824159688;0.0181;5519266900757528704;2.9888;0.0193;-6.342;0.02;9.494;0.02;1.281;13.836901;0.00328;14.430996;0.026894;12.973252;0.009577;1.457744;;;1.352;609.914;40.589;118.507;1.0;0.9376046755303921;0.0024547315576836765;0.0;0.027206895360539142
