;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;-0.1078;-0.1752;-0.0503;26;303.53268541094;0.0671;45.57525150152;0.0816;2081644616851065344;2.9868;0.0836;2.781;0.092;0.716;0.104;2.503;16.064178;0.003616;17.311169;0.008519;14.860058;0.004615;2.451111;;;1.506;463.76;134.893;295.394;0.56;0.5582592790473404;0.013044584251610576;0.3874147260744336;0.038734546523721464
1;-0.1294;-0.1057;-0.1858;27;303.46453413382;0.0097;45.54367354365;0.0118;2081639020520996480;3.0257;0.0121;3.692;0.014;1.634;0.016;1.069;12.754292;0.00311;13.137217;0.005367;12.203918;0.004322;0.933299;;;1.208;752.862;236.807;328.944;1.0;0.987329386925486;0.001085956387246315;0.0;0.09829423588947428
2;-0.0205;-0.1406;-0.0343;28;303.62358502437;0.0357;45.59862707801;0.0421;2081643074970182144;2.9311;0.0434;4.15;0.048;1.272;0.051;2.087;15.335049;0.003152;16.285341;0.006979;14.321352;0.004737;1.963989;;;1.373;709.635;169.724;283.58;1.0;0.6574988620403532;0.002071299493017631;0.0;0.1142700524971534
3;0.0821;-0.2448;-0.1215;28;303.67996332318;0.0194;45.54278047405;0.0212;2081641941098822272;2.9453;0.0232;3.727;0.027;1.619;0.026;1.407;14.88836;0.003223;15.679531;0.006899;13.984921;0.00517;1.694611;;;1.317;649.008;172.062;249.456;1.0;0.6891585219793441;0.0006555760079671847;0.0;0.016847256409274907
4;-0.0314;-0.1752;-0.068;28;303.61976696491;0.0207;45.62057547547;0.0252;2081646132986902528;2.9136;0.0251;3.273;0.028;1.183;0.031;0.965;8.339063;0.00277;8.300218;0.002858;8.374118;0.002841;-0.0739;;;1.159;3756.322;1750.82;2030.203;1.0;2.8568737688321515;0.030507960352241775;0.7765666680138059;0.5459336580757275
5;-0.1344;-0.0736;-0.0988;27;303.70791601804;0.0692;45.59601912716;0.0795;2081643246768907008;3.098;0.0844;4.149;0.094;1.169;0.097;1.12;17.77142;0.003109;19.642702;0.036683;16.477921;0.004544;3.164782;;;1.515;753.549;29.683;302.749;1.0;0.27048153165524735;0.01048165700741107;0.20987986445387485;0.012770494422138599
6;-0.1032;-0.1479;-0.1199;28;303.73655543347;0.0875;45.53870263213;0.0944;2081641838019627904;3.0779;0.1035;3.68;0.118;1.695;0.125;0.983;18.286213;0.003233;20.134964;0.053021;16.996754;0.006302;3.13821;;;1.512;641.811;20.506;192.127;1.0;0.2683233750010737;0.0015705077074969482;0.0;0.0
7;-0.0142;-0.1631;-0.1179;27;303.38968297591;0.0421;45.47500677875;0.0467;2081638402045681280;3.1177;0.0513;3.719;0.054;1.729;0.06;1.012;16.9149;0.003165;18.408613;0.017648;15.714893;0.005031;2.69372;;;1.454;697.583;62.304;259.382;1.0;0.4361256476063727;0.015383247585446156;0.22672083225005196;0.032792516237356885
8;0.0322;-0.2891;-0.1119;26;303.45362189293;0.0948;45.68623359584;0.1144;2082396618392716160;2.8031;0.1236;3.602;0.132;1.458;0.133;1.329;17.786514;0.004392;19.485683;0.035591;16.44268;0.004527;3.043003;;;1.603;317.435;30.6;304.575;1.0;0.2774139800924215;0.010031846350560708;0.20753650345931063;0.011972015621344635
9;-0.0822;-0.0539;0.0321;27;303.33400255051;0.098;45.59875010293;0.1311;2082390193121560576;2.8757;0.1265;3.648;0.134;1.545;0.18;2.497;16.900713;0.006388;18.381895;0.015755;15.562422;0.003895;2.819473;;;1.629;188.398;70.021;399.425;1.0;0.39408433121069053;0.018326607488540068;0.3292033562100361;0.026132904954659333
10;-0.0209;-0.1798;-0.0304;27;303.69812290486;0.0176;45.6721004098;0.0193;2081737529891330560;3.0168;0.021;3.467;0.023;1.372;0.024;0.995;15.170914;0.002835;16.297176;0.00495;14.114444;0.003351;2.182733;;;1.371;1626.098;265.584;585.162;1.0;0.6282190636911867;0.009681920769737725;0.5744256694838665;0.025225916480908217
11;0.0062;-0.1044;0.0041;28;303.70378809069;0.0439;45.67332459672;0.0494;2081737529891332352;2.7249;0.0519;3.63;0.057;1.253;0.059;4.047;10.926537;0.002784;11.19232;0.003074;10.498092;0.002956;0.694228;;;1.192;2700.745;841.545;1113.803;0.99;1.2661061600154788;0.03227093043050225;1.1284190823520546;0.05252975851114375
12;-0.1536;-0.1027;-0.1956;28;303.34807030505;0.1;45.63564147215;0.1115;2082391082170346880;2.6896;0.1191;3.697;0.132;1.661;0.154;1.067;18.220467;0.003745;19.674669;0.055678;16.769262;0.015465;2.905407;;;1.792;428.116;19.525;71.376;1.0;0.290575101845719;0.00303826909751932;0.0;0.0
13;-0.0394;-0.245;-0.0765;27;303.78061782044;0.0507;45.61822442208;0.0525;2081736224221287680;3.1315;0.0599;3.957;0.07;1.611;0.067;0.977;17.30826;0.003454;18.894867;0.020917;16.074863;0.005711;2.820004;;;1.479;521.071;52.374;217.898;1.0;0.36684320915569124;0.019115224635656288;0.0;0.06580449847114689
14;-0.0689;-0.1519;-0.164;27;303.37261095716;0.0231;45.66338823774;0.0276;2082397099429013120;3.0166;0.0283;3.78;0.03;1.571;0.036;1.041;15.701017;0.002825;16.960506;0.0087;14.590026;0.00317;2.370481;;;1.398;1734.963;131.756;721.164;1.0;0.574386861085847;0.012291355485674492;0.5052473508273523;0.025219159901713542
15;-0.0455;-0.2256;-0.0015;28;303.82074616107;0.0177;45.50387734255;0.0193;2081630052629208704;2.9981;0.0209;3.77;0.023;1.571;0.025;1.057;15.204316;0.002844;16.314272;0.004842;14.155144;0.003282;2.159128;;;1.367;1536.682;274.389;628.479;1.0;0.6292655830119435;0.009697257641976919;0.561824307475;0.02675402639890885
16;-0.0286;-0.1193;-0.1137;28;303.81879974526;0.0176;45.59434325115;0.0189;2081724434527097472;2.9581;0.0204;3.563;0.024;1.274;0.025;0.968;8.566066;0.002771;8.540323;0.002842;8.580614;0.002818;-0.040291;;;1.158;3667.024;2014.347;2758.38;1.0;2.6243816312547397;0.032575390709225466;1.0365993347525142;0.37162307029044284
17;-0.0632;-0.1768;-0.0584;28;303.82462092309;0.0078;45.58015092748;0.0088;2081724335751819520;3.0143;0.0094;3.731;0.011;1.655;0.011;0.984;13.122481;0.002911;13.53934;0.004391;12.539733;0.003811;0.999607;;;1.214;1154.376;320.268;418.309;1.0;0.9208468916622178;0.0008594807062363918;0.0;0.0
18;-0.066;-0.0577;-0.1186;28;303.25853592082;0.067;45.57391736379;0.0786;2082390639788849024;2.9532;0.0808;3.526;0.09;1.772;0.1;0.94;17.725983;0.003067;19.268011;0.050367;16.301058;0.02654;2.966953;;;1.739;805.87;21.59;41.137;1.0;0.3138020687280753;0.028142143596645335;0.0;0.0939817074484135
19;-0.0828;-0.0637;-0.1048;28;303.25771406806;0.0664;45.57371909826;0.0776;2082390639798108416;2.9899;0.0809;3.613;0.089;1.654;0.099;0.979;17.820972;0.00312;19.409424;0.043419;16.5765;0.01314;2.832924;;;1.492;741.49;25.058;84.56;1.0;0.33037196296755006;0.0015335606558777443;0.0;0.0
20;-0.0094;-0.1603;-0.14;28;303.24642351404;0.0093;45.59332307524;0.0111;2082390742877325952;2.9502;0.0113;3.72;0.013;1.485;0.014;0.896;10.597053;0.002763;10.762802;0.002851;10.304823;0.002799;0.457979;-7.07;1.46;1.173;5433.124;1850.369;4776.197;1.0;1.496570576634924;0.0011994705431813656;0.0;0.1421576227999612
21;0.0232;-0.1212;-0.0389;28;303.86936222746;0.1258;45.6198070378;0.1313;2081724675046221440;3.1489;0.1448;3.806;0.165;1.168;0.176;1.03;18.729177;0.0035;20.650322;0.13039;17.349131;0.015386;3.301191;;;1.624;503.229;8.329;71.757;1.0;0.22576284945290134;0.0018112690178123051;0.0;0.0
22;-0.1136;-0.0933;-0.1258;28;303.89447622083;0.0217;45.61578737411;0.0236;2081724644989515904;3.0289;0.0256;3.767;0.029;1.898;0.031;1.091;15.600067;0.002914;16.620438;0.007;14.589137;0.004888;2.031301;;;1.351;1143.594;169.128;270.509;1.0;0.6378938237341035;0.0006864136527694194;0.0;0.014106735979665915
23;0.0077;-0.1633;0.0459;24;303.45973344347;0.0693;45.78688247537;0.0898;2082399328505622912;3.0522;0.0909;3.775;0.093;1.543;0.107;0.973;17.86698;0.00311;19.59207;0.034947;16.621658;0.005616;2.970411;;;1.473;752.72;31.168;222.76;1.0;0.32083351727565435;0.010674586590137815;0.0;0.03184762276163766
24;-0.1755;-0.2218;-0.0033;25;303.34966792889;0.064;45.76137904817;0.077;2082400943415898624;2.9783;0.0782;3.762;0.087;1.521;0.099;1.046;17.51791;0.00299;19.193039;0.024469;16.278522;0.004488;2.914516;;;1.473;935.232;44.663;308.897;1.0;0.32067489279033873;0.01425865665502123;0.2049838137488832;0.033423281073156015
25;-0.0708;-0.1919;-0.0018;28;303.82168254735;0.0253;45.74104137292;0.0276;2081738698122520832;2.9777;0.0297;3.67;0.033;1.659;0.033;0.922;7.091529;0.002779;7.03318;0.002881;7.16766;0.002868;-0.13448;;;1.158;3002.892;1510.264;1641.316;1.0;3.5595360748882694;0.0933289767062129;3.231826518469989;0.11606605642716773
26;-0.0327;-0.1102;-0.0408;26;303.43768155255;0.0828;45.26981729951;0.0949;2081631770615860608;3.1842;0.0971;3.635;0.107;1.576;0.113;0.929;18.099754;0.00317;19.960434;0.054913;16.849844;0.00651;3.11059;;;1.462;692.312;19.797;184.608;1.0;0.27636292209106245;0.028046218024477067;0.0;0.07700323775743194
