;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;-0.1116;-0.2613;0.152;27;302.64344854528;0.0508;33.79468838908;0.0696;2055259292724848640;1.8946;0.0787;2.163;0.071;-1.242;0.093;0.963;17.550262;0.002969;18.80055;0.01376;16.466059;0.00529;2.334492;;;1.372;982.202;80.577;241.548;1.0;0.5291219805787865;0.006966343710271357;0.3159795031912653;0.04447746455182677
1;-0.054;-0.2706;0.1064;26;302.67875287929;0.028;33.73120577261;0.0351;2055258025721025792;1.9418;0.0423;1.995;0.04;-1.038;0.047;0.984;16.375891;0.002863;17.226566;0.005815;15.47509;0.00448;1.751476;;;1.296;1394.19;212.799;309.755;1.0;0.6653744443599434;0.0005352273604162945;0.0;0.0
2;0.019;-0.1874;0.0513;28;302.66266701134;0.1004;33.72446716733;0.1305;2055258055774100352;1.7716;0.1512;1.986;0.142;-1.279;0.186;1.004;18.67845;0.003457;20.321972;0.064104;17.448534;0.010172;2.873438;;;1.466;519.856;16.953;110.989;0.99;0.3823785367132896;0.011855958802588098;0.2883059720679789;0.027976040042527173
3;-0.062;-0.1062;-0.064;29;302.70042436229;0.0135;33.71809147428;0.0158;2055257815253174144;1.8488;0.0189;2.099;0.018;-1.293;0.021;0.864;9.220768;0.00277;9.219205;0.002828;9.189613;0.002803;0.029592;;;1.159;3868.146;2366.062;4077.636;1.0;2.916974876684498;0.0009151389026723182;0.0;0.11292852582438177
4;-0.0894;-0.2893;0.1283;26;302.63012672047;0.0761;33.82206880468;0.0962;2055306228127511296;1.8692;0.118;1.771;0.109;-1.077;0.139;1.007;18.214567;0.003192;19.634888;0.038379;17.054249;0.005908;2.580639;;;1.422;673.615;28.365;208.472;0.99;0.44004996712637845;0.018024139519470996;0.30553983991820555;0.061384199342538255
5;-0.0071;-0.2855;0.0147;27;302.78233843299;0.0184;33.7808406622;0.0213;2055633745153332096;1.7787;0.026;2.078;0.026;-1.42;0.027;2.04;12.08352;0.002759;12.335358;0.00285;11.676527;0.002818;0.658831;;;1.187;7682.395;1865.953;2749.74;0.67;1.4017071389333386;0.009322633361323494;0.767612029217076;0.11199153646434978
6;-0.1751;-0.1818;0.0199;27;302.60668963358;0.0081;33.78073176306;0.0098;2055306094996755456;1.8804;0.0115;1.842;0.011;-1.124;0.013;0.964;13.395512;0.002797;13.759473;0.003293;12.86281;0.003062;0.896663;;;1.206;2261.573;621.088;860.96;1.0;1.1026119825651868;0.0010024674442825536;0.0;0.15002865686693015
7;-0.1145;-0.2665;0.1606;26;302.6039305693;0.0235;33.80223584717;0.0302;2055306159405156608;1.8743;0.0345;1.816;0.032;-1.01;0.039;2.007;9.200139;0.002768;9.227763;0.002827;9.118488;0.002807;0.109275;;;1.161;4102.741;2375.328;3532.031;1.0;2.7826432198447697;0.07819355559279079;1.7795867516524289;0.18425225122511366
8;-0.0999;-0.1246;0.0913;26;302.65929941838;0.021;33.85570060559;0.0253;2055306747831784960;1.8607;0.0307;2.227;0.029;-1.375;0.035;0.958;7.632411;0.002855;7.595016;0.00356;7.658792;0.003327;-0.063776;;;1.161;1449.25;490.952;599.072;1.0;3.4556666254123396;0.036669366130251964;3.3100750083231225;0.06439792650400147
9;0.0374;-0.3327;-0.0281;25;302.78778277428;0.1288;33.80576844096;0.1575;2055633779514703232;1.6889;0.1975;2.317;0.2;-1.55;0.222;1.027;18.95072;0.00359;20.725353;0.076908;17.710024;0.012541;3.015329;;;1.461;471.886;14.127;88.798;0.97;0.37625735373792274;0.009633924528319487;0.0;0.0725656791646287
10;-0.0774;-0.2069;0.1183;26;302.60619864865;0.1151;33.81468474222;0.1419;2055306193767758080;1.6908;0.1695;2.136;0.162;-1.087;0.215;1.037;18.761703;0.003488;20.405813;0.064431;17.57168;0.008111;2.834133;;;1.419;507.822;16.867;142.561;0.99;0.38593407278514563;0.014077648134744592;0.23196814473134203;0.07209543262174159
11;-0.019;-0.1456;0.0117;28;302.72896271755;0.0775;33.69945384192;0.1034;2055254722879413632;1.732;0.1181;2.397;0.112;-1.053;0.147;1.045;18.231421;0.003188;19.895607;0.045874;16.99671;0.00832;2.898897;;;1.469;677.071;23.712;138.51;0.98;0.4160994774396975;0.013077132301744612;0.36088326267808246;0.023261575442032056
12;-0.1258;-0.2155;0.0675;27;302.64016730526;0.009;33.85745921906;0.0109;2055306919630482176;1.866;0.0128;2.146;0.012;-1.387;0.014;0.958;13.811877;0.002878;14.304452;0.004279;13.159969;0.003659;1.144483;;;1.228;1308.259;334.672;458.714;1.0;0.9336324558418376;0.02150938117380024;0.8247915658796608;0.03537485465773258
