;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;-0.0492;0.0997;-0.2918;21;114.27075584771;0.0131;-15.58861863967;0.0138;3029050875497888768;0.9566;0.0187;-3.243;0.017;0.168;0.017;1.035;12.412539;0.002772;12.477324;0.0029;12.291818;0.002838;0.185507;;;1.154;3544.367;1372.423;2082.494;1.0;1.8545184776814698;0.0010680492398940926;0.0;0.0
1;-0.1483;0.1816;-0.3066;21;114.28432543824;0.076;-15.57439802652;0.0835;3029052348665540480;0.9216;0.1152;-3.447;0.096;0.14;0.105;1.021;17.902493;0.00362;19.037863;0.027533;16.90295;0.008693;2.134912;;;1.312;462.346;39.638;131.873;0.96;0.5743675933035233;0.010958450329667708;0.5288900844225348;0.021346148106679962
2;-0.0266;0.0691;-0.2431;20;114.24100629265;0.0135;-15.59878561039;0.0142;3029050944217393152;0.9632;0.0186;-3.192;0.018;0.123;0.017;0.896;11.687441;0.002786;11.737005;0.00287;11.590889;0.002824;0.146116;;;1.153;2630.448;1613.26;2491.105;1.0;2.2774452195326047;0.022051924022650275;1.1272714052645625;0.08796436476174786
3;-0.1403;0.1083;-0.205;20;114.22634582056;0.1008;-15.56988245199;0.1101;3029054066653745408;1.0173;0.1456;-3.428;0.129;0.301;0.145;1.033;18.378706;0.003292;19.572014;0.037829;17.29331;0.013939;2.278704;;;1.385;602.744;28.779;79.498;0.93;0.540824344061472;0.012286877867269659;0.4734883286576021;0.030182274654483067
4;-0.1295;0.1037;-0.2227;21;114.22573789557;0.0123;-15.60813981977;0.0137;3029050531900548352;0.9557;0.017;-3.201;0.016;0.159;0.017;1.25;13.539614;0.00277;13.772675;0.002843;13.154337;0.002835;0.618338;;;1.185;3782.449;1987.883;2171.758;1.0;1.4148527024694229;0.0012352575780483512;0.0;0.16191792284585116
5;-0.0162;0.0806;-0.3088;19;114.27666227164;0.0109;-15.62031705451;0.0118;3029049913425225088;0.9164;0.0157;-3.242;0.014;0.201;0.014;1.003;13.703014;0.002768;13.960426;0.002885;13.29201;0.002857;0.668416;;;1.187;4027.738;1482.628;1771.196;0.99;1.3646109345124022;0.0036611081542025146;0.2784695149775704;0.30225940143485236
6;-0.0578;0.0652;-0.277;20;114.31212348506;0.0122;-15.58289299306;0.0132;3029052314305242880;1.0303;0.0175;-3.242;0.015;0.124;0.015;1.006;12.743526;0.002769;12.850351;0.002897;12.553217;0.002893;0.297134;;;1.159;3935.396;1395.915;1422.026;0.58;1.6957848624456642;0.0009855994020185584;0.0;0.0
7;-0.1386;0.101;-0.2675;21;114.20006719183;0.0205;-15.58687826511;0.0214;3029053624277008640;0.9533;0.0287;-3.216;0.026;0.119;0.027;0.991;15.306379;0.003294;15.775324;0.00984;14.653834;0.006125;1.12149;;;1.239;601.438;115.061;199.131;1.0;0.942802704213577;0.01931933884746988;0.7709769480971054;0.03864641749640161
8;-0.1011;0.1365;-0.217;22;114.2042411282;0.0159;-15.53177487657;0.0156;3029054414550735232;0.9074;0.0214;-3.209;0.021;0.105;0.019;1.02;14.600725;0.00281;14.948264;0.003443;14.083368;0.003232;0.864896;;;1.204;1971.368;538.345;665.756;0.99;1.1371584714915046;0.0062080384203487375;0.46703357777482035;0.26650898403804324
9;0.0811;-0.0729;-0.2921;20;114.19673378306;0.0119;-15.60983771357;0.0121;3029053521197984640;0.8936;0.0172;-3.338;0.015;0.395;0.015;1.161;13.627827;0.002773;13.909028;0.003057;13.183511;0.002992;0.725517;;;1.194;3480.453;870.013;1005.506;0.7;1.3357204492964703;0.014931742906584925;0.9427928565768419;0.049915068827836875
10;0.0218;-0.0189;-0.3455;19;114.32530734177;0.0143;-15.58061560181;0.0157;3029051562692615424;0.9108;0.0215;-3.286;0.019;0.034;0.018;0.961;14.409534;0.002783;14.710885;0.003253;13.943063;0.002944;0.767822;;;1.196;2760.808;649.422;1156.259;0.99;1.1892301346241718;0.0008155998400707619;0.0;0.0
11;-0.0234;0.0489;-0.2312;21;114.21396423857;0.0119;-15.62859439688;0.0129;3029050497540823552;0.9599;0.0172;-3.251;0.016;0.122;0.016;0.98;14.126447;0.002767;14.410842;0.002959;13.676064;0.002914;0.734778;;;1.195;4310.819;1103.617;1293.66;1.0;1.2575202458396182;0.000826248762355085;0.0;0.09281744808135534
12;-0.0358;0.058;-0.2393;21;114.1833666482;0.0149;-15.58057898143;0.0161;3029053830435446016;0.9278;0.0215;-3.227;0.019;0.138;0.019;0.96;14.643178;0.002815;15.003602;0.00348;14.111732;0.003404;0.89187;;;1.207;1886.723;521.928;556.778;1.0;1.1197800734308114;0.008395589865551356;0.654431285234694;0.09372366571912899
13;-0.1255;0.1604;-0.2797;21;114.31294892765;0.0117;-15.63128480263;0.0117;3029049741626512000;0.9708;0.0155;-3.146;0.015;0.009;0.014;0.94;12.779756;0.002767;12.893434;0.002867;12.581114;0.002829;0.31232;;;1.159;4193.247;1650.636;2330.62;1.0;1.6800906426679845;0.0010607594852390313;0.0;0.0
14;-0.0865;0.1836;-0.3188;20;114.19340807574;0.0204;-15.63130091709;0.0219;3029050463181097344;0.9445;0.0313;-3.366;0.027;0.123;0.027;0.929;15.351746;0.003355;15.83657;0.007082;14.695858;0.005735;1.140712;;;1.234;567.363;166.801;216.708;0.99;0.9249890515474993;0.02237358881869975;0.7813678544524748;0.04075640926744737
15;-0.02;0.1051;-0.344;19;114.32289743606;0.0126;-15.51391945523;0.0137;3029053211960029312;0.9342;0.0197;-3.285;0.016;0.087;0.016;0.991;13.994799;0.002768;14.26529;0.00294;13.56697;0.002878;0.69832;;;1.19;4045.18;1173.211;1540.294;1.0;1.289296037674361;0.000789306061483832;0.0;0.03739697518166713
16;0.0304;0.215;-0.2745;20;114.29742231263;0.0587;-15.4948652663;0.0588;3029056235617015424;0.9137;0.0897;-3.389;0.073;-0.121;0.067;1.064;17.227247;0.003337;18.116171;0.017882;16.265701;0.008721;1.85047;;;1.34;576.612;61.469;131.401;0.92;0.6506057565874147;0.012066771159900824;0.6059221917253639;0.015843781807241712
17;-0.1923;0.1229;-0.3136;20;114.28271652962;0.0124;-15.47856809547;0.0129;3029056506193317888;0.9662;0.0171;-3.259;0.016;0.174;0.015;0.847;12.370159;0.002775;12.45055;0.002867;12.223365;0.002817;0.227185;;;1.155;3295.992;1650.891;2798.172;1.0;1.8783207731719187;0.0020018474443888427;0.0;0.20354179835137268
18;-0.0741;0.1259;-0.3355;18;114.35233710983;0.0227;-15.5392961107;0.0238;3029052864061053952;0.9157;0.0356;-3.225;0.026;0.142;0.028;1.089;10.336826;0.002788;10.310818;0.002854;10.36398;0.00281;-0.053163;;;1.153;2534.426;1810.147;3217.921;1.0;3.511033581837978;0.0012626426461775624;0.0;0.0
19;-0.0019;0.0689;-0.2077;21;114.29146091414;0.0148;-15.66863872918;0.0157;3029049153209318016;0.9849;0.0208;-3.178;0.019;0.148;0.019;1.289;12.449217;0.002767;12.508506;0.004389;12.258467;0.006445;0.250039;;;1.188;4219.988;320.497;186.883;0.99;1.842570521265063;0.0064952860999107;0.2794223030830926;0.3626328084804431
20;0.0589;-0.0388;-0.1785;21;114.15977510226;0.0095;-15.6146367529;0.01;3029053452478348160;0.9297;0.0132;-3.027;0.013;0.036;0.013;1.109;13.361108;0.002826;13.574649;0.003518;13.002196;0.003106;0.572453;;;1.182;1727.272;506.784;795.194;0.95;1.469692512210243;0.002047821444568552;0.0;0.24534685215762794
21;-0.0628;0.0879;-0.3043;21;114.33614420818;0.1207;-15.6452606985;0.1187;3029037956236453888;0.9517;0.1587;-2.886;0.142;0.046;0.142;1.742;17.691778;0.00371;18.174402;0.035693;16.373039;0.022921;1.801363;;;1.883;436.97;30.512;47.723;0.75;0.6766576604381217;0.010931881299296451;0.46081545221801806;0.058820838935210853
22;-0.2123;0.204;-0.2515;20;114.35603877732;0.0707;-15.62066204586;0.0768;3029051219095228288;0.8833;0.102;-3.35;0.087;0.19;0.093;1.018;17.56588;0.00338;18.712618;0.021711;16.505913;0.008108;2.206705;;;1.37;554.59;50.426;142.613;0.98;0.6022758793082116;0.012337575744172663;0.562439406269468;0.013733617018080992
