;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;0.3127;0.1073;-0.1241;26;177.35061251422;0.0679;-62.22382688082;0.0651;5334831831028428800;0.3307;0.0821;-7.729;0.087;1.163;0.086;1.064;17.527563;0.002917;18.191784;0.011077;16.583712;0.010646;1.608072;;;1.397;1133.476;101.287;105.677;0.82;1.4814719073790257;0.011739800529564899;0.2943458436722688;0.38575070299384145
1;0.3177;0.0413;-0.1114;27;177.34875519649;0.0234;-62.22477824208;0.0235;5334831831068674688;0.2601;0.0289;-7.608;0.03;1.288;0.032;0.957;15.659307;0.002839;16.222641;0.009072;14.788911;0.009457;1.43373;;;1.37;1591.556;125.773;120.161;0.98;2.3727361927622006;0.08090563145975009;1.701355758521538;0.09993615582453931
2;0.3;0.0779;-0.1059;25;177.34749580692;0.0454;-62.21849076089;0.043;5334831831068686720;0.2963;0.0544;-7.923;0.058;1.283;0.056;0.958;16.90918;0.002832;17.604221;0.005788;16.095249;0.004053;1.508972;;;1.273;1663.826;214.085;369.268;0.93;1.6093297126348052;0.03526042265456014;1.120480934193767;0.07796217636432606
3;0.3093;0.0039;-0.0606;27;177.34536957297;0.0102;-62.22720192225;0.0107;5334831861079316864;0.2788;0.0129;-7.755;0.013;1.37;0.014;1.021;13.429072;0.002774;14.679217;0.003134;12.324851;0.002826;2.354366;-17.06;0.69;1.393;3389.099;760.958;2404.109;0.99;4.708056541178384;0.11067032965510977;4.3745748944224445;0.12946398308484192
4;0.3137;0.0508;-0.0954;26;177.35584258826;0.0227;-62.2259011464;0.0227;5334831831068675456;0.2818;0.0279;-7.728;0.029;1.314;0.029;0.952;15.520915;0.002778;16.141258;0.003546;14.737532;0.003307;1.403727;;;1.276;3088.269;496.021;611.673;0.99;2.4791615472742388;0.08170770751473207;1.7193602623964517;0.10543225926997474
5;0.2377;0.1758;-0.0092;28;177.34607738047;0.0619;-62.21570958985;0.0577;5334831895464046592;0.184;0.075;-7.732;0.08;1.384;0.072;0.973;17.576473;0.002891;18.317926;0.009912;16.723129;0.008204;1.594797;;;1.29;1240.371;114.156;140.737;0.95;1.4561742955109;0.005732874678045562;0.0;0.2557257631694087
6;0.2915;0.1282;-0.1234;26;177.35895210664;0.0898;-62.22640237803;0.0877;5334831831028422912;0.0722;0.113;-7.661;0.115;1.464;0.117;1.0;18.122622;0.003046;18.964783;0.022701;17.100975;0.022899;1.863808;;;1.413;835.565;48.193;47.769;0.74;1.1889381965051002;0.04189444975841541;0.9498848431334614;0.04689395261535837
7;0.3467;0.0677;-0.1777;27;177.35182039649;0.1346;-62.2141649312;0.1413;5334831934107722368;0.2093;0.169;-7.798;0.175;1.293;0.181;1.044;18.724272;0.003282;19.711185;0.027325;17.758219;0.013635;1.952967;;;1.317;608.645;39.943;81.348;0.83;1.0791211525087958;0.018580043382717445;0.49105758427904367;0.38757210079499455
8;0.3142;0.0644;-0.1123;27;177.36623868513;0.0643;-62.22550099492;0.0613;5334831831068678912;0.2615;0.0767;-7.782;0.083;1.436;0.079;1.032;17.499775;0.002905;18.200474;0.010336;16.689651;0.00684;1.510822;;;1.268;1181.043;109.09;173.853;0.94;1.479651553751183;0.0030852180867698125;0.0;0.035735332590080736
9;0.3932;0.1991;-0.0319;25;177.33644361309;0.1383;-62.23021315126;0.1314;5334831865388099712;0.2577;0.1594;-7.479;0.182;1.263;0.172;0.979;18.639322;0.003287;19.840319;0.035821;17.711884;0.012372;2.128435;;;1.229;605.956;30.402;90.082;0.7;1.0538336734908256;0.022367414908360767;0.8834363841954227;0.12679335276723222
10;0.3359;0.0209;-0.0903;26;177.3634313906;0.049;-62.21451421922;0.0494;5334831934147917568;0.2747;0.061;-7.523;0.067;1.391;0.066;1.197;16.942331;0.002966;17.448261;0.007059;16.007334;0.005234;1.440928;;;1.451;989.717;167.453;245.204;0.96;1.7171747897748266;0.025438764202473037;0.8162270856637143;0.3460836464397398
11;0.2836;0.2143;0.0386;27;177.33988386852;0.1091;-62.21174063254;0.1038;5334832002827196288;0.3155;0.1328;-7.873;0.141;1.296;0.134;1.268;18.226425;0.00321;18.800554;0.03313;17.120684;0.028295;1.679871;;;1.593;658.872;32.889;38.56;0.86;1.308482641622033;0.01304228333434002;0.0;0.2677105932025677
12;0.211;0.1911;-0.0356;27;177.33211592573;0.1054;-62.21346523104;0.1003;5334831899747956608;0.1998;0.1313;-7.528;0.135;1.429;0.125;0.966;18.506372;0.003125;19.352013;0.029506;17.642344;0.009101;1.709669;;;1.266;736.234;36.963;125.337;0.85;1.1245518299909876;0.0035029408034244615;0.0;0.11534924081082921
13;0.2267;0.1421;-0.0174;28;177.3263927485;0.0441;-62.21661792136;0.0425;5334831899788157184;0.2776;0.0545;-7.689;0.058;1.29;0.054;1.057;16.964289;0.002814;17.735189;0.006468;16.105333;0.003902;1.629856;;;1.285;1905.386;186.07;397.938;0.98;1.484264516852683;0.03727666945628679;1.3186082303673325;0.07180658063355676
14;0.2842;0.1314;0.0518;27;177.32461849911;0.0227;-62.22743917889;0.023;5334831865428396160;0.2475;0.0281;-7.747;0.03;1.323;0.029;0.934;15.635289;0.00278;16.22875;0.004053;14.850461;0.003486;1.378289;;;1.287;2947.177;369.413;519.585;0.99;2.352857090748827;0.08499339514946178;1.7048085431914688;0.10369478719525822
15;0.3276;0.0755;-0.0758;27;177.35894062145;0.036;-62.23286743651;0.035;5334831796708922752;0.293;0.0438;-7.746;0.046;1.291;0.046;0.909;16.506424;0.002807;17.14082;0.004481;15.700368;0.003988;1.440452;;;1.289;2031.661;309.612;381.067;0.98;1.7177233062770856;0.041842937429100856;1.4139633343909521;0.052832380919414695
16;0.1829;0.1188;0.0296;28;177.32137098646;0.0215;-62.22092163249;0.0199;5334831865428408448;0.2456;0.0254;-7.769;0.027;1.391;0.025;1.04;15.348605;0.003746;15.975469;0.009049;14.554327;0.009384;1.421142;;;1.282;427.725;126.134;121.186;0.99;2.684502405358082;0.09387439207790561;1.7579353368350263;0.13483892264585456
17;0.332;0.1163;-0.0765;27;177.3532998561;0.0565;-62.20983243977;0.0575;5334831934147923840;0.2472;0.0703;-7.696;0.076;1.42;0.076;1.033;17.392183;0.002904;18.02949;0.011485;16.468546;0.010729;1.560944;;;1.389;1182.47;97.459;104.807;0.96;1.5315091867603718;0.010115841953331801;0.23192007917900018;0.3588229608775686
