;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;-0.2699;0.0324;0.3138;19;84.75482976985;0.054;-2.61080398587;0.0492;3216485790907206400;2.6847;0.0657;1.497;0.063;-0.538;0.056;1.063;16.567568;0.003015;18.193375;0.017358;15.325193;0.005336;2.868181;;;1.484;887.174;63.375;238.695;0.97;0.4636310591424776;0.009115798483523025;0.4292422135341696;0.013184807178856882
1;0.0364;0.0202;0.346;20;84.74678774983;0.0366;-2.56428510753;0.0351;3216486821699351296;2.477;0.0487;1.863;0.042;-0.617;0.041;1.111;15.998402;0.018113;17.08337;0.070096;14.896141;0.043489;2.187229;;;1.429;60.649;15.502;25.017;0.99;0.5351496112398743;0.00822345472514045;0.4993266926546486;0.01604645576062633
2;-0.2099;-0.0322;0.3487;20;84.79847823072;0.0225;-2.60080335711;0.0207;3216485722187722752;2.6031;0.0277;2.179;0.026;-0.512;0.024;1.59;14.014549;0.006183;14.940528;0.02162;13.038024;0.014483;1.902504;;;1.344;196.17;50.644;76.4;0.97;0.7335816585298329;0.010782467609081149;0.6976820445748357;0.01702404419042192
3;-0.2822;0.0799;0.3114;21;84.715618904;0.0544;-2.6009524317;0.0511;3216486649900670464;2.5842;0.0667;1.545;0.066;-0.215;0.06;1.074;16.489937;0.003456;18.501833;0.03539;15.109897;0.006795;3.391936;;;1.614;520.448;30.775;175.24;0.99;0.4590494173063401;0.009155800224957327;0.42648794157577774;0.013254957763490702
4;-0.4588;0.1421;0.201;20;84.71440443395;0.1154;-2.60573461021;0.1049;3216486203224073088;2.435;0.1251;0.995;0.141;-0.186;0.124;2.728;15.939528;0.003362;17.74317;0.025801;14.579779;0.006794;3.163391;;;1.61;563.673;42.33;175.273;0.95;0.5164019864218264;0.006346021337368975;0.49644139115718644;0.00941428699200618
5;-0.119;0.013;0.3414;19;84.77186710783;0.0468;-2.55016692824;0.0434;3216488333527834880;2.5756;0.0591;1.719;0.054;-0.401;0.05;1.067;16.443064;0.002877;18.115885;0.020408;15.195879;0.004212;2.920006;;;1.483;1308.921;53.705;344.069;0.99;0.473821253247674;0.009201027018128256;0.4433952563583564;0.014056523149115535
6;-0.3344;0.0503;0.3952;20;84.71159610411;0.0773;-2.60744909307;0.0764;3216486203224610816;2.7138;0.1004;1.073;0.089;-0.713;0.086;0.848;16.684225;0.003036;18.618483;0.043719;15.289484;0.004041;3.328999;;;1.643;851.033;24.885;371.426;0.82;0.44247463001995313;0.010279277511059295;0.4047590463636644;0.01431875687997844
7;-0.2429;0.1416;0.2575;21;84.70710778732;0.0662;-2.58130291474;0.0593;3216486851767075456;2.6067;0.0793;1.305;0.077;-0.675;0.069;0.862;16.348324;0.003212;17.835758;0.072665;14.996926;0.005406;2.838832;;;1.646;658.009;14.953;234.494;0.98;0.4929936166239808;0.008073930410345733;0.4652252217016305;0.011631244041328268
8;-0.1692;-0.0348;0.4959;19;84.79751325165;0.1173;-2.55912089475;0.1205;3216487607678004992;2.6441;0.1627;1.336;0.133;-0.261;0.137;1.094;18.005651;0.003223;20.310328;0.066137;16.635548;0.0063;3.67478;;;1.574;649.178;16.431;192.231;0.98;0.27926800560989695;0.015037298433099514;0.22662738145790648;0.018449148651287543
9;-0.136;-0.0194;0.3494;20;84.77254302134;0.0135;-2.54177047016;0.0127;3216488329232163328;2.5207;0.0171;1.709;0.016;-0.469;0.015;0.982;13.799942;0.003305;14.682012;0.007534;12.860008;0.006178;1.822003;;;1.322;595.048;155.145;196.966;0.99;0.7616034635687268;0.012545600505803953;0.719835398599798;0.016223641140839618
10;-0.2085;0.0225;0.345;20;84.78169432725;0.0419;-2.54422436286;0.0382;3216488436607047808;2.6656;0.0517;1.588;0.049;-0.922;0.044;3.28;13.629037;0.012058;14.416222;0.034428;12.684216;0.026816;1.732005;;;1.356;92.488;31.64;40.709;0.93;0.786426697522788;0.013046871674563733;0.7459612194502175;0.01566816948471488
11;-0.3679;-0.0269;0.3819;20;84.75622577455;0.0402;-2.6489931406;0.0397;3216485103712446464;2.541;0.0475;1.317;0.046;-0.693;0.043;1.053;8.058573;0.002799;7.987484;0.002945;8.082759;0.003178;-0.095274;;;1.186;2207.461;1153.161;713.334;0.99;3.0218543450977684;0.2270532945682641;2.2420972132394157;0.4454754646540002
12;-0.2558;0.0937;0.2634;21;84.70286968983;0.0255;-2.60452901167;0.0241;3216486271943551616;2.4972;0.0315;1.337;0.031;-0.442;0.028;1.134;14.91927;0.005086;16.157806;0.016606;13.797606;0.011592;2.3602;;;1.414;253.943;66.326;96.502;0.99;0.6101614986801673;0.007636484368562262;0.5880102974703862;0.00861039628561157
13;-0.1845;-0.0547;0.4773;19;84.78424963536;0.0708;-2.54124328006;0.0714;3216488436607047040;2.5429;0.097;1.289;0.081;-0.513;0.082;1.006;17.272453;0.003066;19.349749;0.053564;15.926813;0.005524;3.422935;;;1.561;807.81;20.297;227.745;0.99;0.36559034657769074;0.013156566691013618;0.32361181905803393;0.018923731100053697
14;-0.2378;0.0642;0.2144;20;84.70122268158;0.0369;-2.61141073408;0.0337;3216486233291778944;2.5609;0.0441;1.437;0.041;-0.166;0.036;1.219;15.392959;0.002942;17.289316;0.033608;14.072044;0.005291;3.217272;;;1.547;1052.455;32.417;241.503;0.99;0.555636711853732;0.005832253292544811;0.5358946801209228;0.008867018988949912
15;-0.1793;0.0578;0.2703;21;84.70849838511;0.0464;-2.62654399668;0.0434;3216486168864339584;2.6275;0.0557;1.163;0.058;-0.619;0.049;0.985;16.356606;0.003328;18.051216;0.048665;15.046923;0.005589;3.004293;;;1.559;581.572;22.347;224.225;0.97;0.48207221267422684;0.008167665967920412;0.4555826456783699;0.01278667247403024
16;-0.4818;0.0715;0.2388;17;84.69669323022;0.0548;-2.59459019379;0.0516;3216486478101981056;2.339;0.0647;1.284;0.063;-0.205;0.059;1.039;6.647533;0.003083;6.548357;0.004478;6.780133;0.006106;-0.231776;;;1.167;784.696;309.937;199.905;0.83;4.655797141760015;0.0009497990440962194;0.0;0.0
17;-0.198;0.008;0.4106;20;84.81596426281;0.0414;-2.61410220331;0.0393;3216438718065634944;2.5715;0.054;1.792;0.047;-0.279;0.046;0.963;16.285534;0.002952;17.880276;0.01532;15.053614;0.004082;2.826662;;;1.476;1025.138;72.075;364.358;0.99;0.4918387811524816;0.007999561982205172;0.4634436119072571;0.010999704426820281
