;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;-0.1454;0.0487;0.1022;16;94.86988895095;0.0154;18.55030868833;0.0135;3370789221230860800;0.6689;0.0174;-0.561;0.02;-1.41;0.015;0.868;11.752173;0.0028;11.879112;0.00329;11.510429;0.003063;0.368683;;;1.171;2173.306;623.053;859.049;0.99;3.3579150114028224;0.21999602505221064;2.170614712541329;0.4891524414190031
1;-0.1538;0.0267;0.1584;16;94.86229703418;0.0422;18.54581826933;0.039;3370789221230998272;0.7399;0.0479;-0.486;0.054;-1.314;0.042;1.021;16.141932;0.002838;16.654831;0.006518;15.454204;0.003535;1.200627;;;1.245;1598.659;184.329;500.368;0.96;1.0722940406769927;0.01065318052858573;0.6576261481952613;0.06725258388807669
2;-0.1883;0.056;0.0705;16;94.86691671656;0.1222;18.53763975396;0.1152;3370789221230983040;0.7664;0.136;-0.726;0.158;-1.3;0.123;0.97;17.936602;0.003899;18.694532;0.029497;17.09078;0.0151;1.603752;;;1.278;393.624;36.974;73.163;0.8;0.7710894519416034;0.005729960382551331;0.2602910006690939;0.2045818616185769
3;-0.3223;0.1405;0.0216;16;94.8486022463;0.0208;18.54896515208;0.018;3370789878362458368;0.6746;0.0218;-0.438;0.027;-1.201;0.021;1.377;12.513439;0.002766;12.699328;0.002858;12.188148;0.002839;0.51118;;;1.179;4468.358;1750.091;2073.176;0.96;2.724515942741131;0.03600162941903417;1.595452097861286;0.0732719712739763
4;-0.2736;0.1176;0.0412;16;94.84637523219;0.0149;18.54861280537;0.0131;3370789874066389504;0.6985;0.0159;-0.492;0.02;-1.388;0.016;1.019;12.594786;0.002768;12.750723;0.00288;12.320907;0.002829;0.429816;;;1.17;4078.181;1519.337;2315.134;0.99;2.676895203380654;0.10785421083168144;1.4706025740906685;0.20179348399888117
5;0.0605;0.1769;0.1847;15;94.84930977968;0.0387;18.57501542205;0.0343;3370790084521196672;0.6878;0.0436;-0.562;0.052;-1.296;0.039;0.951;15.866116;0.002814;16.326033;0.004902;15.218233;0.004369;1.1078;;;1.239;1906.083;269.381;322.949;0.98;1.1522946425554441;0.004628095053642496;0.23060377607182095;0.270305555473023
6;-0.0017;-0.0864;0.0681;15;94.85632411762;0.1961;18.58338975021;0.1677;3370795955739799424;0.6748;0.2237;-0.506;0.294;-1.516;0.202;1.016;18.721867;0.003687;19.619541;0.065328;17.767216;0.021802;1.852325;;;1.331;443.178;16.635;50.212;0.59;0.6739296378254199;0.002811645694199597;0.0;0.07899494961386382
7;-0.2628;0.107;0.1289;17;94.82754444084;0.0187;18.54755183512;0.0167;3370789908425628800;0.6812;0.0209;-0.563;0.026;-1.291;0.021;0.951;11.438015;0.002802;11.539306;0.00286;11.236148;0.002895;0.303158;;;1.168;2138.316;1724.94;1405.657;0.99;4.017234032494204;0.0017780515485292046;0.0;0.10088448780955464
8;-0.0397;0.2378;0.1314;15;94.92544348172;0.074;18.5720195076;0.0671;3370795204121885568;0.5605;0.0887;-0.334;0.093;-1.355;0.069;0.988;17.077307;0.002918;17.692215;0.012226;16.336464;0.006359;1.355751;;;1.244;1131.319;91.216;189.995;0.58;0.9073076735472475;0.003004489653837968;0.0;0.17551975655775925
9;-0.098;0.0013;0.0462;17;94.8451256844;0.1601;18.51189387688;0.142;3370788641407400832;0.6078;0.171;-0.518;0.209;-1.575;0.16;1.014;18.48996;0.003713;19.285196;0.058843;17.536093;0.01585;1.749104;;;1.362;436.206;18.472;69.588;0.6;0.7079803131021282;0.005758354447545395;0.0;0.15731286584290943
10;-0.2208;0.0516;0.1071;17;94.8426855743;0.0145;18.51171260536;0.0128;3370788637115311744;0.6745;0.0164;-0.548;0.019;-1.293;0.015;0.945;12.062807;0.002763;12.195441;0.002893;11.816568;0.002833;0.378873;;;1.17;5261.8;1419.087;2205.46;0.99;3.2023997572432137;0.1096190865813456;1.642599442200493;0.2646016567778197
11;-0.1761;0.0749;0.0796;17;94.83126436426;0.0134;18.51659145634;0.0118;3370788705834788096;0.6909;0.0147;-0.531;0.018;-1.312;0.014;0.969;13.271735;0.002772;13.472037;0.002845;12.932549;0.002891;0.539489;;;1.178;3614.535;1962.312;1431.497;0.99;2.098031336741495;0.02962652218455639;1.3396530356808096;0.050672888010563404
12;-0.1845;0.0624;0.078;17;94.81558233423;0.0204;18.54178989868;0.0181;3370789908425628928;0.7007;0.0224;-0.516;0.028;-1.364;0.022;1.03;11.465901;0.00278;11.563282;0.002865;11.266234;0.00282;0.297048;;;1.169;2922.31;1663.704;2633.05;0.99;3.9904615475813525;0.001483529039626605;0.0;0.06686977093868157
13;-0.3135;0.1579;0.0169;16;94.86340873538;0.0228;18.49233597725;0.02;3370788435253455232;0.6723;0.024;-0.681;0.031;-1.388;0.024;1.032;14.581157;0.002779;14.90282;0.003337;14.077158;0.003302;0.825662;;;1.209;3010.779;592.937;614.538;0.95;1.4995603338692858;0.010383644757551576;0.769686136851854;0.1536421630783332
14;-0.1484;0.1178;0.1221;17;94.8107956117;0.0152;18.553780508;0.0133;3370790118880632960;0.6638;0.0169;-0.486;0.02;-1.328;0.015;0.993;12.627052;0.002772;12.769165;0.002884;12.369173;0.002841;0.399992;;;1.17;3606.09;1489.533;2028.394;0.99;2.7723348689884615;0.03196072669155806;0.893627217899762;0.47748476788488176
15;-0.1765;0.0951;0.079;17;94.80980490813;0.0149;18.55450359634;0.0131;3370790114584706176;0.7203;0.0164;-0.553;0.02;-1.323;0.015;1.047;13.642649;0.002784;13.819956;0.002941;13.318008;0.003027;0.501947;;;1.184;2723.888;1168.198;924.954;0.96;1.986913009858643;0.0107913057853805;0.3281186929478254;0.3936006984166634
16;-0.2898;0.252;-0.127;15;94.81695747681;0.1044;18.58133322289;0.0939;3370790325039056256;0.7748;0.1188;-0.305;0.142;-1.262;0.112;0.928;17.670506;0.003594;18.302237;0.033929;16.878187;0.010226;1.424049;;;1.279;470.608;32.109;110.357;0.75;0.8167299045841128;0.0018934398468613493;0.0;0.036136723156355306
17;-0.1859;0.0774;0.0903;17;94.80513880102;0.0174;18.54947303499;0.0154;3370789740923512704;0.6836;0.0192;-0.559;0.023;-1.274;0.018;0.948;14.124881;0.002778;14.369945;0.002951;13.728773;0.003032;0.641171;;;1.185;3087.062;1129.207;915.812;0.99;1.6959103956765227;0.009880317998269484;0.590785459349073;0.32316178098474374
18;-0.2254;0.1537;0.0068;15;94.88922683857;0.1176;18.47852817613;0.1183;3370776989163692416;0.6368;0.151;-0.732;0.152;-1.363;0.115;1.01;17.805557;0.003401;18.6672;0.046342;16.901541;0.011373;1.765659;;;1.296;544.366;23.471;98.478;0.78;0.72720193135136;0.015889131635179306;0.6473059033134791;0.03299255895958959
19;-0.2009;0.0799;0.088;17;94.82607577374;0.0264;18.49529886137;0.0236;3370788607052153472;0.6962;0.0292;-0.476;0.035;-1.317;0.027;1.087;15.009332;0.002775;15.391993;0.004631;14.41006;0.005002;0.981933;;;1.241;3323.869;293.704;261.511;0.99;1.3426936633874047;0.013451468222945838;0.8551724018166454;0.05993914606868678
20;-0.1763;0.0709;0.0813;17;94.80345294699;0.017;18.5242011608;0.0151;3370789500405348352;0.6772;0.0186;-0.587;0.023;-1.456;0.018;0.967;14.063883;0.002772;14.315423;0.002941;13.659321;0.002975;0.656102;;;1.186;3566.839;1168.26;1051.616;0.97;1.6993209267992169;0.012910584021361901;0.9279706070242739;0.06545784503363737
21;-0.1381;0.0186;0.1008;16;94.86049049852;0.022;18.62626559345;0.0191;3370796372352990976;0.705;0.0239;-0.707;0.029;-1.258;0.022;1.015;14.649604;0.002773;14.991248;0.003053;14.134762;0.003046;0.856486;;;1.206;3479.709;876.824;889.422;0.95;1.469991680566699;0.011244207761376763;0.7887051876494131;0.13920730429928643
22;0.0154;-0.0029;0.0298;16;94.85464927575;0.1517;18.62618172534;0.131;3370799322994232192;0.6505;0.1635;-0.572;0.192;-1.546;0.147;0.929;18.463123;0.004252;19.355089;0.045641;17.600182;0.022868;1.754908;;;1.251;335.226;23.833;47.836;0.68;0.70633874244827;0.0047817636743842235;0.0;0.13899154518571258
23;-0.0367;0.0293;0.0791;16;94.96050925633;0.0535;18.51866631481;0.0469;3370782800256642816;0.6944;0.0586;-0.624;0.071;-1.34;0.057;0.922;16.586815;0.003009;17.139208;0.011596;15.848586;0.006239;1.290622;;;1.267;898.76;96.468;194.566;0.96;0.9865897316366268;0.00987911766039599;0.5798563114042858;0.09679896393006023
24;-0.2558;0.1264;0.0009;15;94.789206988;0.0365;18.52119709063;0.0317;3370789397326137472;0.6261;0.038;-0.528;0.046;-1.339;0.036;0.951;15.682011;0.002797;16.154892;0.006623;15.038659;0.005255;1.116233;;;1.23;2256.288;180.741;243.79;0.96;1.1691391660789818;0.012866169079264146;0.738539651335463;0.06660837752531218
25;-0.1752;0.1766;0.0172;16;94.91784210418;0.06;18.4675809136;0.0537;3370776714285766144;0.5453;0.0681;-0.63;0.082;-1.386;0.061;1.176;16.374922;0.003038;16.963299;0.006596;15.609748;0.005082;1.353551;;;1.274;849.149;181.645;255.614;0.75;0.944278742084721;0.026113390837192284;0.8499702897512584;0.039531389913457164
26;-0.0855;0.0417;0.083;15;94.87249039793;0.1384;18.64415800588;0.1256;3370799361649721984;0.56;0.1424;-0.624;0.181;-1.384;0.141;0.985;18.095694;0.003932;18.241053;0.071794;17.042749;0.063565;1.198303;;;1.745;387.137;15.134;17.097;0.78;0.792230686914789;0.003970679020615803;0.0;0.01928311339728233
27;0.0415;0.1184;-0.0108;16;94.97403535856;0.091;18.52632688742;0.0857;3370782899039096576;0.5393;0.1115;-0.511;0.125;-1.362;0.092;0.95;17.584421;0.003035;18.332396;0.017319;16.773157;0.010133;1.559238;;;1.253;853.158;63.521;111.454;0.83;0.8099429563000112;0.007918035686390377;0.5115525490721868;0.04827744261192656
28;-0.0438;0.0401;0.0442;16;94.90580813092;0.1348;18.45863807712;0.1201;3370776336330893824;0.5578;0.1457;-0.625;0.182;-1.317;0.138;0.921;18.115627;0.003254;18.832218;0.035453;17.300983;0.011447;1.531235;;;1.266;627.406;30.72;97.796;0.79;0.7526827757853864;0.0018414655482075735;0.0;0.017143612041227215
29;-0.1026;0.0958;0.057;16;94.82196229961;0.0573;18.63835370922;0.0493;3370799499089186816;0.6313;0.0609;-0.508;0.075;-1.382;0.058;1.016;16.740978;0.002872;17.280844;0.007551;16.054253;0.005362;1.226591;;;1.233;1341.844;154.73;237.089;0.95;0.9711818164445318;0.0014635805179051028;0.0;0.036871352107020715
30;0.0904;0.0416;0.0651;17;94.93962801841;0.1373;18.63685767324;0.1247;3370796574215177984;0.6629;0.1566;-0.651;0.169;-1.381;0.132;0.98;18.342657;0.004037;19.112976;0.040999;17.48023;0.021265;1.632746;;;1.288;367.903;26.544;51.504;0.84;0.7255355837907342;0.0021407618205577504;0.0;0.05014883684458246
31;-0.3593;0.1773;-0.016;16;94.79693872457;0.0169;18.62283627937;0.0151;3370793589214196224;0.6421;0.0188;-0.612;0.023;-1.422;0.018;1.003;12.935462;0.002877;13.110081;0.004219;12.629671;0.004572;0.48041;;;1.175;1312.579;343.041;299.804;0.91;2.367048957531321;0.0740258100992436;1.41020564586081;0.11954039545818722
32;-0.2976;0.0062;0.1477;16;94.76557655825;0.039;18.52867545698;0.0343;3370789667907565056;0.623;0.0435;-0.509;0.056;-1.438;0.042;1.476;15.150385;0.002781;15.561734;0.003517;14.559175;0.003215;1.002559;;;1.222;2891.414;506.996;679.339;0.93;1.307978080942194;0.013006488069946488;0.7853553255428913;0.09294307238328471
33;-0.2547;-0.0154;0.2088;16;94.79849836553;0.0448;18.45952060835;0.04;3370786992144461696;0.5584;0.0522;-0.578;0.062;-1.243;0.046;1.001;16.175867;0.002931;16.685555;0.006243;15.50072;0.004993;1.184834;;;1.237;1085.494;194.419;262.244;0.59;1.0765796262160694;0.00747901850604596;0.45502751688590254;0.23711128176717375
34;-0.1519;-0.0689;0.1612;16;94.84971123151;0.0434;18.43317335412;0.0379;3370776374985656704;0.6551;0.048;-0.526;0.062;-1.38;0.046;1.015;16.079638;0.002855;16.613903;0.007209;15.386698;0.004377;1.227205;;;1.24;1450.954;163.329;321.953;0.97;1.063653247353086;0.016634865054367422;0.7594676398914484;0.05506315706750445
35;-0.0121;0.1342;0.0725;17;94.89305291922;0.0193;18.67449907231;0.0178;3370799872749748736;0.7213;0.0224;-0.727;0.025;-1.423;0.02;1.202;10.776281;0.002778;10.858227;0.00283;10.603818;0.002829;0.254409;;;1.166;3076.234;2287.136;2338.542;0.69;4.616766311344627;0.0011553462519004096;0.0;0.0
36;-0.0982;0.0518;0.078;17;94.9064162105;0.0267;18.42429073547;0.0237;3370775481632436736;0.6597;0.0295;-0.456;0.036;-1.364;0.027;1.027;15.089147;0.002776;15.495029;0.003473;14.509341;0.003289;0.985688;;;1.217;3217.431;525.206;623.524;0.98;1.3272025101399691;0.012124275852025157;0.774565415528385;0.09570198757417624
37;-0.2429;-0.0052;0.2027;15;94.80445007742;0.0634;18.66118817726;0.0538;3370800323722905856;0.7894;0.0715;-0.42;0.088;-1.261;0.066;0.949;17.034414;0.002957;17.629284;0.010662;16.302954;0.008081;1.32633;;;1.245;1010.98;105.514;143.17;0.86;0.9165853697566451;0.0015039654922499122;0.0;0.06452596297973405
38;-0.1653;-0.1088;0.1453;16;94.8470965341;0.0636;18.42477379691;0.0557;3370774893219524736;0.5966;0.0719;-0.683;0.091;-1.266;0.066;0.976;16.833414;0.003169;17.548595;0.00834;16.023197;0.007624;1.525398;;;1.263;693.2;138.144;153.028;0.84;0.8576387015528659;0.01936731326069967;0.7869219889571412;0.028964551617738126
39;-0.2299;-0.0845;0.1201;15;94.75960324984;0.1767;18.47355073538;0.1565;3370787778121865984;0.5903;0.1932;-0.53;0.254;-1.119;0.186;1.037;18.592815;0.004665;19.411888;0.044058;17.765692;0.026362;1.646196;;;1.243;288.437;24.693;41.418;0.61;0.6896000827249746;0.0028734767453339714;0.0;0.02489068159081744
40;-0.2818;0.2943;0.0241;16;94.75737085927;0.1192;18.63353481972;0.1092;3370794443911396352;0.5887;0.1425;-0.748;0.165;-1.181;0.121;1.171;17.786524;0.003773;18.592987;0.030299;16.860491;0.010851;1.732496;;;1.333;421.315;35.987;103.54;0.76;0.7367696925066843;0.017904804929618847;0.6429044510119052;0.040419843404367564
41;-0.15;0.1011;0.1262;15;94.81063802353;0.0422;18.68404264899;0.0369;3370800529881331200;0.7273;0.0466;-0.562;0.055;-1.348;0.042;0.906;16.245552;0.002899;16.733587;0.006472;15.603021;0.004687;1.130567;;;1.223;1204.188;185.908;288.267;0.97;1.0705966372164488;0.0012705140968386687;0.0;0.0
42;0.0255;-0.1157;-0.0055;16;94.9251552138;0.2207;18.41094045282;0.2039;3370775408615558016;0.6344;0.2452;-0.583;0.308;-1.2;0.251;0.989;18.931849;0.004121;19.704128;0.041404;18.113686;0.016662;1.590443;;;1.25;354.364;26.283;66.096;0.59;0.668730850813312;0.0010425910812466095;0.0;0.0
43;-0.37;0.2606;0.1481;13;94.71385483066;0.117;18.51624417494;0.1218;3370791145376287872;0.7648;0.1518;-0.715;0.18;-1.155;0.123;0.895;17.69171;0.003462;18.300533;0.033484;16.922676;0.011031;1.377857;;;1.269;518.111;32.538;101.73;0.77;0.8137036425903245;0.002360123992548184;0.0;0.029660206701595918
44;-0.3568;0.0124;-0.0222;15;94.71719034216;0.1278;18.49758918782;0.1165;3370788022932161792;0.7164;0.1349;-0.627;0.192;-1.166;0.137;0.996;17.943129;0.003522;18.789343;0.035824;16.928251;0.014562;1.861092;;;1.405;494.852;30.4;75.967;0.81;0.711558277927862;0.015840004130840666;0.6417784760107692;0.028860627075216246
45;-0.1056;0.122;0.1156;17;94.72273836829;0.1252;18.62079174482;0.1108;3370793932811594240;0.7106;0.1309;-0.637;0.167;-1.259;0.126;1.02;18.12611;0.003455;18.950939;0.030262;17.258907;0.011683;1.692032;;;1.275;520.791;36.031;95.705;0.87;0.74172279426681;0.005783371905605036;0.35767313408605106;0.17252048018148672
46;-0.1611;0.0255;-0.0545;15;94.95926438468;0.0182;18.39759789718;0.0157;3370772217457282688;0.7053;0.0184;-0.588;0.024;-1.349;0.018;0.957;13.964456;0.002802;14.186663;0.003426;13.588033;0.003399;0.59863;;;1.186;2131.037;545.974;559.497;0.98;1.770748929687477;0.01255824361176229;0.763127139360435;0.25219625510689536
47;-0.0826;-0.0174;0.0043;16;94.94996139741;0.0141;18.39018259674;0.012;3370772183097550848;0.6722;0.0142;-0.794;0.019;-1.112;0.014;1.004;13.233311;0.002779;13.450356;0.002882;12.871182;0.00287;0.579174;;;1.181;3021.665;1508.325;1617.861;0.53;1.9681175548411154;0.0657512187101664;1.5763627092514678;0.07602093234022282
48;-0.3479;0.0111;0.0749;15;94.69905685249;0.0213;18.49585340764;0.0185;3370790943514385536;0.6809;0.0235;-0.547;0.03;-1.321;0.021;0.995;14.366055;0.002772;14.653405;0.003156;13.918111;0.002919;0.735294;;;1.192;3622.357;735.955;1264.571;0.99;1.589323802694088;0.008811567353620601;0.588469122118229;0.3198178192006102
49;-0.2645;0.0474;0.176;16;94.69714961271;0.0604;18.60364461391;0.0528;3370794001531079168;0.7303;0.0665;-0.505;0.084;-1.313;0.061;0.956;16.881773;0.003245;17.426945;0.017371;16.169479;0.010398;1.257465;;;1.25;633.26;63.326;108.39;0.96;0.9460655183110174;0.0014857806398227312;0.0;0.039652134798287046
50;-0.1894;0.1206;0.1065;17;94.70135189378;0.1572;18.62064462274;0.1398;3370794100313992960;0.6931;0.1675;-0.517;0.202;-1.225;0.152;1.033;18.539965;0.003815;19.33065;0.044236;17.646317;0.012301;1.684334;;;1.309;411.507;24.593;90.623;0.81;0.7008077433203862;0.0027882879224993672;0.0;0.051104778649841094
