;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;-0.216;0.0995;0.3074;15;84.81575355154;0.0168;37.80758591111;0.0129;189612944875512448;2.8633;0.0195;-2.944;0.02;-0.473;0.015;1.007;13.831358;0.002866;14.344348;0.003685;13.161327;0.003878;1.183021;;;1.232;1375.312;451.172;403.229;1.0;0.8633735638523627;0.0006809730624941575;0.0;0.0
1;-0.1319;0.0355;0.3166;15;84.73617721414;0.0349;37.82539076623;0.0269;189616075909328512;2.7261;0.0403;-3.396;0.042;-0.227;0.031;1.451;14.791782;0.004745;15.482159;0.014304;13.964853;0.0129;1.517305;;;1.286;281.039;77.394;86.207;0.98;0.7297928391743731;0.0024934285690414414;0.0;0.1699895744120782
2;-0.0959;0.0456;0.3486;16;84.9025359334;0.047;37.76906670075;0.0364;189617484658890624;2.8561;0.0546;-3.26;0.057;-0.593;0.041;1.166;15.644431;0.003039;16.268908;0.008845;14.366709;0.005034;1.902199;;;1.774;846.248;129.349;259.088;1.0;0.6489587747597031;0.0047432757667477;0.40184862060482196;0.043446694688580416
3;-0.1592;-0.0047;0.2199;15;84.70213810705;0.0291;37.8384414486;0.0215;189616522585931392;2.8672;0.0315;-3.019;0.035;-0.46;0.025;0.978;15.191258;0.003192;16.143444;0.008847;14.222968;0.005242;1.920476;;;1.329;673.864;129.317;244.641;1.0;0.6294352336975906;0.011155535423213141;0.5797546618807595;0.020596672092867373
4;-0.1881;0.1492;0.2198;15;84.83576559255;0.0332;37.96735717535;0.0252;189623566332219136;2.781;0.0358;-3.086;0.035;-0.19;0.027;0.984;15.14054;0.003253;15.876284;0.008619;14.296406;0.006615;1.579878;;;1.284;627.735;133.136;181.021;0.99;0.6943566162707416;0.0005963904716698741;0.0;0.0
5;-0.0507;0.0669;0.2093;17;84.95586741422;0.1764;37.80823004326;0.1356;189617965695222528;2.8718;0.2011;-2.971;0.212;-0.275;0.146;1.006;18.577158;0.003588;20.328321;0.065946;17.321041;0.010512;3.00728;;;1.483;472.313;16.479;107.123;0.99;0.27571842481387493;0.02105844322492461;0.0;0.07605282886235505
6;-0.3355;-0.1013;0.409;14;84.85384860496;0.0157;37.73504310206;0.0113;189611643503373440;2.8608;0.018;-3.337;0.02;-0.511;0.015;0.965;12.868322;0.002823;13.28409;0.003635;12.285546;0.003062;0.998544;-17.22;6.74;1.214;1767.435;465.967;861.648;1.0;1.0361823693102934;0.0014629114775835477;0.0;0.1602052706807454
7;-0.0947;0.0985;0.3858;17;84.96987651036;0.0384;37.79107430334;0.0286;189430292803108608;2.8154;0.0448;-3.084;0.046;-0.289;0.029;1.0;15.751839;0.003096;16.673149;0.009259;14.794806;0.004627;1.878343;;;1.327;768.839;122.977;294.154;1.0;0.6284813429147484;0.0021576353636900596;0.0;0.11361844436785615
8;-0.038;0.1453;0.2091;15;84.75610829178;0.0671;37.97468138542;0.0541;189635141267026048;2.8358;0.0763;-3.152;0.074;-0.711;0.055;0.963;16.809069;0.00301;18.030643;0.017532;15.731059;0.004996;2.299584;;;1.372;895.124;62.728;261.954;1.0;0.5077934162348928;0.004220898505260537;0.0;0.1079557009113475
9;-0.058;0.1292;0.4438;15;85.01066882023;0.0248;37.83164117648;0.0173;189431937774961664;2.8369;0.0284;-3.049;0.025;-0.078;0.017;1.032;14.403308;0.003309;15.004723;0.006906;13.66224;0.005552;1.342483;;;1.25;592.711;171.869;226.191;0.99;0.7797157890020273;0.0006262600072436489;0.0;0.0
10;-0.3107;0.0519;0.3;16;84.74067323288;0.0276;37.73860107728;0.0216;189612227618658432;2.8303;0.032;-3.193;0.035;-0.718;0.027;0.892;8.231916;0.002775;8.258881;0.002857;8.133015;0.002869;0.125866;;;1.169;3271.177;1760.846;1621.42;1.0;3.3098369764001108;0.07908832750178493;1.564199056755796;0.48282266490712
11;-0.2932;-0.1826;0.2929;15;84.69299906484;0.0193;37.76025110639;0.014;189613975667066880;2.8101;0.0216;-2.992;0.025;-0.537;0.016;1.259;13.556526;0.003171;14.133512;0.005999;12.827817;0.005103;1.305696;;;1.25;691.327;204.462;254.106;1.0;0.8454025903505864;0.019577201136330102;0.7202631019916745;0.03326233654117569
