;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;-0.1447;-0.3008;-0.0334;27;306.92907099324;0.0173;36.07897898795;0.0181;2057617302790443648;0.5926;0.0224;-3.139;0.023;-5.727;0.023;1.016;15.076628;0.002775;15.857322;0.004449;14.179578;0.003215;1.677744;;;1.315;3308.995;313.341;680.172;1.0;3.397219937821823;0.0085478534627756;0.0;0.1929027704826457
1;-0.2883;-0.0902;-0.1475;25;306.93089736384;0.0103;36.07659934215;0.0122;2057617302790731136;0.5546;0.0142;-3.021;0.014;-5.804;0.016;1.051;11.187506;0.002791;11.939674;0.002928;10.326262;0.00287;1.613412;;;1.293;2457.797;1221.385;1613.521;0.99;11.549883845008129;0.11677168929911402;5.647109015994503;1.4208527864894924
2;-0.0841;-0.2633;-0.1083;27;306.92777480197;0.009;36.0748966657;0.0098;2057617298490896896;0.5864;0.0121;-3.204;0.013;-5.778;0.013;1.004;11.934269;0.002774;12.666595;0.004083;11.057801;0.003682;1.608793;;;1.313;3404.778;364.231;452.009;1.0;9.80869387030785;0.27488567396367714;6.067061678710461;0.811656554692907
3;-0.0487;-0.1696;-0.0842;27;306.93076254596;0.0349;36.08193233371;0.0399;2057617302790443904;0.565;0.0477;-3.234;0.044;-5.713;0.05;1.004;16.735537;0.002848;17.73041;0.007363;15.735164;0.004952;1.995246;;;1.348;1505.27;159.337;265.361;1.0;1.6894952109488426;0.014788834227327166;0.5868922796987921;0.4572531749346407
4;-0.2021;-0.1029;-0.1314;27;306.92852368052;0.0086;36.07365154538;0.0101;2057617302790441984;0.564;0.0119;-3.089;0.011;-5.718;0.013;0.992;9.540407;0.002786;10.29139;0.003093;8.660038;0.003065;1.631352;94.08;14.03;1.31;2612.853;813.269;855.602;1.0;13.960526629148813;0.04585611595868447;5.846397466737113;2.395633104424622
5;-0.0042;-0.2568;-0.0018;26;306.92157408676;0.0648;36.07753087766;0.0816;2057617298488254336;0.5313;0.0958;-3.26;0.085;-5.748;0.103;0.952;17.79788;0.002983;18.991365;0.024761;16.713743;0.010556;2.277622;;;1.384;950.52;44.13;106.651;0.99;1.2988808421978109;0.004437565654326502;0.0;0.21142242630671454
6;-0.0682;-0.1919;0.0361;26;306.92308322871;0.0256;36.07158312719;0.0306;2057617302790443520;0.5876;0.0357;-3.342;0.034;-5.722;0.04;1.033;16.098179;0.0028;16.975679;0.009757;15.134851;0.003872;1.840829;;;1.345;2170.038;116.124;404.356;0.99;2.1554907383742297;0.05686834802518129;1.1120359121841152;0.2609859581102708
7;-0.0887;-0.1205;-0.1464;25;306.92099501528;0.0136;36.08729129397;0.0162;2057617371509925760;0.5556;0.0196;-3.182;0.018;-5.696;0.021;0.97;14.767733;0.002771;15.496762;0.003262;13.915213;0.002908;1.58155;;;1.294;3635.58;642.345;1324.048;1.0;3.8619923536392884;0.00615635153930806;0.0;0.0
8;-0.133;-0.1251;-0.0603;27;306.93127721151;0.0077;36.06389345632;0.0092;2056866679947270272;0.5786;0.0107;-3.199;0.01;-5.736;0.011;1.003;11.793349;0.002794;12.537048;0.003413;10.934666;0.00312;1.602383;;;1.294;2334.893;552.331;777.251;1.0;10.005673871044841;0.2923051689527399;6.581775410277981;0.9477423241166824
9;-0.0454;-0.2135;-0.0531;27;306.9141587464;0.0426;36.06574961364;0.0475;2057617268430707072;0.625;0.0588;-3.183;0.057;-5.732;0.06;0.946;17.086906;0.002853;18.209244;0.011508;16.038988;0.004045;2.170256;;;1.363;1466.219;97.252;370.647;1.0;1.4524504776575022;0.03658241577227938;0.8054744595804754;0.2455231273301512
