;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;0.0572;-0.0642;-0.1136;28;300.31782788893;0.0177;33.61518103813;0.0201;2058428708033163520;0.329;0.0237;-2.35;0.023;-5.105;0.026;1.042;15.437419;0.002769;15.891338;0.003389;14.795194;0.003075;1.096145;;;1.238;3947.537;564.495;839.556;0.79;1.9453644309167542;0.053126176210367956;1.6222599614259179;0.0698324758227607
1;0.0428;-0.0951;-0.128;28;300.31756248645;0.0173;33.61633189825;0.0202;2058428708033165312;0.3028;0.0238;-2.374;0.023;-5.029;0.026;1.013;15.492732;0.002773;15.925744;0.003309;14.863768;0.002972;1.061976;;;1.238;3497.051;610.082;1061.172;0.96;2.0158835618156714;0.05335889393122511;1.4423420710714432;0.08818485712985347
2;0.0633;-0.072;-0.1122;28;300.317567822;0.0186;33.61178118682;0.021;2058428708033161728;0.3081;0.025;-2.329;0.024;-5.104;0.027;0.96;15.559879;0.002772;15.951148;0.003448;14.986378;0.003007;0.96477;;;1.22;3548.208;535.868;967.461;0.97;2.146671576432069;0.001961862308045177;0.0;0.05623755013486442
3;0.0953;-0.0592;-0.1286;27;300.32559545713;0.0354;33.61382394554;0.0394;2058428703708364800;0.2769;0.0466;-2.305;0.044;-5.028;0.051;1.082;16.777407;0.002906;17.222397;0.007981;15.921552;0.007603;1.300845;;;1.407;1176.917;145.201;153.508;0.99;1.5369583380462228;0.017571898320072228;0.8765869737841584;0.18551386437759304
4;0.0614;-0.0779;-0.0468;28;300.31898304758;0.009;33.62203106457;0.0109;2058428776752644352;0.309;0.0126;-2.356;0.012;-5.126;0.014;0.996;13.825269;0.002763;14.199822;0.002926;13.261162;0.002836;0.938661;;;1.221;5305.125;1229.994;2141.114;0.68;3.055222702400938;0.01650429390062795;1.623883911315067;0.19054908565548523
5;0.0826;-0.0544;-0.109;28;300.31314089829;0.0215;33.60972193162;0.0244;2058428708033165056;0.2829;0.0288;-2.298;0.028;-5.127;0.032;0.953;15.891385;0.002784;16.312454;0.003593;15.281568;0.003363;1.030887;;;1.23;2728.79;479.595;578.462;0.98;1.9512934000218218;0.008677688750948329;0.23259965419293457;0.37149442571926367
6;0.058;-0.0833;-0.1391;28;300.320356057;0.0702;33.60742864091;0.0808;2058428708033157120;0.3347;0.0951;-2.24;0.09;-5.091;0.106;1.095;18.030298;0.002959;18.780716;0.012348;17.22015;0.007507;1.560566;;;1.251;1006.367;90.264;155.8;0.91;1.146573879622489;0.02763204891407455;0.5938000806554586;0.31835575569164126
7;0.0315;-0.0922;-0.1095;28;300.31546191413;0.0167;33.62329023636;0.0197;2058428776752648448;0.3275;0.0232;-2.336;0.022;-5.053;0.025;1.083;15.343624;0.002769;15.735936;0.003155;14.760238;0.003113;0.975698;;;1.226;3880.056;736.824;786.885;0.79;2.2491503323689064;0.018445944893379716;0.9539855897046491;0.3023375065679866
8;0.0855;-0.0437;0.0038;27;300.32786699803;0.1012;33.62225981858;0.1242;2058428742363163520;0.1858;0.1413;-2.269;0.131;-5.213;0.174;0.981;18.695463;0.003237;19.543219;0.03537;17.865818;0.012117;1.677401;;;1.236;638.776;30.793;92.078;0.85;1.0179939798505133;0.018291426114549585;0.254968901601334;0.31309751014129555
9;0.0226;-0.117;-0.0975;28;300.33068495632;0.0137;33.61315173169;0.0159;2058428708033152256;0.2756;0.0189;-2.307;0.017;-5.054;0.02;0.947;14.87635;0.002768;15.249183;0.003126;14.298456;0.00316;0.950727;;;1.231;4124.615;770.62;732.104;0.99;2.4807339633713625;0.09231566930274304;1.368585029296473;0.235387253808572
10;0.0478;-0.0874;-0.1225;27;300.31264634971;0.0196;33.62439640388;0.0232;2058428776752651520;0.2971;0.0273;-2.288;0.026;-5.112;0.029;1.077;15.726906;0.002776;16.144905;0.003393;15.122407;0.003014;1.022498;;;1.228;3235.562;562.619;952.961;0.97;2.019407481515509;0.015570765134238586;0.9233415125443778;0.21265270784392806
11;0.0381;-0.1083;-0.0936;28;300.33189140068;0.0165;33.61581701685;0.0194;2058428742392891264;0.3229;0.0229;-2.326;0.021;-5.026;0.025;1.457;14.62795;0.003006;15.032124;0.005282;14.032864;0.004469;0.99926;;;1.228;903.703;242.076;311.055;0.8;2.595998598615761;0.032444525951488445;1.6223256861809794;0.09829524697602852
12;0.0392;-0.0868;-0.0862;27;300.33191299149;0.0305;33.61171811278;0.0362;2058428708033150720;0.2455;0.0418;-2.403;0.039;-5.12;0.046;1.02;16.578293;0.002811;17.080797;0.005756;15.844984;0.003863;1.235813;;;1.284;1950.966;215.658;406.445;0.98;1.6005589756816931;0.013516749918629448;0.863719373936072;0.1065936821984247
13;-0.0098;-0.0783;-0.1176;27;300.30422057722;0.007;33.6128239878;0.0083;2058427294959087360;0.282;0.0097;-2.265;0.009;-5.168;0.01;0.922;12.662149;0.002759;13.580588;0.00288;11.719689;0.002802;1.860899;-3.27;0.48;1.314;7563.38;1525.004;4284.23;0.72;3.377654821645757;0.010290992779988632;2.2496508015155574;0.12172014268382352
14;0.0354;-0.0995;-0.1166;28;300.32776225167;0.0123;33.60515586118;0.0142;2058241035154525184;0.2797;0.0167;-2.32;0.016;-5.187;0.018;1.019;14.632228;0.002765;14.98503;0.003044;14.093143;0.00288;0.891888;;;1.216;4651.707;891.604;1522.908;0.96;2.708301619369791;0.001405655199006042;0.0;0.05626059527320258
15;0.0533;-0.0934;-0.1198;27;300.32114787153;0.0265;33.60269495453;0.0304;2058428708033154176;0.2776;0.0356;-2.334;0.034;-5.009;0.039;1.01;16.334562;0.002793;16.912685;0.004014;15.601087;0.003815;1.311599;;;1.253;2360.565;376.197;417.387;0.99;1.5201880929425529;0.03260630499210304;1.3374442259049084;0.0431966582275234
16;0.0497;-0.1232;-0.1292;28;300.32516211293;0.0114;33.60298201855;0.0132;2058428708033151232;0.3204;0.0155;-2.346;0.015;-5.106;0.017;0.94;14.441489;0.002765;14.793159;0.003078;13.904893;0.002917;0.888266;;;1.215;4665.456;835.906;1278.494;0.56;2.812240180789668;0.0010729128993522757;0.0;0.0
17;0.0724;-0.0661;-0.116;27;300.30304078021;0.0494;33.6211351499;0.0563;2058428772427847936;0.3302;0.066;-2.243;0.062;-4.9;0.073;1.058;17.390568;0.00286;18.116287;0.007335;16.57423;0.005345;1.542057;;;1.264;1413.063;160.045;238.133;0.7;1.2063722000099462;0.033349935756715764;1.0799541217111246;0.05182874801252996
18;0.0745;-0.1727;-0.1912;27;300.33144055965;0.0227;33.60551040023;0.0252;2058241030817622784;0.3209;0.0305;-2.388;0.029;-5.021;0.033;0.962;15.943614;0.002779;16.353338;0.004069;15.335357;0.00318;1.017982;;;1.234;2978.518;366.625;711.916;0.89;1.9281977669640409;0.002340567646400081;0.0;0.09848590539158547
19;0.012;-0.1437;-0.1092;28;300.33083991204;0.0074;33.62718146885;0.0086;2058428742392898304;0.2992;0.0103;-2.353;0.01;-5.103;0.011;0.958;13.094941;0.002766;13.411391;0.002878;12.592874;0.002828;0.818518;;;1.21;4472.186;1542.501;2368.632;0.89;3.1408756859771607;0.05156686711561638;2.917031416339965;0.4632808825475733
20;0.0931;-0.0227;-0.0837;28;300.30006592742;0.1217;33.61752734543;0.1445;2058427294959094912;0.3022;0.1693;-2.511;0.16;-4.985;0.198;1.046;18.947773;0.0034;19.862259;0.034371;18.054319;0.012767;1.80794;;;1.271;545.224;31.693;87.147;0.73;0.9692368927526624;0.010579973504135191;0.40045870229077274;0.2835745549162828
21;0.0563;-0.0988;-0.0987;27;300.31578938432;0.0673;33.63105166065;0.0783;2058428806787607680;0.3348;0.0936;-2.308;0.088;-5.039;0.101;1.024;18.016294;0.002951;18.738373;0.013616;17.218367;0.006562;1.520006;;;1.251;1027.177;81.469;182.793;0.94;1.174892343161823;0.00924509392526669;0.0;0.28602211284018964
22;0.0693;-0.1366;-0.1543;28;300.31856109785;0.0243;33.59911693804;0.0281;2058427230534643456;0.2156;0.0332;-2.3;0.032;-4.948;0.036;1.005;16.150572;0.002806;16.553022;0.007162;15.298971;0.029603;1.254051;;;1.423;2038.18;164.598;36.84;0.98;1.6121582934014234;0.044404677980879194;1.4386350583343759;0.05774102334981008
23;0.0534;-0.0873;-0.1255;28;300.32206203245;0.0182;33.5993414378;0.0214;2058239557685776256;0.2972;0.0251;-2.343;0.024;-4.95;0.028;1.011;15.599491;0.002776;15.978779;0.004324;14.994044;0.003975;0.984735;;;1.247;3174.622;328.742;383.432;0.91;2.1289903327638697;0.0076068040454074295;0.0;0.3243426864701401
24;0.0606;-0.0991;-0.1607;26;300.32634253501;0.0272;33.59959331253;0.0322;2058241035154524416;0.3085;0.0375;-2.226;0.035;-5.11;0.041;1.031;16.31082;0.00279;16.780918;0.003995;15.668342;0.003327;1.112576;;;1.231;2484.187;379.782;599.263;0.72;1.7348817551095366;0.0027702743795714273;0.0;0.19415354559636114
25;0.103;-0.1617;-0.1877;27;300.3055561342;0.0118;33.62868228938;0.0138;2058428982911091840;0.2886;0.0164;-2.334;0.016;-5.081;0.018;0.962;14.499171;0.002764;14.877726;0.002965;13.931691;0.002863;0.946034;;;1.222;4928.298;1082.223;1687.287;0.99;2.6638533772599033;0.06651834384385662;1.6725627732791322;0.2073165228674329
26;0.0965;-0.1751;-0.2078;27;300.34019427918;0.0236;33.61237160577;0.0271;2058241069514258304;0.2754;0.0328;-2.34;0.031;-5.082;0.035;1.002;16.081018;0.002786;16.546825;0.004121;15.422494;0.00339;1.124331;;;1.244;2624.706;358.024;563.873;0.99;1.7919761300640988;0.014657342279640394;1.0694681456120891;0.056052325060777564
27;0.1262;-0.0624;-0.1026;26;300.29771552208;0.0931;33.62159729613;0.1122;2058427505412751360;0.2905;0.1311;-2.255;0.12;-5.092;0.154;0.993;18.568035;0.003259;19.339291;0.020226;17.741396;0.009514;1.597895;;;1.258;623.75;54.198;119.365;0.9;1.0520897536122404;0.009744501565726888;0.0;0.2166814052120705
28;0.0889;-0.1634;-0.124;27;300.30851745718;0.0214;33.63390675479;0.026;2058428982911092224;0.273;0.0298;-2.294;0.028;-5.072;0.034;1.023;15.810413;0.002778;16.306585;0.004197;15.12662;0.003231;1.179965;;;1.249;3068.062;346.257;666.686;0.99;1.6980599301986963;0.041315626374632076;1.5522118304528374;0.04949925206716275
