;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;-0.3471;0.3833;-0.449;21;105.12796624747;0.012;-20.57769527463;0.0158;2932049313997400832;0.437;0.0253;-2.614;0.019;3.856;0.022;1.035;14.697681;0.002766;14.986952;0.002942;14.241506;0.002896;0.745446;;;1.196;4534.235;1164.107;1397.346;1.0;1.5595077999890685;0.013298011179368054;1.1167018807649225;0.05070156329197803
1;-0.4343;0.3153;-0.3711;21;105.13629990576;0.0568;-20.58015153449;0.0709;2932049348357136384;0.4243;0.1072;-2.539;0.09;3.877;0.098;0.975;17.779148;0.0029;18.293831;0.012694;17.121239;0.00575;1.172592;;;1.223;1202.275;87.674;215.951;1.0;0.9178259725024592;0.0014825542598042804;0.0;0.05194145974216098
2;-0.2932;0.3592;-0.3789;22;105.13014304752;0.0085;-20.58717736968;0.0111;2932049309691915648;0.4473;0.0174;-2.559;0.014;3.857;0.016;0.985;13.891723;0.002795;14.296722;0.004362;13.253017;0.005078;1.043705;;;1.257;2315.47;323.834;255.882;1.0;1.894318803847008;0.01804797668623761;0.0;0.3953734120168722
3;-0.3684;0.3133;-0.3774;20;105.1385306738;0.0279;-20.56636068259;0.0356;2932049348357121024;0.3882;0.0536;-2.594;0.043;3.801;0.047;0.975;16.497421;0.002795;16.893229;0.004481;15.931828;0.003592;0.961401;;;1.212;2306.401;309.693;480.043;1.0;1.1590447586409178;0.001103495592671961;0.0;0.11757675113162241
4;-0.2669;0.3249;-0.3855;22;105.13837330402;0.0164;-20.5854222313;0.0202;2932049245277924736;0.4429;0.0317;-2.633;0.026;3.777;0.027;1.012;15.47096;0.002771;15.772026;0.003431;14.981263;0.003241;0.790763;;;1.21;3658.131;543.659;658.275;1.0;1.4002089139233862;0.0009546706430347861;0.0;0.07309470827190172
5;-0.3192;0.3051;-0.3474;21;105.13217538198;0.0219;-20.58810347732;0.0283;2932049313997410048;0.4534;0.0431;-2.547;0.033;3.869;0.039;0.992;16.124182;0.002784;16.548841;0.004266;15.502554;0.003407;1.046288;;;1.237;2708.505;336.405;555.401;1.0;1.1240982642513988;0.024058302624705038;1.0346091802299506;0.03627226183494233
6;-0.2609;0.3413;-0.3809;22;105.12753500692;0.0105;-20.5891920093;0.0133;2932049313997414784;0.4412;0.0211;-2.502;0.016;3.85;0.018;1.11;14.36758;0.002765;14.755281;0.002964;13.79376;0.00291;0.961521;;;1.222;4781.085;1085.898;1312.222;1.0;1.561567986981477;0.02298255851592591;1.4096094386720752;0.03546687835527203
7;-0.3652;0.3243;-0.3549;21;105.13737406085;0.0318;-20.56266678005;0.0397;2932052303294616704;0.3781;0.0593;-2.716;0.048;3.789;0.053;0.991;16.761463;0.002799;17.225023;0.005776;16.149086;0.004296;1.075937;;;1.213;2210.183;214.664;332.424;0.98;1.085146850075196;0.008131023127099922;0.6927914001949855;0.04628249016335129
8;-0.4711;0.3548;-0.3437;17;105.12238502329;0.0722;-20.58784148383;0.0869;2932047836519276416;0.44;0.1267;-2.422;0.12;3.833;0.128;0.99;17.94187;0.003175;18.17907;0.075002;16.908117;0.060461;1.270952;;;1.674;687.973;14.486;17.977;0.99;0.9186086591207236;0.011858009325338157;0.305408608653505;0.2876490073345133
9;-0.3296;0.3471;-0.4033;22;105.13077893601;0.0082;-20.56088293683;0.0101;2932052303294620416;0.4573;0.016;-2.496;0.013;3.826;0.014;1.017;13.719127;0.002762;14.008871;0.002845;13.265091;0.002827;0.74378;;;1.195;5669.257;1959.756;2384.873;1.0;1.7991900246707704;0.008455849243587945;1.461397823964394;0.025213859758809295
10;-0.2643;0.3185;-0.3981;22;105.1357592827;0.0149;-20.58987535168;0.0186;2932049245277932288;0.4043;0.0298;-2.492;0.023;3.91;0.025;1.262;14.870694;0.002767;15.237669;0.003021;14.316379;0.002942;0.92129;;;1.219;4339.216;936.633;1162.586;1.0;1.3864560623486315;0.017563278939566686;1.331333736129142;0.021075254814663734
11;-0.3247;0.3535;-0.3739;22;105.14405564998;0.0075;-20.56645029123;0.0096;2932049451436331392;0.4251;0.0153;-2.516;0.012;3.913;0.013;1.042;13.504478;0.00276;14.130429;0.002878;12.740701;0.002818;1.389729;;;1.258;6912.714;1539.965;2736.815;1.0;1.904118901271676;0.0017051620751609867;0.2705840694619201;0.49070337468438013
12;-0.3816;0.368;-0.3807;19;105.14695415887;0.0296;-20.57995932839;0.035;2932049279638139136;0.367;0.0549;-2.608;0.047;3.795;0.048;1.04;16.454529;0.002794;16.841581;0.00411;15.889677;0.003478;0.951904;;;1.216;2337.339;359.798;523.058;1.0;1.1685806005278787;0.0009858023891171006;0.0;0.0948435948167638
13;-0.2823;0.335;-0.3861;22;105.12283322901;0.0161;-20.58944370715;0.0193;2932047836528669312;0.4281;0.0301;-2.457;0.024;3.867;0.026;1.006;15.381843;0.00277;15.726117;0.00348;14.840037;0.003472;0.88608;;;1.221;3749.757;521.913;525.274;1.0;1.3087657162904704;0.030867624755049596;1.1451184727738444;0.051126709216775944
