;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;0.5252;0.2615;0.2088;19;161.17529544154;0.1427;-59.3738017804;0.131;5350389508252307200;0.2838;0.1423;-6.335;0.187;2.161;0.153;1.065;18.155104;0.007161;18.100952;0.070745;16.601931;0.060811;1.499022;;;2.522;164.258;15.359;17.873;0.78;1.2774226629992056;0.009283809424976733;0.0;0.038470823253550626
1;0.0612;0.2489;0.0145;28;161.17372678186;0.0363;-59.36891876497;0.0343;5350389508263444736;0.4209;0.0434;-6.291;0.049;1.971;0.041;1.058;16.389118;0.003314;17.05052;0.009857;15.471695;0.007868;1.578825;;;1.374;589.372;114.846;147.587;0.98;1.4873600909757458;0.03266675084145834;1.1888011654373967;0.19533754661395925
2;0.1872;0.283;0.0749;28;161.17548604943;0.0114;-59.37514987501;0.0111;5350389508263432320;0.4282;0.0138;-6.054;0.015;2.139;0.013;0.974;10.763306;0.002767;10.892549;0.002847;10.498229;0.002801;0.39432;;;1.181;4213.81;1925.423;4420.345;0.99;9.660336047602655;0.49285515099021154;5.515901681909947;1.1869362836062654
3;0.0836;0.3357;-0.0563;23;161.1764209646;0.0121;-59.36748361661;0.011;5350389508263449600;0.3987;0.0148;-6.023;0.015;2.156;0.013;0.994;12.495927;0.002764;12.70015;0.002851;12.132756;0.002847;0.567393;;;1.189;4985.761;1855.41;1920.844;0.95;4.3894220643747675;0.2491792636667659;3.701279234093007;0.4751533097051664
4;0.411;0.4472;0.205;24;161.17237922541;0.012;-59.37504252171;0.0128;5350389503942151168;0.4059;0.0153;-6.133;0.018;2.116;0.016;1.0;13.66596;0.002775;13.851238;0.005018;13.279935;0.004061;0.571303;;;1.212;3285.631;260.307;367.876;0.99;3.460632816678008;0.011971257023540835;0.0;0.3672432868901866
5;-0.0118;0.1577;0.0789;29;161.1823035354;0.0152;-59.36714602016;0.0157;5350395379457417728;0.4387;0.0186;-5.837;0.021;2.306;0.019;1.091;14.645895;0.002767;14.910611;0.00311;14.193495;0.003232;0.717116;;;1.207;4283.432;789.915;665.523;0.58;2.2828441992697743;0.03562310608719799;1.13268899962835;0.36801190944454204
6;0.2127;0.261;0.0981;26;161.16943230064;0.0264;-59.37459695168;0.0268;5350389503936214912;0.4044;0.0327;-6.039;0.037;2.097;0.032;1.8;11.116696;0.002816;11.11201;0.022994;10.633411;0.027249;0.478599;;;1.385;1866.451;47.57;40.056;0.98;7.692172872700499;0.21096848067938567;7.142045942977728;0.2479920978734953
7;0.173;0.308;-0.0268;25;161.16853595222;0.014;-59.37450594377;0.0149;5350389508263428736;0.4364;0.0177;-6.142;0.019;1.915;0.016;0.918;11.330754;0.002898;11.279635;0.035804;10.783912;0.057649;0.495724;;;1.457;1210.661;30.417;18.856;0.97;7.373347646728821;0.1967415764754439;6.440686141792386;0.25318308089940805
8;0.3005;0.2759;0.0182;26;161.16581231385;0.1614;-59.37233392354;0.1637;5350389503942147584;0.3263;0.1881;-6.413;0.216;1.802;0.186;1.099;18.625751;0.005846;18.941906;0.098245;17.408976;0.03295;1.53293;;;1.833;210.557;11.056;33.07;0.7;1.0854706814217132;0.013495650241512063;0.0;0.02656612674988368
9;0.2088;0.2759;0.1226;28;161.17567914174;0.0181;-59.37812436078;0.0177;5350389508263427328;0.4261;0.0219;-6.114;0.024;2.143;0.02;0.986;15.093407;0.00277;15.56856;0.004256;14.432594;0.00329;1.135965;;;1.242;3874.923;337.861;622.531;0.99;1.729207320244357;0.0038553342182619742;0.0;0.3339057461238139
10;0.1131;0.2548;0.0625;29;161.18995617559;0.0176;-59.36729862318;0.0182;5350395177620290560;0.4227;0.0219;-5.934;0.023;2.074;0.022;1.282;14.641217;0.002772;14.937846;0.003511;14.134305;0.003257;0.803541;;;1.223;3528.062;509.554;646.41;0.98;2.158333982710448;0.054890010734014394;1.4695905379969199;0.03986284718234876
11;0.2356;0.1923;0.123;27;161.19279505751;0.0114;-59.36876525732;0.0123;5350395177620289536;0.4101;0.0142;-6.022;0.015;1.977;0.014;1.025;13.796306;0.002777;14.082805;0.002998;13.324792;0.003007;0.758013;;;1.207;3124.69;990.324;969.352;0.98;2.8304766120570743;0.09796713605922136;1.7396285959912896;0.06915336300290292
12;0.1532;0.2983;0.0652;26;161.16269128157;0.0178;-59.37130673524;0.0183;5350389503942146048;0.4157;0.0225;-6.017;0.024;2.13;0.021;1.004;14.955347;0.002782;15.367923;0.004388;14.353882;0.003255;1.014041;;;1.228;2827.986;320.56;647.329;0.98;1.7827722117792302;0.04249482041136548;0.25321095825319423;0.5362815313477416
13;0.0967;0.3013;-0.0232;20;161.19193672239;0.1376;-59.36700717804;0.1734;5350395177620292352;0.4398;0.1873;-6.269;0.172;1.991;0.184;1.29;18.2311;0.008158;18.186296;0.290024;16.935806;0.118652;1.25049;;;2.144;141.401;3.744;9.153;0.85;1.234755363636991;0.011160707282474883;0.0;0.020005759985147354
14;-0.0953;0.3022;0.0047;27;161.16242617628;0.0172;-59.36877778657;0.0172;5350389508263434624;0.4242;0.0214;-5.999;0.025;2.104;0.02;0.99;14.819891;0.002778;15.16214;0.003526;14.302963;0.003449;0.859177;;;1.207;3077.744;503.637;535.443;0.98;2.0106091261709285;0.01469959913981943;1.2500602150517062;0.1709334443504128
15;0.1484;0.2767;0.0448;28;161.18984175394;0.0125;-59.36488734947;0.013;5350395177620294528;0.4141;0.0155;-6.155;0.016;2.124;0.015;0.938;14.155034;0.002767;14.378895;0.003024;13.759403;0.002996;0.619492;;;1.196;4334.967;932.139;995.491;0.99;2.8407715935786744;0.00996985351116777;0.0;0.35655173273475493
16;0.0613;0.2745;0.086;27;161.17838697974;0.0816;-59.38124214697;0.0807;5350389302104994048;0.343;0.1033;-6.218;0.108;2.139;0.094;1.133;17.84757;0.003727;18.843872;0.05651;16.742031;0.021296;2.101841;;;1.455;432.501;19.237;51.427;0.93;1.0790100032574044;0.03700786165271355;0.9253627573597497;0.06727413713561504
17;-0.1031;0.1716;0.0913;27;161.16132919317;0.0816;-59.36725007932;0.0848;5350389508263437440;0.3523;0.1023;-5.854;0.106;2.094;0.102;1.049;17.853691;0.003441;18.798925;0.034355;16.867376;0.015804;1.931549;;;1.348;526.541;31.709;69.795;0.74;1.1158219541492396;0.04894448925052719;0.8155924679215389;0.13559392378677335
18;0.0936;0.2184;0.0594;28;161.19378907398;0.0217;-59.36495204264;0.023;5350395177620297472;0.4144;0.0266;-6.004;0.028;2.198;0.027;1.567;11.518721;0.002766;11.655813;0.002837;11.244445;0.002809;0.411368;;;1.181;4564.099;2112.569;3324.577;0.97;8.115215597919812;0.005112725934281307;0.0;0.0
19;0.0063;0.2723;0.1564;28;161.19489938855;0.0262;-59.36407534149;0.0257;5350395177620300160;0.499;0.0321;-5.961;0.035;1.96;0.032;1.166;15.438445;0.003107;15.824834;0.018336;14.559315;0.008899;1.265519;;;1.454;755.764;59.912;128.484;0.66;1.6875108380699886;0.0041702111646175705;0.2079769022772922;0.40103203284187083
20;0.2114;0.2068;0.0283;29;161.1574230691;0.0093;-59.36793825932;0.0099;5350389508263431552;0.4176;0.0114;-6.304;0.012;2.159;0.012;0.91;13.119639;0.002768;13.328097;0.002862;12.755853;0.002837;0.572245;;;1.187;4136.062;1706.934;2121.469;0.99;3.591527797814761;0.27845636478281816;2.608778771432384;0.4507351455764461
