;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;0.2531;0.0233;0.0618;26;162.6779726708;0.026;-55.86902767098;0.0243;5352760467631682816;0.4709;0.0292;-7.199;0.036;3.016;0.035;0.934;15.785555;0.002782;16.118111;0.00501;15.2061;0.005038;0.912011;;;1.252;2823.312;260.923;258.861;0.98;1.5069203078523756;0.0015518172640945637;0.0;0.0918108542296025
1;0.3524;0.0246;0.0659;26;162.69436823847;0.0959;-55.89806565535;0.0889;5352760227111940864;0.3235;0.1067;-7.587;0.137;2.823;0.128;0.954;18.17926;0.00302;18.745291;0.014392;17.459389;0.009823;1.285902;;;1.247;878.288;76.896;115.284;0.88;0.9309966158865951;0.0029864775242376914;0.0;0.058922547911836425
2;0.326;0.0729;0.0705;25;162.69783417434;0.0163;-55.85245331177;0.0157;5352760605085269632;0.3996;0.0189;-7.502;0.022;3.134;0.021;0.949;14.768373;0.002774;15.035439;0.003014;14.335409;0.002932;0.70003;;;1.194;3365.138;953.411;1205.909;0.87;1.882939692729498;0.013805648314780226;1.08945382126581;0.052832432327384604
3;0.3432;0.0029;0.0733;26;162.69608033846;0.1442;-55.9000694794;0.1316;5352760227127662336;0.2534;0.1601;-7.018;0.212;2.722;0.193;0.98;18.78303;0.003393;19.435389;0.03595;17.886936;0.019373;1.548452;;;1.359;548.384;30.293;56.633;0.54;0.8340890477420776;0.0071526459659380925;0.0;0.19058141325640157
4;0.2925;0.0474;0.0631;25;162.66320357305;0.0145;-55.87047459087;0.0139;5352760536365324288;0.4041;0.0167;-7.276;0.019;2.933;0.019;1.011;14.417657;0.002779;14.597111;0.003;14.112555;0.002863;0.484556;;;1.172;3009.625;985.447;1695.987;1.0;2.1524717789725183;0.0023497636844496145;0.0;0.0
5;0.2805;0.1086;0.064;26;162.75987551802;0.0168;-55.85800207901;0.0163;5352760742523811072;0.4023;0.0192;-7.279;0.023;2.969;0.022;0.94;14.820241;0.002767;15.151204;0.003128;14.315441;0.002977;0.835763;;;1.205;4287.174;768.035;1044.711;1.0;1.677028218919031;0.033127304586699234;1.450677037127643;0.04460514457698221
6;0.3573;0.0821;0.0848;26;162.65105901668;0.0133;-55.88880911741;0.0125;5352759024537271296;0.4323;0.0151;-7.299;0.019;2.954;0.017;0.937;14.24734;0.002768;14.474415;0.00288;13.872079;0.002857;0.602336;;;1.183;4150.846;1519.503;1773.256;1.0;2.203561362913356;0.01640467131294113;1.1788323888752117;0.060207614185974936
7;0.257;-0.0167;0.1071;25;162.66269063148;0.0283;-55.85120234374;0.0267;5352760639444558336;0.3633;0.0311;-7.0;0.039;2.961;0.036;1.017;15.864033;0.002781;16.373058;0.003665;15.187363;0.003167;1.185696;;;1.239;2869.84;456.837;724.993;0.82;1.2961809971357061;0.02084592317244942;1.2181373381338019;0.027216422028725505
8;0.2702;0.0573;0.0375;25;162.67287020338;0.0712;-55.84063077221;0.066;5352760669481135616;0.4348;0.0773;-7.229;0.103;3.113;0.087;0.978;17.631683;0.002923;18.18907;0.008414;16.955946;0.005078;1.233124;;;1.218;1112.485;136.783;255.869;0.98;1.0297316637273881;0.002470275509889912;0.0;0.06352779893008767
9;0.1526;0.024;0.0927;26;162.75995835882;0.0497;-55.84686067799;0.0449;5352760742523821824;0.4802;0.0547;-7.326;0.071;3.004;0.063;1.026;17.000374;0.002872;17.48428;0.006911;16.364733;0.005011;1.119547;;;1.22;1337.772;171.734;260.875;0.98;1.1643134379519877;0.002106381277900343;0.0;0.036302136477990334
10;0.3665;0.0479;0.0928;26;162.63740729332;0.0702;-55.89355385927;0.065;5352758985853912704;0.4377;0.0791;-7.293;0.1;2.899;0.094;0.964;17.741388;0.003006;18.325155;0.009171;17.031;0.00718;1.294155;;;1.233;903.553;124.276;164.114;0.98;1.0085651392547874;0.001788115210704089;0.0;0.07021664983854203
11;0.306;0.0329;-0.0193;26;162.64654001694;0.0209;-55.84170394597;0.0216;5352763594382060416;0.4211;0.0241;-7.366;0.029;3.059;0.029;1.031;15.301712;0.002775;15.612888;0.003341;14.822908;0.003062;0.78998;;;1.199;3300.396;590.607;860.757;0.99;1.6754427677452752;0.004226700577568066;0.0;0.3072556986842661
12;0.2018;0.1;0.0873;25;162.77408302615;0.0211;-55.8428744507;0.0194;5352760089688805248;0.4491;0.023;-7.233;0.029;2.983;0.026;0.937;15.213615;0.002783;15.494727;0.003222;14.77401;0.003083;0.720717;;;1.191;2764.841;673.805;827.35;0.99;1.7154824038026848;0.0016209223482365643;0.0;0.02666512487470327
13;0.2342;0.056;0.0972;26;162.78636085218;0.0125;-55.85046312232;0.0122;5352760085365444864;0.3949;0.0143;-7.286;0.017;3.05;0.016;0.988;12.984257;0.002774;13.14399;0.002867;12.705086;0.002815;0.438904;;;1.17;3389.996;1645.335;2908.343;1.0;3.1190460803397815;0.0011149847498572675;0.0;0.0
14;0.2023;0.0429;0.068;25;162.75851480991;0.0153;-55.83383476396;0.0139;5352760845603050624;0.427;0.0162;-7.389;0.021;2.996;0.018;0.994;14.33883;0.002774;14.521022;0.002962;14.023264;0.002902;0.497758;;;1.176;3346.424;1090.781;1363.849;0.99;2.2052031858925316;0.002070090841172508;0.0;0.0
15;0.3231;0.0436;0.1059;24;162.63121143582;0.0199;-55.84574536341;0.0194;5352763486979679744;0.4586;0.023;-7.289;0.028;2.966;0.026;0.981;15.199807;0.002774;15.485137;0.00322;14.752769;0.003084;0.732368;;;1.193;3398.34;675.917;826.077;0.99;1.7221961939036141;0.0015497480817130466;0.0;0.030363628917311498
16;0.3261;0.0914;0.02;27;162.80979832681;0.011;-55.85114296122;0.0104;5352760055329074560;0.429;0.0123;-7.276;0.015;2.931;0.013;0.988;12.309039;0.00276;12.47329;0.002853;12.018221;0.002815;0.45507;;;1.174;6723.937;1823.769;2895.217;1.0;3.457365499003592;0.0798772502738761;0.4101000284474232;0.9267271217930891
17;0.1662;-0.0327;0.145;25;162.80779918558;0.0665;-55.90267285615;0.0597;5352759299414776192;0.3878;0.0744;-7.59;0.092;2.823;0.08;1.286;17.038557;0.002916;17.134762;0.006716;15.961915;0.004654;1.172847;;;1.798;1138.833;177.737;291.453;0.86;1.2173738411136916;0.008205504191616255;0.0;0.2692798440879802
