;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;0.2532;0.0505;0.1464;18;253.01603644857;0.0662;-47.39217661273;0.0454;5939763951586951168;0.4136;0.0691;0.216;0.093;-2.133;0.067;0.969;16.766678;0.002847;17.618465;0.006918;15.844699;0.004232;1.773767;;;1.315;1515.419;171.5;341.204;0.99;1.8758106604166265;0.00400105872929235;0.0;0.16715132399667523
1;0.2272;-0.0039;0.1508;18;253.01326522395;0.0489;-47.39499966564;0.0329;5939763921545839616;0.3626;0.0509;0.07;0.066;-2.099;0.047;1.013;16.066334;0.0028;16.896431;0.00563;15.153333;0.003493;1.743098;;;1.314;2173.554;222.025;516.543;1.0;2.107521661868328;0.03582280436269783;1.4350828396252513;0.09182121572557721
2;0.1806;-0.1078;0.1195;20;253.01992298112;0.0903;-47.40114430322;0.0645;5939763921545832192;0.4798;0.096;0.189;0.117;-1.998;0.092;1.58;16.566002;0.003228;17.603573;0.006543;15.510691;0.003253;2.092882;;;1.391;645.749;183.44;649.287;0.99;1.6694993155989701;0.03375996575554803;1.5742960175394654;0.03669854777681851
3;0.1449;-0.0805;0.0377;20;253.02959469343;0.261;-47.39817396353;0.1764;5939763955892659328;0.2238;0.2611;-0.245;0.346;-1.819;0.266;1.157;18.920259;0.003757;20.039061;0.041052;17.746262;0.011648;2.292799;;;1.5;425.029;26.509;96.005;0.86;1.1580099131354646;0.00994488271158644;0.2426182428276121;0.3199332096893988
4;0.1076;-0.0881;0.0674;20;253.01777596777;0.0343;-47.38888042217;0.0247;5939763951586955008;0.3442;0.0364;0.075;0.046;-2.065;0.036;1.004;15.608487;0.002778;16.353655;0.003719;14.737446;0.00316;1.616209;;;1.304;3073.527;441.555;731.954;1.0;2.454169960962619;0.0015403547162669096;0.0;0.03913770247620444
5;0.1172;-0.0975;0.0771;20;253.02932379465;0.0449;-47.40065919552;0.0319;5939763955905566464;0.4497;0.0467;0.087;0.059;-2.157;0.047;1.075;16.08987;0.002793;16.89007;0.00444;15.199502;0.003123;1.690568;;;1.303;2359.681;314.331;773.957;1.0;2.205148310247185;0.013744051205135404;0.36157623305373865;0.48831918202455427
6;0.105;-0.0943;0.0859;20;253.03276270995;0.0405;-47.39118654973;0.0289;5939764058984788096;0.3681;0.0421;-0.043;0.054;-2.071;0.042;1.01;15.951924;0.002789;16.8001;0.004323;15.01802;0.003048;1.782081;;;1.327;2498.6;328.853;885.775;1.0;2.0149117033013417;0.06312300117373788;1.7680708633224638;0.09471557984714779
7;0.1624;-0.0775;0.0124;20;253.02080518612;0.2258;-47.40516203892;0.1498;5939763921545828480;0.4474;0.2226;-0.065;0.302;-2.183;0.229;1.022;18.866724;0.003566;20.101522;0.106445;17.881102;0.020145;2.220421;;;1.276;479.568;10.203;54.42;0.96;1.1597160525297676;0.005478757823743709;0.0;0.20174956943184302
8;0.0977;-0.1095;0.0938;20;253.03365273971;0.0399;-47.38986162828;0.0286;5939764054666169472;0.3626;0.0418;0.21;0.053;-1.93;0.042;1.035;15.8887;0.002796;16.735064;0.004224;14.939648;0.003278;1.795416;;;1.341;2296.121;342.409;631.202;0.97;2.059438443810092;0.059563610100314364;1.7823424182262884;0.09383347127246434
9;-0.0068;-0.0312;0.0226;20;253.03477013047;0.0428;-47.39071842354;0.0301;5939764058985208320;0.465;0.0436;-0.006;0.058;-2.114;0.045;0.995;15.875686;0.002839;16.604673;0.010984;14.857209;0.00957;1.747464;;;1.446;1587.715;102.199;118.607;1.0;2.099441443621319;0.06732117304730728;1.8045446306294692;0.1119305822984351
10;0.1245;-0.0796;0.1343;20;253.03619662289;0.0343;-47.39829724209;0.0244;5939763882867466624;0.3816;0.0363;-0.042;0.046;-2.141;0.037;1.005;15.594259;0.00278;16.468878;0.003983;14.653851;0.003102;1.815027;;;1.325;2941.384;381.915;800.909;1.0;2.264185213940471;0.05400906770473769;1.789496988240746;0.10861470034668728
11;0.0817;-0.0551;0.0461;20;253.00599805984;0.0527;-47.39410088003;0.0363;5939775668257732224;0.3558;0.0541;-0.057;0.071;-2.115;0.055;1.093;16.345881;0.002808;17.324684;0.005915;15.359619;0.003091;1.965065;;;1.338;2012.024;208.158;816.656;1.0;1.7654770994899405;0.033728897826668165;1.655154285928085;0.038816281080432974
12;0.277;-0.1404;-0.0358;19;253.01462193627;0.159;-47.38499012614;0.1056;5939775706923222912;0.3544;0.1512;0.243;0.219;-2.119;0.162;0.95;18.252899;0.003126;19.373001;0.047502;17.185984;0.017305;2.187017;;;1.383;735.597;22.896;63.575;0.98;1.2287287064126697;0.048666263819730736;0.9717599179898615;0.18373982008839276
13;0.0801;-0.0776;0.0693;20;253.02359914138;0.0405;-47.40916905926;0.0286;5939763917227191808;0.3865;0.0418;-0.086;0.054;-2.191;0.042;0.986;15.930674;0.002793;16.838207;0.004354;14.951344;0.003298;1.886864;;;1.352;2363.274;324.77;617.156;1.0;2.0089656848458484;0.05497958204111039;1.7949528827787091;0.07698566287690446
14;0.2076;-0.1229;0.1633;20;253.02342775335;0.1114;-47.38142415275;0.0818;5939764058984800256;0.3326;0.1212;0.148;0.144;-2.239;0.116;6.927;14.265859;0.002852;14.948665;0.003176;13.396458;0.002843;1.552207;;;1.324;1477.49;715.485;1986.305;0.98;2.8304010111040427;0.09144980243285886;1.377183292552182;1.255115265952287
