;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;-0.1845;0.3416;-0.1607;15;108.96452445865;0.0135;-0.9178816012;0.0126;3110131195087488384;1.1601;0.0157;-2.303;0.016;0.471;0.014;1.023;12.59447;0.002918;12.759913;0.004178;12.300768;0.003927;0.459146;;;1.174;1131.589;349.178;392.844;0.75;1.4332405465035927;0.01285271809774156;0.8663989843717956;0.0680933548806926
1;-0.2004;0.3267;-0.166;15;108.95611371755;0.0448;-0.90552628269;0.0415;3110143053498217728;1.1688;0.0504;-1.916;0.054;-0.052;0.048;1.033;16.133997;0.002944;16.692684;0.007511;15.437346;0.006227;1.255338;;;1.233;1048.023;155.694;195.027;0.96;0.7479381732965196;0.002823889219681832;0.20534790688582583;0.18255449451425343
2;-0.0442;0.2798;-0.0595;16;108.98895653555;0.048;-0.91876342696;0.0453;3110131233748212736;1.2085;0.055;-1.92;0.058;-0.036;0.049;0.952;16.48135;0.002954;17.101326;0.009718;15.73184;0.007182;1.369486;;;1.249;1018.477;116.633;164.069;0.96;0.7097835723171535;0.0023527734028805673;0.0;0.16173806771315025
3;-0.1596;0.3335;-0.1702;15;108.97055701079;0.1147;-0.89495005339;0.1041;3110143087857945088;1.0366;0.1275;-2.015;0.138;0.233;0.115;1.054;17.825384;0.003419;18.78878;0.031967;16.85956;0.010382;1.92922;;;1.323;536.368;34.094;108.576;0.83;0.5546123306497496;0.005457089349559847;0.0;0.13990287676842023
4;-0.0467;0.2142;-0.01;16;109.01453703587;0.0156;-0.93562201719;0.0153;3110130988929059328;1.2239;0.0191;-1.949;0.018;0.129;0.016;1.212;12.244358;0.002769;12.39187;0.002869;11.985998;0.002842;0.405871;;;1.167;3897.845;1629.804;2000.059;0.97;1.5093578341256788;0.01386829980070367;1.0763240723138385;0.037168339797916373
5;-0.332;0.3399;-0.0791;16;108.90755901597;0.0132;-0.89637475994;0.0126;3110143259656664576;1.2153;0.0148;-2.018;0.016;0.176;0.015;1.016;13.383706;0.002777;13.629426;0.002959;12.984591;0.002984;0.644835;;;1.186;3107.144;1102.314;1025.917;0.97;1.2163648539392669;0.011634282024549521;0.7816307135814788;0.05561572031122427
6;-0.0684;0.2298;-0.0522;16;109.00087277716;0.0194;-0.87535157305;0.0178;3110148997732919808;1.1337;0.0228;-2.532;0.024;0.031;0.02;1.269;14.069187;0.002768;14.457392;0.002962;13.513326;0.002957;0.944066;;;1.21;4044.449;1093.378;1107.915;0.9;0.9772198148255081;0.021020109571893375;0.9090918090639839;0.029360053189702254
7;-0.0807;0.1907;-0.0045;16;109.02742415987;0.0156;-0.94142072072;0.0153;3110130233014815872;1.1685;0.0189;-1.912;0.019;0.076;0.018;0.966;11.608783;0.002771;11.655804;0.002919;11.516438;0.002843;0.139366;;;1.153;3728.425;1264.605;1992.782;0.98;1.8104685046528857;0.013833702643330817;1.080459367471208;0.04578930611184405
8;-0.1399;0.2381;0.0049;16;108.90651767285;0.0335;-0.8884667746;0.0305;3110143259656661376;1.1286;0.0364;-1.905;0.038;0.035;0.035;0.956;15.792836;0.002883;16.282644;0.005527;15.142687;0.004133;1.139957;;;1.228;1282.02;227.57;356.113;0.95;0.7936721308064311;0.0022007211930664995;0.0;0.17334630220974556
9;-0.1769;0.3105;-0.0636;16;108.91961305049;0.0212;-0.86039052248;0.0198;3110144153009837312;1.133;0.0243;-1.954;0.024;0.088;0.022;1.005;14.725063;0.002841;15.084186;0.003452;14.19547;0.003645;0.888716;;;1.207;1565.632;534.131;463.001;0.97;0.9597709278651065;0.004620127575040888;0.34410622068429497;0.22765854816965486
10;-0.0469;0.257;-0.0604;16;109.04560007549;0.0146;-0.90831671805;0.0139;3110137006184228096;1.1958;0.0175;-1.683;0.018;-0.114;0.015;1.001;14.023515;0.002799;14.328253;0.003117;13.558645;0.002968;0.769608;;;1.194;2194.407;781.562;1072.548;0.91;1.077283837587377;0.012176435997720432;0.6846275775417429;0.0668690063316048
11;-0.1698;0.1819;-0.0213;13;108.89750076734;0.017;-0.86965813901;0.0158;3110144118651295616;1.1764;0.0178;-2.176;0.02;0.266;0.02;1.162;13.796883;0.002792;14.080936;0.003294;13.351909;0.002992;0.729028;;;1.192;2412.614;620.242;1004.661;0.97;1.1218555246479087;0.012884949313283059;0.7300015976549699;0.06071265575953222
12;-0.0795;0.3274;-0.0696;15;109.01080539345;0.0786;-0.8388249609;0.0741;3110149581848450304;1.1305;0.1001;-1.916;0.096;0.061;0.077;1.037;17.451038;0.00303;18.303276;0.015825;16.532978;0.011746;1.770298;;;1.311;861.304;69.702;95.156;0.93;0.5891464194141508;0.0033638699784993512;0.0;0.1321659101735466
13;-0.0315;0.189;-0.1431;14;109.00853998299;0.0719;-1.02037095578;0.0645;3110129305303917696;1.2228;0.0796;-2.018;0.081;0.209;0.069;1.11;16.810743;0.003084;17.508236;0.008124;15.979021;0.00528;1.529215;;;1.287;783.232;142.308;242.204;0.95;0.6655686793565678;0.00412680547017987;0.3532799349277243;0.07089092005248528
14;-0.0288;0.2295;-0.0802;16;108.97099228735;0.0344;-0.82501308618;0.0306;3110150234683488384;1.1495;0.039;-1.974;0.041;-0.082;0.033;0.916;15.834382;0.002868;16.348194;0.006234;15.172124;0.004126;1.17607;;;1.226;1361.247;194.771;357.207;0.95;0.7838121179501956;0.0036502310870244604;0.33344068062879273;0.17471043376000706
15;-0.1632;0.2381;0.0452;16;108.85823133886;0.0187;-0.94829686776;0.0173;3110141163712674688;1.193;0.0207;-1.924;0.021;0.1;0.02;1.017;14.423822;0.002823;14.760349;0.00371;13.923949;0.003237;0.8364;;;1.199;1761.114;444.045;661.296;0.98;1.008746298972127;0.0075177208249776846;0.5354270767679982;0.16156287401921712
16;-0.1296;0.259;-0.0447;16;108.92743218922;0.0121;-0.82839338062;0.0112;3110150333461752960;1.2059;0.0136;-1.964;0.014;-0.02;0.013;0.969;13.091955;0.002782;13.371971;0.002904;12.656539;0.002894;0.715432;;;1.189;2843.485;1346.84;1411.781;0.98;1.1782425500799334;0.02539646643895355;1.0898760593669392;0.03635599827083357
17;-0.3613;0.2252;-0.1426;13;108.90107057996;0.2298;-1.02725368282;0.2226;3110128652468866304;1.2417;0.2269;-1.497;0.276;0.019;0.29;1.399;18.456093;0.00404;19.009272;0.048829;17.049551;0.014196;1.959721;;;1.973;367.401;22.272;78.003;0.51;0.5289926587381109;0.0026359751394949204;0.0;0.03428206245341136
18;0.0643;0.2936;0.1069;16;108.977261569;0.0428;-1.05312462142;0.0389;3110124739757742464;1.1041;0.0483;-1.931;0.053;0.077;0.045;1.084;16.02821;0.002913;16.558958;0.006424;15.348228;0.003939;1.21073;;;1.232;1147.866;187.626;390.539;0.93;0.7617277312163877;0.0024112554618539936;0.0;0.17273466498913964
19;-0.148;0.2379;-0.1104;15;108.89041688172;0.0754;-1.0332590586;0.0783;3110128618109101952;1.0827;0.0938;-2.164;0.091;-0.278;0.083;0.946;17.375546;0.003199;18.003641;0.021396;16.605143;0.005666;1.398499;;;1.262;667.996;51.182;220.151;0.52;0.6009755753329169;0.001698305249227866;0.0;0.0
20;-0.094;0.1301;-0.0071;15;108.89418735345;0.0187;-1.03650134674;0.0179;3110128622409296896;1.1877;0.0203;-1.905;0.023;-0.01;0.022;0.969;14.591935;0.002908;14.943465;0.005079;14.063968;0.004243;0.879498;;;1.209;1169.528;255.839;339.641;0.98;0.9768154385769057;0.006975056216510197;0.5416771237637098;0.13638570024581745
21;-0.1533;0.2247;-0.0004;16;108.88605504546;0.0129;-0.82505658263;0.0121;3110147481602691840;1.1689;0.0146;-1.977;0.014;0.06;0.013;0.957;12.613235;0.0029;12.782657;0.003838;12.320133;0.003235;0.462523;;;1.172;1198.895;412.078;663.392;0.98;1.4287638616367202;0.011043603990996825;0.8534428152440285;0.06445306462432793
22;0.066;0.1337;-0.123;15;108.91135684707;0.2382;-0.80961398426;0.1954;3110150436540783360;1.0603;0.2349;-1.97;0.276;-0.046;0.219;0.971;18.966007;0.004038;20.020758;0.083738;18.14472;0.024143;1.876038;;;1.171;367.739;12.973;45.275;0.72;0.44786136488509215;0.003827382960284115;0.0;0.0
23;-0.077;0.1037;-0.0922;15;108.8672925103;0.0577;-0.83734690952;0.0536;3110147344168563200;1.0755;0.0662;-1.828;0.07;0.1;0.067;1.032;16.692434;0.00322;17.115084;0.03181;15.699493;0.016796;1.41559;;;1.542;651.592;34.264;65.554;0.86;0.7029256600199176;0.00285759409883993;0.0;0.16037152471994093
24;0.0359;0.1761;-0.0412;16;109.09479928053;0.0522;-0.95438080595;0.048;3110132844357183232;1.0964;0.062;-1.994;0.061;-0.025;0.051;1.087;16.669981;0.002949;17.418829;0.006403;15.826734;0.007361;1.592095;;;1.279;1033.284;188.401;159.389;0.92;0.6604338800382292;0.007797732925418698;0.5084899660288185;0.019659975167663872
25;0.1823;0.0668;-0.1178;15;108.98614429606;0.0393;-0.79380788337;0.035;3110150715719799296;1.0853;0.0456;-1.846;0.046;0.108;0.036;1.016;15.997119;0.002879;16.535952;0.004715;15.320167;0.004031;1.215785;;;1.227;1302.957;285.642;373.141;0.87;0.7631030420087215;0.0032775028305894517;0.2645608525102809;0.18160477159769114
