;pmRApmDEcor;PlxpmRAcor;PlxpmDEcor;Nper;RA_ICRS;e_RA_ICRS;DE_ICRS;e_DE_ICRS;Source;Plx;e_Plx;pmRA;e_pmRA;pmDE;e_pmDE;RUWE;Gmag;e_Gmag;BPmag;e_BPmag;RPmag;e_RPmag;BPRP;RVDR2;e_RVDR2;EBPRP;RFG;RFBP;RFRP;Pmemb;mass;er_mass;comp_mass;er_comp_mass
0;0.0862;-0.0333;0.0051;21;64.72057068182;0.0125;52.86136486435;0.0088;274908560133022080;0.2691;0.0152;0.514;0.016;-0.781;0.013;1.106;13.473191;0.002768;13.918654;0.002938;12.835693;0.002913;1.082961;;;1.238;4032.348;1180.711;1296.51;0.99;8.289286211640784;0.187386621253409;7.64747912923552;0.3485543231541145
1;0.0521;0.0026;0.0147;21;64.7126313601;0.0251;52.85824516679;0.0177;274908560133024000;0.2468;0.0301;0.582;0.031;-0.68;0.026;1.072;15.234258;0.002771;15.699215;0.005651;14.538207;0.004971;1.161008;;;1.272;3741.519;220.927;263.924;0.97;3.3778527530683977;0.26071580449100795;2.602627651817042;0.49120277692583847
2;0.031;0.021;0.0059;21;64.68848592924;0.0372;52.86828520582;0.0266;274908525773285504;0.1977;0.0448;0.506;0.046;-0.691;0.039;0.99;16.190266;0.002789;16.696037;0.00489;15.506541;0.0035;1.189496;;;1.245;2503.561;270.366;513.72;0.95;2.3480191382582007;0.30619191753467956;1.475565167516466;0.6750113489269749
3;0.0501;0.0485;-0.1677;19;64.70974986467;0.1169;52.84993965369;0.0781;274908452752213760;0.1447;0.1383;0.613;0.144;-0.704;0.115;0.961;18.09128;0.004651;19.24906;0.032308;17.051092;0.012779;2.197968;;;1.347;289.786;33.731;87.065;0.8;1.2554381533256658;0.026507944857434376;1.078723766624172;0.10211110778149579
4;0.053;0.0419;-0.0006;21;64.69658134502;0.0435;52.85142557718;0.0321;274908457053812480;0.2327;0.0531;0.454;0.056;-0.724;0.047;1.168;16.371235;0.002855;16.906511;0.005321;15.666902;0.004112;1.23961;;;1.248;1452.248;239.665;359.394;0.98;2.0247595547489947;0.20760222955205287;1.6884491688199248;0.22251438477580673
5;0.064;0.0283;0.0263;21;64.73173191391;0.0429;52.84636420592;0.03;274908349672994176;0.2719;0.0503;0.339;0.052;-0.78;0.044;1.035;16.438093;0.002806;16.930269;0.005384;15.749701;0.004153;1.180569;;;1.254;2043.857;235.817;352.915;0.98;2.5456475136506675;0.006298947414120241;0.0;0.1625181655271737
6;0.0583;-0.0259;0.0634;21;64.7178567056;0.0458;52.88751310307;0.0341;274911618149732352;0.315;0.0568;0.33;0.058;-0.753;0.05;1.002;16.66643;0.002817;17.563883;0.008566;15.719318;0.004846;1.844564;;;1.324;1844.601;134.055;274.017;0.96;1.4878920307947956;0.03794447426595925;1.4391840297360212;0.020617975242009284
7;-0.0152;0.1565;-0.0396;20;64.72594435649;0.124;52.84401015238;0.0863;274908353969330176;0.1561;0.1444;0.57;0.155;-0.513;0.124;1.103;18.186251;0.002997;18.958437;0.024113;17.299873;0.015358;1.658564;;;1.308;920.178;45.332;71.893;0.53;1.3095910323279727;0.00555475586073285;0.0;0.1823209530215752
8;-0.023;0.1364;-0.0125;21;64.7288311206;0.1049;52.84407633473;0.0715;274908349673579264;0.116;0.1203;0.558;0.129;-0.679;0.104;0.941;18.004654;0.003069;18.931019;0.026982;17.028231;0.009466;1.902788;;;1.344;802.683;40.457;120.035;0.78;1.291025754558047;0.02778507423372866;1.0018055711563674;0.2475216275937919
9;0.1166;-0.0815;0.0154;20;64.72185012047;0.0288;52.89033325823;0.0217;274911618149731584;0.2896;0.0375;0.524;0.036;-0.735;0.031;1.132;15.608823;0.002792;16.09857;0.004218;14.929191;0.00346;1.169379;;;1.249;2406.769;343.176;530.461;0.98;2.9656764703581193;0.2061719887389822;2.1085979400682704;0.3687321022411366
10;0.0466;0.1191;-0.0108;20;64.67254271217;0.1124;52.8506854688;0.0827;274908487111959168;0.3336;0.1356;0.387;0.143;-0.868;0.117;0.981;18.307144;0.003006;19.148884;0.020013;17.436327;0.012524;1.712557;;;1.273;903.463;54.787;88.929;0.84;1.2878432889315123;0.006891131710663902;0.0;0.180624046224045
11;0.0197;0.1328;0.0769;20;64.66523569429;0.1737;52.8629246298;0.125;274911442049473920;0.2806;0.2097;0.591;0.21;-0.717;0.176;0.995;18.868525;0.004402;20.057629;0.053464;17.79372;0.011804;2.263908;;;1.375;316.246;20.335;94.661;0.73;1.1929535256513848;0.00888704762279614;0.3501286861516634;0.33697415305366213
12;0.0448;-0.0476;0.0134;21;64.67475530861;0.024;52.84307355234;0.018;274908422694077824;0.3051;0.03;0.369;0.033;-0.695;0.026;1.003;15.367573;0.002774;15.80664;0.003322;14.738613;0.003075;1.068027;;;1.235;3412.655;602.29;839.779;0.96;3.9170399202306188;0.004820087439498714;0.0;0.0
13;-0.0331;0.1184;-0.0349;21;64.65981029929;0.0959;52.87048762164;0.066;274911515070526720;0.2924;0.1114;0.537;0.12;-0.816;0.095;1.023;17.878077;0.002939;18.821196;0.020081;16.931162;0.008437;1.890034;;;1.311;1062.644;54.597;136.367;0.91;1.303035288601472;0.02728253829454217;1.044759004429189;0.2524712598277077
14;0.1179;-0.044;-0.0411;21;64.66461192421;0.0106;52.84862096943;0.0079;274908491413554176;0.2768;0.0133;0.501;0.014;-0.793;0.012;0.956;12.477584;0.002765;12.847126;0.002856;11.920074;0.002809;0.927052;;;1.219;4639.918;1778.79;3304.859;0.99;11.685738489206258;0.005847965344127922;0.0;0.0
15;0.0277;-0.0301;0.066;21;64.66305220317;0.0368;52.84819703398;0.0291;274908491413554432;0.2524;0.0465;0.549;0.048;-0.814;0.043;1.438;15.525801;0.0028;15.868874;0.008922;14.827725;0.00506;1.041148;;;1.329;2178.808;128.121;257.174;0.97;3.7472929733031073;0.007981373549470866;0.0;0.0
16;0.0121;0.0829;-0.0456;21;64.65674397313;0.0304;52.85790317958;0.0223;274911446351052160;0.1943;0.0364;0.315;0.04;-0.737;0.032;1.017;15.79264;0.002776;16.25145;0.003405;15.14681;0.003054;1.10464;;;1.238;3209.289;556.344;874.589;0.94;3.2841738014633663;0.004253010405363388;0.0;0.0
17;0.0634;0.0003;0.0231;21;64.67023252929;0.0388;52.8904726814;0.0277;274911549430258688;0.2159;0.0477;0.617;0.048;-0.784;0.041;1.069;16.290028;0.002794;16.875021;0.005021;15.532298;0.003996;1.342723;;;1.269;2354.339;260.069;379.527;0.93;2.2526523448644484;0.0635021298969717;1.436161173905142;0.054370558825878976
18;-0.0673;0.2277;-0.101;20;64.66717706925;0.069;52.84104411403;0.05;274908487111938176;0.1718;0.0818;0.398;0.091;-0.824;0.071;0.978;17.32795;0.00286;17.89756;0.009884;16.645493;0.005753;1.252068;;;1.218;1413.386;114.506;215.805;0.92;1.68592584160399;0.005050844307170665;0.0;0.0
19;0.0722;-0.05;-0.0029;21;64.65540148964;0.0146;52.84899425305;0.0109;274908113456432896;0.2734;0.0182;0.358;0.02;-0.774;0.016;1.065;14.043496;0.002849;14.428025;0.004127;13.466006;0.003307;0.962019;;;1.225;1496.531;356.968;611.656;0.99;6.9210644155543415;0.007869941301064689;0.0;0.0
20;-0.1131;0.2789;-0.1159;20;64.74575163005;0.0802;52.83282133608;0.0548;274907525039249280;0.2019;0.0895;0.441;0.105;-0.671;0.08;1.051;17.398962;0.002869;17.97604;0.009224;16.661156;0.006669;1.314884;;;1.257;1356.388;123.486;179.249;0.93;1.6628199036718199;0.004255406281416619;0.0;0.052527905671453115
21;-0.1149;0.1783;-0.0881;20;64.65186135963;0.0775;52.87641016235;0.0536;274911510768982912;0.2985;0.0895;0.522;0.099;-0.819;0.076;1.01;17.400986;0.003134;18.505621;0.01461;16.359079;0.006009;2.146542;;;1.361;727.182;75.71;204.004;0.94;1.3490061764972299;0.026085290707658422;1.2307244153547192;0.06108985436949076
22;0.0975;-0.0803;0.0018;21;64.72285959408;0.0134;52.82712709306;0.0099;274908182175907840;0.2557;0.0165;0.582;0.019;-0.784;0.014;1.051;13.813116;0.002764;14.200015;0.002902;13.233922;0.002851;0.966093;;;1.225;4980.423;1359.78;1853.949;0.99;7.8885785660959735;0.3108890036930802;0.2002750544934053;0.8396539513917494
23;0.0951;0.0273;0.0138;20;64.72760783333;0.0458;52.90279916018;0.0333;274911618149730176;0.2377;0.0586;0.603;0.056;-0.7;0.048;1.068;16.624472;0.002811;17.242373;0.006104;15.851365;0.00396;1.391007;;;1.268;1958.681;199.978;386.429;0.94;1.7902759039553218;0.10903205117214751;1.4592838380751394;0.091827648998283
24;0.0583;-0.029;0.0128;20;64.64664511101;0.0321;52.86470828927;0.0283;274911515070528768;0.2415;0.0415;0.469;0.041;-0.81;0.038;1.643;14.918921;0.002809;15.28412;0.018411;14.102239;0.016189;1.181881;;;1.411;1987.33;59.661;68.086;0.98;6.956913840746541;0.1571248908729018;0.0;0.09843786105958452
25;-0.0814;0.2064;-0.1077;20;64.66927972239;0.0661;52.83494586817;0.0486;274908422694080384;0.2784;0.0795;0.137;0.088;-0.792;0.069;1.021;17.268518;0.002862;17.80884;0.011381;16.502316;0.009056;1.306524;;;1.293;1403.626;98.403;126.024;0.7;1.7345148796504717;0.005530062206518713;0.0;0.10539305471347378
